證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 處分不動產、廠房及設備損失,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　　　 銷貨收入,　　　　 加工收入,　　　 銷貨成本,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
1225,2015年第3季,,,,              2723256,                 12046,              2711210,,,                              0,                              0,              2711210,,,              2487812,,                              0,                              0,              2487812,                223398,                    213,                223185,,,                 90619,,                 42050,,                  6095,                138764,,                    -47,                    -47,                 84374,,,,                    528,                    669,                  3204,                  4401,,                 -3223,                    145,                 -3368,,                 10810,                 10810,,                  1912,                 -7865,                 76509,,                 12972,                 63537,                 63537,,,,                              0,                              0,,                 11606,                 11606,                 11606,                 75143,,                 51640,                 11897,,                 63246,                 11897,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年第2季,,,,              2636225,                 14559,              2621666,,,                              0,                              0,              2621666,,,              2465186,,                              0,                              0,              2465186,                156480,                    -48,                156528,,,                 80874,,                 39397,,                  5279,                125550,,                     58,                     58,                 31036,,,,                    717,                    533,                  3751,                  5001,,                    230,                    256,                    -26,,                 12024,                 12024,,                 -5620,                -12669,                 18367,,                  5667,                 12700,                 12700,,,,                    -49,                    -49,,                 -3178,                 -3178,                 -3227,                  9473,,                 10858,                  1842,,                  7631,                  1842,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年01月01日至2015年09月30日,,,,              8088461,                 37439,              8051022,,,                    467,                    467,              8051489,,,              7504640,,                    141,                    141,              7504781,                546708,                    275,                546433,,,                245174,,                119463,,                 16544,                381181,,                     11,                     11,                165263,,,,                  1873,                  2279,                 10853,                 15005,,                 -3335,                    726,                 -4061,,                 35090,                 35090,,                 -6343,                -30489,                134774,,                 26095,                108679,                108679,,,,                    -49,                    -49,,                  4882,                  4882,                  4833,                113512,,                 94086,                 14593,,                 98919,                 14593,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年01月01日至2015年06月30日,,,,              5365205,                 25393,              5339812,,,                    467,                    467,              5340279,,,              5016828,,                    141,                    141,              5016969,                323310,                     62,                323248,,,                154555,,                 77413,,                 10449,                242417,,                     58,                     58,                 80889,,,,                  1345,                  1154,                  8105,                 10604,,                   -112,                    581,                   -693,,                 24280,                 24280,,                 -8255,                -22624,                 58265,,                 13123,                 45142,                 45142,,,,                    -49,                    -49,,                 -6724,                 -6724,                 -6773,                 38369,,                 42446,                  2696,,                 35673,                  2696,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年01月01日至2015年03月31日,,,,              2728980,                 10834,              2718146,,,                    467,                    467,              2718613,,,              2551642,,                    141,                    141,              2551783,                166830,                    110,                166720,,,                 73681,,                 38016,,                  5170,                116867,,                              0,                              0,                 49853,,,,                    628,                    621,                  4354,                  5603,,                   -342,                    325,                   -667,,                 12256,                 12256,,                 -2635,                 -9955,                 39898,,                  7456,                 32442,                 32442,,,,,                              0,,                 -3546,                 -3546,                 -3546,                 28896,,                 31588,                    854,,                 28042,                    854,,                              0.14,                              0.14,,                              0.14,                              0.14,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,
1225,2014年第3季,,,,              3108628,                  6474,              3102154,,,                    479,                    479,              3102633,,,              3035076,,                    417,                    417,              3035493,                 67140,                   -259,                 67399,,,                 84089,,                 29445,,                  5157,                118691,,                 -2661,                 -2661,                -53953,,,,                    593,                    863,                    716,                  2172,,                   -170,                  1449,                 -1619,,                 14831,                 14831,,                  4039,                -10239,                -64192,,                 -5659,                -58533,                -58533,,,,                              0,                              0,,                  4990,                  4990,                  4990,                -53543,,                -60453,                  1920,,                -55463,                  1920,,                             -0.29,                             -0.29,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年第2季,,,,              3114204,                  3874,              3110330,,,                    323,                    323,              3110653,,,              2963003,,                    331,                    331,              2963334,                147319,                    -96,                147415,,,                 89556,,                 34026,,                  5164,                128746,,                 -3796,                 -3796,                 14873,,,,                    696,                    522,                    690,                  1908,,                    992,                    981,                     11,,                 15884,                 15884,,                  4491,                 -9474,                  5399,,                  1103,                  4296,                  4296,,,,                              0,                              0,,                 -5683,                 -5683,                 -5683,                 -1387,,                  1055,                  3241,,                 -4628,                  3241,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年度,,,,             12433005,                 29259,             12403746,,,                  3662,                  3662,             12407408,,,             11756934,,                  3177,                  3177,             11760111,                647297,                     43,                647254,,,                354867,,                148512,,                 20752,                524131,,                 -6596,                 -6596,                116527,,,,                  2553,                  2176,                  5438,                 10167,,                 -1988,                  4626,                 -6614,,                 59330,                 59330,,                 18272,                -37505,                 79022,,                 17833,                 61189,                 61189,,,,,,,,,                 20614,                 81803,,                 45069,                 16120,,                 65683,                 16120,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,,,,,,,,,,,                 16019,                  6153,,                 -1558,,,,,,,,,,
1225,2014年01月01日至2014年09月30日,,,,              9169654,                 20616,              9149038,,,                  1527,                  1527,              9150565,,,              8743333,,                  1578,                  1578,              8744911,                405654,                    -73,                405727,,,                259693,,                102720,,                 15320,                377733,,                 -6586,                 -6586,                 21408,,,,                  1831,                  1947,                  4281,                  8059,,                 -3807,                  3350,                 -7157,,                 45654,                 45654,,                 12533,                -32219,                -10811,,                  4051,                -14862,                -14862,,,,                              0,                              0,,                  4388,                  4388,                  4388,                -10474,,                -24106,                  9244,,                -19718,                  9244,,                             -0.12,                             -0.12,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年01月01日至2014年06月30日,,,,              6061026,                 14142,              6046884,,,                  1048,                  1048,              6047932,,,              5708257,,                  1161,                  1161,              5709418,                338514,                    186,                338328,,,                175604,,                 73275,,                 10163,                259042,,                 -3925,                 -3925,                 75361,,,,                  1238,                  1027,                  3622,                  5887,,                 -3637,                  1901,                 -5538,,                 30823,                 30823,,                  8494,                -21980,                 53381,,                  9710,                 43671,                 43671,,,,                              0,                              0,,                   -602,                   -602,                   -602,                 43069,,                 36347,                  7324,,                 35745,                  7324,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
