證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4190,2015年第3季,,                420922,,                135582,                285340,                285340,,,                144814,,                 35418,,                  4104,                184336,                101004,,,                  4634,,                 11448,,                              0,                 16082,                117086,,                 28434,                 88652,                 88652,,,                 29235,                              0,                 29235,                 29235,                117887,,                 88652,                              0,,                117887,                              0,,                              1.72,                              1.72,,,,
4190,2015年上半年度,,                811423,,                265296,                546127,                546127,,,                192515,,                131172,,                  7077,                330764,                215363,,,                 11212,,                 -5492,,                              0,                  5720,                221083,,                 53631,                167452,                167452,,,                -18158,                              0,                -18158,                -18158,                149294,,                167452,                              0,,                149294,                              0,,                              3.25,                              3.25,,,,
4190,2015年01月01日至2015年09月30日,,              1232345,,                400878,                831467,                831467,,,                337329,,                166590,,                 11181,                515100,                316367,,,                 15846,,                  5956,,                              0,                 21802,                338169,,                 82065,                256104,                256104,,,                 11077,                              0,                 11077,                 11077,                267181,,                256104,                              0,,                267181,                              0,,                              4.96,                              4.96,,,,
4190,2014年第3季,,                413011,,                128641,                284370,                284370,,,                 99869,,                 69695,,                  3631,                173195,                111175,,,                  6106,,                  2014,,                    220,                  7900,                119075,,                 36573,                 82502,                 82502,,,                 15419,                              0,                 15419,                 15419,                 97921,,                 82502,                              0,,                 97921,                              0,,                              1.60,                              1.60,,,,
4190,2014年度,,              1564594,,                463781,              1100813,              1100813,,,                461852,,                232712,,                 13550,                708114,                392699,,,                 29927,,                -29876,,                    240,                   -189,                392510,,                120193,                272317,                272317,,,,,,                 57560,                329877,,                260057,                 12260,,                317617,                 12260,,                              5.18,                              5.18,                 21782,                 36233,                   -548,                    -93
4190,2014年上半年度,,                738439,,                210513,                527926,                527926,,,                221122,,                107731,,                  7025,                335878,                192048,,,                 10993,,                -36583,,                     20,                -25610,                166438,,                 53275,                113163,                113163,,,                -15197,                 36233,                 21036,                 21036,                134199,,                100903,                 12260,,                121939,                 12260,,                              2.07,                              2.07,,,,
4190,2014年01月01日至2014年09月30日,,              1151450,,                339154,                812296,                812296,,,                320991,,                177426,,                 10656,                509073,                303223,,,                 17099,,                -34569,,                    240,                -17710,                285513,,                 89848,                195665,                195665,,,                    222,                 36233,                 36455,                 36455,                232120,,                183405,                 12260,,                219860,                 12260,,                              3.69,                              3.69,,,,
4190,2013年度,,              1543398,,                447255,              1096143,              1096143,,,                467537,,                216358,,                 11858,                695753,                400390,,,                 18604,,                -11022,,                      3,                  7579,                407969,,                140765,                267204,                267204,,,,,,                 33321,                300525,,                 70362,                196842,,                105361,                195164,,                              2.41,                              2.41,                 34999,                -14790,                 15797,                  2685
4190,2013年01月01日至2013年12月31日,,              1543398,,                447255,              1096143,              1096143,,,                467537,,                216358,,                 11858,                695753,                400390,,,                 18604,,                -11022,,                      3,                  7579,                407969,,                140765,                267204,                267204,,,,,,                 33321,                300525,,                 70362,                196842,,                105361,                195164,,                              5.43,                              5.43,                 34999,                -14790,                 15797,                  2685
4190,2012年01月01日至2012年12月31日,,              1246153,,                425082,                821071,                821071,,,                423271,,                213079,,                  6261,                642611,                178460,,,                 22500,,                 -1012,,                              0,                 21488,                199948,,                 40218,                159730,                159730,,,,,,                -20783,                138947,,                   -148,                159878,,                   -148,                139095,,                           -148.00,                           -148.00,                -13575,                 -1791,                 -6526,                 -1109
