證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2642,2015年第3季,,                647271,,                545511,                101760,                101760,,,                  3378,,                 92678,                 96056,                  5704,,,                  3550,,                   -772,                  2778,                  8482,,                  1548,                  6934,                  6934,,,                    639,                -85153,                    109,                -84623,                -84623,                -77689,,                  6934,,                -77689,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,
2642,2015年第2季,,                636051,,                524849,                111202,                111202,,,                  3679,,                 88444,                 92123,                 19079,,,                 13795,,                 31688,                 45483,                 64562,,                  9410,                 55152,                 55152,,,                   -217,                -15073,                    -37,                -15253,                -15253,                 39899,,                 55152,,                 39899,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,
2642,2015年01月01日至2015年09月30日,,              1950642,,              1595445,                355197,                355197,,,                 11397,,                269956,                281353,                 73844,,,                 20553,,                 29974,                 50527,                124371,,                 19764,                104607,                104607,,,                    262,               -202522,                     45,               -202305,               -202305,                -97698,,                104607,,                -97698,,                              1.10,                              1.10,,                              1.10,                              1.10,,,,
2642,2015年01月01日至2015年06月30日,,              1303371,,              1049934,                253437,                253437,,,                  8019,,                177278,                185297,                 68140,,,                 17003,,                 30746,                 47749,                115889,,                 18216,                 97673,                 97673,,,                   -377,               -117369,                    -64,               -117682,               -117682,                -20009,,                 97673,,                -20009,,                              1.02,                              1.02,,                              1.02,                              1.02,,,,
2642,2015年01月01日至2015年03月31日,,                667320,,                525085,                142235,                142235,,,                  4340,,                 88834,                 93174,                 49061,,,                  3208,,                   -942,                  2266,                 51327,,                  8806,                 42521,                 42521,,,                   -160,               -102296,                    -27,               -102429,               -102429,                -59908,,                 42521,,                -59908,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,
2642,2014年第3季,,                643419,,                531134,                112285,                112285,,,                  6137,,                 86448,                 92585,                 19700,,,                  4092,,                 -1839,                  2253,                 21953,,                  3803,                 18150,                 18150,,,                    443,                  5236,                     75,                  5604,                  5604,                 23754,,                 18150,,                 23754,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,
2642,2014年第2季,,                629775,,                499694,                130081,                130081,,,                  4087,,                 88046,                 92133,                 37948,,,                  8797,,                 -1724,                  7073,                 45021,,                  7368,                 37653,                 37653,,,                   -304,                 79497,                    -52,                 79245,                 79245,                116898,,                 37653,,                116898,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,
2642,2014年度,,              2567270,,              2048338,                518932,                518932,,,                 20555,,                349961,                370516,                148416,,,                 20051,,                 15018,                 35069,                183485,,                 27496,                155989,                155989,,,,,,,                297933,                453922,,                155989,,                453922,,                              1.63,                              1.63,,                              1.63,                              1.63,                    559,                300709,                 -3904,                   -569
2642,2014年01月01日至2014年09月30日,,              1918958,,              1533881,                385077,                385077,,,                 15598,,                262312,                277910,                107167,,,                 16162,,                 -4721,                 11441,                118608,,                 20037,                 98571,                 98571,,,                     91,                187329,                     15,                187405,                187405,                285976,,                 98571,,                285976,,                              1.03,                              1.03,,                              1.03,                              1.03,,,,
2642,2014年01月01日至2014年06月30日,,              1275539,,              1002747,                272792,                272792,,,                  9461,,                175864,                185325,                 87467,,,                 12070,,                 -2882,                  9188,                 96655,,                 16234,                 80421,                 80421,,,                   -352,                182093,                    -60,                181801,                181801,                262222,,                 80421,,                262222,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,
2642,2014年01月01日至2014年03月31日,,                645764,,                503053,                142711,                142711,,,                  5374,,                 87818,                 93192,                 49519,,,                  3273,,                 -1158,                  2115,                 51634,,                  8866,                 42768,                 42768,,,                    -48,                102596,                     -8,                102556,                102556,                145324,,                 42768,,                145324,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,
2642,2013年第3季,,                626159,,                502452,                123707,                123707,,,                  5054,,                 86043,                 91097,                 32610,,,                  3056,,                 -1608,                  1448,                 34058,,                  5889,                 28169,                 28169,,,,,,,                   -172,                 27997,,                 28169,,                 27997,,                              0.33,                              0.33,,                              0.33,                              0.33,                   -207,                              0,,                    -35
2642,2013年第2季,,                630721,,                491843,                138878,                138878,,,                  4334,,                 85568,                 89902,                 48976,,,                  8678,,                   -496,                  8182,                 57158,,                 15061,                 42097,                 42097,,,,,,,                -22542,                 19555,,                 42097,,                 19555,,                              0.49,                              0.49,,                              0.49,                              0.49,                    167,                -22681,                              0,                     28
2642,2013年度,,              2576537,,              1996309,                580228,                580228,,,                 19590,,                351617,                371207,                209021,,,                 19371,,                 -6160,                 13211,                222232,,                 37532,                184700,                184700,,,,,,,                -19955,                164745,,                184700,,                164745,,                              2.13,                              2.13,,                              2.13,                              2.13,                    467,                -22681,                  2818,                    559
2642,2013年07月01日至2013年09月30日,,                626159,,                502095,                124064,                124064,,,                  5054,,                 86400,                 91454,                 32610,,,                  3056,,                 -1608,                  1448,                 34058,,                  5889,                 28169,                 28169,,,,,,,                   -172,                 27997,,                 28169,,                 27997,,                              0.33,                              0.33,,                              0.33,                              0.33,                   -207,                              0,,                    -35
2642,2013年04月01日至2013年06月30日,,                630721,,                491496,                139225,                139225,,,                  4401,,                 85848,                 90249,                 48976,,,                  8678,,                   -496,                  8182,                 57158,,                 15061,                 42097,                 42097,,,,,,,                -22542,                 19555,,                 42097,,                 19555,,                              0.49,                              0.49,,                              0.49,                              0.49,                    167,                -22681,,                     28
2642,2013年01月01日至2013年12月31日,,              2576537,,              1996309,                580228,                580228,,,                 19590,,                351617,                371207,                209021,,,                 19371,,                 -6160,                 13211,                222232,,                 37532,                184700,                184700,,,,,,,                -19955,                164745,,                184700,,                164745,,                              2.13,                              2.13,,                              2.13,                              2.13,                    467,                -22681,                  2818,                    559
2642,2013年01月01日至2013年09月30日,,              1933683,,              1511606,                422077,                422077,,,                 14221,,                259329,                273550,                148527,,,                 14593,,                 -3399,                 11194,                159721,,                 26780,                132941,                132941,,,,,,,                -22553,                110388,,                132941,,                110388,,                              1.55,                              1.55,,                              1.55,                              1.55,                    154,                -22681,,                     26
2642,2013年01月01日至2013年06月30日,,              1307524,,              1009154,                298370,                298370,,,                  9167,,                173286,                182453,                115917,,,                 11537,,                 -1791,                  9746,                125663,,                 20891,                104772,                104772,,,,,,,                -22381,                 82391,,                104772,,                 82391,,                              1.22,                              1.22,,                              1.22,                              1.22,                    361,                -22681,                              0,                     61
2642,2013年01月01日至2013年03月31日,,                676803,,                517311,                159492,                159492,,,                  4833,,                 87718,                 92551,                 66941,,,                  2859,,                 -1295,                  1564,                 68505,,                  5830,                 62675,                 62675,,,,,,,                    161,                 62836,,                 62675,,                 62836,,                              0.73,                              0.73,,                              0.73,                              0.73,                    194,                              0,,                     33
2642,2012年07月01日至2012年09月30日,,                653877,,                505679,                148198,                148198,,,                  5241,,                 81569,                 86810,                 61388,,,                  2083,,                 -2007,                     76,                 61464,,                 10555,                 50909,                 50909,,,,,,,                   -117,                 50792,,                 50909,,                 50792,,                              0.59,                              0.59,,                              0.59,                              0.59,                   -140,                              0,,                    -23
2642,2012年04月01日至2012年06月30日,,                617636,,                472593,                145043,                145043,,,                  4866,,                 85741,                 90607,                 54436,,,                  8224,,                 -1376,                  6848,                 61284,,                  8889,                 52395,                 52395,,,,,,,                     48,                 52443,,                 52395,,                 52443,,                              0.61,                              0.61,,                              0.61,                              0.61,                     57,                              0,,                      9
