證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
2406,2015年第3季,,,              5202934,              5202934,,              4378911,                824023,                824023,,,                114921,,                109126,,                 59678,                283725,                540298,,,                 52771,,                197621,,                 47614,,                              0,                202778,                743076,,                187272,                555804,                555804,,,                 22414,                -23393,                   -979,                   -979,                554825,,                134344,                421460,,                123195,                431630,,                              0.44,,                              0.40,,,,,,,
2406,2015年第2季,,,,              4143257,,              3650218,                493039,                493039,,,                 57635,,                 80306,,                 55719,                193660,                299379,,,                 14397,,               -156699,,                 42466,,                              0,               -184768,                114611,,                120763,                 -6152,                 -6152,,,                -11358,                    466,                -10892,                -10892,                -17044,,               -190538,                184386,,               -197652,                180608,,                             -0.62,,                             -0.62,,,,,,,
2406,2015年01月01日至2015年09月30日,,,             12889594,             12889594,,             11108603,              1780991,              1780991,,,                228991,,                266365,,                166671,                662027,              1118964,,,                 77163,,                -63384,,                126324,,                              0,               -112545,              1006419,,                401313,                605106,                605106,,,                  9726,                -40446,                -30720,                -30720,                574386,,               -160138,                765244,,               -196975,                771361,,                             -0.52,,                             -0.52,,,,,,,
2406,2015年01月01日至2015年06月30日,,,,              7686660,,              6729692,                956968,                956968,,,                114070,,                157239,,                106993,                378302,                578666,,,                 24392,,               -261005,,                 78710,,                              0,               -315323,                263343,,                214041,                 49302,                 49302,,,                -12688,                -17053,                -29741,                -29741,                 19561,,               -294482,                343784,,               -320170,                339731,,                             -0.96,,                             -0.96,,,,,,,
2406,2015年01月01日至2015年03月31日,,,,              3543403,,              3079474,                463929,                463929,,,                 56435,,                 76933,,                 51274,                184642,                279287,,,                  9995,,               -104306,,                 36244,,                              0,               -130555,                148732,,                 93278,                 55454,                 55454,,,                 -1330,                -17519,                -18849,                -18849,                 36605,,               -103944,                159398,,               -122518,                159123,,                             -0.34,,                             -0.34,,,,,,,
2406,2014年第3季,,,              2979383,              2979383,,              2759904,                219479,                219479,,,                 72918,,                 71375,,                 54887,                199180,                 20299,,,                 26730,,                 27847,,                 29031,,                     60,                 25606,                 45905,,                 54065,                 -8160,                 -8160,,,                  6088,                -60931,                -54843,                -54843,                -63003,,               -176029,                167869,,               -232265,                169262,,                             -0.57,,                             -0.57,,,,,,,
2406,2014年第2季,,,,              3623452,,              3248494,                374958,                374958,,,                 74101,,                166388,,                 52847,                293336,                 81622,,,                  9531,,                 89931,,                 16056,,                    122,                 83528,                165150,,                 40771,                124379,                124379,,,                 -4973,                 -9989,                -14962,                -14962,                109417,,                 12127,                112252,,                 -2067,                111484,,                              0.04,,                              0.04,,,,,,,
2406,2014年度,,,,             13287077,,             11816823,              1470254,              1470254,,,                284190,,                424097,,                225196,                933483,                536771,,,                 66244,,                401090,,                 88484,,                     42,                378892,                915663,,                244383,                671280,                671280,,,,,,                 -6894,                664386,,                  3400,                667880,,                 -7414,                671800,,                              0.01,,                              0.01,                  3683,                -24553,                 13976,,,,
2406,2014年01月01日至2014年09月30日,,,              9733656,              9733656,,              8701272,              1032384,              1032384,,,                194416,,                321132,,                154623,                670171,                362213,,,                 42257,,                334123,,                 58316,,                    275,                318339,                680552,,                147019,                533533,                533533,,,                  5842,                -24707,                -18865,                -18865,                514668,,                 95594,                437939,,                 76525,                438143,,                              0.32,,                              0.30,,,,,,,
2406,2014年01月01日至2014年06月30日,,,,              6754273,,              5941368,                812905,                812905,,,                121498,,                249757,,                 99736,                470991,                341914,,,                 15527,,                306276,,                 29285,,                    215,                292733,                634647,,                 92954,                541693,                541693,,,                   -246,                 36224,                 35978,                 35978,                577671,,                271623,                270070,,                308790,                268881,,                              0.91,,                              0.84,,,,,,,
