證券代號,年季,　 營業收入,　　 保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 無活絡市場之債務工具投資損益之已實現損益,　　　 兌換損益－投資,　　　 投資性不動產損益,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 其他保險負債淨變動合計,　　 佣金費用,　　　 佣金費用合計,　　 其他營業成本,　　　 其他營業成本合計,　　 營業成本合計,　 營業費用,　　 業務費用,　　 管理費用,　　 員工訓練費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 基本每股盈餘 ,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 無活絡市場之債券投資損益之已實現損益,　 繼續營業單位稅前純益（純損）,　　 其他綜合損益-稅前,　　　 確定福利計畫精算利益（損失）,　　　 其他綜合損益－稅前合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　 保險負債淨變動,　　　 保險負債淨變動,　　　 簽單保費收入,　　　 保險賠款與給付,　　　 再保賠款與給付,　　　 賠款準備淨變動,　　　　 賠款準備淨變動,　　　 特別準備淨變動,　　　　 特別準備淨變動,　　　 保費不足準備淨變動,　　　　 保費不足準備淨變動,　　 其他營業外收入及支出,　　　 雜項收入,　　　 其他營業外收入及支出淨額
2851,2015年第3季,,,              3406101,              3406101,                186100,,               -104728,              3324729,                 59944,,                  3396,,                 70301,               -277381,                -87470,                              0,                290307,                  5577,                  1334,,                 10998,              3400401,,,              1992727,                 96274,              1896453,,                325677,,              1028538,,                 -7541,              3243127,,                 51470,                 28790,                    395,                 80655,                 76619,,                 -1901,                 74718,,                 19478,                 55240,                 55240,,,               -329058,                -20532,               -308526,               -308526,               -253286,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,,,,,
2851,2015年第2季,,,              3510172,              3510172,                249788,,                 24103,              3236281,                 81955,,                  3659,,                139519,                -30443,                 88823,                              0,                -46971,                  4298,                155226,,                  1187,              3478308,,,              2296495,                113421,              2183074,,               -170466,,              1108933,,                  1217,              3122758,,                 54467,                 29451,                    599,                 84517,                271033,,                     -1,                271032,,                 90377,                180655,                180655,,,                -37528,                 -6284,                -31244,                -31244,                149411,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,,,,,,,
2851,2015年01月01日至2015年09月30日,,,             10945341,             10945341,                750270,,                 97115,             10097956,                224322,,                 10582,,                277184,               -264028,                106590,                 19323,                204439,                 16084,                359592,,                 13166,             10705618,,,              7132890,                331704,              6801186,,               -333188,,              3268987,,                    762,              9737747,,                161771,                 92186,                  1165,                255122,                712749,,                 -1901,                710848,,                162081,                548767,                548767,,,               -265631,                -24458,               -241173,               -241173,                307594,,                              0.98,,                              0.98,,,,,,,,,,,,,,,,,,,,,,
2851,2015年01月01日至2015年06月30日,,,              7539240,              7539240,                564170,,                201843,              6773227,                164378,,                  7186,,                206883,                 13353,                194060,                 19323,                -85868,                 10507,                358258,,                  2168,              7305217,,,              5140163,                235430,              4904733,,               -658865,,              2240449,,                  8303,              6494620,,                110301,                 63396,                    770,                174467,                636130,,                              0,                636130,,                142603,                493527,                493527,,,                 63427,                 -3926,                 67353,                 67353,                560880,,                              0.88,,                              0.88,,,,,,,,,,,,,,,,,,,,,,
2851,2015年01月01日至2015年03月31日,,,              4029068,              4029068,                314382,,                177740,              3536946,                 82423,,                  3527,,                 67364,                 43796,                105237,                 19323,                -38897,                  6209,                203032,,                    981,              3826909,,,              2843668,                122009,              2721659,,               -488399,,              1131516,,                  7086,              3371862,,                 55834,                 33945,                    171,                 89950,                365097,,                      1,                365098,,                 52226,                312872,                312872,,,                100955,                  2358,                 98597,                 98597,                411469,,                              0.56,,                              0.56,,,,,,,,,,,,,,,,,,,,,,
2851,2014年第3季,,,              3796426,              3796426,                168104,,               -195870,              3824192,                 56416,,                  3962,,                 69133,                -83882,                 73357,                              0,                 83425,                  4107,                146140,,                   -855,              4029855,,,              2358596,                 83070,              2275526,,                263039,,              1113690,,                  4456,              3656711,,                 57257,                 29332,                    981,                 87570,                285574,,                     55,                285629,,                 46059,                239570,                239570,,,                -72692,                    266,                -72958,                -72958,                166612,,                              0.43,,                              0.43,,,,,,,,,,,,,,,,,,,,,,
2851,2014年第2季,,,              4125890,              4125890,                249109,,                -17310,              3894091,                 83294,,                  4430,,                 95669,                 66200,                 28825,                              0,                -81634,                  4177,                113237,,                    571,              4095623,,,              2548478,                113984,              2434494,,                 46332,,              1257088,,                              0,              3737914,,                 72266,                 27261,                    154,                 99681,                258028,,                     63,                258091,,                 15660,                242431,                242431,,,                108478,                 10257,                 98221,                 98221,                340652,,                              0.43,,                              0.43,,,,,,,,,,,,,,,,,,,,,,
2851,2014年度,,,             16349868,             16349868,              1085426,,               -242733,             15507175,                302102,,                 15986,,                315125,               -147280,                 83807,,                186375,                 17286,                455313,,                  2987,             16283563,,,             10054640,                420859,              9633781,,                489562,,              4781683,,                  2391,             14907417,,                258914,                114787,                  1433,                375134,              1001012,,                     -1,,,                130137,                870874,                870874,,,                264419,,,                227224,              1098098,,                              1.55,,                              1.55,                              0,              1001011,,                 -5757,                258662,                 31438,,,,,,,,,,,,,,,,
2851,2014年01月01日至2014年09月30日,,,             12379401,             12379401,                811037,,                -86535,             11654899,                223694,,                 12345,,                236913,                -50490,                114994,                              0,                 33272,                 13710,                348399,,                  2542,             12241879,,,              7526109,                321493,              7204616,,                324345,,              3614248,,                  4920,             11148129,,                200077,                 86504,                  1199,                287780,                805970,,                    139,                806109,,                 99973,                706136,                706136,,,                -11111,                  6854,                -17965,                -17965,                688171,,                              1.26,,                              1.26,,,,,,,,,,,,,,,,,,,,,,
2851,2014年01月01日至2014年06月30日,,,              8582975,              8582975,                642933,,                109335,              7830707,                167278,,                  8383,,                167780,                 33392,                 41637,                              0,                -50153,                  9603,                202259,,                  3397,              8212024,,,              5167513,                238423,              4929090,,                 61306,,              2500558,,                    464,              7491418,,                142820,                 57172,                    218,                200210,                520396,,                     84,                520480,,                 53914,                466566,                466566,,,                 61581,                  6588,                 54993,                 54993,                521559,,                              0.83,,                              0.83,,,,,,,,,,,,,,,,,,,,,,
