證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益,　　 推銷費用,　　　 推銷費用合計,　　 其他費用,　 停業單位損益,　　 停業單位損益合計,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4108,2015年度,,                 20978,,,                 18274,                 18274,                  2704,                              0,                              0,                  2704,,,                 93885,,                175269,                269154,,                              0,               -266450,,,                 31976,,                 -2699,,                              0,,                              0,,                              0,,                              0,                 29277,               -237173,,                  4989,               -242162,               -242162,,,                  1553,                  1553,,                  1950,                -22928,                -20978,                -19425,               -261587,,               -203500,                -38662,,               -222925,                -38662,,                             -1.24,,                             -1.24,,,,,,,,,,,,,,,,,
4108,2014年第3季,,                 28192,,,,                 27168,                  1024,                              0,                              0,                  1024,,,                 30119,,                 42716,                 72835,,                              0,                -71811,,,                 12538,,                -26474,,                              0,,                              0,,                              0,,                              0,                -13936,                -85747,,                              0,                -85747,                -85747,,,,,,,,,                -28964,               -114711,,                -77732,                 -8015,,               -106696,                 -8015,,                             -0.48,,                             -0.48,                    -54,                -28910,                              0,,,,,,,,,,,,,,
4108,2014年第2季,,                 27794,,,,                 27596,                    198,                              0,                              0,                    198,,,                 11255,,                111795,                123050,,                              0,               -122852,,,                  4180,,                    462,,                              0,,                              0,,                              0,,                              0,                  4642,               -118210,,                              0,               -118210,               -118210,,,,,,,,,                 14015,               -104195,,               -113020,                 -5190,,                -99005,                 -5190,,                             -0.69,,                             -0.69,                     58,                 13957,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2014年度,,                 90732,,,                 88889,                 88889,                  1843,                              0,                              0,                  1843,,,                 84163,,                263380,                347543,,                              0,               -345700,,,                 26626,,                -28186,,                              0,,                              0,,                              0,,                              0,                 -1560,               -347260,,                     24,               -347284,               -347284,,,                 -1313,                 -1313,,                    -27,                 -2991,                 -3018,                 -4331,               -351615,,               -321702,                -25582,,               -326033,                -25582,,                             -1.97,,                             -1.97,,,,,,,,,,,,,,,,,
4108,2014年01月01日至2014年09月30日,,                 83576,,,,                 81382,                  2194,                              0,                              0,                  2194,,,                 58216,,                181582,                239798,,                              0,               -237604,,,                 20455,,                -25992,,                              0,,                              0,,                              0,,                              0,                 -5537,               -243141,,                     24,               -243165,               -243165,,,,,,,,,                -13017,               -256182,,               -225580,                -17585,,               -238597,                -17585,,                             -1.38,,                             -1.38,                    -57,                -12960,                              0,,,,,,,,,,,,,,
4108,2014年01月01日至2014年06月30日,,                 55384,,,,                 54214,                  1170,                              0,                              0,                  1170,,,                 28097,,                138866,                166963,,                              0,               -165793,,,                  7917,,                    482,,                              0,,                              0,,                              0,,                              0,                  8399,               -157394,,                     24,               -157418,               -157418,,,,,,,,,                 15947,               -141471,,               -147848,                 -9570,,               -131901,                 -9570,,                             -0.90,,                             -0.90,                     -3,                 15950,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2014年01月01日至2014年03月31日,,                 27590,,,,                 26618,                    972,                              0,                              0,                    972,,,                 16842,,                 27071,                 43913,,,                -42941,,,                  3737,,                     20,,                              0,,                              0,,                              0,,,                  3757,                -39184,,                     24,                -39208,                -39208,,,,,,,,,                  1932,                -37276,,                -34828,                 -4380,,                -32896,                 -4380,,                             -0.21,,                             -0.21,                    -61,                  1993,                              0,,,,,,,,,,,,,,
4108,2013年第3季,,                 26158,,,,                 28921,                 -2763,                              0,                              0,                 -2763,,,                 16523,,                 36419,                 52942,,                              0,                -55705,,,                  9899,,                    427,,                              0,,                              0,,                              0,,                              0,                 10326,                -45379,,                              0,                -45379,                -45379,,,,,,,,,                -14705,                -60084,,                -43485,                 -1894,,                -58190,                 -1894,,                             -0.27,,                             -0.27,                     24,                -14729,                              0,,,,,,,,,,,,,,
4108,2013年第2季,,                 46760,,,,                 47066,                   -306,                              0,                              0,                   -306,,,                 12999,,                 21133,                 34132,,                              0,                -34438,,,                  5268,,                   -385,,                              0,,                              0,,                              0,,                              0,                  4883,                -29555,,                              0,                -29555,                -29555,,,,,,,,,                  4143,                -25412,,                -28980,                   -575,,                -24837,                   -575,,                             -0.18,,                             -0.18,                     -7,                  4150,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0
4108,2013年07月01日至2013年09月30日,,                 26158,,,,                 28921,                 -2763,                              0,                              0,                 -2763,,,                 16523,,                 36419,                 52942,,                              0,                -55705,,,                  9899,,                    427,,,,,,                              0,,,                 10326,                -45379,,                              0,                -45379,                -45379,,,,,,,,,                -14705,                -60084,,                -43485,                 -1894,,                -58190,                 -1894,,                             -0.27,,                             -0.27,                     24,                -14729,                              0,,,,,,,,,,,,,,
