證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
6289,2015年第3季,,                 33248,,                 93449,                -60201,                -60201,,,                  1261,,                 13152,,                  4285,                 18698,                -78899,,,                  6099,,                  3690,,                  3557,,                  6300,                 12532,                -66367,,                              0,                -66367,,                              0,                -66367,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 10854,                    246,                 11100,                 11100,                -55267,,                -66367,                              0,,                -55267,                              0,,                             -0.25,                              0.00,                             -0.25,,,,,
6289,2015年第2季,,                 33876,,                101952,                -68076,                -68076,,,                  5046,,                 21014,,                  2443,                 28503,                -96579,,,                  5522,,                 26087,,                  3964,,                  7807,                 35452,                -61127,,                              0,                -61127,,                              0,                -61127,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 -4221,                    245,                 -3976,                 -3976,                -65103,,                -61127,                              0,,                -65103,                              0,,                             -0.23,                              0.00,                             -0.23,,,,,
6289,2015年01月01日至2015年09月30日,,                 91437,,                291460,               -200023,               -200023,,,                  8064,,                 48093,,                 10906,                 67063,               -267086,,,                 19127,,                 60074,,                 11800,,                 25652,                 93053,               -174033,,                              0,               -174033,,                              0,               -174033,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                  4258,                    577,                  4835,                  4835,               -169198,,               -174033,                              0,,               -169198,                              0,,                             -0.65,                              0.00,                             -0.65,,,,,
6289,2015年01月01日至2015年06月30日,,                 58189,,                198011,               -139822,               -139822,,,                  6803,,                 34941,,                  6621,                 48365,               -188187,,,                 13028,,                 56384,,                  8243,,                 19352,                 80521,               -107666,,                              0,               -107666,,                              0,               -107666,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 -6596,                    331,                 -6265,                 -6265,               -113931,,               -107666,                              0,,               -113931,                              0,,                             -0.40,                              0.00,                             -0.40,,,,,
6289,2015年01月01日至2015年03月31日,,                 24313,,                 96059,                -71746,                -71746,,,                  1757,,                 13927,,                  4178,                 19862,                -91608,,,                  7506,,                 30297,,                  4279,,                 11545,                 45069,                -46539,,                              0,                -46539,,                              0,                -46539,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 -2375,                     86,                 -2289,                 -2289,                -48828,,                -46539,                              0,,                -48828,                              0,,                             -0.17,                              0.00,                             -0.17,,,,,
6289,2014年第3季,,                 49350,,                129212,                -79862,                -79862,,,                  2326,,                 19400,,                  3011,                 24737,               -104599,,,                  7729,,                 11837,,                  3143,,                  9950,                 26373,                -78226,,                              0,                -78226,,                              0,                -78226,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 11503,                    -12,                 11491,                 11491,                -66735,,                -78226,                              0,,                -66735,                              0,,                             -0.29,                              0.00,                             -0.29,,,,,
6289,2014年第2季,,                 56776,,                 99527,                -42751,                -42751,,,                  2295,,                 22271,,                  3310,                 27876,                -70627,,,                  5961,,                 50069,,                  3122,,                  8338,                 61246,                 -9381,,                              0,                 -9381,,                              0,                 -9381,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                 -8216,                              0,                 -8216,                 -8216,                -17597,,                 -9381,                              0,,                -17597,                              0,,                             -0.03,                              0.00,                             -0.03,,,,,
6289,2014年第1季,,                 64461,,                134807,                -70346,                -70346,,,                  2968,,                 18390,,                  2219,                 23577,                -93923,,,                 11772,,                 17773,,                  2819,,                 13346,                 40072,                -53851,,                              0,                -53851,,                              0,                -53851,,,,,,,,,,,,,,,,                 -1512,                -55363,,                -53851,                              0,,                -55363,                              0,,                             -0.20,                              0.00,                             -0.20,                 -1512,,,,                              0
6289,2014年度,,                199751,,                521717,               -321966,               -321966,,,                  9740,,                 77830,,                 10654,                 98224,               -420190,,,                 33438,,                -82326,,                 11794,,                 62522,                  1840,               -418350,,                              0,               -418350,,                              0,               -418350,,,,,,,,,,,,,,,,                 15804,               -402546,,               -418350,                              0,,               -402546,                              0,,                             -1.55,                              0.00,                             -1.55,                 10098,                    133,                  5919,,                   -346
6289,2014年01月01日至2014年09月30日,,                170587,,                363546,               -192959,               -192959,,,                  7589,,                 60061,,                  8540,                 76190,               -269149,,,                 25462,,                 79679,,                  9084,,                 31634,                127691,               -141458,,                              0,               -141458,,                              0,               -141458,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                  1775,                    -12,                  1763,                  1763,               -139695,,               -141458,                              0,,               -139695,                              0,,                             -0.53,                              0.00,                             -0.53,,,,,
