證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損損失,　　　　　 承受擔保品減損損失,　　　　　 資產減損損失合計,　　　　 資產減損（損失）迴轉利益淨額,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法之投資處分利益,　　　　　 採用權益法認列之關聯企業及合資利益之份額合計,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 其他利息以外收益,　　　　 其他利息以外損失,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　　 其他什項損益,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　　 其他什項損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益
2847,2015年第3季,,,,              2352578,,                908783,              1443795,,,                787641,,               -857959,,                 44386,,                 82190,,,                              0,                              0,                              0,,,                              0,                              0,                              0,,                 33033,                              0,                 33033,                 89291,              1533086,,                    -39,,,                962094,,                 90537,,                666962,              1719593,,               -186468,               -155675,               -342143,,               -186468,               -155675,               -342143,,,                    856,                    856,,                 42093,                -53501,                    179,                 -7345,                -18574,                -17718,,               -196841,               -163020,               -359861,,               -305744,                -36399,,               -333950,                -25911,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,,,,,,,
2847,2015年第2季,,,,              2320626,,                923206,              1397420,,,                814776,,                458283,,                 27692,,                 42304,,,                              0,                              0,                              0,,,                   -937,                   -937,                   -937,,                  2291,,                  2291,              1344409,              2741829,,                    242,,,                969769,,                 92949,,                595367,              1658085,,              1083502,               -169109,                914393,,              1083502,               -169109,                914393,,,                     80,                     80,,                   -470,                -94752,                    514,                      7,                -94701,                -94621,,                988874,               -169102,                819772,,                888804,                 25589,,                803979,                 15793,,,                              0.32,,,                              0.25,,,,,,,,,,,,,,,
2847,2015年第1季,,,,              2350009,,                945002,              1405007,,,                760882,,                277039,,                 25983,,                 54836,,,,,,,,                  5561,                  5561,                  5561,,                  7635,,                  7635,              1131936,              2536943,,                 61291,,,                964622,,                 94328,,                602774,              1661724,,                813928,               -130722,                683206,,                813928,               -130722,                683206,,,                    444,                    444,,                -64549,                 80983,                    320,                 10939,                 27693,                 28137,,                831126,               -119783,                711343,,                655590,                 27616,,                679309,                 32034,,,                              0.26,,,                              0.21,,                              0,,,,,,,,,,,,,
2847,2015年01月01日至2015年09月30日,,,,              7023213,,              2776991,              4246222,,,              2363299,,               -122637,,                 98061,,                179330,,,                              0,                              0,                              0,,,                  4624,                  4624,                  4624,,                 42959,                              0,                 42959,              2565636,              6811858,,                 61494,,,              2896485,,                277814,,              1865103,              5039402,,              1710962,               -455506,              1255456,,              1710962,               -455506,              1255456,,,                  1380,                  1380,,                -22926,                -67270,                  1013,                  3601,                -85582,                -84202,,              1623159,               -451905,              1171254,,              1238650,                 16806,,              1149338,                 21916,,                              0.45,                              0.45,,                              0.44,                              0.44,,,,,,,,,,,,,,,
2847,2015年01月01日至2015年06月30日,,,,              4670635,,              1868208,              2802427,,,              1575658,,                735322,,                 53675,,                 97140,,,                              0,                              0,                              0,,,                  4624,                  4624,                  4624,,                  9926,,                  9926,              2476345,              5278772,,                 61533,,,              1934391,,                187277,,              1198141,              3319809,,              1897430,               -299831,              1597599,,              1897430,               -299831,              1597599,,,                    524,                    524,,                -65019,                -13769,                    834,                 10946,                -67008,                -66484,,              1820000,               -288885,              1531115,,              1544394,                 53205,,              1483288,                 47827,,,                              0.56,,,                              0.44,,,,,,,,,,,,,,,
2847,2014年第3季,,,,              2423444,,              1012094,              1411350,,,                799468,,                312298,,                 47850,,                 49299,,,                  1765,                  1765,                 -1765,,,                              0,                              0,                              0,,                 28507,                127182,                -98675,              1108475,              2519825,,                 89742,,,                947923,,                 92917,,                607772,              1648612,,                781471,               -126871,                654600,,                781471,               -126871,                654600,,,                              0,                              0,,                 18397,                -13404,                    639,                 -3313,                  2319,                  2319,,                787103,               -130184,                656919,,                689224,                -34624,,                689226,                -32307,,                              0.25,                              0.25,,                              0.22,                              0.22,,,,,,,,,,,,,,,
2847,2014年第2季,,,,              2374140,,              1074360,              1299780,,,                710977,,                327411,,                 62839,,                 41239,,,                -10240,                -10240,                 10240,,,                              0,                              0,                              0,,                 29719,,                 29719,              1182425,              2482205,,                150156,,,                971912,,                 94817,,                524992,              1591721,,                740328,               -111354,                628974,,                740328,               -111354,                628974,,,                              0,                              0,,                -12573,                 -5977,                    605,                  2061,                -15884,                -15884,,                722383,               -109293,                613090,,                563801,                 65173,,                557741,                 55349,,,                              0.21,,,                              0.21,,,,,,,,,,,,,,,
2847,2014年第1季,,,,              2288873,,              1031912,              1256961,,,                685511,,                834813,,                 20253,,                 43699,,,,,,,,                              0,                              0,                              0,,                  8553,,                  8553,              1592829,              2849790,,                150000,,,                992428,,                 93063,,                509964,              1595455,,              1104335,               -146852,                957483,,              1104335,               -146852,                957483,,,                              0,                              0,,                 -1925,                 69995,                     21,                    324,                 68415,                 68415,,              1172426,               -146528,              1025898,,                868941,                 88542,,                940391,                 85507,,,                              0.34,,,                              0.28,,                              0,,,,,,,,,,,,,
2847,2014年度,,,,              9483766,,              4097623,              5386143,,,              2902314,,              1714361,,                131933,,                193280,,,                 -8475,                 -8475,                  8475,,,,,,,                 82066,                127182,                -45116,              4905247,             10291390,,                481951,,,              3847453,,                380144,,              2309384,              6536981,,              3272458,               -505519,              2766939,,              3272458,               -505519,              2766939,,,,,,,,,,,,,              3330264,               -506872,,,              2635095,                131844,,              2698162,                125230,,,                              1.04,,,                              0.89,,                              0,,                 82066,                127182,                -45116,                 54139,                 49979,                  1270,                -47582,                 -1353,                 56453,              2823392,,
2847,2014年01月01日至2014年09月30日,,,,              7086457,,              3118366,              3968091,,,              2195956,,              1474522,,                130942,,                134237,,,                 -8475,                 -8475,                  8475,,,                              0,                              0,                              0,,                 66779,                127182,                -60403,              3883729,              7851820,,                389898,,,              2912263,,                280797,,              1642728,              4835788,,              2626134,               -385077,              2241057,,              2626134,               -385077,              2241057,,,                              0,                              0,,                  3899,                 50614,                  1265,                   -928,                 54850,                 54850,,              2681912,               -386005,              2295907,,              2121966,                119091,,              2187358,                108549,,                              0.77,                              0.77,,                              0.67,                              0.67,,,,,,,,,,,,,,,
