證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
3015,2014年01月01日至2014年03月31日,,,,              3512987,              3512987,                 16052,                  8387,              3488548,              3488548,,              3025788,                462760,                    224,                462536,,,                190935,,                151964,,                103979,                446878,                 15658,,,                 67668,,                 48059,,                  1031,,                    422,                115118,                130776,,                 40564,                 90212,,                              0,                 90212,,,                 -6266,                396841,                390575,                390575,                480787,,                102662,                -12450,,                494403,                -13616,,                              0.44,,                              0.43,,,,,,,
3015,2013年第3季,,,,              4015488,              4015488,                 15496,                  8969,              3991023,              3991023,,              3427922,                563101,                   -885,                563986,,,                229506,,                150382,,                103929,                483817,                 80169,,,                 86532,,                 -8220,,                  1107,,                    236,                 77441,                157610,,                 46222,                111388,,                              0,                111388,,,,,,                 -1653,                109735,,                112220,                   -832,,                111425,                 -1690,,                              0.49,,                              0.48,,,                -25207,                 23554,,,
3015,2013年第2季,,,,              4029920,              4029920,                  5940,                 13182,              4010798,              4010798,,              3368528,                642270,                   -335,                642605,,,                205809,,                136747,,                102656,                445212,                197393,,,                 41727,,                 16066,,                    973,,                   -155,                 56665,                254058,,                 57512,                196546,,                              0,                196546,,,,,,                 45826,                242372,,                197080,                   -534,,                231536,                 10836,,                              0.85,,                              0.84,,                              0,                 45826,                              0,,,
3015,2013年度,,,,             15460374,             15460374,                 41719,                 47034,             15371621,             15371621,,             13138848,              2232773,                   -772,              2233545,,,                831974,,                579281,,                422338,              1833593,                399952,,,                242858,,                 13778,,                  4240,,                    369,                252765,                652717,,                155305,                497412,,                              0,                497412,,,,,,                453423,                950835,,                494549,                  2863,,                936958,                 13877,,                              2.14,,                              2.11,,,                118392,                325554,                  9477,                              0,
3015,2013年07月01日至2013年09月30日,,,,              4015488,              4015488,                 15496,                  8969,              3991023,              3991023,,              3427922,                563101,                   -885,                563986,,,                229506,,                150382,,                103929,                483817,                 80169,,,                 86532,,                 -8220,,                  1107,,                    236,                 77441,                157610,,                 46222,                111388,,                              0,                111388,,,,,,                 -1653,                109735,,                112220,                   -832,,                111425,                 -1690,,                              0.49,,                              0.48,,,                -25207,                 23554,,,
3015,2013年04月01日至2013年06月30日,,,,              4029920,              4029920,                  5940,                 13182,              4010798,              4010798,,              3352222,                658576,                   -335,                658911,,,                205809,,                153053,,                102656,                461518,                197393,,,                 41727,,                 16066,,                    973,,                   -155,                 56665,                254058,,                 57512,                196546,,                              0,                196546,,,,,,                 45826,                242372,,                197080,                   -534,,                231536,                 10836,,                              0.85,,                              0.84,,                              0,                 45826,,,,
3015,2013年01月01日至2013年12月31日,,,,             15460374,             15460374,                 41719,                 47034,             15371621,             15371621,,             13138848,              2232773,                   -772,              2233545,,,                831974,,                579281,,                422338,              1833593,                399952,,,                242858,,                 13778,,                  4240,,                    369,                252765,                652717,,                155305,                497412,,                              0,                497412,,,,,,                453423,                950835,,                494549,                  2863,,                936958,                 13877,,                              2.14,,                              2.11,,,                118392,                325554,                  9477,                              0,
3015,2013年01月01日至2013年09月30日,,,,             11693731,             11693731,                 40754,                 32242,             11620735,             11620735,,              9882605,              1738130,                   -749,              1738879,,,                629348,,                427195,,                311174,              1367717,                371162,,,                168427,,                  6154,,                  3217,,                   -117,                171247,                542409,,                144380,                398029,,                              0,                398029,,,,,,                107501,                505530,,                398274,                   -245,,                495487,                 10043,,                              1.73,,                              1.70,,,                 83947,                 23554,,,
3015,2013年01月01日至2013年06月30日,,,,              7678243,              7678243,                 25258,                 23273,              7629712,              7629712,,              6454683,              1175029,                    136,              1174893,,,                399842,,                276813,,                207245,                883900,                290993,,,                 81895,,                 14374,,                  2110,,                   -353,                 93806,                384799,,                 98158,                286641,,                              0,                286641,,,,,,                109154,                395795,,                286054,                    587,,                384062,                 11733,,                              1.24,,                              1.22,,                              0,                109154,                              0,,,
3015,2013年01月01日至2013年03月31日,,,,              3648323,              3648323,                 19318,                 10091,              3618914,              3618914,,              3086155,                532759,                    471,                532288,,,                194033,,                140066,,                104589,                438688,                 93600,,,                 40168,,                 -1692,,                  1137,,                   -198,                 37141,                130741,,                 40646,                 90095,,                              0,                 90095,,,,,,                 63328,                153423,,                 88974,                  1121,,                152526,                    897,,                              0.39,,                              0.38,,,                 63328,                              0,,                              0,
3015,2012年07月01日至2012年09月30日,,,,              4191980,              4191980,                 23322,                 13527,              4155131,              4155131,,              3509802,                645329,                  5328,                640001,,,                209868,,                123058,,                 98623,                431549,                208452,,,                 62781,,                -16721,,                    828,,                   -361,                 44871,                253323,,                 87115,                166208,,                              0,                166208,,,,,,                123551,                289759,,                160765,                  5443,,                282011,                  7748,,                              0.70,,                              0.69,,,                -21560,                145111,,,
3015,2012年04月01日至2012年06月30日,,,,              4284820,              4284820,                 14621,                 20200,              4249999,              4249999,,              3563273,                686726,                    610,                686116,,,                220279,,                163685,,                110273,                494237,                191879,,,                 52543,,                  4854,,                    752,,                    600,                 57245,                249124,,                 54364,                194760,,                              0,                194760,,,,,,                 21385,                216145,,                184776,                  9984,,                205162,                 10983,,                              0.81,,                              0.79,,                              0,                 21385,,,,
3015,2012年01月01日至2012年12月31日,,,,             16632200,             16632200,                 59579,                 60697,             16511924,             16511924,,             14042624,              2469300,                   -542,              2469842,,,                821939,,                562208,,                428851,              1812998,                656844,,,                206670,,                -34175,,                  3274,,                    296,                169517,                826361,,                236863,                589498,,                              0,                589498,,,,,,                 90332,                679830,,                563977,                 25521,,                656460,                 23370,,                              2.46,,                              2.42,,,                -69899,                162777,                 -3067,                   -521,
3015,2012年01月01日至2012年09月30日,,,,             12679065,             12679065,                 60422,                 46459,             12572184,             12572184,,             10641104,              1931080,                  5725,              1925355,,,                626700,,                411987,,                311056,              1349743,                575612,,,                148792,,                -19382,,                  2685,,                    230,                126955,                702567,,                192894,                509673,,                              0,                509673,,,,,,                 79012,                588685,,                482486,                 27187,,                562823,                 25862,,                              2.11,,                              2.07,,,                -66099,                145111,,,
3015,2012年01月01日至2012年06月30日,,,,              8487085,              8487085,                 37100,                 32932,              8417053,              8417053,,              7131302,              1285751,                    397,              1285354,,,                416832,,                288929,,                212433,                918194,                367160,,,                 86011,,                 -2661,,                  1857,,                    591,                 82084,                449244,,                105779,                343465,,                              0,                343465,,,,,,                -44539,                298926,,                321721,                 21744,,                280812,                 18114,,                              1.40,,                              1.37,,                              0,                -44539,,,,
3015,2012年01月01日至2012年03月31日,,,,,              4202265,                 22479,                 12732,              4167054,              4167054,,              3568029,                599025,                   -213,                599238,,,                196553,,                125244,,                102160,                423957,                175281,,,                 33468,,                 -7515,,                  1105,,                     -9,                 24839,                200120,,                 51415,                148705,,,                148705,,,,,,                -65924,                 82781,,                136945,                 11760,,                 75651,                  7130,,                              0.60,,                              0.59,,,                -65924,,,,                 51415
