證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 不重分類至損益之其他項目,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2439,2015年第3季,,              3325126,,              2653873,                671253,,,                671253,,,                 76680,,                173290,,                168236,                418206,                253047,,,                 24477,,                 38767,,                  5083,,                   -519,                 57642,                310689,,                 50433,                260256,                260256,,,                              0,,                              0,                              0,                              0,,                258457,                -35676,,                              0,                 39624,                183157,                183157,                443413,,                255056,                  5200,,                421987,                 21426,,                              1.38,,                              1.32,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
2439,2015年第2季,,              2613940,,              2209224,                404716,,,                404716,,,                 61849,,                151489,,                152490,                365828,                 38888,,,                 20387,,                -28763,,                  7022,,                 -3991,                -19389,                 19499,,                 -9222,                 28721,                 28721,,,                              0,,                              0,                              0,                              0,,                -88042,                 18382,,                              0,                -12685,                -56975,                -56975,                -28254,,                 28210,                    511,,                -15105,                -13149,,                              0.15,,                              0.15,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,
2439,2015年第1季,,              2708332,,              2198602,                509730,,,                509730,,,                 66607,,                162548,,                157028,                386183,                123547,,,                 18962,,                -36451,,                  4042,,                 -3173,                -24704,                 98843,,                 27377,                 71466,                 71466,,,                              0,,                              0,                              0,                              0,,                -32664,                 18196,,                              0,                 -4022,                -10446,                -10446,                 61020,,                 65139,                  6327,,                 50260,                 10760,,                              0.35,,                              0.35,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,
2439,2015年度,,             12240234,,              9845348,              2394886,                              0,                              0,              2394886,,,                269806,,                631924,,                640642,              1542372,                852514,,,                 62551,,                -42424,,                 23614,,                -35727,                -39214,                813300,,                148074,                665226,                665226,,,                 -3347,,                              0,                   -569,                 -2778,,                 52279,                  9428,,                   -406,                  7639,                 53662,                 50884,                716110,,                641305,                 23921,,                690386,                 25724,,                              3.48,,                              3.34,,,,,,,,,,,,,,,,
2439,2015年01月01日至2015年09月30日,,              8644586,,              7061699,              1582887,,,              1582887,,,                205065,,                487398,,                477754,              1170217,                412670,,,                 66638,,                -26447,,                 16147,,                 -7683,                 16361,                429031,,                 68588,                360443,                360443,,,                              0,,                              0,                              0,                              0,,                137751,                    902,,                              0,                 22917,                115736,                115736,                476179,,                348405,                 12038,,                457142,                 19037,,                              1.88,,                              1.82,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
2439,2015年01月01日至2015年06月30日,,              5319460,,              4407826,                911634,,,                911634,,,                128456,,                314037,,                309518,                752011,                159623,,,                 42161,,                -65214,,                 11064,,                 -7164,                -41281,                118342,,                 18155,                100187,                100187,,,                              0,,                              0,                              0,                              0,,               -120706,                 36578,,                              0,                -16707,                -67421,                -67421,                 32766,,                 93349,                  6838,,                 35155,                 -2389,,                              0.50,,                              0.50,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,
2439,2014年第3季,,              3464156,,              2630003,                834153,,,                834153,,,                 65444,,                150677,,                162968,                379089,                455064,,,                 25174,,                  9900,,                    170,,                  4316,                 39220,                494284,,                 87604,                406680,                406680,,,                              0,,                              0,                              0,                              0,,                 89298,                    261,,                              0,                 15156,                 74403,                 74403,                481083,,                397573,                  9107,,                471281,                  9802,,                              2.15,,                              2.14,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
2439,2014年第2季,,              2926561,,              2198321,                728240,,,                728240,,,                 56335,,                133692,,                162960,                352987,                375253,,,                 22033,,                -25644,,                    381,,                  4189,                    197,                375450,,                 76549,                298901,                298901,,,                              0,,                              0,                              0,                              0,,                -64975,                    419,,                              0,                 -8308,                -56248,                -56248,                242653,,                288708,                 10193,,                230787,                 11866,,                              1.56,,                              1.56,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,
2439,2014年第1季,,              2662575,,              2055960,                606615,,,                606615,,,                 47319,,                117645,,                140611,                305575,                301040,,,                 15526,,                 21507,,                    941,,                    764,                 36856,                337896,,                 53220,                284676,                284676,,,                              0,,                              0,                              0,                              0,,                  1544,                 -8487,,                     49,                 -1247,                 -5647,                 -5647,                279029,,                274391,                 10285,,                268524,                 10505,,                              1.48,,                              1.48,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,
2439,2014年度,,             12315998,,              9344147,              2971851,                              0,                              0,              2971851,,,                266382,,                570187,,                696262,              1532831,              1439020,,,                 88081,,                 31812,,                  1609,,                  2110,                120394,              1559414,,                280874,              1278540,              1278540,,,                 -7429,,                    779,                 -1263,                 -5387,,                161000,                 -9003,,                     49,                 26935,                125111,                119724,              1398264,,              1244271,                 34269,,              1359689,                 38575,,                              6.72,,                              6.70,,,,,,,,,,,,,,,,
