證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益
2397,2015年第3季,,                774510,,                524329,                250181,                250181,,,                 59198,,                 38725,,                 50182,                148105,                102076,,,                  3846,,                 40708,,                              0,                 44554,                146630,,                 26447,                120183,                120183,,,                 29414,                 29414,                 29414,                149597,,                120183,                              0,,                149597,                              0,,                              1.05,,                              1.04,,,,,,,,
2397,2015年第2季,,                870126,,                620951,                249175,                249175,,,                 60100,,                 30294,,                 47462,                137856,                111319,,,                  5880,,                 -1751,,                              0,                  4129,                115448,,                 24951,                 90497,                 90497,,,                 -7036,                 -7036,                 -7036,                 83461,,                 90497,                              0,,                 83461,                              0,,                              0.79,,                              0.78,,,,,,,,
2397,2015年01月01日至2015年09月30日,,              2348451,,              1616148,                732303,                732303,,,                175740,,                100053,,                144606,                420399,                311904,,,                 12434,,                 30519,,                              0,                 42953,                354857,,                 71280,                283577,                283577,,,                 14584,                 14584,                 14584,                298161,,                283577,                              0,,                298161,                              0,,                              2.48,,                              2.45,,,,,,,,
2397,2015年01月01日至2015年06月30日,,              1573941,,              1091819,                482122,                482122,,,                116542,,                 61328,,                 94424,                272294,                209828,,,                  8588,,                -10189,,                              0,                 -1601,                208227,,                 44833,                163394,                163394,,,                -14830,                -14830,                -14830,                148564,,                163394,                              0,,                148564,                              0,,                              1.43,,                              1.42,,,,,,,,
2397,2015年01月01日至2015年03月31日,,                703815,,                470868,                232947,                232947,,,                 56442,,                 31034,,                 46962,                134438,                 98509,,,                  2708,,                 -8438,,                              0,                 -5730,                 92779,,                 19882,                 72897,                 72897,,,                 -7794,                 -7794,                 -7794,                 65103,,                 72897,                              0,,                 65103,                              0,,                              0.64,,                              0.63,,,,,,,,
2397,2014年第3季,,                645643,,                436113,                209530,                209530,,,                 52692,,                 26873,,                 41351,                120916,                 88614,,,                  3491,,                 19505,,                     63,                 22933,                111547,,                 26041,                 85506,                 85506,,,                 -5110,                 -5110,                 -5110,                 80396,,                 85506,                              0,,                 80396,                              0,,                              0.75,,                              0.74,,,,,,,,
2397,2014年第2季,,                653522,,                431268,                222254,                222254,,,                 59423,,                 27467,,                 40579,                127469,                 94785,,,                  3588,,                 -8186,,                     72,                 -4670,                 90115,,                 15878,                 74237,                 74237,,,                 -5346,                 -5346,                 -5346,                 68891,,                 74237,                              0,,                 68891,                              0,,                              0.65,,                              0.64,,,,,,,,
2397,2014年度,,              2627071,,              1766119,                860952,                860952,,,                229406,,                113376,,                160205,                502987,                357965,,,                 12910,,                 49610,,                    284,                 62236,                420201,,                 82910,                337291,                337291,,,,,                 -6833,                330458,,                337291,                              0,,                330458,                              0,,                              2.95,,                              2.91,                 -1862,                 -5989,                  1018,,,,,
2397,2014年01月01日至2014年09月30日,,              1951242,,              1317188,                634054,                634054,,,                168471,,                 84152,,                117702,                370325,                263729,,,                 10028,,                 19295,,                    217,                 29106,                292835,,                 57084,                235751,                235751,,,                 -2902,                 -2902,                 -2902,                232849,,                235751,                              0,,                232849,                              0,,                              2.05,,                              2.03,,,,,,,,
2397,2014年01月01日至2014年06月30日,,              1305599,,                881075,                424524,                424524,,,                115779,,                 57279,,                 76351,                249409,                175115,,,                  6537,,                   -210,,                    154,                  6173,                181288,,                 31043,                150245,                150245,,,                  2208,                  2208,                  2208,                152453,,                150245,                              0,,                152453,                              0,,                              1.31,,                              1.30,,,,,,,,
