證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出
1338,2015年第3季,,,,              2101583,                 22319,                  3014,              2076250,              2076250,,              1590233,                486017,                486017,,,                 65263,,                143448,,                 59400,                268111,                217906,,,                  8051,,                 11586,,                  5656,                  5656,,                  2099,                 16080,                233986,,                 53620,                180366,                180366,,,                249008,                              0,                249008,,                -11731,                              0,                -11731,                237277,                417643,,                179241,                  1125,,                415824,                  1819,,                              2.14,,                              2.13,,,,,,,,,,,,
1338,2015年第2季,,,,              2057786,                 31727,                 -1907,              2027966,              2027966,,              1559144,                468822,                468822,,,                 88844,,                113130,,                 48159,                250133,                218689,,,                  6061,,                 26050,,                  5342,                  5342,,                 -5310,                 21459,                240148,,                 49097,                191051,                191051,,,                -89312,                              0,                -89312,,                 -5176,                              0,                 -5176,                -94488,                 96563,,                191095,                    -44,,                 99573,                 -3010,,                              2.28,,                              2.27,,,,,,,,,,,,
1338,2015年01月01日至2015年09月30日,,,,              6119152,                 81889,                  4682,              6032581,              6032581,,              4609095,              1423486,              1423486,,,                221119,,                390112,,                152378,                763609,                659877,,,                 19484,,                 51225,,                 16017,                 16017,,                 -3372,                 51320,                711197,,                157458,                553739,                553739,,,                 98027,                              0,                 98027,,                -16907,                              0,                -16907,                 81120,                634859,,                552709,                  1030,,                636414,                 -1555,,                              6.59,,                              6.57,,,,,,,,,,,,
1338,2015年01月01日至2015年06月30日,,,,              4017569,                 59570,                  1668,              3956331,              3956331,,              3018862,                937469,                937469,,,                155856,,                246664,,                 92978,                495498,                441971,,,                 11433,,                 39639,,                 10361,                 10361,,                 -5471,                 35240,                477211,,                103838,                373373,                373373,,,               -150981,                              0,               -150981,,                 -5176,                              0,                 -5176,               -156157,                217216,,                373468,                    -95,,                220590,                 -3374,,                              4.45,,                              4.44,,,,,,,,,,,,
1338,2015年01月01日至2015年03月31日,,,,              1959783,                 27843,                  3575,              1928365,              1928365,,              1459718,                468647,                468647,,,                 67012,,                133534,,                 44819,                245365,                223282,,,                  5372,,                 13589,,,                  5019,,                   -161,                 13781,                237063,,                 54741,                182322,                182322,,,                -61669,                              0,                -61669,,,,,                -61669,                120653,,                182373,                    -51,,                121017,                   -364,,                              2.18,,                              2.17,,,,,,,,,,,,
1338,2014年第3季,,,,              2011278,                 24521,                 -4641,              1991398,              1991398,,              1523379,                468019,                468019,,,                 69428,,                124277,,                 58531,                252236,                215783,,,                  3543,,                 -8240,,                  6557,                  6557,,                   -519,                -11773,                204010,,                 56005,                148005,                148005,,,                170652,                              0,                170652,,                              0,                              0,                              0,                170652,                318657,,                148012,                     -7,,                317838,                    819,,                              1.75,,                              1.75,,,,,,,,,,,,
1338,2014年第2季,,,,              2212931,                 38757,                 -3493,              2177667,              2177667,,              1699465,                478202,                478202,,,                 77212,,                115310,,                 50797,                243319,                234883,,,                  8611,,                 -2751,,                  8373,                  8373,,                      9,                 -2504,                232379,,                 64543,                167836,                167836,,,                -87936,                              0,                -87936,,                              0,                              0,                              0,                -87936,                 79900,,                167230,                    606,,                 79784,                    116,,                              2.14,,                              2.14,,,,,,,,,,,,
1338,2014年度,,,,              8506444,                103611,                 -1403,              8404236,              8404236,,              6489038,              1915198,              1915198,,,                319394,,                487062,,                202017,              1008473,                906725,,,                 22339,,                 -9809,,                 26303,                 26303,,                 -3454,                -17227,                889498,,                256154,                633344,                633344,,,,,,,,,,                225284,                858628,,                632734,                    610,,                857024,                  1604,,                              7.78,,                              7.76,,              6489038,,                 19042,                  3297,                              0,                225284,                              0,,,,
1338,2014年01月01日至2014年09月30日,,,,              6171629,                 80955,                 -3345,              6094019,              6094019,,              4718689,              1375330,              1375330,,,                228287,,                365469,,                154770,                748526,                626804,,,                 16952,,                 -9805,,                 23814,                 23814,,                 -4211,                -20878,                605926,,                163502,                442424,                442424,,,                 56429,                              0,                 56429,,                              0,                              0,                              0,                 56429,                498853,,                441807,                    617,,                498039,                    814,,                              5.50,,                              5.49,,,,,,,,,,,,
1338,2014年01月01日至2014年06月30日,,,,              4160351,                 56434,                  1296,              4102621,              4102621,,              3195310,                907311,                907311,,,                158859,,                241192,,                 96239,                496290,                411021,,,                 13409,,                 -1565,,                 17257,                 17257,,                 -3692,                 -9105,                401916,,                107497,                294419,                294419,,,               -114223,                              0,               -114223,,                              0,                              0,                              0,               -114223,                180196,,                293795,                    624,,                180201,                     -5,,                              3.76,,                              3.76,,,,,,,,,,,,
1338,2014年01月01日至2014年03月31日,,,,              1947420,                 17677,                  4789,              1924954,              1924954,,              1495845,                429109,                429109,,,                 81647,,                125882,,                 45442,                252971,                176138,,,                  4798,,                  1186,,,                  8884,,                 -3701,                 -6601,                169537,,                 42954,                126583,                126583,,,                -26287,                              0,                -26287,,,,,                -26287,                100296,,                126565,                     18,,                100417,                   -121,,                              1.62,,                              1.62,,,,,,,,,,,,
1338,2013年第3季,,,,              1977540,                 30681,                    294,              1946565,              1946565,,              1486783,                459782,                459782,,,                 91650,,                122064,,                 84862,                298576,                161206,,,                  5985,,                    534,,,                  6620,,                    180,                     79,                161285,,                 36605,                124680,                124680,,,,,,,,,,                -49211,                 75469,,                124680,                              0,,                 75774,                   -305,,                              1.60,,                              1.59,,,,,,,                -49211,                              0,,,,
1338,2013年第2季,,,,              1683398,                 16678,                 10221,              1656499,              1656499,,              1322542,                333957,                333957,,,                 88158,,                106539,,                 67296,                261993,                 71964,,,                 17902,,                 19699,,,                  3943,,                  2464,                 36122,                108086,,                 17170,                 90916,                 90916,,,,,,,,,,                 73624,                164540,,                 89140,                  1776,,                162289,                  2251,,                              1.14,,                              1.14,,,,,,,                 73624,                              0,,,,
1338,2013年度,,,,              7424384,                 90288,                 21006,              7313090,              7313090,,              5702739,              1610351,              1610351,,,                352168,,                475612,,                269847,              1097627,                512724,,,                 37285,,                 78039,,                 22360,                 22360,,                  7231,                100195,                612919,,                152777,                460142,                460142,,,,,,,,,,                249249,                709391,,                458391,                  1751,,                706124,                  3267,,                              5.87,,                              5.86,,              5702739,,                 27625,                  9660,                              0,                249249,                              0,,,,
