證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
8443,2015年第3季,,                516061,,                218744,                297317,                297317,,,                245973,,                 39623,,                  1869,                287465,                  9852,,,                  3516,,                  4304,,                     69,                  7751,                 17603,,                  4800,                 12803,                 12803,,,                  4814,                  4814,                  4814,                 17617,,                 12803,                              0,,                 17617,                              0,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,
8443,2015年第2季,,                537038,,                230065,                306973,                306973,,,                254501,,                 31315,,                  2862,                288678,                 18295,,,                  3840,,                     37,,                     80,                  3797,                 22092,,                  5000,                 17092,                 17092,,,                 -1741,                 -1741,                 -1741,                 15351,,                 17092,                              0,,                 15351,                              0,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,
8443,2015年01月01日至2015年09月30日,,              1634662,,                710074,                924588,                924588,,,                759348,,                108853,,                  7309,                875510,                 49078,,,                 10662,,                  3040,,                    224,                 13478,                 62556,,                 14659,                 47897,                 47897,,,                  1771,                  1771,                  1771,                 49668,,                 47897,                              0,,                 49668,                              0,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,,,,
8443,2015年01月01日至2015年06月30日,,              1118601,,                491330,                627271,                627271,,,                513375,,                 69230,,                  5440,                588045,                 39226,,,                  7146,,                 -1264,,                    155,                  5727,                 44953,,                  9859,                 35094,                 35094,,,                 -3043,                 -3043,                 -3043,                 32051,,                 35094,                              0,,                 32051,                              0,,                              0.53,                              0.53,,                              0.52,                              0.52,,,,,,,
8443,2015年01月01日至2015年03月31日,,                581563,,                261265,                320298,                320298,,,                258874,,                 37915,,                  2578,                299367,                 20931,,,                  3306,,                 -1301,,                     75,                  1930,                 22861,,                  4859,                 18002,                 18002,,,                 -1302,                 -1302,                 -1302,                 16700,,                 18002,                              0,,                 16700,                              0,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,
8443,2014年第3季,,                635945,,                279956,                355989,                355989,,,                285833,,                 41671,,                  2890,                330394,                 25595,,,                  2742,,                  3079,,                     90,                  5731,                 31326,,                  5315,                 26011,                 26011,,,                  3084,                  3084,                  3084,                 29095,,                 26011,                              0,,                 29095,                              0,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,
8443,2014年第2季,,                613673,,                238597,                375076,                375076,,,                289449,,                 41890,,                  3252,                334591,                 40485,,,                  3898,,                 -3778,,                    106,                     14,                 40499,,                  7517,                 32982,                 32982,,,                 -1819,                 -1819,                 -1819,                 31163,,                 32982,                              0,,                 31163,                              0,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,
8443,2014年度,,              2643759,,              1158115,              1485644,              1485644,,,              1165770,,                167885,,                 10067,              1343722,                141922,,,                 20151,,                   -233,,                    487,                 19431,                161353,,                 29927,                131426,                131426,,,,,                  7205,                138631,,                126875,                  4551,,                134080,                  4551,,                              2.03,                              2.03,,                              2.03,                              2.03,                  5618,                  1912,                    325,,,,
8443,2014年01月01日至2014年09月30日,,              2097317,,                938601,              1158716,              1158716,,,                921787,,                126337,,                  7888,              1056012,                102704,,,                 14709,,                 -3412,,                    411,                 10886,                113590,,                 20547,                 93043,                 93043,,,                  1686,                  1686,                  1686,                 94729,,                 88492,                  4551,,                 90178,                  4551,,                              1.45,                              1.45,,                              1.45,                              1.45,,,,,,,
8443,2014年01月01日至2014年06月30日,,              1461372,,                658645,                802727,                802727,,,                635954,,                 84666,,                  4998,                725618,                 77109,,,                 11967,,                 -6491,,                    321,                  5155,                 82264,,                 15232,                 67032,                 67032,,,                 -1398,                 -1398,                 -1398,                 65634,,                 62481,                  4551,,                 61083,                  4551,,                              1.03,                              1.03,,                              1.03,                              1.03,,,,,,,
8443,2014年01月01日至2014年03月31日,,                847699,,                420048,                427651,                427651,,,                346505,,                 42776,,                  1746,                391027,                 36624,,,                  8069,,                 -2713,,                    215,                  5141,                 41765,,                  7715,                 34050,                 34050,,,                    421,                    421,                    421,                 34471,,                 29499,                  4551,,                 29920,                  4551,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,
8443,2013年第3季,,                788253,,                350385,                437868,                437868,,,                364055,,                 38699,,                  1353,                404107,                 33761,,,                  4020,,                 -8830,,                    157,                 -4967,                 28794,,                  6429,                 22365,                 22365,,,,,                   -960,                 21405,,                 21525,                    840,,                 20565,                    840,,                              0.36,                              0.36,,                              0.36,                              0.36,                   -960,,,,,,
8443,2013年第2季,,                755727,,                343623,                412104,                412104,,,                326630,,                 74623,,                  2509,                403762,                  8342,,,                  3640,,                -19512,,                    101,                -15973,                 -7631,,                  1273,                 -8904,                 -8904,,,,,                  1091,                 -7813,,                 -8684,                   -220,,                 -7593,                   -220,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                  1091,,,,,,
8443,2013年度,,              3218752,,              1477131,              1741621,              1741621,,,              1416405,,                189587,,                  8453,              1614445,                127176,,,                 14431,,                -37904,,                    546,                -24019,                103157,,                 30193,                 72964,                 72964,,,,,                -14904,                 58060,,                 73393,                   -429,,                 58489,                   -429,,                              1.21,                              1.21,,                              1.21,                              1.21,                  3532,                -22212,                 -3776,,,,
