證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
1455,2015年第3季,,,              3271102,              3271102,,              3338319,                -67217,                -67217,,,                 63852,,                 20987,,                 14982,                 99821,               -167038,,,                 37576,,                 17321,,                 -5591,                 60488,               -106550,,                -14399,                -92151,                -92151,,,                    496,                    496,                    496,                -91655,,                -92151,,                -91655,,                             -0.15,,                             -0.15,,
1455,2015年第2季,,,,              4196056,,              3876503,                319553,                319553,,,                 75357,,                 36315,,                 14550,                126222,                193331,,,                 45411,,                 59752,,                  6101,                 99062,                292393,,                 22158,                270235,                270235,,,                   -109,                   -109,                   -109,                270126,,                270235,,                270126,,                              0.44,,,,
1455,2015年第1季,,,              4025006,              4025006,,              4035116,                -10110,                -10110,,,                 77301,,                 24566,,                 13599,                115466,               -125576,,,                 24039,,                 32287,,                  8212,                 48114,                -77462,,                -10577,                -66885,                -66885,,,                    -62,                    -62,                    -62,                -66947,,                -66885,,                -66947,,                             -0.11,,                             -0.11,,
1455,2015年01月01日至2015年09月30日,,,             11492164,             11492164,,             11249938,                242226,                242226,,,                216510,,                 81868,,                 43131,                341509,                -99283,,,                107026,,                109360,,                  8722,                207664,                108381,,                 -2818,                111199,                111199,,,                    325,                    325,                    325,                111524,,                111199,,                111524,,                              0.18,,                              0.18,,
1455,2015年01月01日至2015年06月30日,,,,              8221062,,              7911619,                309443,                309443,,,                152658,,                 60881,,                 28149,                241688,                 67755,,,                 69450,,                 92039,,                 14313,                147176,                214931,,                 11581,                203350,                203350,,,                   -171,                   -171,                   -171,                203179,,                203350,,                203179,,                              0.33,,,,
1455,2014年第3季,,,              4253079,              4253079,,              4102577,                150502,                150502,,,                 71681,,                 23933,,                 13801,                109415,                 41087,,,                 32484,,                -33705,,                  7830,                 -9051,                 32036,,                  6936,                 25100,                 25100,,,                    187,                    187,                    187,                 25287,,                 25100,,                 25287,,                              0.04,,                              0.04,,
1455,2014年第2季,,,,              4714510,,              4702315,                 12195,                 12195,,,                 76258,,                 19127,,                 14469,                109854,                -97659,,,                 57888,,                -20645,,                 15019,                 22224,                -75435,,                   -349,                -75086,                -75086,,,                   -133,                   -133,                   -133,                -75219,,                -75086,,                -75219,,                             -0.12,,,,
1455,2014年第1季,,,              4503321,              4503321,,              4332447,                170874,                170874,,,                 65831,,                 25705,,                 14124,                105660,                 65214,,,                 22658,,                 19066,,                  7139,                 34585,                 99799,,                 19749,                 80050,                 80050,,,                    -28,                    -28,                    -28,                 80022,,                 80050,,                 80022,,                              0.13,,                              0.13,,
1455,2014年度,,,,             18172168,,             17756529,                415639,                415639,,,                289936,,                 98761,,                 55235,                443932,                -28293,,,                136287,,                  5710,,                 28194,                113803,                 85510,,                 28192,                 57318,                 57318,,,,,                  7561,                 64879,,                 57318,,                 64879,,                              0.09,,                              0.09,                    254,                  7307
1455,2014年01月01日至2014年09月30日,,,             13470910,             13470910,,             13137339,                333571,                333571,,,                213770,,                 68765,,                 42394,                324929,                  8642,,,                113030,,                -35284,,                 29988,                 47758,                 56400,,                 26336,                 30064,                 30064,,,                     26,                     26,                     26,                 30090,,                 30064,,                 30090,,                              0.05,,                              0.05,,
1455,2014年01月01日至2014年06月30日,,,,              9217831,,              9034762,                183069,                183069,,,                142089,,                 44832,,                 28593,                215514,                -32445,,,                 80546,,                 -1579,,                 22158,                 56809,                 24364,,                 19400,                  4964,                  4964,,,                   -161,                   -161,                   -161,                  4803,,                  4964,,                  4803,,                              0.01,,,,
