證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
4960,2015年第3季,,              3011677,,              2700097,                311580,                311580,,,                 61608,,                 54501,,                 55379,                171488,                140092,,,                 21838,                 21838,,                243210,,                  8337,                256711,                396803,,                 78629,                318174,                318174,,,                161315,                  8905,                170220,                170220,                488394,,                316948,                  1226,,                486713,                  1681,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,,
4960,2015年第2季,,              3199757,,              2701419,                498338,                498338,,,                 63334,,                 37774,,                 73625,                174733,                323605,,,                 25241,                 25241,,                  1107,,                  4717,                 21631,                345236,,                129340,                215896,                215896,,,                -55238,                   -246,                -55484,                -55484,                160412,,                216867,                   -971,,                161704,                 -1292,,                              0.42,                              0.42,,                              0.42,                              0.42,,              3199757,,              2701419,,,,
4960,2015年01月01日至2015年09月30日,,              9573083,,              8077031,              1496052,              1496052,,,                178930,,                137745,,                214931,                531606,                964446,,,                 53191,                 53191,,                240592,,                 19303,                274480,              1238926,,                287877,                951049,                951049,,,                 69358,                  8659,                 78017,                 78017,              1029066,,                953427,                 -2378,,              1031310,                 -2244,,                              1.85,                              1.85,,                              1.84,                              1.84,,,,,,,,
4960,2015年01月01日至2015年06月30日,,              6561406,,              5376934,              1184472,              1184472,,,                117322,,                 83244,,                159552,                360118,                824354,,,                 31353,                 31353,,                 -2618,,                 10966,                 17769,                842123,,                209248,                632875,                632875,,,                -91957,                   -246,                -92203,                -92203,                540672,,                636479,                 -3604,,                544597,                 -3925,,                              1.23,                              1.23,,                              1.23,                              1.23,,              6561406,,              5376934,,,,
4960,2015年01月01日至2015年03月31日,,              3361649,,              2675515,                686134,                686134,,,                 53988,,                 45470,,                 85927,                185385,                500749,,,,                  6112,,                 -3725,,                  6249,                 -3862,                496887,,                 79908,                416979,                416979,,,                -36719,                              0,                -36719,                -36719,                380260,,                419612,                 -2633,,                382893,                 -2633,,,                              0.81,,,                              0.81,,              3361649,,              2675515,,,,
4960,2014年第3季,,              3967420,,              3335672,                631748,                631748,,,                 61510,,                 58954,,                 86214,                206678,                425070,,,                 31016,                 31016,,                186499,,                 13278,                204237,                629307,,                 62296,                567011,                567011,,,                 75603,                              0,                 75603,                 75603,                642614,,                568836,                 -1825,,                644440,                 -1826,,                              1.10,                              1.10,,                              1.10,                              1.10,,,,,,,,
4960,2014年第2季,,              4115887,,              3206721,                909166,                909166,,,                 48772,,                 33562,,                 71725,                154059,                755107,,,                 25209,                 25209,,                -43460,,                 15668,                -33919,                721188,,                265243,                455945,                455945,,,                -40147,                   -110,                -40257,                -40257,                415688,,                459389,                 -3444,,                419137,                 -3449,,                              0.89,                              0.89,,                              0.89,                              0.89,,              4115887,,              3206721,,,,
4960,2014年度,,             15818286,,             12919962,              2898324,              2898324,,,                210171,,                179062,,                329436,                718669,              2179655,,,                 94049,                 94049,,                450697,,                 51548,                493198,              2672853,,                433220,              2239633,              2239633,,,,,,                133302,              2372935,,              2248561,                 -8928,,              2381701,                 -8766,,                              4.36,                              4.36,,                              4.34,                              4.34,,             15818286,,             12919962,                132926,                    376,,
4960,2014年01月01日至2014年09月30日,,             11968069,,              9746054,              2222015,              2222015,,,                149637,,                132461,,                229321,                511419,              1710596,,,                 69552,                 69552,,                181817,,                 42986,                208383,              1918979,,                367003,              1551976,              1551976,,,                 24761,                    -13,                 24748,                 24748,              1576724,,              1560295,                 -8319,,              1585048,                 -8324,,                              3.03,                              3.03,,                              3.01,                              3.01,,,,,,,,
4960,2014年01月01日至2014年06月30日,,              8000649,,              6410382,              1590267,              1590267,,,                 88127,,                 73507,,                143107,                304741,              1285526,,,                 38536,                 38536,,                 -4682,,                 29708,                  4146,              1289672,,                304707,                984965,                984965,,,                -50842,                    -13,                -50855,                -50855,                934110,,                991459,                 -6494,,                940609,                 -6499,,                              1.92,                              1.92,,                              1.91,                              1.91,,              8000649,,              6410382,,,,
4960,2014年01月01日至2014年03月31日,,              3884762,,              3203661,                681101,                681101,,,                 39355,,                 39945,,                 71382,                150682,                530419,,,,                 13327,,                 38778,,                 14040,                 38065,                568484,,                 39464,                529020,                529020,,,                -10695,                     97,                -10598,                -10598,                518422,,                532070,                 -3050,,                521472,                 -3050,,,                              1.03,,,                              1.03,,              3884762,,              3203661,,,,
4960,2013年第3季,,              4291283,,              3450508,                840775,                840775,,,                 44679,,                 34999,,                 76666,                156344,                684431,,,                 11684,                 11684,,                  3329,,                 12802,                  2211,                686642,,                 36424,                650218,                650218,,,,,,                -16159,                634059,,                653358,                 -3140,,                637199,                 -3140,,                              1.27,                              1.27,,                              1.26,                              1.26,,              4291283,,              3450508,                -16159,                              0,,                              0
