證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 備供出售金融資產未實現評價損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
6409,2015年第3季,,,              2142077,              2142077,,,              1474221,              1474221,                667856,                667856,,,                 68480,,                 63592,,                 75648,                207720,                460136,,,                 10656,,                 87753,,                  1256,                 97153,                557289,,                107509,                449780,                449780,,,                 60279,                 10247,                 50032,                 50032,                499812,,                449780,,                499812,,                              6.05,,                              6.03,                              0,                              6.05,                              6.03,,,,,
6409,2015年第2季,,,              2030225,              2030225,,,              1432082,              1432082,                598143,                598143,,,                 48217,,                 54567,,                 66922,                169706,                428437,,,                 11512,,                -27247,,                  1363,                -17098,                411339,,                 76111,                335228,                335228,,,                -18645,                 -3170,                -15475,                -15475,                319753,,                335228,,                319753,,                              4.73,,                              4.71,                              0,,,,,,,
6409,2015年度,,,              8039323,              8039323,,,              5602291,              5602291,              2437032,              2437032,,,                213091,,                237909,,                307813,                758813,              1678219,,,                 44231,,                 44053,,                  5832,                 82452,              1760671,,                343961,              1416710,              1416710,,,                -15952,                 -2712,                -13240,                -13240,              1403470,,              1416710,,              1403470,,                             19.05,,                             18.98,,,,,,,,
6409,2015年01月01日至2015年09月30日,,,              6092846,              6092846,,,              4269396,              4269396,              1823450,              1823450,,,                164579,,                170108,,                210176,                544863,              1278587,,,                 32906,,                 29088,,                  4265,                 57729,              1336316,,                261147,              1075169,              1075169,,,                 30388,                  5165,                 25223,                 25223,              1100392,,              1075169,,              1100392,,                             14.46,,                             14.38,                              0,                             14.46,                             14.38,,,,,
6409,2015年01月01日至2015年06月30日,,,              3950769,              3950769,,,              2795175,              2795175,              1155594,              1155594,,,                 96099,,                106516,,                134528,                337143,                818451,,,                 22250,,                -58665,,                  3009,                -39424,                779027,,                153638,                625389,                625389,,,                -29891,                 -5082,                -24809,                -24809,                600580,,                625389,,                600580,,                              8.83,,                              8.78,                              0,,,,,,,
6409,2015年01月01日至2015年03月31日,,,              1920544,              1920544,,,              1363093,              1363093,                557451,                557451,,,                 47882,,                 51949,,                 67606,                167437,                390014,,,                 10738,,                -31418,,                  1646,                -22326,                367688,,                 77527,                290161,                290161,,,                -11246,                 -1912,                 -9334,                 -9334,                280827,,                290161,,                280827,,                              4.10,,                              4.08,                              0,                              4.10,                              4.08,,,,,
6409,2014年第3季,,,              1836628,              1836628,,,              1338992,              1338992,                497636,                497636,,,                 44193,,                 50735,,                 66392,                161320,                336316,,,                  7357,,                 13299,,                  1149,                 19507,                355823,,                 74714,                281109,                281109,,,                 25989,                  4421,                 22085,                 22085,                303194,,                281109,,                303194,,                              3.78,,                              3.76,                    517,                              3.78,                              3.76,,,,,
6409,2014年第2季,,,              1637889,              1637889,,,              1208784,              1208784,                429105,                429105,,,                 45049,,                 45649,,                 58328,                149026,                280079,,,                 13367,,                -18594,,                  1222,                 -6449,                273630,,                 41832,                231798,                231798,,,                -15231,                 -2589,                -12863,                -12863,                218935,,                231798,,                218935,,                              3.27,,                              3.25,                   -221,,,,,,,
6409,2014年度,,,              6723027,              6723027,,,              4962315,              4962315,              1760712,              1760712,,,                166020,,                191166,,                268365,                625551,              1135161,,,                 38034,,                 63359,,                  4860,                 96533,              1231694,,                236298,                995396,                995396,,,                 46698,                  7938,                 38760,                 38760,              1034156,,                995396,,              1034156,,                             13.64,,                             13.59,,,,,,,,
6409,2014年01月01日至2014年09月30日,,,              4970780,              4970780,,,              3673819,              3673819,              1296961,              1296961,,,                119656,,                142238,,                182843,                444737,                852224,,,                 24523,,                 12662,,                  3747,                 33438,                885662,,                169115,                716547,                716547,,,                 11441,                  1948,                  9712,                  9712,                726259,,                716547,,                726259,,                              9.89,,                              9.83,                    219,                              9.89,                              9.83,,,,,
