證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
3016,2015年第3季,,                239864,,                211616,                 28248,                 28248,,,                  5211,,                 17343,,                  3628,                 26182,                  2066,,,                  9471,,                 14843,,                     58,,                 -1856,                 22400,                 24466,,                     69,                 24397,                 24397,,,                    864,,                    795,                  1659,                  1659,                 26056,,                 24397,,                 26056,,                              0.26,,                              0.26,,,,
3016,2015年第2季,,                221532,,                190965,                 30567,                 30567,,,                  5015,,                 14505,,                  3776,                 23296,                  7271,,,                 11215,,                 -6345,,                    321,,                 -2867,                  1682,                  8953,,                    398,                  8555,                  8555,,,                   -315,,                   -216,                   -531,                   -531,                  8024,,                  8555,,                  8024,,                              0.09,,                              0.09,,,,
3016,2015年01月01日至2015年09月30日,,                652844,,                588860,                 63984,                 63984,,,                 15179,,                 45282,,                 11081,                 71542,                 -7558,,,                 32168,,                  7900,,                    716,,                 -6454,                 32898,                 25340,,                    467,                 24873,                 24873,,,                    388,,                    333,                    721,                    721,                 25594,,                 24873,,                 25594,,                              0.26,,                              0.26,,,,
3016,2015年01月01日至2015年06月30日,,                412980,,                377244,                 35736,                 35736,,,                  9968,,                 27939,,                  7453,                 45360,                 -9624,,,                 22697,,                 -6943,,                    658,,                 -4598,                 10498,                    874,,                    398,                    476,                    476,,,                   -476,,                   -462,                   -938,                   -938,                   -462,,                    476,,                   -462,,                              0.01,,                              0.01,,,,
3016,2015年01月01日至2015年03月31日,,                191448,,                186279,                  5169,                  5169,,,                  4953,,                 13434,,                  3677,                 22064,                -16895,,,                 11482,,                   -598,,                    337,,                 -1731,                  8816,                 -8079,,                              0,                 -8079,                 -8079,,,                   -407,,,                   -407,                   -407,                 -8486,,                 -8079,,                 -8486,,                             -0.09,,                             -0.09,,,,
3016,2014年第3季,,                224862,,                207831,                 17031,                 17031,,,                  5242,,                 13802,,                  4212,                 23256,                 -6225,,,                  9053,,                -10302,,                    422,,                   -986,                 -2657,                 -8882,,                    509,                 -9391,                 -9391,,,                   -589,,                    476,                   -113,                   -113,                 -9504,,                 -9391,,                 -9504,,                             -0.10,,                             -0.10,,,,
3016,2014年第2季,,                250847,,                210906,                 39941,                 39941,,,                  5678,,                 16442,,                  3935,                 26055,                 13886,,,                  8435,,                 -4700,,                  1711,,                 -1072,                    952,                 14838,,                   -325,                 15163,                 15163,,,                    -45,,                   -625,                   -670,                   -670,                 14493,,                 15163,,                 14493,,                              0.16,,                              0.16,,,,
3016,2014年度,,                881528,,                787066,                 94462,                 94462,,,                 21127,,                 59246,,                 16376,                 96749,                 -2287,,,                 36462,,                 -7951,,                  4548,,                 -3820,                 20143,                 17856,,                  1254,                 16602,                 16602,,,,,,,                 -1263,                 15339,,                 16602,,                 15339,,                              0.18,,                              0.18,                   -347,                   -916,,
3016,2014年01月01日至2014年09月30日,,                673200,,                590596,                 82604,                 82604,,,                 16193,,                 45288,,                 11953,                 73434,                  9170,,,                 26088,,                 -1265,,                  4168,,                 -2892,                 17763,                 26933,,                    759,                 26174,                 26174,,,                   -244,,                   -246,                   -490,                   -490,                 25684,,                 26174,,                 25684,,                              0.28,,                              0.28,,,,
3016,2014年01月01日至2014年06月30日,,                448338,,                382765,                 65573,                 65573,,,                 10951,,                 31486,,                  7741,                 50178,                 15395,,,                 17035,,                  9037,,                  3746,,                 -1906,                 20420,                 35815,,                    250,                 35565,                 35565,,,                    345,,                   -722,                   -377,                   -377,                 35188,,                 35565,,                 35188,,                              0.38,,                              0.38,,,,
