證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1513,2015年第3季,,              2561941,,              1794558,                767383,                767383,,,                118019,,                302639,,                 62551,                483209,                284174,,,                 36751,,                 44483,,                  7612,,                 34361,                107983,                392157,,                 73596,                318561,                318561,,,                108945,                 -9114,                  3952,,                -28294,                 75489,                 75489,                394050,,                317753,                    808,,                385088,                  8962,,                              0.78,,,,,,
1513,2015年第2季,,              2467901,,              1985325,                482576,                482576,,,                 97330,,                197031,,                 59101,                353462,                129114,,,                 37063,,                -36564,,                  7794,,                 15893,                  8598,                137712,,                 33406,                104306,                104306,,,                -40145,                 -5103,                 -1218,,                -60239,               -106705,               -106705,                 -2399,,                105703,                 -1397,,                  2030,                 -4429,,                              0.25,,,,,,
1513,2015年01月01日至2015年09月30日,,              7111218,,              5434842,              1676376,              1676376,,,                312113,,                659175,,                196705,              1167993,                508383,,,                108345,,                 42388,,                 21129,,                 47566,                177170,                685553,,                143849,                541704,                541704,,,                 38810,                 -3281,                 -2042,,                -73017,                -39530,                -39530,                502174,,                545678,                 -3974,,                503246,                 -1072,,                              1.33,,,,,,
1513,2015年01月01日至2015年06月30日,,              4549277,,              3640284,                908993,                908993,,,                194094,,                356536,,                134154,                684784,                224209,,,                 71594,,                 -2095,,                 13517,,                 13205,                 69187,                293396,,                 70253,                223143,                223143,,,                -70135,                  5833,                 -5994,,                -44723,               -115019,               -115019,                108124,,                227925,                 -4782,,                118158,                -10034,,                              0.55,,,,,,
1513,2015年01月01日至2015年03月31日,,              2081376,,              1654959,                426417,                426417,,,                 96764,,                159505,,                 75053,                331322,                 95095,,,                 34531,,                 34469,,                  5723,,                 -2688,                 60589,                155684,,                 36847,                118837,                118837,,,                -29990,                 10936,                 -4776,,                 15516,                 -8314,                 -8314,                110523,,                122222,                 -3385,,                116128,                 -5605,,                              0.30,,,,,,
1513,2014年第3季,,              2892074,,              2400214,                491860,                491860,,,                 92635,,                187827,,                 62764,                343226,                148634,,,                 36001,,                 -3572,,                  4147,,                 -2390,                 25892,                174526,,                 39934,                134592,                134592,,,                 84369,                 -4422,                  1747,,                -18770,                 62924,                 62924,                197516,,                135084,                   -492,,                192062,                  5454,,                              0.29,,,,,,
1513,2014年第2季,,              2921218,,              2445296,                475922,                475922,,,                110956,,                175763,,                 62267,                348986,                126936,,,                 42888,,                 20114,,                  5115,,                  4088,                 61975,                188911,,                 29000,                159911,                159911,,,                -52732,               -118986,                 -3921,,                  3128,               -172511,               -172511,                -12600,,                161981,                 -2070,,                 -7328,                 -5272,,                              0.35,,,,,,
1513,2014年度,,             11320757,,              9298443,              2022314,              2022314,,,                389521,,                738990,,                238311,              1366822,                655492,,,                163577,,                 12886,,                 19502,,                 44907,                201868,                857360,,                181177,                676183,                676183,,,,,,,,,                -91508,                584675,,                680911,                 -4728,,                581164,                  3511,,                              1.50,                104800,               -115987,                  5872,                -12545,,                -73648
1513,2014年01月01日至2014年09月30日,,              7699216,,              6362172,              1337044,              1337044,,,                285639,,                494401,,                191437,                971477,                365567,,,                129953,,                 14619,,                 14453,,                 -2657,                127462,                493029,,                105454,                387575,                387575,,,                 18397,               -103112,                  2321,,                -44841,               -127235,               -127235,                260340,,                391718,                 -4143,,                262544,                 -2204,,                              0.84,,,,,,
1513,2014年01月01日至2014年06月30日,,              4807142,,              3961958,                845184,                845184,,,                193004,,                306574,,                128673,                628251,                216933,,,                 93952,,                 18191,,                 10306,,                   -267,                101570,                318503,,                 65520,                252983,                252983,,,                -65972,                -98690,                    574,,                -26071,               -190159,               -190159,                 62824,,                256634,                 -3651,,                 70482,                 -7658,,                              0.55,,,,,,
