證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2027,2013年第3季,,              9512681,,              8421701,              1090980,              1090980,,,                346436,,                589651,                936087,,                 -4185,                150708,,,                 27411,,                 13073,,                142294,               -101810,                 48898,,                   -100,                 48998,                 48998,,,,,,,,,,,,,               -213545,               -164547,,                 19463,                 29535,,               -150991,                -13556,,                              0.03,,                              0.03,,,,,               -193066,                -15532,                 -5937,,                    990
2027,2013年第2季,,              9616479,,              8656713,                959766,                959766,,,                362394,,                585554,                947948,,                    181,                 11999,,,                 31628,,                155198,,                150593,                 36233,                 48232,,                116870,                -68638,                -68638,,,,,,,,,,,,,                -88737,               -157375,,                -94437,                 25799,,               -140764,                -16611,,                             -0.12,,                             -0.12,,,,,                -12039,                -77949,                  1427,,                   -176
2027,2013年度,,             38609467,,             33988268,              4621199,              4621199,,,              1463193,,              2500103,              3963296,,                 -3454,                654449,,,                119265,,                370512,,                608005,               -118228,                536221,,                218882,                317339,                317339,,,,,,,,,,,,,                148990,                466329,,                222305,                 95034,,                380483,                 85846,,                              0.29,,                              0.29,                              0.29,                              0.29,,,                231250,                -98395,                 15985,                    469,                   -319
2027,2013年07月01日至2013年09月30日,,              9512681,,              8422070,              1090611,              1090611,,,                346436,,                593467,                939903,,,                150708,,,                 27411,,                 13073,,                142294,               -101810,                 48898,,                   -100,                 48998,                 48998,,,,,,,,,,,,,               -213545,               -164547,,                 19463,                 29535,,               -150991,                -13556,,                              0.03,,                              0.03,,,,,               -193066,                -15532,                 -5937,,                    990
2027,2013年04月01日至2013年06月30日,,              9616479,,              8656344,                960135,                960135,,,                362394,,                585742,                948136,,,                 11999,,,                 31628,,                155198,,                150593,                 36233,                 48232,,                116870,                -68638,                -68638,,,,,,,,,,,,,                -88737,               -157375,,                -94437,                 25799,,               -140764,                -16611,,                             -0.12,,                             -0.12,,,,,                -12039,                -77949,                  1427,,                   -176
2027,2013年01月01日至2013年12月31日,,             38609467,,             33988268,              4621199,              4621199,,,              1463193,,              2500103,              3963296,,,                657903,,,                119265,,                367058,,                608005,               -121682,                536221,,                218882,                317339,                317339,,,,,,,,,,,,,                148990,                466329,,                222305,                 95034,,                380483,                 85846,,                              0.29,,                              0.29,,,,,                231250,                -98395,                 15985,                    469,                   -319
2027,2013年01月01日至2013年09月30日,,             28466614,,             25311476,              3155138,              3155138,,,              1049834,,              1781468,              2831302,,                 -4025,                319811,,,                 90837,,                312159,,                441043,                -38047,                281764,,                174583,                107181,                107181,,,,,,,,,,,,,                 47661,                154842,,                 46948,                 60233,,                109413,                 45429,,                              0.06,,                              0.06,,,,,                145296,                -96878,                   -808,,                     51
2027,2013年01月01日至2013年06月30日,,             18953933,,             16889775,              2064158,              2064158,,,                703398,,              1191817,              1895215,,                    160,                169103,,,                 63426,,                299086,,                298749,                 63763,                232866,,                174683,                 58183,                 58183,,,,,,,,,,,,,                261206,                319389,,                 27485,                 30698,,                260404,                 58985,,                              0.04,,                              0.04,,,,,                338362,                -81346,                  5129,,                   -939
2027,2013年01月01日至2013年03月31日,,              9337454,,              8233062,              1104392,              1104392,,,                341004,,                606284,                947288,,,                157104,,,                 31798,,                143888,,                148156,                 27530,                184634,,                 57813,                126821,                126821,,,,,,,,,,,,,                349943,                476764,,                121922,                  4899,,                401168,                 75596,,                              0.16,,                              0.16,,,,              9337454,                350401,                 -3397,                  3702,,                   -763
2027,2012年07月01日至2012年09月30日,,              9683272,,              8591692,              1091580,              1091580,,,                351252,,                557671,                908923,,,                182657,,,                 27320,,               -328727,,                151495,               -452902,               -270245,,                -77136,               -193109,               -193109,,,,,,,,,,,,,               -189376,               -382485,,               -224836,                 31727,,               -382408,                    -77,,                             -0.30,,                             -0.29,,,,,               -221874,                 36496,                 -4804,,                    806
2027,2012年04月01日至2012年06月30日,,             10508741,,              9373650,              1135091,              1135091,,,                358854,,                568091,                926945,,,                208146,,,                 21240,,                  9202,,                144101,               -113659,                 94487,,                 70307,                 24180,                 24180,,,,,,,,,,,,,                 99956,                124136,,                  8021,                 16159,,                 90646,                 33490,,                              0.01,,                              0.01,,,,,                128364,                -27833,                   -460,,                   -115
2027,2012年01月01日至2012年12月31日,,             40037804,,             35056484,              4981320,              4981320,,,              1471082,,              2291442,              3762524,,,              1218796,,,                120388,,                -77166,,                600688,               -557466,                661330,,                203864,                457466,                457466,,,,,,,,,,,,,               -457807,                   -341,,                371566,                 85900,,                 20276,                -20617,,                              0.49,,                              0.49,,,,,               -513750,                 65927,                 -4260,                 -6745,                  1021
2027,2012年01月01日至2012年09月30日,,             31413220,,             27565558,              3847662,              3847662,,,              1072738,,              1740935,              2813673,,,              1033989,,,                 75833,,               -230274,,                446646,               -601087,                432902,,                155557,                277345,                277345,,,,,,,,,,,,,               -335938,                -58593,,                191004,                 86341,,                -72458,                 13865,,                              0.25,,                              0.25,,,,,               -392466,                 58679,                 -2644,,                    493
2027,2012年01月01日至2012年06月30日,,             21729948,,             18973866,              2756082,              2756082,,,                721486,,              1183264,              1904750,,,                851332,,,                 48513,,                 98453,,                295151,               -148185,                703147,,                232693,                470454,                470454,,,,,,,,,,,,,               -146562,                323892,,                415840,                 54614,,                309950,                 13942,,                              0.55,,                              0.55,,,,,               -170592,                 22183,                  2160,,                   -313
2027,2012年01月01日至2012年03月31日,,             11221207,,              9600216,              1620991,              1620991,,,                362632,,                615173,                977805,,,                643186,,,                 27273,,                 89251,,                151050,                -34526,                608660,,                162386,                446274,                446274,,,,,,,,,,,,,               -246518,                199756,,                407819,                 38455,,                219304,                -19548,,                              0.59,,                              0.59,,,,             11221207,               -298956,                 50016,                  2620,,                   -198
