證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6257,2015年第3季,,              1316979,,                952757,                364222,                364222,,,                 13970,,                 81810,,                 46838,                142618,                221604,,,                 21189,,                 22683,,                  6273,                 37599,                259203,,                 47140,                212063,                212063,,,                  7527,                 -8638,                 -1111,                 -1111,                210952,,                213021,                   -958,,                211910,                   -958,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,
6257,2015年第2季,,              1301831,,                930314,                371517,                371517,,,                 13867,,                 50321,,                 43802,                107990,                263527,,,                 21571,,                -10917,,                  5681,                  4973,                268500,,                 51853,                216647,                216647,,,                 -2602,                 -8380,                -10982,                -10982,                205665,,                220881,                 -4234,,                209367,                 -3702,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,
6257,2015年01月01日至2015年09月30日,,              3773343,,              2731618,              1041725,              1041725,,,                 41839,,                204565,,                135679,                382083,                659642,,,                 61364,,                  8287,,                 18069,                 51582,                711224,,                130443,                580781,                580781,,,                  2160,                -13995,                -11835,                -11835,                568946,,                590258,                 -9477,,                578423,                 -9477,,                              1.63,                              1.63,,                              1.61,                              1.61,,,,
6257,2015年01月01日至2015年06月30日,,              2456364,,              1778861,                677503,                677503,,,                 27869,,                122755,,                 88841,                239465,                438038,,,                 40175,,                -14396,,                 11796,                 13983,                452021,,                 83303,                368718,                368718,,,                 -5367,                 -5357,                -10724,                -10724,                357994,,                377237,                 -8519,,                366513,                 -8519,,                              1.04,                              1.04,,                              1.04,                              1.04,,,,
6257,2015年01月01日至2015年03月31日,,              1154533,,                848547,                305986,                305986,,,                 14002,,                 72434,,                 45039,                131475,                174511,,,                 18604,,                 -3479,,                  6115,                  9010,                183521,,                 31450,                152071,                152071,,,                 -2765,                  3023,                    258,                    258,                152329,,                156356,                 -4285,,                157146,                 -4817,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,
6257,2014年第3季,,              1371441,,                888289,                483152,                483152,,,                    542,,                116574,,                 41082,                158198,                324954,,,                 14228,,                   -785,,                  7370,                  6073,                331027,,                 45965,                285062,                285062,,,                  6871,                -11883,                 -5012,                 -5012,                280050,,                293305,                 -8243,,                288293,                 -8243,,                              0.81,                              0.81,,                              0.80,                              0.80,,,,
6257,2014年第2季,,              1349150,,                873220,                475930,                475930,,,                  1126,,                 90115,,                 39803,                131044,                344886,,,                 13256,,                 35123,,                  7214,                 41165,                386051,,                 96323,                289728,                289728,,,                 -5911,                 21843,                 15932,                 15932,                305660,,                302017,                -12289,,                317949,                -12289,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,
6257,2014年度,,              5228447,,              3522299,              1706148,              1706148,,,                  3530,,                389904,,                165425,                558859,              1147289,,,                 64474,,                 57098,,                 28513,                 93059,              1240348,,                218651,              1021697,              1021697,,,,,,                   -942,              1020755,,              1054116,                -32419,,              1051241,                -30486,,                              2.90,                              2.90,,                              2.87,                              2.87,                  9315,                 15936,                -26193,
6257,2014年01月01日至2014年09月30日,,              3947251,,              2602174,              1345077,              1345077,,,                  2765,,                302399,,                120116,                425280,                919797,,,                 44692,,                 55733,,                 21562,                 78863,                998660,,                188999,                809661,                809661,,,                   -257,                 13120,                 12863,                 12863,                822524,,                830446,                -20785,,                843309,                -20785,,                              2.29,                              2.29,,                              2.26,                              2.26,,,,
6257,2014年01月01日至2014年06月30日,,              2575810,,              1713885,                861925,                861925,,,                  2223,,                185825,,                 79034,                267082,                594843,,,                 30464,,                 56518,,                 14192,                 72790,                667633,,                143034,                524599,                524599,,,                 -7128,                 25003,                 17875,                 17875,                542474,,                537141,                -12542,,                555016,                -12542,,                              1.48,                              1.48,,                              1.47,                              1.47,,,,
