證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2002,2015年第3季,,             67693680,,             63488974,              4204706,                              0,              4204706,,,              1128314,,              1769064,,                479810,              3377188,                827518,,,                341501,,              1140700,,                957457,,                -57225,                467519,              1295037,,                153710,              1141327,              1141327,,,                975177,             -2806130,                268818,,                784971,                 89812,               -866976,               -866976,                274351,,                743913,                397414,,               -621615,                895966,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,
2002,2015年第2季,,             73562673,,             66305252,              7257421,                     89,              7257332,,,              1154797,,              1692996,,                481471,              3329264,              3928068,,,                621881,,                930385,,                911313,,                 -1757,                639196,              4567264,,              1251303,              3315961,              3315961,,,               -564097,             -1281837,                -24077,,               -120944,                -12595,             -1978360,             -1978360,              1337601,,              2849395,                466566,,              1339583,                 -1982,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,
2002,2015年01月01日至2015年09月30日,,            222060055,,            200732926,             21327129,                     89,             21327040,,,              3521125,,              5165566,,              1472984,             10159675,             11167365,,,              1325380,,              2068067,,              2777227,,                118035,                734255,             11901620,,              2649703,              9251917,              9251917,,,             -1078222,             -3824150,                 55016,,              1263391,                 42795,             -3626760,             -3626760,              5625157,,              9119579,                132338,,              5842821,               -217664,,                              0.59,                              0.59,,                              0.59,                              0.59,,,,,,,,,
2002,2015年01月01日至2015年06月30日,,            154366375,,            137243952,             17122423,                     89,             17122334,,,              2392811,,              3396502,,                993174,              6782487,             10339847,,,                983879,,                927367,,              1819770,,                175260,                266736,             10606583,,              2495993,              8110590,              8110590,,,             -2053399,             -1018020,               -213802,,                478420,                -47017,             -2759784,             -2759784,              5350806,,              8375666,               -265076,,              6464436,             -1113630,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,
2002,2015年01月01日至2015年03月31日,,             80803702,,             70938700,              9865002,,              9865002,,,              1238014,,              1703506,,                511703,              3453223,              6411779,,,                361998,,                 -3018,,                908457,,                177017,               -372460,              6039319,,              1244690,              4794629,              4794629,,,             -1489302,                263817,               -189725,,                599364,                -34422,               -781424,               -781424,              4013205,,              5526271,               -731642,,              5124853,             -1111648,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,
2002,2014年第3季,,             92268397,,             80235508,             12032889,                              0,             12032889,,,              1134891,,              1792086,,                533281,              3460258,              8572631,,,                730356,,                -95993,,                943479,,                300331,                 -8785,              8563846,,              1449185,              7114661,              7114661,,,                241006,               -541435,                 50526,,               -200459,                 19687,               -470049,               -470049,              6644612,,              6613170,                501491,,              6044157,                600455,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,
2002,2014年第2季,,             92161647,,             81736277,             10425370,                              0,             10425370,,,              1202582,,              1762309,,                513828,              3478719,              6946651,,,                715788,,               -125179,,                989940,,                 65956,               -333375,              6613276,,                923766,              5689510,              5689510,,,               -619121,                916978,                -93719,,                176559,                -29367,                410064,                410064,              6099574,,              5145595,                543915,,              5544250,                555324,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,
2002,2014年度,,            366510697,,            322622227,             43888470,,             43888470,,,              4899826,,              7181277,,              2015836,             14096939,             29791531,,,              2420784,,               -454241,,              3787776,,                605936,             -1215297,             28576234,,              4378958,             24197276,             24197276,,,,,,,,,,              4163689,             28360965,,             22160266,              2037010,,             25685222,              2675743,,                              1.43,                              1.43,,                              1.43,                              1.43,                              0,              2212405,                580738,                178384,              1564528,,                -26796,               -345570,
2002,2014年01月01日至2014年09月30日,,            276845574,,            246277247,             30568327,                              0,             30568327,,,              3611696,,              5232468,,              1487257,             10331421,             20236906,,,              2058272,,                176719,,              2851980,,                622289,                  5300,             20242206,,              3167033,             17075173,             17075173,,,                494627,                391974,                 57152,,               -150656,                 22783,                770314,                770314,             17845487,,             15379818,              1695355,,             15815617,              2029870,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,,,
2002,2014年01月01日至2014年06月30日,,            184577177,,            166041739,             18535438,                              0,             18535438,,,              2476805,,              3440382,,                953976,              6871163,             11664275,,,              1327916,,                272712,,              1908501,,                321958,                 14085,             11678360,,              1717848,              9960512,              9960512,,,                253621,                933409,                  6626,,                 49803,                  3096,              1240363,              1240363,             11200875,,              8766648,              1193864,,              9771460,              1429415,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,
