證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2012,2015年第3季,,              2101419,,              1791450,                309969,                309969,,,                122033,,                147638,                269671,                 40298,,,                 29283,,                 84410,,                 28264,                 85429,                125727,,                 26166,                 99561,                 99561,,,                -25620,                -67149,                   -588,                -92181,                -92181,                  7380,,                 85275,                 14286,,                -12114,                 19494,,                              0.32,,,,,,
2012,2015年第2季,,              2235757,,              1902450,                333307,                333307,,,                107471,,                151215,                258686,                 74621,,,                 15866,,                -16231,,                 26776,                -27141,                 47480,,                 14741,                 32739,                 32739,,,                -10062,                -17695,                 -2630,                -25127,                -25127,                  7612,,                 16654,                 16085,,                 -4038,                 11650,,                              0.06,,,,,,
2012,2015年01月01日至2015年09月30日,,              6402272,,              5418094,                984178,                984178,,,                346909,,                438698,                785607,                198571,,,                 62186,,                 35862,,                 82779,                 15269,                213840,,                 50172,                163668,                163668,,,                -60031,                -45825,                 -5210,               -100646,               -100646,                 63022,,                123057,                 40611,,                 27485,                 35537,,                              0.47,,,,,,
2012,2015年01月01日至2015年06月30日,,              4300853,,              3626644,                674209,                674209,,,                224876,,                291060,                515936,                158273,,,                 32903,,                -48548,,                 54515,                -70160,                 88113,,                 24006,                 64107,                 64107,,,                -34411,                 21324,                 -4622,                 -8465,                 -8465,                 55642,,                 37782,                 26325,,                 39599,                 16043,,                              0.14,,,,,,
2012,2015年01月01日至2015年03月31日,,              2065096,,              1724194,                340902,                340902,,,                117405,,                139845,                257250,                 83652,,,                 17037,,                -32317,,                 27739,                -43019,                 40633,,                  9265,                 31368,                 31368,,,                -24349,                 39019,                 -1992,                 16662,                 16662,                 48030,,                 21128,                 10240,,                 43637,                  4393,,                              0.08,,,,,,
2012,2014年第3季,,              2337973,,              2011538,                326435,                326435,,,                127728,,                147790,                275518,                 50917,,,                 34296,,                 21447,,                 31699,                 24044,                 74961,,                 23003,                 51958,                 51958,,,                 16618,                -35843,                  1423,                -20648,                -20648,                 31310,,                 44910,                  7048,,                 19470,                 11840,,                              0.17,,,,,,
2012,2014年第2季,,              2396868,,              2043994,                352874,                352874,,,                141167,,                164075,                305242,                 47632,,,                  8278,,                -21811,,                 30274,                -43807,                  3825,,                  1872,                  1953,                  1953,,,                 -7276,                 -2722,                 -1210,                 -8788,                 -8788,                 -6835,,                 -2876,                  4829,,                 -6470,                   -365,,                             -0.01,,,,,,
2012,2014年度,,              9176591,,              7771854,              1404737,              1404737,,,                514224,,                630593,              1144817,                259920,,,                 69911,,                 56529,,                121499,                  4941,                264861,,                 76420,                188441,                188441,,,,,,,                -24494,                163947,,                139827,                 48614,,                104052,                 59895,,                              0.53,                 45820,                -50364,                -20015,                    -65,,
2012,2014年01月01日至2014年09月30日,,              6809466,,              5761394,              1048072,              1048072,,,                390418,,                471126,                861544,                186528,,,                 52543,,                  2534,,                 88470,                -33393,                153135,,                 50560,                102575,                102575,,,                 -4994,                -51269,                    111,                -56374,                -56374,                 46201,,                 70847,                 31728,,                 10767,                 35434,,                              0.27,,,,,,
2012,2014年01月01日至2014年06月30日,,              4471493,,              3749856,                721637,                721637,,,                262690,,                323336,                586026,                135611,,,                 18247,,                -18913,,                 56771,                -57437,                 78174,,                 27557,                 50617,                 50617,,,                -21612,                -15426,                 -1312,                -35726,                -35726,                 14891,,                 25937,                 24680,,                 -8703,                 23594,,                              0.10,,,,,,
2012,2014年01月01日至2014年03月31日,,              2074625,,              1705862,                368763,                368763,,,                121523,,                159261,                280784,                 87979,,,                  9969,,                  2898,,                 26497,                -13630,                 74349,,                 25685,                 48664,                 48664,,,                -14336,                -12704,                   -102,                -26938,                -26938,                 21726,,                 28813,                 19851,,                 -2233,                 23959,,                              0.11,,,,,,
2012,2013年第3季,,              2055597,,              1758001,                297596,                297596,,,                133696,,                125800,                259496,                 38100,,,                 26055,,                -23619,,                 30352,                -27916,                 10184,,                 -3638,                 13822,                 13822,,,,,,,                -63515,                -49693,,                  6015,                  7807,,                -44580,                 -5113,,                              0.02,                -44560,                -18148,,                    807,,
2012,2013年第2季,,              2231251,,              1880697,                350554,                350554,,,                142138,,                134875,                277013,                 73541,,,                 10383,,                 33833,,                 26917,                 17299,                 90840,,                 29278,                 61562,                 61562,,,,,,,                 19559,                 81121,,                 31757,                 29805,,                 47295,                 33826,,                              0.12,                 28883,                 -6806,,                  2518,,
2012,2013年度,,              8397647,,              7047666,              1349981,              1349981,,,                493500,,                599326,              1092826,                257155,,,                 60796,,                 87793,,                114054,                 34535,                291690,,                 76635,                215055,                215055,,,,,,,                112375,                327430,,                141598,                 73457,,                247074,                 80356,,                              0.54,                 49470,                 59891,                 10873,                  7859,,
2012,2013年07月01日至2013年09月30日,,              2055597,,              1758001,                297596,                297596,,,                156657,,                102839,                259496,                 38100,,,                 29579,,                -27143,,                 30352,                -27916,                 10184,,                 -3638,                 13822,                 13822,,,,,,,                -63515,                -49693,,                  6015,                  7807,,                -44580,                 -5113,,                              0.02,                -45367,                -18148,,,,
2012,2013年04月01日至2013年06月30日,,              2231251,,              1880697,                350554,                350554,,,                142138,,                134875,                277013,                 73541,,,                 10383,,                 33833,,                 26917,                 17299,                 90840,,                 29278,                 61562,                 61562,,,,,,,                 19559,                 81121,,                 31757,                 29805,,                 47295,                 33826,,                              0.12,                 26365,                 -6806,,,                              0,                              0
2012,2013年01月01日至2013年12月31日,,              8397647,,              7047666,              1349981,              1349981,,,                493500,,                599326,              1092826,                257155,,,                 60796,,                 87793,,                114054,                 34535,                291690,,                 76635,                215055,                215055,,,,,,,                112375,                327430,,                141598,                 73457,,                247074,                 80356,,                              0.54,                 49470,                 59891,                 10873,                  7859,,
2012,2013年01月01日至2013年09月30日,,              6184762,,              5227728,                957034,                957034,,,                381951,,                417875,                799826,                157208,,,                 45034,,                 64849,,                 83504,                 26379,                183587,,                 56579,                127008,                127008,,,,,,,                 68904,                195912,,                 74540,                 52468,,                141989,                 53923,,                              0.28,                 22284,                 47186,,                    566,,
2012,2013年01月01日至2013年06月30日,,              4129165,,              3469727,                659438,                659438,,,                248255,,                292075,                540330,                119108,,,                 18979,,                 88468,,                 53152,                 54295,                173403,,                 60217,                113186,                113186,,,,,,,                132419,                245605,,                 68525,                 44661,,                186569,                 59036,,                              0.26,                 66844,                 65334,,                   -241,,
2012,2013年01月01日至2013年03月31日,,              1897914,,              1589030,                308884,                308884,,,                106117,,                157200,                263317,                 45567,,,                  8596,,                 54635,,                 26235,                 36996,                 82563,,                 30939,                 51624,                 51624,,,,,,,                112860,                164484,,                 36768,                 14856,,                139274,                 25210,,                              0.14,                 37961,                 72140,,                 -2759,,
2012,2012年07月01日至2012年09月30日,,              2131900,,              1858150,                273750,                273750,,,                148078,,                102657,                250735,                 23015,,,                 29593,,                -34148,,                 29187,                -33742,                -10727,,                  8087,                -18814,                -18814,,,,,,,                 -8165,                -26979,,                -46257,                 27443,,                -49674,                 22695,,                             -0.18,                 -9524,                  1359,,,,
2012,2012年04月01日至2012年06月30日,,              2446494,,              2109327,                337167,                337167,,,                126144,,                131831,                257975,                 79192,,,                 22992,,                  2418,,                 28227,                 -2817,                 76375,,                 35441,                 40934,                 40934,,,,,,,                 17093,                 58027,,                  4387,                 36547,,                 17022,                 41005,,                              0.02,                  5750,                 11343,,,                              0,                              0
2012,2012年01月01日至2012年12月31日,,              8743914,,              7576728,              1167186,              1167186,,,                498044,,                593965,              1092009,                 75177,,,                 78074,,                -62654,,                112632,                -97212,                -22035,,                 83445,               -105480,               -105480,,,,,,,                 15168,                -90312,,               -192812,                 87332,,               -162354,                 72042,,                             -0.73,                -52043,                 56714,                    826,                 -9671,,
2012,2012年01月01日至2012年09月30日,,              6608066,,              5652933,                955133,                955133,,,                391569,,                394270,                785839,                169294,,,                 68538,,                -61605,,                 84950,                -78017,                 91277,,                 73038,                 18239,                 18239,,,,,,,                  8073,                 26312,,                -63326,                 81565,,                -40310,                 66622,,                             -0.24,                -45010,                 53083,,,,
2012,2012年01月01日至2012年06月30日,,              4476166,,              3794783,                681383,                681383,,,                243491,,                291613,                535104,                146279,,,                 38945,,                -27457,,                 55763,                -44275,                102004,,                 64951,                 37053,                 37053,,,,,,,                 16238,                 53291,,                -17069,                 54122,,                  9364,                 43927,,                             -0.06,                -35486,                 51724,,,                              0,                              0
2012,2012年01月01日至2012年03月31日,,              2029672,,              1685456,                344216,                344216,,,                117347,,                159783,                277130,                 67086,,,                 16131,,                -30052,,                 27536,                -41457,                 25629,,                 29510,                 -3881,                 -3881,,,,,,,                   -855,                 -4736,,                -21456,                 17575,,                 -7658,                  2922,,                             -0.08,                -46679,                 40380,,                 -5444,,
