證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2607,2015年第3季,,              1896721,,              1612485,                284236,                284236,,                 62521,                221715,,,                 34929,,                 39755,,                 34738,,                  4006,                 43952,                265667,,                 44496,                221171,                221171,,,                609832,               -172086,                    267,                437479,                437479,                658650,,                222145,                   -974,,                659606,                   -956,,                              0.21,,                              0.21,,,,,,
2607,2015年第2季,,              1868132,,              1570920,                297212,                297212,,                 64984,                232228,,,                 88517,,                 -1114,,                 27760,,                 10000,                 69643,                301871,,                 70219,                231652,                231652,,,               -135125,               -282435,                 -1568,               -415992,               -415992,               -184340,,                230564,                  1088,,               -185094,                    754,,                              0.22,,                              0.22,,,,,,
2607,2015年01月01日至2015年09月30日,,              5530838,,              4634640,                896198,                896198,,                187280,                708918,,,                133570,,                 34823,,                 89468,,                 17884,                 96809,                805727,,                155960,                649767,                649767,,,                370211,               -347654,                   -281,                 22838,                 22838,                672605,,                649015,                    752,,                672032,                    573,,                              0.61,,                              0.61,,,,,,
2607,2015年01月01日至2015年06月30日,,              3634117,,              3022155,                611962,                611962,,                124759,                487203,,,                 98641,,                 -4932,,                 54730,,                 13878,                 52857,                540060,,                111464,                428596,                428596,,,               -239621,               -175568,                   -548,               -414641,               -414641,                 13955,,                426870,                  1726,,                 12426,                  1529,,                              0.40,,                              0.40,,,,,,
2607,2015年01月01日至2015年03月31日,,              1765985,,              1451235,                314750,                314750,,                 59775,                254975,,,                 10124,,                 -3818,,                 26970,,                  3878,                -16786,                238189,,                 41245,                196944,                196944,,,               -104496,                106867,                  1020,                  1351,                  1351,                198295,,                196306,                    638,,                197520,                    775,,                              0.18,,                              0.18,,,,,,
2607,2014年第3季,,              1775439,,              1535004,                240435,                240435,,                 59099,                181336,,,                 70438,,                  1867,,                  9522,,                 11514,                 74297,                255633,,                 33383,                222250,                222250,,,                162838,                 93099,                  3891,                252046,                252046,                474296,,                220212,                  2038,,                472415,                  1881,,                              0.20,,                              0.20,,,,,,
2607,2014年第2季,,              1632389,,              1405960,                226429,                226429,,                 63669,                162760,,,                 20189,,                  9451,,                    946,,                 14581,                 43275,                206035,,                 99273,                106762,                106762,,,               -175593,                  2503,                  6175,               -179265,               -179265,                -72503,,                104874,                  1888,,                -74336,                  1833,,                              0.10,,                              0.10,,,,,,
2607,2014年度,,              6730457,,              5763556,                966901,                966901,,                280338,                686563,,,                134544,,                 49221,,                 32656,,                 40837,                191946,                878509,,                203711,                674798,                674798,,,,,,,              1025968,              1700766,,                668344,                  6454,,              1694205,                  6561,,                              0.63,,                              0.63,                539969,                430423,                 81164,                 25588,,
2607,2014年01月01日至2014年09月30日,,              4879431,,              4230983,                648448,                648448,,                180966,                467482,,,                102240,,                 18275,,                 10608,,                 27105,                137012,                604494,,                157803,                446691,                446691,,,                177425,                 93965,                  9621,                261769,                261769,                708460,,                442472,                  4219,,                704221,                  4239,,                              0.41,,                              0.41,,,,,,
2607,2014年01月01日至2014年06月30日,,              3103992,,              2695979,                408013,                408013,,                121867,                286146,,,                 31802,,                 16408,,                  1086,,                 15591,                 62715,                348861,,                124420,                224441,                224441,,,                 14587,                    866,                  5730,                  9723,                  9723,                234164,,                222260,                  2181,,                231806,                  2358,,                              0.21,,                              0.21,,,,,,
2607,2014年01月01日至2014年03月31日,,              1471603,,              1290019,                181584,                181584,,                 58198,                123386,,,                 11613,,                  6957,,                    140,,                  1010,                 19440,                142826,,                 25147,                117679,                117679,,,                190180,                 -1637,                   -445,                188988,                188988,                306667,,                117386,                    293,,                306142,                    525,,                              0.11,,                              0.11,,,,,,
2607,2013年第3季,,              1544440,,              1382000,                162440,                162440,,                 56742,                105698,,,                 74334,,                  6125,,                    368,,                   -263,                 79828,                185526,,                  9727,                175799,                175799,,,,,,,                -67367,                108432,,                175532,                    267,,                108167,                    265,,                              0.16,,                              0.16,               -119920,                 64272,,                 11719,,
2607,2013年第2季,,              1552923,,              1351152,                201771,                201771,,                 55040,                146731,,,                 12117,,                  1721,,                    397,,                  2478,                 15919,                162650,,                 28228,                134422,                134422,,,,,,,                  1430,                135852,,                134313,                    109,,                135596,                    256,,                              0.13,,                              0.13,                 52014,                -45973,,                  4611,,
2607,2013年度,,              6113325,,              5324294,                789031,                789031,,                271624,                517407,,,                137692,,                 15680,,                    982,,                  5884,                158274,                675681,,                 94383,                581298,                581298,,,,,,,                105809,                687107,,                580653,                    645,,                686517,                    590,,                              0.54,,                              0.54,                222429,                182518,               -335910,                -36772,,
2607,2013年07月01日至2013年09月30日,,              1544440,,              1382000,                162440,                162440,,                 56742,                105698,,,                 76077,,                  4382,,                    368,,                   -263,                 79828,                185526,,                  9727,                175799,                175799,,,,,,,                -67367,                108432,,                175532,                    267,,                108167,                    265,,                              0.16,,                              0.16,               -118729,                 64272,,                 11719,,                 -1191
2607,2013年04月01日至2013年06月30日,,              1552923,,              1351152,                201771,                201771,,                 55040,                146731,,,                 12117,,                  1721,,                    397,,                  2478,                 15919,                162650,,                 28228,                134422,                134422,,,,,,,                  1430,                135852,,                134313,                    109,,                135596,                    256,,                              0.13,,                              0.13,                 49281,                -45973,,                  4611,,                  2733
2607,2013年01月01日至2013年12月31日,,              6113325,,              5324294,                789031,                789031,,                271624,                517407,,,                144196,,                  9176,,                    982,,                  5884,                158274,                675681,,                 94383,                581298,                581298,,,,,,,                105809,                687107,,                580653,                    645,,                686517,                    590,,                              0.54,,                              0.54,                222429,                182518,               -335910,                -36772,,
2607,2013年01月01日至2013年09月30日,,              4582914,,              4025866,                557048,                557048,,                166898,                390150,,,                101772,,                 10014,,                    929,,                  6269,                117126,                507276,,                 65315,                441961,                441961,,,,,,,                196432,                638393,,                441341,                    620,,                637761,                    632,,                              0.41,,                              0.41,                154187,                 58575,,                 16330,,
2607,2013年01月01日至2013年06月30日,,              3038474,,              2643866,                394608,                394608,,                110156,                284452,,,                 27438,,                  3889,,                    561,,                  6532,                 37298,                321750,,                 55588,                266162,                266162,,,,,,,                263799,                529961,,                265809,                    353,,                529594,                    367,,                              0.25,,                              0.25,                274107,                 -5697,,                  4611,,
2607,2013年01月01日至2013年03月31日,,              1485551,,              1292714,                192837,                192837,,                 55116,                137721,,,                 15321,,                  2168,,                    164,,                  4054,                 21379,                159100,,                 27360,                131740,                131740,,,,,,,                262369,                394109,,                131496,                    244,,                393998,                    111,,                              0.12,,                              0.12,                222093,                 40276,,                              0,,
2607,2012年07月01日至2012年09月30日,,              1576026,,              1379311,                196715,                196715,,                 61868,                134847,,,                 11804,,                   -533,,                     56,,                  8651,                 19866,                154713,,                 26152,                128561,                128561,,,,,,,               -152010,                -23449,,                126960,                  1601,,                -24992,                  1543,,                              0.12,,                              0.12,               -161055,                 10858,,                              0,,                 -1813
2607,2012年04月01日至2012年06月30日,,              1530853,,              1323263,                207590,                207590,,                 54201,                153389,,,                 31659,,                 11846,,                    241,,                  9279,                 52543,                205932,,                 18252,                187680,                187680,,,,,,,                 29333,                217013,,                185892,                  1788,,                215284,                  1729,,                              0.18,,                              0.18,                100756,                -71963,,                              0,,                    540
