證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）
9929,2015年第3季,,                293461,,                301730,                 -8269,                 -8269,,,                  9891,,                 21593,                 31484,                -39753,,,                  4009,,                  2239,,                  9249,                 -3001,                -42754,,                              0,                -42754,                -42754,,,                  5049,                              0,                  5049,                  5049,                -37705,,                -41903,                   -851,,                -35848,                 -1857,,                             -0.32,                             -0.32,,,,,,,,,,,,,,
9929,2015年第2季,,                269865,,                268398,                  1467,                  1467,,,                  9807,,                 18369,                 28176,                -26709,,,                  2862,,                   -280,,                 12487,                 -9905,                -36614,,                              0,                -36614,                -36614,,,                 -2714,                              0,                 -2714,                 -2714,                -39328,,                -36234,                   -380,,                -39320,                     -8,,                             -0.33,                             -0.33,,,,,,,,,,,,,,
9929,2015年01月01日至2015年09月30日,,                840139,,                843417,                 -3278,                 -3278,,,                 29399,,                 56675,                 86074,                -89352,,,                  8541,,                 21920,,                 30386,                     75,                -89277,,                              0,                -89277,                -89277,,,                    529,                              0,                    529,                    529,                -88748,,                -87920,                 -1357,,                -86979,                 -1769,,                             -0.79,                             -0.79,,,,,,,,,,,,,,
9929,2015年01月01日至2015年06月30日,,                546678,,                541687,                  4991,                  4991,,,                 19508,,                 35082,                 54590,                -49599,,,                  4532,,                 19681,,                 21137,                  3076,                -46523,,                              0,                -46523,                -46523,,,                 -4520,                              0,                 -4520,                 -4520,                -51043,,                -46017,                   -506,,                -51131,                     88,,                             -0.45,                             -0.45,,,,,,,,,,,,,,
9929,2015年01月01日至2015年03月31日,,                276813,,                273289,                  3524,                  3524,,,                  9701,,                 16713,                 26414,                -22890,,,                  1670,,                 19961,,                  8650,                 12981,                 -9909,,                              0,                 -9909,                 -9909,,,                 -1806,                              0,                 -1806,                 -1806,                -11715,,                 -9783,                   -126,,                -11811,                     96,,                             -0.10,                             -0.10,,,,,,,,,,,,,,
9929,2014年第3季,,                301615,,                300648,                    967,                    967,,,                  9326,,                 54107,                 63433,                -62466,,,                  2577,,                  4171,,                  8053,                 -1305,                -63771,,                      2,                -63773,                -63773,,,                  7472,                              0,                  7472,                  7472,                -56301,,                -53652,                -10121,,                -45671,                -10630,,                             -0.56,                             -0.56,,,,,,,,,,,,,,
9929,2014年第2季,,                322123,,                307229,                 14894,                 14894,,,                  9409,,                 56916,                 66325,                -51431,,,                  1946,,                 -3354,,                  8316,                 -9724,                -61155,,                      2,                -61157,                -61157,,,                 -6587,                   -132,                 -6719,                 -6719,                -67876,,                -50499,                -10658,,                -57459,                -10417,,                             -0.53,                             -0.53,,,,,,,,,,,,,,
9929,2014年01月01日至2014年09月30日,,                955463,,                931237,                 24226,                 24226,,,                 28800,,                129248,                158048,               -133822,,,                  6519,,                 19781,,                 25770,                    530,               -133292,,                      8,               -133300,               -133300,,,                   -497,                     -6,                   -503,                   -503,               -133803,,               -112006,                -21294,,               -112261,                -21542,,                             -1.17,                             -1.17,,,,,,,,,,,,,,
9929,2014年01月01日至2014年06月30日,,                653848,,                630589,                 23259,                 23259,,,                 19474,,                 75140,                 94614,                -71355,,,                  3942,,                 15613,,                 17722,                  1833,                -69522,,                      6,                -69528,                -69528,,,                 -7970,                     -6,                 -7976,                 -7976,                -77504,,                -58354,                -11174,,                -66591,                -10913,,                             -0.61,                             -0.61,,,,,,,,,,,,,,
9929,2014年01月01日至2014年03月31日,,                331725,,                323360,                  8365,                  8365,,,                 10065,,                 18224,                 28289,                -19924,,,                  1996,,                 18967,,                  9406,                 11557,                 -8367,,                      4,                 -8371,                 -8371,,,                 -1383,                    126,                 -1257,                 -1257,                 -9628,,                 -7855,                   -516,,                 -9132,                   -496,,                             -0.08,                             -0.08,,,,,,,,,,,,,,
