證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2597,2014年01月01日至2014年03月31日,,              3066667,,              2659456,                407211,                407211,,,                 15268,,                120077,,                 13397,                148742,                258469,,,                 12189,,                    -28,,                 10852,,                              0,                  1309,                259778,,                 35561,                224217,                224217,,,,,,                    -12,               -126263,                 28774,               -155049,               -155049,                 69168,,                203373,                 20844,,                 49746,                 19422,,                              1.51,                              1.51,,                              1.51,                              1.51,,,,,,,,
2597,2013年第3季,,              3684147,,              3228609,                455538,                455538,,,                 20494,,                142202,,                 11202,                173898,                281640,,,                107644,,                   -335,,                 11231,,,                 96078,                377718,,                 42058,                335660,                335660,,,,,,,,,,                243367,                579027,,                317125,                 10776,,                551610,                 14841,,                              2.35,                              2.35,,                              2.35,                              2.35,                              0,                261508,                              0,                 18141,                  7759,                 12576,,
2597,2013年第2季,,              3806809,,              3360563,                446246,                446246,,,                 20966,,                118592,,                 13582,                153140,                293106,,,                  4296,,                   -164,,                 10845,,,                 -6713,                286393,,                 40881,                245512,                245512,,,,,,,,,,                -79389,                166123,,                239653,                  6002,,                160189,                  5833,,                              1.78,                              1.78,,                              1.77,                              1.77,                              0,               -104609,,                -25220,                   -143,                    101,,
2597,2013年第1季,,              2975209,,              2578485,                396724,                396724,,,                 16434,,                110673,,                 12766,                139873,                256851,,,                  5369,,                   -201,,                 10956,,,                 -5788,                251063,,                 40741,                210322,                210322,,,,,,,,,,               -121330,                 88992,,                210388,                  2272,,                 92653,                    629,,                              1.56,                              1.56,,                              1.56,                              1.56,                              0,                -88546,,                 32784,                 -2338,                 -4290,,
2597,2013年度,,             15015097,,             13164780,              1850317,              1850317,,,                 81539,,                493091,,                 48662,                623292,              1227025,,,                171182,,                 43273,,                 44183,,                              0,                170272,              1397297,,                197714,              1199583,              1199583,,,,,,,,,,                 88655,              1288238,,              1114566,                 51188,,              1202172,                 47247,,                              8.26,                              8.51,,                              8.25,                              8.50,                              0,                104155,                  1371,                 16871,                 33829,                 38819,                              0.25,                              0.25
2597,2013年07月01日至2013年09月30日,,              3568435,,              3136069,                432366,                432366,,,                 20494,,                133190,,                 11202,                164886,                267480,,,                107556,,                   -335,,                 11231,,,                 95990,                363470,,                 40538,                322932,                322932,,,,,,,,,,                235466,                558398,,                317125,                  5807,,                551610,                  6788,,                              2.35,                              2.35,,                              2.35,                              2.35,,                253607,,                 18141,,,,
2597,2013年04月01日至2013年06月30日,,              3736970,,              3299182,                437788,                437788,,,                 20966,,                109825,,                 13582,                144373,                293415,,,                  4221,,                   -164,,                 10845,,,                 -6788,                286627,,                 40881,                245746,                245746,,,,,,,,,,                -79788,                165958,,                239653,                  6093,,                160189,                  5769,,                              1.78,                              1.78,,                              1.77,                              1.77,,               -105008,,                -25220,,,,
2597,2013年01月01日至2013年12月31日,,             14495978,,             12723255,              1772723,              1772723,,,                 81539,,                455230,,                 48662,                585431,              1187292,,,                147208,,                 40163,,                 44183,,,                143188,              1330480,,                186392,              1144088,              1144088,,,,,,,,,,                 80468,              1224556,,              1114566,                 29522,,              1202172,                 22384,,                              8.26,                              8.26,,                              8.25,                              8.25,,                 96040,                  1300,                 16872,,,,
2597,2013年01月01日至2013年09月30日,,             10466165,,              9167657,              1298508,              1298508,,,                 57894,,                371467,,                 37550,                466911,                831597,,,                117309,,                   -700,,                 33032,,,                 83577,                915174,,                123680,                791494,                791494,,,,,,,,,,                 42648,                834142,,                767166,                 19050,,                804452,                 21303,,                              5.68,                              5.68,,                              5.68,                              5.68,                              0,                 68353,                              0,                 25705,                  5278,                  8387,,
2597,2013年01月01日至2013年06月30日,,              6782018,,              5939048,                842970,                842970,,,                 37400,,                229265,,                 26348,                293013,                549957,,,                  9665,,                   -365,,                 21801,,,                -12501,                537456,,                 81622,                455834,                455834,,,,,,,,,,               -200719,                255115,,                450041,                  8274,,                252842,                  6462,,                              3.33,                              3.33,,                              3.33,                              3.33,                              0,               -193155,,                  7564,                 -2481,                 -4189,,
2597,2013年01月01日至2013年03月31日,,              2930760,,              2539147,                391613,                391613,,,                 16434,,                101657,,                 12766,                130857,                260756,,,                  5300,,                   -201,,                 10956,,,                 -5857,                254899,,                 40741,                214158,                214158,,,,,,,,,,               -118130,                 96028,,                210388,                  3770,,                 92653,                  3375,,                              1.56,                              1.56,,                              1.56,                              1.56,,                -85346,,                 32784,,,,
2597,2012年07月01日至2012年09月30日,,              1635716,,              1455388,                180328,                180328,,,                 18920,,                103636,,                 16211,                138767,                 41561,,,                 47072,,                    733,,                 10648,,,                 37157,                 78718,,                 11282,                 67436,                 67436,,,,,,,,,,                547812,                615248,,                 65737,                  1699,,                611120,                  4128,,                              0.49,                              0.49,,                              0.49,                              0.49,,                601930,,                 54118,,,,
2597,2012年04月01日至2012年06月30日,,              1605266,,              1434504,                170762,                170762,,,                 26412,,                102079,,                 11791,                140282,                 30480,,,                  8917,,                 -1094,,                  9931,,,                 -2108,                 28372,,                  3350,                 25022,                 25022,,,,,,,,,,               -208168,               -183146,,                 27859,                 -2837,,               -179245,                 -3901,,                              0.21,                              0.21,,                              0.21,                              0.21,,               -233445,,                -25277,,,,
2597,2012年01月01日至2012年12月31日,,              7212170,,              6347977,                864193,                864193,,,                 75210,,                426426,,                 53689,                555325,                308868,,,                 82715,,                 -2373,,                 41619,,,                 38723,                347591,,                 54806,                292785,                292785,,,,,,,,,,                664723,                957508,,                292163,                    622,,                954246,                  3262,,                              2.16,                              2.16,,                              2.16,                              2.16,,                767210,                -31902,                 70585,,,,
2597,2012年01月01日至2012年09月30日,,              4771834,,              4196250,                575584,                575584,,,                 65082,,                332936,,                 37780,                435798,                139786,,,                 68260,,                   -940,,                 30441,,,                 36879,                176665,,                 27359,                149306,                149306,,,,,,,,,,                585290,                734596,,                149516,                   -210,,                732737,                  1859,,                              1.11,                              1.11,,                              1.11,                              1.11,,                655993,,                 70703,,,,
2597,2012年01月01日至2012年06月30日,,              3136118,,              2740862,                395256,                395256,,,                 46162,,                229300,,                 21569,                297031,                 98225,,,                 21188,,                 -1673,,                 19793,,,                   -278,                 97947,,                 16077,                 81870,                 81870,,,,,,,,,,                 37478,                119348,,                 83779,                 -1909,,                121617,                 -2269,,                              0.62,                              0.62,,                              0.62,                              0.62,,                 54063,,                 16585,,,,
2597,2012年01月01日至2012年03月31日,,              1530852,,              1306358,                224494,                224494,,,                 19750,,                127221,,                  9778,                156749,                 67745,,,                 12271,,                   -579,,                  9862,,,                  1830,                 69575,,                 12727,                 56848,                 56848,,,,,,,,,,                245646,                302494,,                 55920,                    928,,                300862,                  1632,,                              0.41,                              0.41,,                              0.41,                              0.41,,                287508,,                 41862,,,,
