證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 天然氣銷貨收入（天然氣業）,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 利息收入,　　　　 利息收入合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 其他利息收入,　　　 租金收入,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　 其他綜合損益,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額
8215,2015年第3季,,,,              3600245,                              0,              3600245,              3600245,              3600245,,,              2987975,              2987975,              2987975,                612270,                612270,,,                107438,,                 84052,,                203084,                              0,                394574,                217696,,,                  7428,,                -70907,,                 14512,,                -19162,                -97153,                120543,,                  3755,                  3755,                116788,                116788,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 76944,                 -5107,                              0,                              0,                              0,                              0,                              0,                 71837,                 71837,                188625,,                116788,,                188625,,                              0.36,,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2015年第2季,,,,              3703018,                              0,              3703018,              3703018,              3703018,,,              3133845,              3133845,              3133845,                569173,                569173,,,                143199,,                 99310,,                158647,                              0,                401156,                168017,,,                  7874,,                 61197,,                 16715,,                -14703,                 37653,                205670,,                 58104,                 58104,                147566,                147566,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -30446,                -40558,                              0,                              0,                              0,                              0,                              0,                -71004,                -71004,                 76562,,                147566,,                 76562,,                              0.46,,                              0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2015年01月01日至2015年09月30日,,,,             11142736,                              0,             11142736,             11142736,             11142736,,,              9359334,              9359334,              9359334,              1783402,              1783402,,,                387323,,                273479,,                541474,                              0,              1202276,                581126,,,                 21871,,                 46251,,                 48957,,                -51638,                -32473,                548653,,                 67123,                 67123,                481530,                481530,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 19536,                -84122,                              0,                              0,                              0,                              0,                              0,                -64586,                -64586,                416944,,                481530,,                416944,,                              1.50,,                              1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2015年01月01日至2015年06月30日,,,,              7542491,                              0,              7542491,              7542491,              7542491,,,              6371359,              6371359,              6371359,              1171132,              1171132,,,                279885,,                189427,,                338390,                              0,                807702,                363430,,,                 14443,,                117158,,                 34445,,                -32476,                 64680,                428110,,                 63368,                 63368,                364742,                364742,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -57408,                -79016,                              0,                              0,                              0,                              0,                              0,               -136424,               -136424,                228318,,                364742,,                228318,,                              1.14,,                              1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2015年01月01日至2015年03月31日,,,,              3839473,,              3839473,              3839473,              3839473,,,              3237514,              3237514,              3237514,                601959,                601959,,,                136686,,                 90117,,                179743,,                406546,                195413,,,                 10852,,                 51678,,                 17730,,                -17773,                 27027,                222440,,                  5264,                  5264,                217176,                217176,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -26962,                -38458,                              0,                              0,                              0,                              0,                              0,                -65420,                -65420,                151756,,                217176,,                151756,,                              0.68,,                              0.67,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2014年第3季,,,,              4138634,                              0,              4138634,              4138634,              4138634,,,              3615047,              3615047,              3615047,                523587,                523587,,,                 95737,,                 75232,,                 92319,                              0,                263288,                260299,,,                 10472,,                -50170,,                 21524,,                -15542,                -76764,                183535,,                 11617,                 11617,                171918,                171918,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                169216,                  9066,                              0,                              0,                              0,                              0,                              0,                178282,                178282,                350200,,                171918,,                350200,,                              0.54,,                              0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2014年第2季,,,,              4246710,                              0,              4246710,              4246710,              4246710,,,              3621329,              3621329,              3621329,                625381,                625381,,,                 90617,,                 71843,,                139480,                              0,                301940,                323441,,,                  5086,,                 25343,,                 23813,,                -11221,                 -4605,                318836,,                   -265,                   -265,                319101,                319101,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -36053,                 -9373,                              0,                              0,                              0,                              0,                              0,                -45426,                -45426,                273675,,                319101,,                273675,,                              1.00,,                              0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2014年度,,,,             16517112,,             16517112,             16517112,             16517112,,,             14278199,             14278199,             14278199,              2238913,              2238913,,,                363780,,                277650,,                441199,,              1082629,              1156284,,,                 40873,,                 30300,,                 90004,,                -62158,                -80989,              1075295,,,                 15273,              1060022,              1060022,,,,,,,,,,,,,,,,,,,,,,                186397,              1246419,,              1060022,,              1246419,,                              3.31,,                              3.26,,,,                 40873,,                              0,,                              0,                185358,                  9872,                 -8833,,,,,,,,,,,,,,,,
8215,2014年01月01日至2014年09月30日,,,,             12412961,                              0,             12412961,             12412961,             12412961,,,             10562702,             10562702,             10562702,              1850259,              1850259,,,                277576,,                210856,,                344838,                              0,                833270,              1016989,,,                 18745,,                -39456,,                 71529,,                -42185,               -134425,                882564,,                 11352,                 11352,                871212,                871212,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                124617,                  9267,                              0,                              0,                              0,                              0,                              0,                133884,                133884,              1005096,,                871212,,              1005096,,                              2.72,,                              2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,2014年01月01日至2014年06月30日,,,,              8274327,                              0,              8274327,              8274327,              8274327,,,              6947655,              6947655,              6947655,              1326672,              1326672,,,                181839,,                135624,,                252519,                              0,                569982,                756690,,,                  8273,,                 10714,,                 50005,,                -26643,                -57661,                699029,,                   -265,                   -265,                699294,                699294,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -44599,                    201,                              0,                              0,                              0,                              0,                              0,                -44398,                -44398,                654896,,                699294,,                654896,,                              2.18,,                              2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
