證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8072,2015年第3季,,,,                416560,                416560,                  1642,                414918,                414918,,                333433,                 81485,                 81485,,,                 34030,,                 13790,,                 25703,                 73523,                  7962,,,                  7454,                  7454,,                 54087,                 61541,                 69503,,                  8631,                 60872,                 60872,,,                     39,                     39,                     39,                 60911,,                 57597,                  3275,,                 57636,                  3275,,                              0.58,                              0.58,,                              0.57,                              0.57,,,
8072,2015年第2季,,,,                398377,                398377,                  2353,                396024,                396024,,                307101,                 88923,                 88923,,,                 33401,,                 14446,,                 25199,                 73046,                 15877,,,                  4372,                  4372,,                 23827,                 28199,                 44076,,                  4754,                 39322,                 39322,,,                              0,                              0,                              0,                 39322,,                 38136,                  1186,,                 38136,                  1186,,                              0.38,                              0.38,,                              0.37,                              0.37,,,
8072,2015年01月01日至2015年09月30日,,,,              1264500,              1264500,                  5242,              1259258,              1259258,,                972543,                286715,                286715,,,                101191,,                 42994,,                 75774,                219959,                 66756,,,                 16640,                 16640,,                 63765,                 80405,                147161,,                 19064,                128097,                128097,,,                     39,                     39,                     39,                128136,,                121822,                  6275,,                121861,                  6275,,                              1.22,                              1.22,,                              1.19,                              1.19,,,
8072,2015年01月01日至2015年06月30日,,,,                847940,                847940,                  3600,                844340,                844340,,                639110,                205230,                205230,,,                 67161,,                 29204,,                 50071,                146436,                 58794,,,                  9186,                  9186,,                  9678,                 18864,                 77658,,                 10433,                 67225,                 67225,,,                              0,                              0,                              0,                 67225,,                 64225,                  3000,,                 64225,                  3000,,                              0.64,                              0.64,,                              0.63,                              0.63,,,
8072,2015年01月01日至2015年03月31日,,,,                449563,                449563,                  1247,                448316,                448316,,                332009,                116307,                116307,,,                 33760,,                 14758,,                 24872,                 73390,                 42917,,,,                  4814,,                -14149,                 -9335,                 33582,,                  5679,                 27903,                 27903,,,,,,                 27903,,                 26089,                  1814,,                 26089,                  1814,,                              0.26,                              0.26,,                              0.26,                              0.26,,,
8072,2014年第3季,,,,                502493,                502493,                    463,                502030,                502030,,                366544,                135486,                135486,,,                 40780,,                 16853,,                 35310,                 92943,                 42543,,,                  8092,                  8092,,                 39076,                 47168,                 89711,,                 23522,                 66189,                 66189,,,                    -10,                    -10,                    -10,                 66179,,                 64583,                  1606,,                 64573,                  1606,,                              0.65,                              0.65,,                              0.64,                              0.64,,,
8072,2014年第2季,,,,                468211,                468211,                  1405,                466806,                466806,,                326922,                139884,                139884,,,                 36388,,                 15245,,                 28562,                 80195,                 59689,,,                 12111,                 12111,,                 -8454,                  3657,                 63346,,                  9872,                 53474,                 53474,,,                     10,                     10,                     10,                 53484,,                 52251,                  1223,,                 52261,                  1223,,                              0.52,                              0.52,,                              0.52,                              0.52,,,
8072,2014年度,,,,              1920217,              1920217,                  3744,              1916473,              1916473,,              1346786,                569687,                569687,,,                146190,,                 62753,,                115521,                324464,                245223,,,                 39533,                 39533,,                 79803,                119336,                364559,,                 73617,                290942,                290942,,,,,                    -33,                290909,,                284741,                  6201,,                284708,                  6201,,                              2.85,                              2.85,,                              2.81,                              2.81,                              0,                    -40,                     -7
8072,2014年01月01日至2014年09月30日,,,,              1431594,              1431594,                  2636,              1428958,              1428958,,              1001738,                427220,                427220,,,                107492,,                 47636,,                 90244,                245372,                181848,,,                 32326,                 32326,,                 45083,                 77409,                259257,,                 51738,                207519,                207519,,,                              0,                              0,                              0,                207519,,                203457,                  4062,,                203457,                  4062,,                              2.03,                              2.03,,                              2.01,                              2.01,,,
8072,2014年01月01日至2014年06月30日,,,,                929101,                929101,                  2173,                926928,                926928,,                635194,                291734,                291734,,,                 66712,,                 30783,,                 54934,                152429,                139305,,,                 24234,                 24234,,                  6007,                 30241,                169546,,                 28216,                141330,                141330,,,                     10,                     10,                     10,                141340,,                138874,                  2456,,                138884,                  2456,,                              1.39,                              1.39,,                              1.38,                              1.38,,,
