證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）
2025,2015年第3季,,                568060,,                630770,                -62710,                -62710,,,                  3974,,                  7924,                 11898,,                   -408,                -75016,,,                  4249,,                -79764,,                  5749,                -81264,               -156280,,                              0,               -156280,               -156280,,,                              0,                -27938,                              0,                -27938,                -27938,               -184218,,               -156277,                     -3,,               -184212,                     -6,,                             -0.56,,,,,
2025,2015年01月01日至2015年09月30日,,              2467162,,              2650431,               -183269,               -183269,,,                 17923,,                 25062,                 42985,,                 -1250,               -227504,,,                  7040,,                -61719,,                 14344,                -69023,               -296527,,                              0,               -296527,               -296527,,,                              0,                -79091,                              0,                -79091,                -79091,               -375618,,               -296523,                     -4,,               -375606,                    -12,,                             -1.05,,,,,
2025,2014年第3季,,              1445159,,              1430195,                 14964,                 14964,,,                 19097,,                 10742,                 29839,,                   -409,                -15284,,,                  9911,,                 -5814,,                  4612,                   -515,                -15799,,                              0,                -15799,                -15799,,,                  1619,                 -2778,                              0,                 -1159,                 -1159,                -16958,,                -15800,                      1,,                -16960,                      2,,                             -0.06,,,,,
2025,2014年第2季,,              1459290,,              1358857,                100433,                100433,,,                 17365,,                 12137,                 29502,,,                 70931,,,                  1667,,                 24608,,                  5519,                 20756,                 91687,,                              0,                 91687,                 91687,,,,,,,                 32809,                124496,,                 91687,                              0,,                124493,                      3,,                              0.33,                 -2169,                 34978,,,                              0.33
2025,2014年度,,              5147830,,              5104324,                 43506,                 43506,,,                 64898,,                 42966,                107864,,                 -1685,                -66043,,,                 14715,,                -11884,,                 21921,                -19090,                -85133,,                    -98,                -85035,                -85035,,,,,,,                 20797,                -64238,,                -85038,                      3,,                -64243,                      5,,                             -0.30,                  1433,                 18031,                  1606,                    273,                             -0.30
2025,2014年01月01日至2014年09月30日,,              3995755,,              3882004,                113751,                113751,,,                 50053,,                 32625,                 82678,,                 -1250,                 29823,,,                 13112,,                 10708,,                 15695,                  8125,                 37948,,                              0,                 37948,                 37948,,,                  1756,                 21574,                              0,                 23330,                 23330,                 61278,,                 37946,                      2,,                 61273,                      5,,                              0.13,,,,,
2025,2014年01月01日至2014年06月30日,,              2550596,,              2451809,                 98787,                 98787,,,                 30956,,                 22753,                 53709,,,                 45078,,,                  3230,,                 16522,,                 11083,                  8669,                 53747,,                              0,                 53747,                 53747,,,,,,,                 24489,                 78236,,                 53746,                      1,,                 78233,                      3,,                              0.19,                    137,                 24352,,,                              0.19
2025,2014年01月01日至2014年03月31日,,              1091306,,              1092952,                 -1646,                 -1646,,,                 13591,,                 10616,                 24207,,,                -25853,,,                  1563,,                 -8086,,                  5564,                -12087,                -37940,,,                -37940,                -37940,,,,,,,                 -8320,                -46260,,                -37941,                      1,,                -46260,                              0,,                             -0.13,                  2306,                -10626,,,                             -0.13
2025,2013年第3季,,              1006786,,              1085463,                -78677,                -78677,,,                 10657,,                 10725,                 21382,,                   -437,               -100496,,,                 12604,,                 24850,,                  5575,                 31879,                -68617,,                              0,                -68617,                -68617,,,,,,,                 35452,                -33165,,                -68619,                      2,,                -33167,                      2,,                             -0.24,                 -1497,                 36949,,                              0,
2025,2013年第2季,,                925270,,              1024943,                -99673,                -99673,,,                 10651,,                 11586,                 22237,,,               -121910,,,                  1869,,                 -5013,,                  5823,                 -8967,               -130877,,                              0,               -130877,               -130877,,,,,,,                 -5430,               -136307,,               -130878,                      1,,               -136308,                      1,,                             -0.47,                    584,                 -6014,,,                             -0.47
