證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 當期所得稅費用（利益）,　　　　 銀行存款利息
6415,2015年第3季,,,,              1192005,              1192005,              1192005,              1192005,,,                638801,                638801,                638801,                553204,                553204,,,                 85492,,                 58601,,                162483,                306576,                246628,,,,                  4146,                 21140,                 25286,,                    299,                              0,                 22200,                              0,                    765,                              0,                              0,                 21734,,                              0,                 47020,                293648,,                 11073,                282575,                282575,,,                245968,                245968,,                -56599,                -56599,                189369,                471944,,                282575,                              0,,                471944,                              0,,                              3.68,                              3.68,,                              3.55,                              3.55,,,,,,,,,
6415,2015年第2季,,,,              1250695,              1250695,              1250695,              1250695,,,                660363,                660363,                660363,                590332,                590332,,,                 80590,,                 72082,,                139941,                292613,                297719,,,,                  4287,                  4066,                  8353,,                      3,                              0,                  4025,                              0,                  3554,                              0,                              0,                    474,,                              0,                  8827,                306546,,                   -780,                307326,                307326,,,                -61976,                -61976,,                  9064,                  9064,                -52912,                254414,,                307327,                     -1,,                254415,                     -1,,                              4.01,                              4.01,,                              3.86,                              3.86,,,,,,,,,
6415,2015年01月01日至2015年09月30日,,,,              3346651,              3346651,              3346651,              3346651,,,              1773366,              1773366,              1773366,              1573285,              1573285,,,                232274,,                178101,,                430354,                840729,                732556,,,,                 11569,                 35145,                 46714,,                              0,                  2072,                 31282,                              0,                  4894,                     77,                              0,                 28383,,                    -12,                 75085,                807641,,                 14440,                793201,                793201,,,                147060,                147060,,                -51768,                -51768,                 95292,                888493,,                793207,                     -6,,                888499,                     -6,,                             10.35,                             10.35,,                              9.96,                              9.96,,,,,,,,,
6415,2015年01月01日至2015年06月30日,,,,              2154646,              2154646,              2154646,              2154646,,,              1134565,              1134565,              1134565,              1020081,              1020081,,,                146782,,                119500,,                267871,                534153,                485928,,,,                  7423,                 14005,                 21428,,                              0,                  2072,                  9082,                              0,                  4129,                    376,                              0,                  6649,,                    -12,                 28065,                513993,,                  3367,                510626,                510626,,,                -98908,                -98908,,                  4831,                  4831,                -94077,                416549,,                510632,                     -6,,                416555,                     -6,,                              6.67,                              6.67,,                              6.42,                              6.42,,,,,,,,,
6415,2015年01月01日至2015年03月31日,,,,                903951,                903951,                903951,                903951,,,                474202,                474202,                474202,                429749,                429749,,,                 66192,,                 47418,,                127930,                241540,                188209,,,,                  3136,                  9939,                 13075,,,                  2072,                  5057,                              0,                    575,                    379,,                  6175,,                    -12,                 19238,                207447,,                  4147,                203300,                203300,,,                -36932,                -36932,,                 -4233,                 -4233,                -41165,                162135,,                203305,                     -5,,                162140,                     -5,,                              2.66,                              2.66,,                              2.56,                              2.56,                              0,,,,,,,,
6415,2014年第3季,,,,                914720,                914720,                914720,                914720,,,                514132,                514132,                514132,                400588,                400588,,,                 48423,,                 41307,,                104134,                193864,                206724,,,,                  3025,                  3250,                  6275,,                              0,                              0,                  1251,                              0,                    601,                              0,                      1,                    649,,                   -227,                  6697,                213421,,                 -3314,                216735,                216735,,,                 54166,                 54166,,                   -797,                   -797,                 53369,                270104,,                216735,                              0,,                270104,                              0,,                              2.85,                              2.85,,                              2.75,                              2.75,,,,,,,,,
6415,2014年第2季,,,,                847775,                847775,                847775,                847775,,,                450935,                450935,                450935,                396840,                396840,,,                 39863,,                 38304,,                 97282,                175449,                221391,,,,                  4004,                  2294,                  6298,,                              0,                              0,                  2254,                              0,                    610,                              0,                      2,                  1642,,                              0,                  7940,                229331,,                 -6827,                236158,                236158,,,                -58462,                -58462,,                   -156,                   -156,                -58618,                177540,,                236158,                              0,,                177540,                              0,,                              3.12,                              3.12,,                              3.00,                              3.00,,,,,,,,,
6415,2014年度,,,,              3272732,              3272732,              3272732,              3272732,,,              1784837,              1784837,              1784837,              1487895,              1487895,,,                189152,,                145193,,                390469,                724814,                763081,,,,                 13384,                 22309,                 35693,,,,                  1147,                    339,                  2417,,,                   -931,,                -10494,                 24268,                787349,,                -13381,                800730,                800730,,,,,,,,                186402,                987132,,                800730,,,                987132,,,                             10.55,                             10.55,,                             10.16,                             10.16,                              0,                186403,,                     -1,,,,,
6415,2014年01月01日至2014年09月30日,,,,              2326609,              2326609,              2326609,              2326609,,,              1262891,              1262891,              1262891,              1063718,              1063718,,,                133840,,                111100,,                281377,                526317,                537401,,,,                  8854,                  9622,                 18476,,                              0,                              0,                  3077,                    337,                  1645,                              0,                              0,                  1769,,                   -227,                 20018,                557419,,                -10141,                567560,                567560,,,                 56505,                 56505,,                 -6058,                 -6058,                 50447,                618007,,                567560,                              0,,                618007,                              0,,                              7.49,                              7.49,,                              7.21,                              7.21,,,,,,,,,
6415,2014年01月01日至2014年06月30日,,,,              1411889,              1411889,              1411889,              1411889,,,                748759,                748759,                748759,                663130,                663130,,,                 85417,,                 69793,,                177243,                332453,                330677,,,,                  5829,                  6372,                 12201,,                              0,                              0,                  1826,                    338,                  1044,                              0,                              0,                  1120,,                              0,                 13321,                343998,,                 -6827,                350825,                350825,,,                  2339,                  2339,,                 -5261,                 -5261,                 -2922,                347903,,                350825,                              0,,                347903,                              0,,                              4.64,                              4.64,,                              4.46,                              4.46,,,,,,,,,
6415,2014年01月01日至2014年03月31日,,,,                564114,                564114,                564114,                564114,,,                297824,                297824,                297824,                266290,                266290,,,                 45554,,                 31489,,                 79961,                157004,                109286,,,,                  1825,                  4078,                  5903,,,                              0,                              0,                    340,                    434,                              0,,                   -522,,                              0,                  5381,                114667,,                              0,                114667,                114667,,,                 60801,                 60801,,                 -5105,                 -5105,                 55696,                170363,,                114667,                              0,,                170363,                              0,,                              1.52,                              1.52,,                              1.46,                              1.46,                    428,,,,,,,,
6415,2013年第3季,,,,                538477,                538477,                538477,                538477,,,                274455,                274455,                274455,                264022,                264022,,,                 42335,,                 28493,,                 61041,                131869,                132153,,,,                    658,                    878,                  1536,,,,                              0,                              0,                    881,,                              0,                 -1523,,                              0,                     13,                132166,,                              0,                132166,                132166,,,,,,,,                -18231,                113935,,                132166,,,                113935,,,                              2.00,                              2.00,,                              1.90,                              1.90,                    642,                -18231,,,,,,,
6415,2013年第2季,,,,                502726,                502726,                502726,                502726,,,                270827,                270827,                270827,                231899,                231899,,,                 33533,,                 23045,,                 53139,                109717,                122182,,,,                  1103,                    275,                  1378,,,,                              0,                              0,                    147,,                              0,                 -2696,,,                 -1318,                120864,,                              0,                120864,                120864,,,,,,,,                 13856,                134720,,                120864,,,                134720,,,                              1.84,                              1.84,,                              1.75,                              1.75,                  2549,                 13856,,,,,,,
6415,2013年度,,,,              2087181,              2087181,              2087181,              2087181,,,              1080328,              1080328,              1080328,              1006853,              1006853,,,                131442,,                106246,,                234368,                472056,                534797,,,,                  2733,                 11225,                 13958,,,,                              0,                              0,                  1710,,,                -18430,,                              0,                 -4472,                530325,,                     24,                530301,                530301,,,,,,,,                 51949,                582250,,                530301,,,                582250,,,                              8.00,                              8.00,,                              7.59,                              7.59,                 16720,                 51949,,                              0,,,,,
6415,2013年07月01日至2013年09月30日,,,,                538477,                538477,                538477,                538477,,,                274455,                274455,                274455,                264022,                264022,,,                 42335,,                 28493,,                 61041,                131869,                132153,,,,                    658,                    878,                  1536,,,,                              0,,                    881,,,                 -1523,,,                     13,                132166,,,                132166,                132166,,,,,,,,                -18231,                113935,,                132166,,,                113935,,,                              2.40,                              2.40,,                              2.28,                              2.28,                    642,                -18231,,,,                              0,                              0,,                    658
6415,2013年01月01日至2013年12月31日,,,,              2087181,              2087181,              2087181,              2087181,,,              1080328,              1080328,              1080328,              1006853,              1006853,,,                131442,,                106246,,                234368,                472056,                534797,,,,                  2733,                 11225,                 13958,,,,                              0,,                  1710,,,                -18430,,,                 -4472,                530325,,                     24,                530301,                530301,,,,,,,,                 51949,                582250,,                530301,,,                582250,,,                              9.59,                              9.59,,                              9.09,                              9.09,                 16720,                 51949,,,,                              0,                              0,                     24,
6415,2013年01月01日至2013年09月30日,,,,              1415937,              1415937,              1415937,              1415937,,,                733623,                733623,                733623,                682314,                682314,,,                104571,,                 74505,,                154012,                333088,                349226,,,,                  1983,                  3092,                  5075,,,,                              0,                              0,                  1119,,                              0,                 -6439,,                              0,                 -1364,                347862,,                              0,                347862,                347862,,,,,,,,                 25855,                373717,,                347862,,,                373717,,,                              5.31,                              5.31,,                              5.04,                              5.04,                  5320,                 25855,,,,,,,
6415,2013年01月01日至2013年06月30日,,,,                877460,                877460,                877460,                877460,,,                459168,                459168,                459168,                418292,                418292,,,                 62236,,                 46012,,                 92971,                201219,                217073,,,,                  1325,                  2214,                  3539,,,,                              0,                              0,                    238,,                              0,                 -4916,,,                 -1377,                215696,,                              0,                215696,                215696,,,,,,,,                 44086,                259782,,                215696,,,                259782,,,                              3.30,                              3.30,,                              3.14,                              3.14,                  4678,                 44086,,,,,,,
6415,2013年01月01日至2013年03月31日,,,,                374734,                374734,                374734,                374734,,,                188341,                188341,                188341,                186393,                186393,,,                 28703,,                 22967,,                 39832,                 91502,                 94891,,,,                    222,                  1939,                  2161,,,,,                              0,                     91,,,                 -2220,,,                    -59,                 94832,,,                 94832,                 94832,,,,,,,,                 30230,                125062,,                 94832,,,                125062,,,                              1.76,                              1.76,,                              1.71,                              1.71,                  2129,                 30230,,,,,,,
6415,2012年07月01日至2012年09月30日,,,,                358413,                358413,                358413,                358413,,,                175147,                175147,                175147,                183266,                183266,,,                 20250,,                 14195,,                 47026,                 81471,                101795,,,,                    216,                    896,                  1112,,,,                  2490,,                    157,,,                  2333,,,                    978,                102773,,,                102773,                102773,,,,,,,,                -15092,                 87681,,                102773,,,                 87681,,,                              2.45,                              2.45,,                              1.94,                              1.94,                              0,                -15092,,,,                  2467,                  2467,,                    216
6415,2012年01月01日至2012年12月31日,,,,              1370549,              1370549,              1370549,              1370549,,,                653935,                653935,                653935,                716614,                716614,,,                 88386,,                 76063,,                152981,                317430,                399184,,,,                  3948,                  1717,                  5665,,,,                    298,,                    448,,,                   -150,,,                -11486,                387698,,                     24,                387674,                387674,,,,,,,,                -21507,                366167,,                387674,,,                366167,,,                             11.52,                             11.52,,                              7.48,                              7.48,                              0,                -21507,,,,                 17001,                 17001,                     24,
6415,2012年01月01日至2012年09月30日,,,,                936229,                936229,                936229,                936229,,,                446877,                446877,                446877,                489352,                489352,,,                 61948,,                 37230,,                126190,                225368,                263984,,,,                    465,                  1535,                  2000,,,,                  3362,,                    231,,,                  3131,,,                -11952,                252032,,,                252032,                252032,,,,,,,,                -15198,                236834,,                252032,,,                236834,,,                              9.37,                              9.37,,                              4.99,                              4.99,                              0,                -15198,,,,                 17083,                 17083,,                    465
