證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 當期所得稅費用（利益）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　　 投資性不動產減損迴轉利益,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 沖銷逾期應付款利益
2538,2015年第3季,,,,                 60468,                 60468,                              0,                 60468,                 60468,,,                 28477,                 28477,                 28477,                 31991,                 31991,,,                  6622,,                 38117,                 44739,                -12748,,,,                 25795,                 25795,                    116,                 25911,,                    219,                111178,                 -1838,,                    572,                              0,                110131,,                 21598,                 21598,,                 -2653,                 -2653,                111791,                 99043,,                    281,                    281,                 98762,                 98762,,,                   -669,,                 47384,                 46715,                 46715,                145477,,                100078,                 -1316,,                146793,                 -1316,,                              0.23,                              0.23,,                              0.21,                              0.21,,,,,,,,,,,,,,,,
2538,2015年第2季,,,,              2980235,              2980235,                 87815,              2892420,              2892420,,,              1244761,              1244761,              1244761,              1647659,              1647659,,,                103132,,                148854,                251986,              1395673,,,,,,                 26482,                 26482,,                  1279,,                 -1983,,,                    243,                -39909,,                 17900,                 17900,,                  3953,                  3953,                -27374,              1368299,,                115870,                115870,              1252429,              1252429,,,,,                -10407,                -10407,                -10407,              1242022,,              1254533,                 -2104,,              1244126,                 -2104,,,                              3.00,,,                              2.56,                 38962,                              0,,,,,,,,,,,,,,
2538,2015年01月01日至2015年09月30日,,,,              5255909,              5255909,                 87815,              5168094,              5168094,,,              2741227,              2741227,              2741227,              2426867,              2426867,,,                237597,,                268080,                505677,              1921190,,,,                 77938,                 77938,                    369,                 78307,,                  1805,                 46162,                  1636,,                    572,                  1010,                 49165,,                 49265,                 49265,,                    457,                    457,                 78664,              1999854,,                126873,                126873,              1872981,              1872981,,,                   -669,,                 28636,                 27967,                 27967,              1900948,,              1877463,                 -4482,,              1905430,                 -4482,,                              4.47,                              4.47,,                              3.87,                              3.87,,,,,,,,,,,,,,,,
2538,2015年01月01日至2015年06月30日,,,,              5195441,              5195441,                 87815,              5107626,              5107626,,,              2712750,              2712750,              2712750,              2394876,              2394876,,,                230975,,                229963,                460938,              1933938,,,,,,                 52396,                 52396,,                  1586,,                  3474,,,                  1010,                -60966,,                 27667,                 27667,,                  3110,                  3110,                -33127,              1900811,,                126592,                126592,              1774219,              1774219,,,,,                -18748,                -18748,                -18748,              1755471,,              1777385,                 -3166,,              1758637,                 -3166,,,                              4.28,,,                              3.65,                 65016,                              0,,,,,,,,,,,,,,
2538,2015年01月01日至2015年03月31日,,,,              2215206,              2215206,                              0,              2215206,              2215206,,,              1467989,              1467989,              1467989,                747217,                747217,,,                127843,,                 81109,                208952,                538265,,,,,,                 25914,                 25914,,                    307,,                  5477,,,                    767,                -21057,,                  9767,                  9767,,,                   -843,                 -5753,                532512,,                 10722,                 10722,                521790,                521790,,,,,                 -8341,                 -8341,                 -8341,                513449,,                522852,                 -1062,,                514511,                 -1062,,                              1.27,                              1.27,,                              1.08,                              1.08,                 26054,,                     20,,,,,,,,,,,,,
2538,2014年第3季,,,,                  3497,                  3497,                     86,                  3411,                  3411,,,                  1090,                  1090,                  1090,                  2321,                  2321,,,                  5969,,                 28403,                 34372,                -32051,,,,                 25629,                 25629,                     89,                 25718,,                  1216,                 73779,                 -1845,,                              0,                              0,                 73150,,                  4204,                  4204,,                  1213,                  1213,                 95877,                 63826,,                     11,                     11,                 63815,                 63815,,,                              0,,                  8835,                  8835,                  8835,                 72650,,                 63815,                              0,,                 72650,                              0,,                              0.16,                              0.16,,                              0.14,                              0.14,,,,,,,,,,,,,,,,
2538,2014年第2季,,,,              1984617,              1984617,                              0,              1984617,              1984617,,,                543891,                543891,                543891,              1440726,              1440726,,,                 31831,,                127524,                159355,              1281371,,,,,,                 21848,                 21848,,                    348,,                 -1037,,,                    300,                -50888,,                  8426,                  8426,,                              0,                 -3117,                -40583,              1240788,,                 58810,                 58810,              1181978,              1181978,,,,,                 -8815,                 -8815,                 -8815,              1173163,,              1181978,                              0,,              1173163,                              0,,,                              2.89,,,                              2.45,                 49899,                  3117,,,,,,,,,,,,,,
2538,2014年度,,,,              2306697,              2306697,                  1286,              2305411,              2305411,,,                744088,                744088,                744088,              1561323,              1561323,,,                105513,,                220113,                325626,              1235697,,,,,                 88417,                  4014,                 92431,,                  1861,                 87105,                 -4908,,,                    300,                 83758,,                 24199,                 24199,,                              0,                 -3205,                148785,              1384482,,,                 82996,              1301486,              1301486,,,,,,,                 41732,              1343218,,              1301486,,,              1343218,,,                              3.18,                              3.18,,                              2.69,                              2.69,,                  3205,,                 82996,                    186,,                 41546,                 41546,,,,,,,,
2538,2014年01月01日至2014年09月30日,,,,              2153031,              2153031,                  1286,              2151745,              2151745,,,                619863,                619863,                619863,              1531882,              1531882,,,                 45842,,                180138,                225980,              1305902,,,,                 61952,                 61952,                  2116,                 64068,,                  1590,                  8157,                 -2788,,                              0,                    300,                  6659,,                 18202,                 18202,,                  1272,                  1272,                 53797,              1359699,,                 58945,                 58945,              1300754,              1300754,,,                              0,,                  6830,                  6830,                  6830,              1307584,,              1300754,                              0,,              1307584,                              0,,                              3.18,                              3.18,,                              2.67,                              2.67,,,,,,,,,,,,,,,,
2538,2014年01月01日至2014年06月30日,,,,              2149534,              2149534,                  1200,              2148334,              2148334,,,                618773,                618773,                618773,              1529561,              1529561,,,                 39873,,                151735,                191608,              1337953,,,,,,                 38350,                 38350,,                    374,,                   -943,,,                    300,                -66491,,                 13998,                 13998,,                     59,                     59,                -42080,              1295873,,                 58934,                 58934,              1236939,              1236939,,,,,                 -2005,                 -2005,                 -2005,              1234934,,              1236939,                              0,,              1234934,                              0,,,                              3.03,,,                              2.57,                 65622,                              0,,,,,,,,,,,,,,
