證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資性不動產利益,　　　 股利收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 處分投資性不動產損失
6209,2015年第3季,,              1159171,,              1046928,                112243,                112243,,,                  9731,,                 81184,,                 30384,                121299,                 -9056,,,,                  3592,                 12720,                 16312,,                              0,                              0,                              0,                    613,                    844,                 36021,,                              0,                              0,                -37478,,                  6311,                  6311,                -27477,                -36533,,                 12536,                -49069,                -49069,,,                152785,                 -4789,                 25763,                122233,                122233,                 73164,,                -40952,                 -8117,,                 80043,                 -6879,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,,,,,,,,,,,,
6209,2015年第2季,,              1028289,,                960824,                 67465,                 67465,,,                  4853,,                 55014,,                 17942,                 77809,                -10344,,,,                  3988,                 11057,                 15045,,,                              0,                  3242,                  1401,                  5057,                              0,,                              0,                              0,                 -3216,,                  5840,                  5840,                  5989,                 -4355,,                    424,                 -4779,                 -4779,,,                -43130,                 -6401,                 -7171,                -42360,                -42360,                -47139,,                  4411,                 -9190,,                -37004,                -10135,,                              0.03,                              0.03,,,,                              0,,,,,,,,,,,,
6209,2015年01月01日至2015年09月30日,,              3129004,,              2893267,                235737,                235737,,,                 23061,,                220725,,                 68651,                312437,                -76700,,,,                 13306,                 30650,                 43956,,                              0,                              0,                              0,                  8229,                  7029,                 13673,,                              0,                              0,                -28931,,                 17521,                 17521,                 -2496,                -79196,,                  6759,                -85955,                -85955,,,                 58403,                -10370,                 10198,                 37835,                 37835,                -48120,,                -63052,                -22903,,                -23634,                -24486,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,,,,,,,,,,,,
6209,2015年01月01日至2015年06月30日,,              1969833,,              1846339,                123494,                123494,,,                 13330,,                139541,,                 38267,                191138,                -67644,,,,                  9714,                 17930,                 27644,,,                              0,                 22348,                  7616,                  6185,                              0,,                              0,                              0,                  8547,,                 11210,                 11210,                 24981,                -42663,,                 -5777,                -36886,                -36886,,,                -94382,                 -5581,                -15565,                -84398,                -84398,               -121284,,                -22100,                -14786,,               -103677,                -17607,,                             -0.14,                             -0.14,,,,                              0,,,,,,,,,,,,
6209,2015年01月01日至2015年03月31日,,                941544,,                885515,                 56029,                 56029,,,                  8477,,                 84527,,                 20325,                113329,                -57300,,,,                  5726,                  6873,                 12599,,,,                 19106,                  6215,                  1128,                              0,,,,                 11763,,                  5370,                  5370,                 18992,                -38308,,                 -6201,                -32107,                -32107,,,                -51252,                    820,                 -8394,                -42038,                -42038,                -74145,,                -26511,                 -5596,,                -66673,                 -7472,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,,,,,,,,
6209,2014年第3季,,              1128672,,              1020187,                108485,                108485,,,                  4816,,                 86298,,                 10883,                101997,                  6488,,,,                  4192,                 10234,                 14426,,                              0,                              0,                  1419,                    247,                  1649,                              0,,                              0,                              0,                   -477,,                  5627,                  5627,                  8322,                 14810,,                  9134,                  5676,                  5676,,,                 67373,                 -4375,                 11084,                 51914,                 51914,                 57590,,                  1900,                  3776,,                 51642,                  5948,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,
6209,2014年第2季,,              1107487,,              1058609,                 48878,                 48878,,,                  8391,,                 32732,,                 22152,                 63275,                -14397,,,,                  4131,                  5173,                  9304,,,                     16,                 14652,                  1542,                              0,                              0,,                 18000,                 18000,                 -1485,,                  6351,                  6351,                  1468,                -12929,,                 -2745,                -10184,                -10184,,,                -74134,                  2914,                -12205,                -59015,                -59015,                -69199,,                -12290,                  2106,,                -68968,                   -231,,                             -0.08,                             -0.08,,,,                  3389,,,,,,,,,,,,
6209,2014年度,,              4269456,,              4009868,                259588,                259588,,,                 28912,,                271530,,                 75635,                376077,               -116489,,,,                 17968,                 34035,                 52684,,,                     16,,                  2476,                    930,                 31265,,,                 18000,                -52655,,                 23615,                 23615,                -23586,               -140075,,                 -1489,               -138586,               -138586,,,,,,,                177604,                 39018,,               -139057,                    471,,                 31936,                  7082,,                             -0.86,                             -0.86,,                             -0.86,                             -0.86,,                    681,                218043,                 -3458,                 -2442,                 34539,,,,,,,
6209,2014年01月01日至2014年09月30日,,              3281240,,              3046679,                234561,                234561,,,                 19614,,                194290,,                 51713,                265617,                -31056,,,,                 12022,                 23069,                 35091,,                  1108,                     16,                              0,                  1903,                              0,                  9608,,                 18000,                 18000,                -28387,,                 17525,                 17525,                -10821,                -41877,,                  7136,                -49013,                -49013,,,                 55223,                 -1461,                  9206,                 44556,                 44556,                 -4457,,                -52417,                  3404,,                 -8932,                  4475,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,,,,,,,,,,,
6209,2014年01月01日至2014年06月30日,,              2152568,,              2026492,                126076,                126076,,,                 14798,,                107992,,                 40830,                163620,                -37544,,,,                  7830,                 12835,                 20665,,,                     16,                              0,                  1656,                              0,                 11027,,                 18000,                 18000,                -27910,,                 11898,                 11898,                -19143,                -56687,,                 -1998,                -54689,                -54689,,,                -12150,                  2914,                 -1878,                 -7358,                 -7358,                -62047,,                -54317,                   -372,,                -60574,                 -1473,,                             -0.33,                             -0.33,,,,                  2757,,,,,,,,,,,,
6209,2014年01月01日至2014年03月31日,,              1045081,,                967883,                 77198,                 77198,,,                  6407,,                 75260,,                 18678,                100345,                -23147,,,,                  3699,                  7662,                 11361,,,,                              0,                    114,                    632,                 25679,,,,                -26425,,                  5547,                  5547,                -20611,                -43758,,                    747,                -44505,                -44505,,,                 61984,                              0,                 10327,                 51657,                 51657,                  7152,,                -42027,                 -2478,,                  8394,                 -1242,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,,,,,,,,
6209,2013年第3季,,              1474777,,              1313156,                161621,                161621,,,                  9168,,                 91302,,                 19250,                119720,                 41901,,,,                  2835,                  8851,                 11686,,,                              0,                  5661,                    410,                  8599,,,                              0,                              0,                 -3348,,                  4433,                  4433,                  3905,                 45806,,                 27302,                 18504,                 18504,,,,,,,                -47155,                -28651,,                 20462,                 -1958,,                -25845,                 -2806,,                              0.13,                              0.13,,                              0.13,                              0.13,,,                -41772,                 -5383,,                              0,,,,,,,
6209,2013年第2季,,              1372313,,              1229212,                143101,                143101,,,                  8476,,                 89764,,                 18463,                116703,                 26398,,,,                  2732,                 18237,                 20969,,,                              0,                 -1357,                    499,                    519,,,                              0,                              0,                 -2375,,                  4598,                  4598,                 13996,                 40394,,                 13595,                 26799,                 26799,,,,,,,                 45996,                 72795,,                 27554,                   -755,,                 70802,                  1993,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                 58828,                -12832,,                              0,,                              0,,                              0,,                              0,
6209,2013年度,,              5420066,,              4848758,                571308,                571308,,,                 35130,,                357476,,                 77978,                470584,                100724,,,,                 10532,                 64171,                 76652,,,                              0,,                  3470,                  8907,                  8674,,,                              0,                -21051,,                 17950,                 17950,                 37651,                138375,,                 57833,                 80542,                 80542,,,,,,,                149185,                229727,,                 74451,                  6091,,                216510,                 13217,,                              0.46,                              0.46,,                              0.46,                              0.46,,                  1949,                171118,                -15660,                 -2396,                  3877,,,,,,,
6209,2013年07月01日至2013年09月30日,,              1474777,,              1313156,                161621,                161621,,,                  9168,,                 91302,,                 19250,                119720,                 41901,,,,                  2835,                  8851,                 11686,,                              0,                              0,                  5661,                    410,,                              0,,,,                 -3348,,                  4433,                  4433,                  3905,                 45806,,                 27302,                 18504,                 18504,,,,,,,                -47155,                -28651,,                 20462,                 -1958,,                -25845,                 -2806,,,                              0.13,,,                              0.13,,,                -41772,                 -5383,,,,,,,,,                  8599
6209,2013年04月01日至2013年06月30日,,              1372313,,              1229212,                143101,                143101,,,                  8476,,                 89764,,                 18463,                116703,                 26398,,,,                  2732,                 18237,                 20969,,,                              0,                              0,                    499,                    519,                  1357,,,,                 -2375,,                  4598,                  4598,                 13996,                 40394,,                 13595,                 26799,                 26799,,,,,,,                 45996,                 72795,,                 27554,                   -755,,                 70802,                  1993,,,                              0.17,,,                              0.17,,,                 58828,                -12832,,,,,,,,,
6209,2013年01月01日至2013年12月31日,,              5420066,,              4848758,                571308,                571308,,,                 35130,,                357476,,                 77978,                470584,                100724,,,,                 10532,                 64171,                 76652,,,                              0,                 -8674,                  3470,                  8907,,,,,                -21051,,                 17950,                 17950,                 37651,                138375,,                 57833,                 80542,                 80542,,,,,,,                149185,                229727,,                 74451,                  6091,,                216510,                 13217,,                              0.46,                              0.46,,                              0.46,                              0.46,,                  1949,                171118,                -15660,                 -2396,                  3877,,,,,,,
6209,2013年01月01日至2013年09月30日,,              4022847,,              3609798,                413049,                413049,,,                 25045,,                265825,,                 57932,                348802,                 64247,,,,                  7709,                 55048,                 62757,,,                              0,                 -6850,                  3375,                  8793,,,                              0,                              0,                -19018,,                 13361,                 13361,                 30378,                 94625,,                 40463,                 54162,                 54162,,,,,,,                106281,                160443,,                 53050,                  1112,,                154336,                  6107,,                              0.33,                              0.33,,                              0.32,                              0.32,,,                122991,                -16710,,                              0,,,,,,,
6209,2013年01月01日至2013年06月30日,,              2548070,,              2296642,                251428,                251428,,,                 15877,,                174523,,                 38682,                229082,                 22346,,,,                  4874,                 46197,                 51071,,,                              0,                -12511,                  2965,                    194,,,                              0,                              0,                -15670,,                  8928,                  8928,                 26473,                 48819,,                 13161,                 35658,                 35658,,,,,,,                153436,                189094,,                 32588,                  3070,,                180181,                  8913,,                              0.20,                              0.20,,                              0.20,                              0.20,,,                164763,                -11327,,                              0,,                              0,,                              0,,                              0,
6209,2013年01月01日至2013年03月31日,,              1175757,,              1067430,                108327,                108327,,,                  7401,,                 84759,,                 20219,                112379,                 -4052,,,,                  2142,                 27960,                 30102,,,,,                  2466,                   -325,                 11154,,,,                -13295,,                  4330,                  4330,                 12477,                  8425,,                   -434,                  8859,                  8859,,,,,,,                107440,                116299,,                  5034,                  3825,,                109379,                  6920,,                              0.03,                              0.03,,                              0.03,                              0.03,,,                105935,                  1505,,                              0,,,,,,,
6209,2012年07月01日至2012年09月30日,,              2160371,,              1807641,                352730,                352730,,,                  8693,,                133481,,                 21694,                163868,                188862,,,,                  1536,                 22034,                 23570,,                  3339,                  1799,                  8767,                  2715,,                              0,,,,                 11190,,                  3789,                  3789,                 30971,                219833,,                 23074,                196759,                196759,,,,,,,                -87715,                109044,,                198488,                 -1729,,                113097,                 -4053,,,                              1.22,,,                              1.21,,,                -79576,                 -8139,,,,,,,,,                              0
6209,2012年04月01日至2012年06月30日,,              1776234,,              1540399,                235835,                235835,,,                  7612,,                 88374,,                 16421,                112407,                123428,,,,                  1225,                 18302,                 19527,,,                  6885,                              0,                    491,                  6285,                  9848,,,,                 -9739,,                  4245,                  4245,                  5543,                128971,,                 54718,                 74253,                 74253,,,,,,,                 21714,                 95967,,                 80236,                 -5983,,                101466,                 -5499,,,                              0.49,,,                              0.49,,,                 34065,                -12351,,,,,,,,,
6209,2012年01月01日至2012年12月31日,,              6820141,,              5871340,                948801,                948801,,,                 29624,,                401054,,                 73692,                504370,                444431,,,,                  6436,                 64960,                 72451,,,                  8959,                 27547,                  5207,                 11092,,,,,                 20207,,                 16303,                 16303,                 76355,                520786,,                102573,                418213,                418213,,,,,,,               -152528,                265685,,                420145,                 -1932,,                271673,                 -5988,,                              2.58,                              2.58,,                              2.56,                              2.56,,                  1055,               -145243,                 -3869,                 -3416,                              0,,,,,,,
6209,2012年01月01日至2012年09月30日,,              5335651,,              4545143,                790508,                790508,,,                 22089,,                315414,,                 56523,                394026,                396482,,,,                  4430,                 55583,                 60013,,                              0,                  8959,                 18282,                  3929,,                              0,,,,                 19962,,                 11672,                 11672,                 68303,                464785,,                 90812,                373973,                373973,,,,,,,               -123943,                250030,,                381593,                 -7620,,                262016,                -11986,,,                              2.35,,,                              2.33,,,               -134230,                 10287,,,,,,,,,                  3350
6209,2012年01月01日至2012年06月30日,,              3175280,,              2737502,                437778,                437778,,,                 13396,,                181933,,                 34829,                230158,                207620,,,,                  2894,                 33549,                 36443,,,                  7160,                  9515,                  1214,                  6689,                              0,,,,                  8772,,                  7883,                  7883,                 37332,                244952,,                 67738,                177214,                177214,,,,,,,                -36228,                140986,,                183105,                 -5891,,                148919,                 -7933,,,                              1.13,,,                              1.12,,,                -54654,                 18426,,,,,,,,,
6209,2012年01月01日至2012年03月31日,,              1399046,,              1197103,                201943,                201943,,,                  5784,,                 93559,,                 18408,                117751,                 84192,,,,                  1669,                 15247,                 16916,,,                    275,                 19363,                    723,                    404,                              0,,,,                 18511,,                  3638,                  3638,                 31789,                115981,,                 13020,                102961,                102961,,,,,,,                -57942,                 45019,,                102869,                     92,,                 47453,                 -2434,,,                              0.63,,,                              0.63,,,                -88719,                 30777,,,,,,,,,
