證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他綜合損益,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　 停業單位損益,　　 停業單位損益合計,　　 其他營業收入,　　　 其他營業收入淨額,　 其他收益及費損淨額,　　 其他收益及費損淨額
3308,2014年01月01日至2014年03月31日,,,,                317824,                  2366,                    805,                314653,                314653,,                309973,                  4680,                  4680,,,                 45498,,                 12415,                 57913,                -53233,,,,                  5214,                    637,                    774,                  6625,,                   -176,                -14985,,,                -15161,,                  4956,                  4956,                -13492,                -66725,,                 -9342,                -57383,                -57383,,,                 -2251,,                 -2251,                 10989,                -46394,,                -57383,,                -46394,,                             -0.57,,                             -0.57,                              0,                              0,                              0,                              0,,,                 13240,                 13240,,,,,,,,,,,,,,,,,,,,,,,
3308,2013年第3季,,,,                622780,                  1326,                    231,                621223,                621223,,                596741,                 24482,                 24482,,,                 48756,,                 12892,                 61648,                -37166,,,,                  2468,                              0,                  2259,                  4727,,                     91,                 -9876,,                     27,                 -9812,,                  4423,                  4423,                 -9508,                -46674,,                  1198,                -47872,                -47872,,,,,,                 -6085,                -53957,,                -47872,,                -53957,,                             -0.48,,                             -0.48,                              0,                              0,                              0,                              0,,,,,                 -7331,,,,                              0,,                              0,,                              0,                  1246,,,,,,,,,,,,,
3308,2013年第2季,,,,                370658,                    158,                     29,                370471,                370471,,                365972,                  4499,                  4499,,,                 45076,,                 13289,                 58365,                -53866,,,,                  2693,                              0,                    878,                  3571,,                   -237,                 12148,,                    564,                 11347,,                  4612,                  4612,                 10306,                -43560,,                -16826,                -26734,                -26734,,,,,,                  1941,                -24793,,                -26734,,                -24793,,                             -0.27,,                             -0.27,,,,,,,,,                  2338,,,,,,,,,                   -397,,                365972,,,,,,,,,,,
3308,2013年度,,,,              2011070,                  2284,                 45245,              1963541,              1963541,,              1888006,                 75535,                 75535,,,                195602,,                 56428,                252030,               -176495,,,,                 11796,                  1775,                 12186,                 25757,,                   -429,                 43956,,                    583,                 42944,,                 18628,                 18628,                 50073,               -126422,,                 -6863,               -119559,               -119559,,,,,,                  7096,               -112463,,               -119559,,               -112463,,                             -1.20,,                             -1.20,                              0,                              0,                              0,                              0,,,,,                  8211,                    281,                  1396,,,,,,,,,,,,,,,,,,,,
3308,2013年07月01日至2013年09月30日,,,,                622780,                  1326,                    231,                621223,                621223,,                596741,                 24482,                 24482,,,                 48756,,                 12892,                 61648,                -37166,,,,                  2468,                              0,                  2259,                  4727,,                     91,                 -9876,                              0,                     27,                 -9812,,                  4423,                  4423,                 -9508,                -46674,,                  1198,                -47872,                -47872,,,,,,                 -6085,                -53957,,                -47872,,                -53957,,                             -0.48,,                             -0.48,,,,,,,,,                 -6085,,,,,,,,,,,,,,,,,,,,,,
3308,2013年04月01日至2013年06月30日,,,,                370658,                    158,                     29,                370471,                370471,,                365972,                  4499,                  4499,,,                 45076,,                 13289,                 58365,                -53866,,,,                  2693,                              0,                    878,                  3571,,,                 12148,                              0,                    564,                 11347,,                  4612,                  4612,                 10306,                -43560,,                -16826,                -26734,                -26734,,,,,,                  1941,                -24793,,                -26734,,                -24793,,                             -0.27,,                             -0.27,,,,,,,,,                  1941,,,,,,,,,,,,,,,                    237,                              0,,                              0,,,,
3308,2013年01月01日至2013年12月31日,,,,              2011070,                  2284,                 45245,              1963541,              1963541,,              1888006,                 75535,                 75535,,,                195602,,                 56428,                252030,               -176495,,,,                 11796,                  1775,                 12186,                 25757,,                              0,                 43956,                              0,                    583,                 42944,,                 18628,                 18628,                 50073,               -126422,,                 -6863,               -119559,               -119559,,,,,,                  7096,               -112463,,               -119559,,               -112463,,                             -1.20,,                             -1.20,,,,,,,,,                  6815,                    281,,,,,,,,,,              1888006,                             -1.20,                             -1.20,,                    429,                              0,,,,,,
3308,2013年01月01日至2013年09月30日,,,,              1468323,                  2009,                    280,              1466034,              1466034,,              1396965,                 69069,                 69069,,,                152693,,                 41936,                194629,               -125560,,,,                  8191,                  1421,                 11562,                 21174,,                   -364,                 29205,,                  1168,                 27673,,                 13891,                 13891,                 34956,                -90604,,                -11809,                -78795,                -78795,,,,,,                  4716,                -74079,,                -78795,,                -74079,,                             -0.79,,                             -0.79,                              0,                              0,                              0,                              0,,,,,                  5682,,,,                              0,,                              0,,                              0,                   -966,,,,,,,,,,,,,
3308,2013年01月01日至2013年06月30日,,,,                845543,                    683,                     49,                844811,                844811,,                800224,                 44587,                 44587,,,                103292,,                 29044,                132336,                -87749,,,,                  5723,                    776,                  9303,                 15802,,                   -455,                 39081,,                  1141,                 37485,,                  9468,                  9468,                 43819,                -43930,,                -13007,                -30923,                -30923,,,,,,                 10801,                -20122,,                -30923,,                -20122,,                             -0.31,,                             -0.31,,,,,,,,,                 13013,,,,,,,,,                 -2212,,                800224,,,,,,,,,,,
3308,2013年01月01日至2013年03月31日,,,,                474885,                    525,                     20,                474340,                474340,,                434252,                 40088,                 40088,,,                 59836,,                 15755,                 75591,                -35503,,,,                  3030,                  2396,                  8425,                 13851,,                   -218,                 26933,,                    577,                 26138,,                  4856,                  4856,                 35133,                   -370,,                  3819,                 -4189,                 -4189,,,,,,                  8860,                  4671,,                 -4189,,                  4671,,                             -0.04,,                             -0.04,,,,,,,,,                  8860,,,,,,,,,                              0,,                434252,                             -0.04,                             -0.04,                              0.00,,,,,,,,
3308,2012年07月01日至2012年09月30日,,,,                508208,                  1031,                     45,                507132,                507132,,                467335,                 39797,                 39797,,,                 54513,,                 17036,                 71549,                -31752,,,,                  1932,                    120,                  4588,                  6640,,                    131,                -10137,                  6166,                  1264,                 -5104,,                  4028,                  4028,                 -2492,                -34244,,                   -516,                -33728,                -33728,,,,,,                 -8746,                -42474,,                -33728,,                -42474,,                             -0.34,,                             -0.34,,,,,,,,,                 -8746,,,,,,,,,,,,,,,,,,,,,,
3308,2012年04月01日至2012年06月30日,,,,                652271,                  5109,                    742,                646420,                646420,,                572230,                 74190,                 74190,,,                 68588,,                 15344,                 83932,                 -9742,,,,                  1801,                    348,                  6726,                  8875,,,                    123,                    163,                              0,                    286,,                  5084,                  5084,                  4077,                 -5665,,                  2945,                 -8610,                 -8610,,,,,,                  5984,                 -2626,,                 -8610,,                 -2626,,                             -0.09,,                             -0.09,,,,,,,,,                  5984,,,,,,,,,,,,,,,                              0,                              0,,                              0,,,,
3308,2012年01月01日至2012年12月31日,,,,              2233228,                  6209,                  4647,              2222372,              2222372,,              1999813,                222559,                222559,,,                216755,,                 63295,                280050,                -57491,,,,                  7317,                              0,                 62261,                 69578,,                    131,                              0,                 14986,                  1271,                -15787,,                 21692,                 21692,                 32099,                -25392,,                  8220,                -33612,                -33612,,,,,,                -15577,                -49189,,                -33612,,                -49189,,                             -0.34,,                             -0.34,,,,,,,,,                -15550,                    -27,,,,,,,,,,              1999813,                             -0.34,                             -0.34,,                              0,                 29633,,,,,,
3308,2012年01月01日至2012年09月30日,,,,              1802819,                  6202,                  4620,              1791997,              1791997,,              1605139,                186858,                186858,,,                169556,,                 48760,                218316,                -31458,,,,                  5772,                    468,                 13268,                 19508,,                    131,                -24971,                 14002,                  1271,                -12109,,                 13944,                 13944,                 -6545,                -38003,,                  2361,                -40364,                -40364,,,,,,                -11897,                -52261,,                -40364,,                -52261,,                             -0.40,,                             -0.40,,,,,,,,,                -11897,,,,,,,,,,,,,,,,,,,,,,
3308,2012年01月01日至2012年06月30日,,,,              1294611,                  5171,                  4575,              1284865,              1284865,,              1137804,                147061,                147061,,,                115043,,                 31724,                146767,                    294,,,,                  3840,                    348,                  8680,                 12868,,,                              0,                  7836,                      7,                 -7005,,                  9916,                  9916,                 -4053,                 -3759,,                  2877,                 -6636,                 -6636,,,,,,                 -3151,                 -9787,,                 -6636,,                 -9787,,                             -0.07,,                             -0.07,,,,,,,,,                 -3151,,,,,,,,,,,,,,,                              0,                 14834,,                              0,,,,
3308,2012年01月01日至2012年03月31日,,,,                642340,                     62,                  3833,                638445,                638445,,                578643,                 59802,                 59802,,,                 46459,,                 16380,                 62839,                 -3037,,,,                  2039,                              0,                 15027,                 17066,,,                              0,                  7673,                      7,                 -7291,,                  4832,                  4832,                  4943,                  1906,,                    -68,                  1974,                  1974,,,,,,                 -9135,                 -7161,,                  1974,,                 -7161,,                              0.02,,                              0.02,,                              0,,                              0,,,,,                 -9135,,,,,,,,,,,                578643,,,,                              0,                 14957,,                              0,,                              0,,                              0
