證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2349,2015年第3季,,              2662883,,              2704355,                -41472,                -41472,,,                210358,,                207202,,                 94032,                511592,               -553064,,,                 51733,,                 59561,,                 77700,,                 -6961,                 26633,               -526431,,                 50390,               -576821,               -576821,,,                410312,                -95246,,                  2515,                    -56,                317637,                317637,               -259184,,               -586508,                  9687,,               -262071,                  2887,,                             -0.22,,,,,,
2349,2015年第2季,,              2612582,,              2602148,                 10434,                 10434,,,                188694,,                141170,,                100917,                430781,               -420347,,,                 33801,,                512640,,                 58616,,                 -4827,                482998,                 62651,,                 33707,                 28944,                 28944,,,               -154518,                 78393,,                 -1695,                   -774,                -77046,                -77046,                -48102,,                 34991,                 -6047,,                -65879,                 17777,,                              0.01,,,,,,
2349,2015年01月01日至2015年09月30日,,              8195589,,              8307155,               -111566,               -111566,,,                662171,,                499083,,                283626,              1444880,             -1556446,,,                131740,,                459075,,                194655,,                -22463,                373697,             -1182749,,                116138,             -1298887,             -1298887,,,                105353,                141735,,                   -265,                 -2182,                249005,                249005,             -1049882,,             -1275209,                -23678,,             -1109972,                 60090,,                             -0.49,,,,,,
2349,2015年01月01日至2015年06月30日,,              5532706,,              5602800,                -70094,                -70094,,,                451813,,                291881,,                189594,                933288,             -1003382,,,                 80007,,                399514,,                116955,,                -15502,                347064,               -656318,,                 65748,               -722066,               -722066,,,               -304959,                236981,,                 -2780,                 -2126,                -68632,                -68632,               -790698,,               -688701,                -33365,,               -847901,                 57203,,                             -0.26,,,,,,
2349,2015年01月01日至2015年03月31日,,              2920124,,              3000652,                -80528,                -80528,,,                263119,,                150711,,                 88677,                502507,               -583035,,,                 46206,,               -113126,,                 58339,,                -10675,               -135934,               -718969,,                 32041,               -751010,               -751010,,,               -150441,                158588,,                 -1085,                 -1352,                  8414,                  8414,               -742596,,               -723692,                -27318,,               -782022,                 39426,,                             -0.28,,,,,,
2349,2014年第3季,,              2937712,,              3120492,               -182780,               -182780,,,                190963,,                210080,,                 73795,                474838,               -657618,,,                 53929,,                 47067,,                 67612,,                  7438,                 40822,               -616796,,                 46842,               -663638,               -663638,,,                205516,                -94250,,                    867,                   -922,                113055,                113055,               -550583,,               -614162,                -49476,,               -488838,                -61745,,                             -0.24,,,,,,
2349,2014年第2季,,              2794119,,              3076857,               -282738,               -282738,,,                216339,,                183225,,                105170,                504734,               -787472,,,                 64603,,               -162476,,                 70517,,                 -8219,               -176609,               -964081,,                 54929,             -1019010,             -1019010,,,               -204860,               -160618,,                 -1848,                  1480,               -368806,               -368806,             -1387816,,               -943376,                -75634,,             -1203902,               -183914,,                             -0.37,,,,,,
2349,2014年度,,             12353998,,             13457496,             -1103498,             -1103498,,,              1027130,,                606686,,                380791,              2014607,             -3118105,,,                153298,,               -233379,,                282832,,                 26382,               -336531,             -3454636,,                282750,             -3737386,             -3737386,,,,,,,,,                137349,             -3600037,,             -3316457,               -420929,,             -3133367,               -466670,,                             -1.29,                311311,               -161241,                -15260,,                  2539,
2349,2014年01月01日至2014年09月30日,,              8862028,,              9747379,               -885351,               -885351,,,                649952,,                548988,,                289109,              1488049,             -2373400,,,                197134,,                -97793,,                206268,,                 -8315,               -115242,             -2488642,,                136278,             -2624920,             -2624920,,,                 31544,                -95040,,                    447,                  1064,                -64113,                -64113,             -2689033,,             -2411053,               -213867,,             -2420439,               -268594,,                             -0.94,,,,,,
2349,2014年01月01日至2014年06月30日,,              5924316,,              6626887,               -702571,               -702571,,,                458989,,                338908,,                215314,              1013211,             -1715782,,,                143205,,               -144860,,                138656,,                -15753,               -156064,             -1871846,,                 89436,             -1961282,             -1961282,,,               -173972,                   -790,,                   -420,                  1986,               -177168,               -177168,             -2138450,,             -1796891,               -164391,,             -1931601,               -206849,,                             -0.70,,,,,,
