證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 違約金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　　 銷貨收入,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 遞延所得稅費用（利益）
3130,2015年第3季,,,,                658486,                  1763,                656723,                656723,,,                305672,                305672,                305672,                351051,                351051,,,                166301,,                 32081,,                 54854,                253236,                 97815,,,,                  3716,                              0,                    932,                  4648,,                  1736,,                              0,                              0,                  6384,                104199,,                 20669,                 20669,                 83530,                 83530,,,                  2515,                  2515,                  2515,                 86045,,                 82178,                  1352,,                 84424,                  1621,,                              2.49,,                              2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年第2季,,,,                680689,                  1699,                678990,                678990,,,                320837,                320837,                320837,                358153,                358153,,,                158846,,                 33591,,                 46836,                239273,                118880,,,,                  3834,                    876,                    856,                  5566,,                     26,,                              0,                              0,                  5592,                124472,,                 18047,                 18047,                106425,                106425,,,                   -733,                   -733,                   -733,                105692,,                106025,                    400,,                105375,                    317,,                              3.21,,                              3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年01月01日至2015年09月30日,,,,              1948366,                  5561,              1942805,              1942805,,,                935006,                935006,                935006,              1007799,              1007799,,,                477249,,                 93903,,                142743,                713895,                293904,,,,                 11054,                    876,                  1834,                 13764,,                  1897,,                              0,                              0,                 15661,                309565,,                 51606,                 51606,                257959,                257959,,,                  1388,                  1388,                  1388,                259347,,                256747,                  1212,,                258018,                  1329,,                              7.78,,                              7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年01月01日至2015年06月30日,,,,              1289880,                  3798,              1286082,              1286082,,,                629334,                629334,                629334,                656748,                656748,,,                310948,,                 61822,,                 87889,                460659,                196089,,,,                  7338,                    876,                    902,                  9116,,                    161,,                              0,                              0,                  9277,                205366,,                 30937,                 30937,                174429,                174429,,,                 -1127,                 -1127,                 -1127,                173302,,                174569,                   -140,,                173594,                   -292,,                              5.29,,                              5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年01月01日至2015年03月31日,,,,                609191,                  2099,                607092,                607092,,,                308497,                308497,                308497,                298595,                298595,,,                152102,,                 28231,,                 41053,                221386,                 77209,,,,                  3504,,                     46,                  3550,,                    135,,                              0,                              0,                  3685,                 80894,,                 12890,                 12890,                 68004,                 68004,,,                   -394,                   -394,                   -394,                 67610,,                 68544,                   -540,,                 68219,                   -609,,                              2.07,,                              2.05,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,
3130,2014年第3季,,,,                652570,                  1896,                650674,                650674,,,                322346,                322346,                322346,                328328,                328328,,,                141922,,                 27266,,                 42679,                211867,                116461,,,,                  3094,                              0,                  4553,                  7647,,                    237,,                      2,                      2,                  7882,                124343,,                 21297,                 21297,                103046,                103046,,,                  1306,                  1306,                  1306,                104352,,                102619,                    427,,                103756,                    596,,                              3.11,,                              3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年第2季,,,,                627682,                  2816,                624866,                624866,,,                314617,                314617,                314617,                310249,                310249,,,                144101,,                 26057,,                 42557,                212715,                 97534,,,,                  2663,                              0,                  2158,                  4821,,                     90,,                      3,                      3,                  4908,                102442,,                 16620,                 16620,                 85822,                 85822,,,                   -981,                   -981,                   -981,                 84841,,                 84694,                  1128,,                 83814,                  1027,,                              2.57,,                              2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年度,,,,              2472325,                  9547,              2462778,              2462778,,,              1247158,              1247158,              1247158,              1215620,              1215620,,,                595620,,                108664,,                169710,                873994,                341626,,,,,,,                 20149,,                  8408,,                      6,                      6,                 28551,                370177,,,                 57175,                313002,                313002,,,,,                 -5071,                307931,,                310589,                  2413,,                305276,                  2655,,                              9.41,,                              9.32,,,,,,,,,,,,,,,,,,,,              2472325,                    143,                  7284,                    154,                     66,                              0,                   -893,                 57175,                 -6086,                  1223,                    208,
3130,2014年01月01日至2014年09月30日,,,,              1840595,                  7151,              1833444,              1833444,,,                929578,                929578,                929578,                903866,                903866,,,                428089,,                 77629,,                121520,                627238,                276628,,,,                  8081,                              0,                  6816,                 14897,,                    589,,                     20,                     20,                 15466,                292094,,                 49691,                 49691,                242403,                242403,,,                    -41,                    -41,                    -41,                242362,,                239578,                  2825,,                239517,                  2845,,                              7.26,,                              7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年01月01日至2014年06月30日,,,,              1188022,                  5252,              1182770,              1182770,,,                607232,                607232,                607232,                575538,                575538,,,                286167,,                 50363,,                 78841,                415371,                160167,,,,                  4987,                              0,                  2263,                  7250,,                    352,,                     18,                     18,                  7584,                167751,,                 28394,                 28394,                139357,                139357,,,                 -1347,                 -1347,                 -1347,                138010,,                136959,                  2398,,                135761,                  2249,,                              4.15,,                              4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
