證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨成本,　　 共同控制下前手權益（淨利／損）
4545,2015年第3季,,,,              1006632,              1006632,                 19514,                987118,                987118,,,                650496,                650496,                336622,                336622,,,                 29283,,                 74958,,                 49213,                153454,                183168,,,                  4578,,                 59807,,                    984,,                 12121,                 75522,                258690,,                 70572,                 70572,                188118,                188118,,,                  5851,                              0,                  5851,                  5851,                193969,,                188118,,                193969,,                              2.77,,                              2.77,,,,,,,,,
4545,2015年第2季,,,,                781876,                781876,                 25156,                756720,                756720,,,,                503088,                253632,                253632,,,                 23465,,                 73094,,                 46976,                143535,                110097,,,                  5047,,                -16140,,                  1208,,                  3320,                 -8981,                101116,,                 17085,                 17085,                 84031,                 84031,,,                   -809,                              0,                   -809,                   -809,                 83222,,                 84031,,                 83222,,                              1.36,,                              1.36,,,,,,,,,
4545,2015年01月01日至2015年09月30日,,,,              2618195,              2618195,                 55770,              2562425,              2562425,,,              1661076,              1661076,                901349,                901349,,,                 80613,,                211444,,                131357,                423414,                477935,,,                 16358,,                 38571,,                  3063,,                 26003,                 77869,                555804,,                132177,                132177,                423627,                423627,,,                -22250,                              0,                -22250,                -22250,                401377,,                423627,,                401377,,                              6.24,,                              6.20,,,,,,,,,
4545,2015年01月01日至2015年06月30日,,,,              1611563,              1611563,                 36256,              1575307,              1575307,,,,              1010580,                564727,                564727,,,                 51330,,                136486,,                 82144,                269960,                294767,,,                 11780,,                -21236,,                  2079,,                 13882,                  2347,                297114,,                 61605,                 61605,                235509,                235509,,,                -28101,                              0,                -28101,                -28101,                207408,,                235509,,                207408,,                              3.82,,                              3.79,,,,,,,,,
4545,2014年第3季,,,,                983382,                983382,                 16050,                967332,                967332,,,                586213,                586213,                381119,                381119,,,                 60363,,                 66072,,                 32105,                158540,                222579,,,                  3306,,                 13854,,                  1938,,                  6958,                 22180,                244759,,                 44507,                 44507,                200252,                200252,,,                  1738,                              0,                  1738,                  1738,                201990,,                200252,,                201990,,                              2.95,,                              2.94,,,,,,,,,
4545,2014年第2季,,,,                700365,                700365,                  4457,                695908,                695908,,,,                450934,                244974,                244974,,,                 41288,,                 55356,,                 26734,                123378,                121596,,,                  4469,,                -15767,,                  1623,,                  4086,                 -8835,                112761,,                 20988,                 20988,                 91773,                 91773,,,                 -4580,                              0,                 -4580,                 -4580,                 87193,,                 91773,,                 87193,,                              1.49,,                              1.48,,,,,,,,,
4545,2014年度,,,,              3150791,              3150791,                 31608,              3119183,              3119183,,,,              1967836,              1151347,              1151347,,,                183814,,                282583,,                136302,                602699,                548648,,,                 17265,,                 38878,,                  6927,,                 24520,                 73736,                622384,,,                128191,                494193,                494193,,,,,,                 11805,                505998,,                494193,,                505998,,                              8.01,,                              7.96,                128191,                 11805,                              0,                              8.01,                              7.96,,,,
4545,2014年01月01日至2014年09月30日,,,,              2270259,              2270259,                 25534,              2244725,              2244725,,,              1439009,              1439009,                805716,                805716,,,                134727,,                179091,,                 79439,                393257,                412459,,,                 12645,,                 13629,,                  5539,,                 15306,                 36041,                448500,,                 81160,                 81160,                367340,                367340,,,                 10641,                              0,                 10641,                 10641,                377981,,                367340,,                377981,,                              5.41,,                              5.38,,,,,,,,,
4545,2014年01月01日至2014年06月30日,,,,              1286877,              1286877,                  9484,              1277393,              1277393,,,,                852796,                424597,                424597,,,                 74364,,                113019,,                 47334,                234717,                189880,,,                  9339,,                   -225,,                  3601,,                  8348,                 13861,                203741,,                 36653,                 36653,                167088,                167088,,,                  8903,                              0,                  8903,                  8903,                175991,,                167088,,                175991,,                              2.71,,                              2.70,,,,,,,,,
4545,2013年第2季,,,,,,,,                535932,,,,                405735,                130197,                130197,,,                 34735,,                 41559,,                 18226,                 94520,                 35677,,,                  3612,,                -12142,,                  2182,,                  1282,                 -9430,                 26247,,,                  4427,                 21820,                 21820,,,,,,                 -1795,                 20025,,                 21820,,                 20025,,                              0.35,,                              0.35,                  4427,                 -1795,                              0,,,,,,
