證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 標準成本差異,　　　 直接原料差異,　　　　 直接原料差異合計,　　　 直接人工差異,　　　　 直接人工差異合計,　　　 製造費用差異,　　　　 製造費用差異合計,　　　 標準成本差異合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 廉價購買利益,　　　 手續費收入,　　　　 手續費收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）
5225,2015年第3季,,,              2378692,,                              0,,                              0,,                              0,,                              0,,                              0,              2378692,,,              1977259,              1977259,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1977259,                401433,                401433,,,                 39637,,                211469,                251106,                150327,,,,                    534,                    289,                              0,,                              0,                 11314,                 12137,,                              0,                 15959,                              0,,                              0,,                              0,                 14137,                  4189,                              0,                  2068,,                              0,                 -4435,,                              0,,                              0,,                  7192,                  7192,,                              0,                    510,                150837,,                 18159,                132678,,                              0,                132678,,,,,,                 47974,                 47974,                 47974,                180652,,                132678,,                180652,,                              2.19,                              2.19,,                              0.00,,
5225,2015年第2季,,,              1818878,,                              0,,                              0,,                              0,,                              0,,                              0,              1818878,,,              1562342,              1562342,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1562342,                256536,                256536,,,                 45377,,                210408,                255785,                    751,,,,                  1283,,                              0,,                              0,                 23152,                 24435,,                     60,                  8388,                  1119,,                              0,,                              0,                  4309,                  2672,                              0,                  3547,,                              0,                   -961,,                              0,,                              0,,                  5466,                  5466,,                              0,                 18008,                 18759,,                  7891,                 10868,,                              0,                 10868,,,,,,                -10122,                -10122,                -10122,                    746,,                 10868,,                    746,,                              0.18,                              0.18,,                              0.00,,
5225,2015年度,,,              8166474,,                              0,,                              0,,                              0,,                              0,,                              0,              8166474,,,              6933662,              6933662,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              6933662,              1232812,              1232812,,,                166122,,                854676,              1020798,                212014,,,,                  3844,                  1163,                 41446,,                              0,                 62100,                108553,,                    225,                 63590,                              0,,                              0,,                              0,                 42459,                 11556,                              0,                  3324,,                              0,                  6476,,                              0,,                              0,,                 26064,                 26064,,                              0,                 88965,                300979,,                 45705,                255274,,                              0,                255274,,,                -10749,                -10749,,                -79672,                -79672,                -90421,                164853,,                255274,,                164853,,                              4.23,                              4.23,,                              0.00,,
5225,2015年01月01日至2015年09月30日,,,              6263612,,                              0,,                              0,,                              0,,                              0,,                              0,              6263612,,,              5328805,              5328805,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              5328805,                934807,                934807,,,                127208,,                651565,                778773,                156034,,,,                  3039,                    868,                 41446,,                              0,                 44213,                 89566,,                    113,                 45436,                              0,,                              0,,                              0,                 28450,                  7107,                              0,                  4992,,                              0,                  5000,,                              0,,                              0,,                 18634,                 18634,,                              0,                 75932,                231966,,                 32949,                199017,,                              0,                199017,,,,,,                -27270,                -27270,                -27270,                171747,,                199017,,                171747,,                              3.29,                              3.29,,                              0.00,,
5225,2015年01月01日至2015年06月30日,,,              3884920,,                              0,,                              0,,                              0,,                              0,,                              0,              3884920,,,              3351546,              3351546,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              3351546,                533374,                533374,,,                 87571,,                440096,                527667,                  5707,,,,                  2505,,                 41446,,                              0,                 33479,                 77430,,                    112,                 29477,                  1119,,                              0,,                              0,                 14313,                  2918,                              0,                  4043,,                              0,                  9434,,                              0,,                              0,,                 11442,                 11442,,                              0,                 75422,                 81129,,                 14790,                 66339,,                              0,                 66339,,,,,,                -75244,                -75244,                -75244,                 -8905,,                 66339,,                 -8905,,                              1.10,                              1.10,,                              0.00,,
5225,2015年01月01日至2015年03月31日,,,              2066042,,                              0,,                              0,,                              0,,                              0,,                              0,              2066042,,,              1789204,              1789204,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1789204,                276838,                276838,,,                 42194,,                229688,                271882,                  4956,,,,                  1222,,                 41446,,                              0,                 10327,                 52995,,                     52,                 21089,                              0,,                              0,,                              0,                 10004,                    246,                              0,                    496,,                              0,                 10395,,                              0,,                              0,,                  5976,                  5976,,                              0,                 57414,                 62370,,                  6899,                 55471,,                              0,                 55471,,,,,,                -65122,                -65122,                -65122,                 -9651,,                 55471,,                 -9651,,                              0.92,                              0.92,,                              0.00,,
5225,2014年第3季,,,              1728140,,                              0,,                              0,,                              0,,                              0,,                              0,              1728140,,,              1451125,              1451125,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1451125,                277015,                277015,,,                 38682,,                109611,                148293,                128722,,,,                    239,                    721,                              0,,                              0,                 15879,                 16839,,                    258,                  3862,                  3194,,                              0,,                              0,                  5315,                      4,                              0,                              0,,                              0,                  1995,,                              0,,                              0,,                  1098,                  1098,,                              0,                 17736,                146458,,                 21608,                124850,,                              0,                124850,,,,,,                  8449,                  8449,                  8449,                133299,,                124850,,                133299,,                              2.06,                              2.06,,                              0.00,,
5225,2014年第2季,,,              1420344,,                              0,,                              0,,                              0,,                              0,,                              0,              1420344,,,              1203880,              1203880,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1203880,                216464,                216464,,,                 34471,,                 83500,                117971,                 98493,,,,                    949,,                              0,,                              0,                  4288,                  5237,,                      3,                              0,                    193,,                              0,,                              0,                              0,                  3408,                  3459,                              0,,                              0,                 -6671,,                              0,,                              0,,                  1314,                  1314,,                              0,                 -2748,                 95745,,                 13822,                 81923,,                              0,                 81923,,,,,,                -30101,                -30101,                -30101,                 51822,,                 81923,,                 51822,,                              1.35,                              1.35,,                              0.00,,
5225,2014年度,,,              5685347,,                              0,,                              0,,                              0,,                              0,,                              0,              5685347,,,              4782838,              4782838,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              4782838,                902509,                902509,,,                135363,,                471778,                607141,                295368,,,,                  3503,                  2366,                              0,,                              0,                 35335,                 41204,,                    306,                              0,                              0,,                              0,,                              0,                  9646,                  3769,                    682,                  1947,,                              0,                -15738,,                              0,,                              0,,                  3275,                  3275,,                              0,                 22191,                317559,,                 52907,                264652,,                              0,                264652,,,                              0,                              0,,                 69085,                 69085,                 69085,                333737,,                264652,,                333737,,                              4.36,                              4.36,,                              0.00,                 69085,                              0
5225,2014年01月01日至2014年09月30日,,,              4219327,,                              0,,                              0,,                              0,,                              0,,                              0,              4219327,,,              3576157,              3576157,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              3576157,                643170,                643170,,,                 97478,,                308080,                405558,                237612,,,,                  3020,                    721,                              0,,                              0,                 26140,                 29881,,                    300,                              0,                              0,,                              0,,                              0,                  5315,                  1960,                    152,                  2633,,                              0,                 -9760,,                              0,,                              0,,                  2412,                  2412,,                              0,                 17709,                255321,,                 40997,                214324,,                              0,                214324,,,,,,                 -2619,                 -2619,                 -2619,                211705,,                214324,,                211705,,                              3.53,                              3.53,,                              0.00,,
