證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
3042,2015年第3季,,,              2416808,              2416808,,,              1836069,              1836069,                580739,                580739,,,                129557,,                 92382,,                123512,                345451,                235288,,,                 18785,,                 89575,,                 10961,,                  3131,                100530,                335818,,                 49965,                285853,                285853,,,                 98675,               -432688,,                    205,               -333808,               -333808,                -47955,,                285853,,                -47955,                              0,,                              0.92,                              0.92,,                              0.87,                              0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年第2季,,,              2219467,              2219467,,,              1728959,              1728959,                490508,                490508,,,                114449,,                 88617,,                106043,                309109,                181399,,,                 15689,,                 27428,,                 10272,,                  2410,                 35255,                216654,,                 39676,                176978,                176978,,,                -12746,              1534191,,                  3998,              1525443,              1525443,              1702421,,                176978,,              1702421,                              0,,                              0.57,                              0.57,,                              0.54,                              0.54,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年01月01日至2015年09月30日,,,              6771344,              6771344,,,              5166877,              5166877,              1604467,              1604467,,,                365345,,                269338,,                336305,                970988,                633479,,,                 55883,,                130810,,                 32150,,                  8061,                162604,                796083,,                112187,                683896,                683896,,,                 13501,              1100841,,                  4203,              1118545,              1118545,              1802441,,                683896,,              1802441,                              0,,                              2.21,                              2.21,,                              2.08,                              2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年01月01日至2015年06月30日,,,              4354536,              4354536,,,              3330808,              3330808,              1023728,              1023728,,,                235788,,                176956,,                212793,                625537,                398191,,,                 37098,,                 41235,,                 21189,,                  4930,                 62074,                460265,,                 62222,                398043,                398043,,,                -85174,              1533529,,                  3998,              1452353,              1452353,              1850396,,                398043,,              1850396,                              0,,                              1.29,                              1.29,,                              1.22,                              1.22,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年01月01日至2015年03月31日,,,,              2135069,,,,              1601849,                533220,                533220,,,                121339,,                 88339,,                106750,                316428,                216792,,,                 21409,,                 13807,,                 10917,,                  2520,                 26819,                243611,,                 22546,                221065,                221065,,,                -72428,                   -662,,                              0,                -73090,                -73090,                147975,,                221065,,                147975,                              0,,                              0.71,                              0.71,,                              0.68,                              0.68,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                -73090,                -73090,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,
3042,2014年第3季,,,              2519309,              2519309,,,              1910522,              1910522,                608787,                608787,,,                137343,,                 95796,,                109241,                342380,                266407,,,                 16830,,                 28033,,                 11756,,                  5300,                 38407,                304814,,                 36957,                267857,                267857,,,                 82494,                  2707,,                              0,                 85201,                 85201,                353058,,                267857,,                353058,                              0,,                              0.86,                              0.86,,                              0.82,                              0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年第2季,,,              2358351,              2358351,,,              1779454,              1779454,                578897,                578897,,,                125646,,                 79441,,                119716,                324803,                254094,,,                 18101,,                 -1404,,                 12056,,                  6045,                 10686,                264780,,                 22718,                242062,                242062,,,                -90006,                 -2946,,                              0,                -92952,                -92952,                149110,,                242062,,                149110,                              0,,                              0.78,                              0.78,,                              0.75,                              0.75,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年度,,,              9526243,              9526243,,,              7195094,              7195094,              2331149,              2331149,,,                517442,,                374002,,                435683,              1327127,              1004022,,,                 95433,,                 73985,,                 46989,,                 19304,                141733,              1145755,,                150581,                995174,                995174,,,,,,,,                255984,              1251158,,                995174,,              1251158,                              0,,                              3.21,                              3.21,,                              3.04,                              3.04,,                              0,,,,,,,,,,,,,,,,,,,,,,                266660,                    800,                -13826,                  2350
3042,2014年01月01日至2014年09月30日,,,              7043192,              7043192,,,              5346105,              5346105,              1697087,              1697087,,,                367614,,                266014,,                328802,                962430,                734657,,,                 73307,,                 33594,,                 35243,,                 16327,                 87985,                822642,,                 90611,                732031,                732031,,,                 51877,                    885,,                              0,                 52762,                 52762,                784793,,                732031,,                784793,                              0,,                              2.36,                              2.36,,                              2.24,                              2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年01月01日至2014年06月30日,,,              4523883,              4523883,,,              3435583,              3435583,              1088300,              1088300,,,                230271,,                170218,,                219561,                620050,                468250,,,                 56477,,                  5561,,                 23487,,                 11027,                 49578,                517828,,                 53654,                464174,                464174,,,                -30617,                 -1822,,                              0,                -32439,                -32439,                431735,,                464174,,                431735,                              0,,                              1.50,                              1.50,,                              1.43,                              1.43,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
