證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出
3514,2015年第3季,,,,              4307206,                  5958,                     16,              4301232,              4301232,,              3884246,                416986,                416986,,,                 64819,,                 64246,,                 57804,                186869,,                 -3416,                226701,,,                 17817,                 17817,,                -61993,,                 30467,,                 -9525,                -84168,                142533,,                  3934,                138599,                138599,,,,                  7698,                  7698,,                 -5646,                -31610,                -37256,                -29558,                109041,,                138599,,                109041,,                              0.32,                              0.32,,                              0.31,                              0.31,,,,,,,,,,,
3514,2015年第2季,,,,              3972562,                 20102,                    437,              3952023,              3952023,,              4053851,               -101828,               -101828,,,                 54639,,                 42228,,                 70921,                167788,,                 -4153,               -273769,,,                 12071,                 12071,,                 10709,,                 31740,,                -49094,                -58054,               -331823,,                              0,               -331823,               -331823,,,,                 -2992,                 -2992,,                  5820,                 -6379,                   -559,                 -3551,               -335374,,               -331823,,               -335374,,                             -0.82,                             -0.82,,                              0.00,                              0.00,,,,,,,,,,,
3514,2015年01月01日至2015年09月30日,,,,             11356043,                 28794,                    813,             11326436,             11326436,,             11077747,                248689,                248689,,,                161506,,                153100,,                187686,                502292,,                -11673,               -265276,,,                 33136,                 33136,,                -50142,,                 94825,,               -108143,               -219974,               -485250,,                  4173,               -489423,               -489423,,,,                  2212,                  2212,,                    174,                -33995,                -33821,                -31609,               -521032,,               -489423,,               -521032,,                             -1.18,                             -1.18,,                              0.00,                              0.00,,,,,,,,,,,
3514,2015年01月01日至2015年06月30日,,,,              7048837,                 22836,                    797,              7025204,              7025204,,              7193501,               -168297,               -168297,,,                 96687,,                 88854,,                129882,                315423,,                 -8257,               -491977,,,                 15319,                 15319,,                 11851,,                 64358,,                -98618,               -135806,               -627783,,                    239,               -628022,               -628022,,,,                 -5486,                 -5486,,                  5820,                 -2385,                  3435,                 -2051,               -630073,,               -628022,,               -630073,,                             -1.55,                             -1.55,,                              0.00,                              0.00,,,,,,,,,,,
3514,2014年第3季,,,,              2935297,                 29593,                  1042,              2904662,              2904662,,              3139056,               -234394,               -234394,,,                 40108,,                 57163,,                 72007,                169278,,                 -5885,               -409557,,,                 11321,                 11321,,                 14669,,                 30765,,                -73960,                -78735,               -488292,,                -50944,               -437348,               -437348,,,,                 -1016,                 -1016,,                              0,                    376,                    376,                   -640,               -437988,,               -437348,,               -437988,,                             -1.08,                             -1.08,,                              0.00,                              0.00,,,,,,,,,,,
3514,2014年第2季,,,,              4372784,                  1107,                    243,              4371434,              4371434,,              4043416,                328018,                328018,,,                 44084,,                 56984,,                 63158,                164226,,                 -2002,                161790,,,                 11966,                 11966,,                  6086,,                 30283,,               -121877,               -134108,                 27682,,                  5276,                 22406,                 22406,,,,                   -511,                   -511,,                              0,                 18439,                 18439,                 17928,                 40334,,                 22406,,                 40334,,                              0.06,                              0.06,,                              0.00,                              0.00,,,,,,,,,,,
3514,2014年01月01日至2014年09月30日,,,,             11605434,                 33580,                  8349,             11563505,             11563505,,             10937346,                626159,                626159,,,                139666,,                161980,,                211015,                512661,,                 -7887,                105611,,,                 27818,                 27818,,                 28662,,                 97808,,               -223901,               -265229,               -159618,,                 11544,               -171162,               -171162,,,,                 -3189,                 -3189,,                              0,                 10771,                 10771,                  7582,               -163580,,               -171162,,               -163580,,                             -0.42,                             -0.42,,                              0.00,                              0.00,,,,,,,,,,,
3514,2014年01月01日至2014年06月30日,,,,              8670137,                  3987,                  7307,              8658843,              8658843,,              7798290,                860553,                860553,,,                 99558,,                104817,,                139008,                343383,,                 -2002,                515168,,,                 16497,                 16497,,                 13993,,                 67043,,               -149941,               -186494,                328674,,                 62488,                266186,                266186,,,,                 -2173,                 -2173,,                              0,                 10395,                 10395,                  8222,                274408,,                266186,,                274408,,                              0.66,                              0.66,,                              0.64,                              0.64,,,,,,,,,,,
3514,2013年07月01日至2013年09月30日,,,,              4109467,                  2091,                  9938,              4097438,              4097438,,              4250750,               -153312,               -150850,,,                 51677,,                 43399,,                 80701,                175777,,                              0,               -326627,,,                 14861,                 14861,,                  2011,,                 41461,,                -43325,                -67914,               -394541,,                 58055,               -452596,               -452596,,,,,,,,,,                -21084,               -473680,,               -452596,,               -473680,,                             -1.26,                             -1.26,,,,                              0,                  2462,                -20458,,                   -626,,,,,,
3514,2013年04月01日至2013年06月30日,,,,              3863058,                 16822,                  1299,              3844937,              3844937,,              3459318,                385619,                385619,,,                 62620,,                 41588,,                 72431,                176639,,,                208980,,,                  3362,                  4632,,                 12843,,                 42280,,                -43993,                -68798,                140182,,                 29623,                110559,                110559,,,,,,,,,,                -10317,                100242,,                110559,,                100242,,                              0.32,                              0.32,,,,                              0,,                -11496,,                  1179,,                  1125,                    145,                   -883,                 13730,                      4
