證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2448,2015年第3季,,              6177301,,              6497223,               -319922,                      2,                              0,               -319924,,,                103761,,                484927,,                411951,              1000639,,                 76079,             -1244484,,,                250249,,                635292,,                893090,,                -99056,               -106605,             -1351089,,               -159117,             -1191972,             -1191972,,,                334303,               -306792,,                 43163,                 47784,                 22890,                 22890,             -1169082,,             -1035700,               -156272,,             -1090615,                -78467,,                             -0.96,                             -0.96,,                             -0.96,                             -0.96,,,,,,,,,
2448,2015年第2季,,              6769878,,              6144287,                625591,                    791,                              0,                624800,,,                212329,,                433931,,                356288,              1002548,,                 55225,               -322523,,,                 61157,,                157311,,                 -4926,,                -60895,                162499,               -160024,,                -60958,                -99066,                -99066,,,               -132890,               -228681,,                -41225,                -32255,               -370541,               -370541,               -469607,,               -122445,                 23379,,               -464436,                 -5171,,                             -0.11,                             -0.11,,                             -0.28,                             -0.28,,                              0,                              0,,,,,,
2448,2015年01月01日至2015年09月30日,,             19592755,,             18505230,              1087525,                  1653,                  4756,              1090628,,,                418118,,              1342976,,              1071509,              2832603,,                196007,             -1545968,,,                268601,,              1801152,,                922022,,               -207457,                940274,               -605694,,                -28773,               -576921,               -576921,,,                 31941,               -588212,,                -34366,                -19848,               -570789,               -570789,             -1147710,,               -359100,               -217821,,               -935672,               -212038,,                             -0.33,                             -0.33,,                             -1.07,                             -1.07,,,,,,,,,
2448,2015年01月01日至2015年06月30日,,             13415454,,             12008007,              1407447,                  1651,                  4756,              1410552,,,                314357,,                858049,,                659558,              1831964,,                119928,               -301484,,,                 18352,,              1165860,,                 28932,,               -108401,              1046879,                745395,,                130344,                615051,                615051,,,               -302362,               -281420,,                -77529,                -67632,               -593679,               -593679,                 21372,,                676600,                -61549,,                154943,               -133571,,                              0.63,                              0.63,,                             -0.06,                             -0.06,,                              0,                              0,,,,,,
2448,2015年01月01日至2015年03月31日,,              6645576,,              5863720,                781856,                    860,                  4756,                785752,,,                102028,,                424118,,                303270,                829416,,                 64703,                 21039,,,                -42805,,              1008549,,                 33858,,                -47506,                884380,                905419,,                191302,                714117,                714117,,,               -169472,                -52739,,                -36304,                -35377,               -223138,               -223138,                490979,,                799045,                -84928,,                619379,               -128400,,                              0.74,                              0.74,,                              0.23,                              0.23,,,,,,,,,
2448,2014年第3季,,              7629113,,              5910506,              1718607,                    585,                              0,              1718022,,,                 62345,,                519622,,                330922,                912889,,                 49799,                854932,,,                 86531,,              1463559,,                236104,,                  8675,              1322661,              2177593,,                355153,              1822440,              1822440,,,                158822,               -136186,,                 25836,                 28738,                 19734,                 19734,              1842174,,              1816353,                  6087,,              1800351,                 41823,,                              1.98,                              1.98,,                              0.78,                              0.78,,,,,,,,,
2448,2014年第2季,,              8126349,,              6386692,              1739657,                 -1940,                              0,              1741597,,,                 58744,,                390992,,                294668,                744404,,                 48576,              1045769,,,                 35407,,               -289176,,                -93592,,                -10876,               -171053,                874716,,                127911,                746805,                746805,,,               -208229,                -71566,,                -14966,                -41814,               -252947,               -252947,                493858,,                744536,                  2269,,                542348,                -48490,,                              0.81,                              0.81,,                              0.80,                              0.80,,                              0,                              0,,,,,,
2448,2014年度,,             27713156,,             22433791,              5279365,                  4756,                  1520,              5276129,,,                219694,,              1663104,,              1216310,              3099108,,                211565,              2388586,,,                441738,,                368534,,                886976,,               -115800,               -192504,              2196082,,                393135,              1802947,              1802947,,,,,,,,,                701761,              2504708,,              1810334,                 -7387,,              2412184,                 92524,,                              1.98,                              1.98,,                              1.83,                              1.83,,,,                498863,                162627,                 12653,,                105922,                 78304
2448,2014年01月01日至2014年09月30日,,             21996203,,             17587213,              4408990,                    792,                  1520,              4409718,,,                177417,,              1276229,,                892930,              2346576,,                156569,              2219711,,,                247190,,                150707,,                486048,,                -26385,               -114536,              2105175,,                388435,              1716740,              1716740,,,                 77997,                169577,,                 39412,                 11981,                275005,                275005,              1991745,,              1719198,                 -2458,,              1976389,                 15356,,                              1.88,                              1.88,,                              1.65,                              1.65,,,,,,,,,
2448,2014年01月01日至2014年06月30日,,             14367090,,             11676707,              2690383,                    207,                  1520,              2691696,,,                115072,,                756607,,                562008,              1433687,,                106770,              1364779,,,                160659,,             -1312852,,                249944,,                -35060,             -1437197,                -72418,,                 33282,               -105700,               -105700,,,                -80825,                305763,,                 13576,                -16757,                255271,                255271,                149571,,                -97155,                 -8545,,                176038,                -26467,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,                              0,                              0,,,,,,
