證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
4306,2013年07月01日至2013年09月30日,,              4926696,,              4284587,                642109,                642109,,,                236900,,                163581,,                  7169,                407650,                234459,,,                 59912,,                -26029,,                 67856,,                 22050,                -11923,                222536,,                 40837,                181699,                181699,,               -148538,                 -3116,,,                 -3008,               -154662,                 27037,,                128593,                 53106,,                 70151,                -43114,,                              0.29,                              0.29,,                              0.25,                              0.25
4306,2013年04月01日至2013年06月30日,,              5065262,,              4285758,                779504,                779504,,,                245553,,                175686,,                  5460,                426699,                352805,,,                 74263,,                 25378,,                 67783,,                 18398,                 50256,                403061,,                 34479,                368582,                368582,,                214672,                 -3064,,,                  4509,                216117,                584699,,                288662,                 79920,,                360810,                223889,,                              0.73,                              0.73,,                              0.64,                              0.64
4306,2013年01月01日至2013年12月31日,,             19618480,,             16900091,              2718389,              2718389,,,                977719,,                625484,,                 36312,              1639515,              1078874,,,                220662,,                 72927,,                257442,,                 55821,                 91968,              1170842,,                184672,                986170,                986170,,                343875,                 -5592,                 22320,,                 -2680,                357923,              1344093,,                740914,                245256,,                993028,                351065,,                              1.68,                              1.68,,                              1.49,                              1.49
4306,2013年01月01日至2013年09月30日,,             14569077,,             12417343,              2151734,              2151734,,,                693353,,                485208,,                 19717,              1198278,                953456,,,                159214,,                 51804,,                197520,,                 47924,                 61422,              1014878,,                101635,                913243,                913243,,                219923,                 -8434,,,                 10971,                222460,              1135703,,                711964,                201279,,                873024,                262679,,                              1.63,                              1.63,,                              1.42,                              1.42
4306,2013年01月01日至2013年06月30日,,              9642381,,              8132756,              1509625,              1509625,,,                456453,,                321627,,                 12548,                790628,                718997,,,                 99302,,                 77833,,                129664,,                 25874,                 73345,                792342,,                 60798,                731544,                731544,,                368461,                 -5318,,,                 13979,                377122,              1108666,,                583371,                148173,,                802873,                305793,,                              1.47,                              1.47,,                              1.29,                              1.29
4306,2013年01月01日至2013年03月31日,,              4577119,,              3846998,                730121,                730121,,,                210900,,                145941,,                  7088,                363929,                366192,,,                 25039,,                 52455,,                 61881,,                  7476,                 23089,                389281,,                 26319,                362962,                362962,,                153825,                 -2290,,,                  9470,                161005,                523967,,                294709,                 68253,,                442063,                 81904,,                              0.74,                              0.74,,                              0.65,                              0.65
4306,2012年07月01日至2012年09月30日,,              4445962,,              3914695,                531267,                531267,,,                261555,,                148942,,                 17446,                427943,                103324,,,                 35552,,                  2325,,                 63679,,                 18036,                 -7766,                 95558,,                 33301,                 62257,                 62257,,                -30454,                 -1822,,,                 -3528,                -35804,                 26453,,                 26139,                 36118,,                -16103,                 42556,,                              0.07,                              0.07,,                              0.07,                              0.07
4306,2012年04月01日至2012年06月30日,,              4814982,,              4233947,                581035,                581035,,,                230820,,                158791,,                 11633,                401244,                179791,,,                 28599,,                -20559,,                 73313,,                 12687,                -52586,                127205,,                 75482,                 51723,                 51723,,                -38988,                 -5595,,,                  1479,                -43104,                  8619,,                  3075,                 48648,,                 20126,                -11507,,                              0.01,                              0.01,,                              0.03,                              0.03
4306,2012年01月01日至2012年12月31日,,             18193194,,             15922251,              2270943,              2270943,,,                927903,,                600641,,                 56267,              1584811,                686132,,,                136048,,                -33500,,                290605,,                 54701,               -133356,                552776,,                180570,                372206,                372206,,               -170731,                    783,                -13216,,                 -9970,               -193134,                179072,,                189301,                182905,,                 69139,                109933,,                              0.48,                              0.48,,                              0.48,                              0.48
4306,2012年01月01日至2012年09月30日,,             13721348,,             11990899,              1730449,              1730449,,,                690982,,                436618,,                 44906,              1172506,                557943,,,                 88570,,                -11106,,                210945,,                 43436,                -90045,                467898,,                134957,                332941,                332941,,               -165885,                  3125,,,                -10134,               -172894,                160047,,                190054,                142887,,                 81612,                 78435,,                              0.48,                              0.48,,                              0.44,                              0.44
