證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1802,2015年第3季,,             11286642,,             10586855,                699787,                699787,,,                788570,,                460247,,                 66555,              1315372,,                 -8439,               -624024,,,                212460,,               -920621,,                220785,,                 39224,                -39224,               -968170,             -1592194,,                 26959,             -1619153,             -1619153,,,                947849,                -59606,,                -90263,                              0,                797980,                797980,               -821173,,             -1439047,               -180106,,               -714135,               -107038,,                             -0.61,,,,,,,,,,,,,,,,,,
1802,2015年第2季,,             10085646,,              9643370,                442276,                442276,,,                740242,,                407351,,                 68036,              1215629,,                 -2683,               -776036,,,                165076,,                 61317,,                209321,,                              0,                 16472,                 33544,               -742492,,                 68930,               -811422,               -811422,,,               -399295,                 15543,,                -26617,                              0,               -410369,               -410369,             -1221791,,               -720513,                -90909,,             -1115697,               -106094,,                             -0.30,                 16472,,,,,,,,,,,,,,,,,
1802,2015年01月01日至2015年09月30日,,             30332940,,             29041233,              1291707,              1291707,,,              2297230,,              1261166,,                217569,              3775965,,                 -9079,             -2493337,,,                620911,,               -924835,,                643514,,                244097,               -244097,             -1191535,             -3684872,,                 82536,             -3767408,             -3767408,,,                -76642,                -26621,,               -120070,                              0,               -223333,               -223333,             -3990741,,             -3363748,               -403660,,             -3572769,               -417972,,                             -1.41,,,,,,,,,,,,,,,,,,
1802,2015年01月01日至2015年06月30日,,             19046298,,             18454378,                591920,                591920,,,              1508660,,                800919,,                151014,              2460593,,                   -640,             -1869313,,,                408451,,                 -4214,,                422729,,                204873,               -204873,               -223365,             -2092678,,                 55577,             -2148255,             -2148255,,,             -1024491,                 32985,,                -29807,                              0,             -1021313,             -1021313,             -3169568,,             -1924701,               -223554,,             -2858634,               -310934,,                             -0.81,                              0,,,,,,,,,,,,,,,,,
1802,2015年01月01日至2015年03月31日,,              8960652,,              8811008,                149644,                149644,,,                768418,,                393568,,                 82978,              1244964,,                  2043,             -1093277,,,                243375,,                -65531,,                213408,,                221345,               -221345,               -256909,             -1350186,,                -13353,             -1336833,             -1336833,,,               -625196,                 17442,,                 -3190,                              0,               -610944,               -610944,             -1947777,,             -1204188,               -132645,,             -1742937,               -204840,,                             -0.51,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,
1802,2014年第3季,,             10932932,,             10217600,                715332,                715332,,,                743942,,                498826,,                 58636,              1301404,,                  2377,               -583695,,,                 84204,,              2069667,,                217271,,                239544,               -239544,              1697056,              1113361,,                -19904,              1133265,              1133265,,,                748923,                 -7167,,                 71526,                              0,                813282,                813282,              1946547,,              1241690,               -108425,,              1983816,                -37269,,                              0.52,,,,,,,,,,,,,,,,,,
1802,2014年第2季,,             10859702,,              9674974,              1184728,              1184728,,,                797676,,                503335,,                 56107,              1357118,,                    612,               -171778,,,                107086,,                224928,,                266313,,                366205,               -366205,               -300504,               -472282,,                103917,               -576199,               -576199,,,               -823919,                 12546,,                -74123,                              0,               -885496,               -885496,             -1461695,,               -466550,               -109649,,             -1273024,               -188671,,                             -0.20,                              0,,,,,,,,,,,,,,,,,
1802,2014年度,,             41570020,,             38785381,              2784639,              2784639,,,              3048233,,              1848773,,                265146,              5162152,,               -119602,             -2497115,,,                396685,,              3858987,,                754423,,              1170515,             -1170515,              2330734,               -166381,,                157411,               -323792,               -323792,,,,,,,,,              2233005,              1909213,,                153261,               -477053,,              2169520,               -260307,,                              0.06,,,,,,,,,,,,,              2349198,                  6578,               -385895,,                197522,                -65602
1802,2014年01月01日至2014年09月30日,,             30896664,,             28452341,              2444323,              2444323,,,              2259679,,              1381307,,                193196,              3834182,,                  4831,             -1385028,,,                302288,,              2039179,,                732989,,              1035524,             -1035524,                572954,               -812074,,                 75837,               -887911,               -887911,,,                469357,                 -5424,,                 36647,                              0,                500580,                500580,               -387331,,               -531579,               -356332,,                -74899,               -312432,,                             -0.22,,,,,,,,,,,,,,,,,,
1802,2014年01月01日至2014年06月30日,,             19963732,,             18119594,              1844138,              1844138,,,              1515737,,              1011281,,                134560,              2661578,,                  2454,               -814986,,,                218084,,                -30488,,                502065,,                795980,               -795980,             -1110449,             -1925435,,                 95741,             -2021176,             -2021176,,,               -279566,                  1743,,                -34879,                              0,               -312702,               -312702,             -2333878,,             -1773269,               -247907,,             -2058715,               -275163,,                             -0.75,                              0,,,,,,,,,,,,,,,,,
