證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2409,2015年第3季,,,,             90339333,             90339333,              1040343,             89298990,             89298990,,,             80150931,             80150931,             80150931,              9148059,              9148059,,,              1164599,,              2343325,,              2246642,              5754566,              3393493,,,                653502,,                192329,,                473322,,                142687,                515196,              3908689,,                529263,              3379426,              3379426,,,,,                      3,,                      3,,              3140742,               -365490,                 -3260,,                381526,                587523,              2565995,              2565998,              5945424,,              3463006,                -83580,,              5863855,                 81569,,                              0.36,,                              0.34,,,,,,,
2409,2015年第2季,,,,             92607506,             92607506,                304026,             92303480,             92303480,,,             80450770,             80450770,             80450770,             11852710,             11852710,,,                953022,,              2211652,,              2341926,              5506600,              6346110,,,                461135,,               -271643,,                702218,,                113186,               -399540,              5946570,,              1515996,              4430574,              4430574,,,,,                              0,,                              0,,               -628093,               -317314,                    761,,               -288191,               -105051,             -1127786,             -1127786,              3302788,,              4494939,                -64365,,              3554596,               -251808,,                              0.47,,                              0.45,,,,,,,
2409,2015年度,,,,            363484151,            363484151,              3137657,            360346494,            360346494,,,            320509439,            320509439,            320509439,             39837055,             39837055,,,              4206101,,              9205987,,              8903819,             22315907,             17521148,,,              2197593,,             -9978320,,              2591023,,                449452,             -9922298,              7598850,,              2755968,              4842882,              4842882,,,               -251401,,                 -2381,                -25980,               -227802,,               -294749,               -521173,                 -3646,,                324928,                 45783,               -540423,               -768225,              4074657,,              4931960,                -89078,,              4838950,               -764293,,                              0.51,,                              0.46,,,,,,,
2409,2015年01月01日至2015年09月30日,,,,            278601978,            278601978,              1697573,            276904405,            276904405,,,            241555905,            241555905,            241555905,             35348500,             35348500,,,              3135760,,              6655756,,              6864994,             16656510,             18691990,,,              1545987,,             -3008023,,              2033820,,                432958,             -3062898,             15629092,,              2546976,             13082116,             13082116,,,,,                 -2872,,                 -2872,,              1221293,               -681819,                 -3526,,                361507,                310168,                587287,                584415,             13666531,,             13113605,                -31489,,             13884647,               -218116,,                              1.36,,                              1.29,,,,,,,
2409,2015年01月01日至2015年06月30日,,,,            188262645,            188262645,                657230,            187605415,            187605415,,,            161404974,            161404974,            161404974,             26200441,             26200441,,,              1971161,,              4312431,,              4618352,             10901944,             15298497,,,                892485,,             -3200352,,              1560498,,                290271,             -3578094,             11720403,,              2017713,              9702690,              9702690,,,,,                 -2875,,                 -2875,,             -1919449,               -316329,                   -266,,                -20019,               -277355,             -1978708,             -1981583,              7721107,,              9650599,                 52091,,              8020792,               -299685,,                              1.00,,                              0.95,,,,,,,
2409,2015年01月01日至2015年03月31日,,,,             95655139,             95655139,                353204,             95301935,             95301935,,,             80954204,             80954204,             80954204,             14347731,             14347731,,,              1018139,,              2100779,,              2276426,              5395344,              8952387,,,                431350,,             -2928709,,                858280,,                177085,             -3178554,              5773833,,                501717,              5272116,              5272116,,,,,                 -2875,                              0,                 -2875,,             -1291356,                    985,                 -1027,,                268172,               -172304,               -850922,               -853797,              4418319,,              5155660,                116456,,              4466196,                -47877,,                              0.54,,                              0.51,,,,,,,
2409,2014年第3季,,,,            107138121,            107138121,                251624,            106886497,            106886497,,,             91507005,             91507005,             91507005,             15379492,             15379492,,,              1846832,,              2317033,,              2438233,              6602098,              8777394,,,                475534,,               -923532,,                877369,,                116135,             -1209232,              7568162,,                268060,              7300102,              7300102,,,,,                     -6,,                     -6,,              1477963,               -394755,                  7719,,                139102,                229164,              1000865,              1000859,              8300961,,              7332210,                -32108,,              8113645,                187316,,                              0.76,,                              0.76,,,,,,,
2409,2014年第2季,,,,            102578639,            102578639,                536580,            102042059,            102042059,,,             91426027,             91426027,             91426027,             10616032,             10616032,,,              2155251,,              2301587,,              2252302,              6709140,              3906892,,,                589649,,                919100,,              1380574,,                144676,                272851,              4179743,,                156032,              4023711,              4023711,,,,,                    -25,,                    -25,,             -1028935,                 70474,                    209,,               -121773,               -167717,               -912308,               -912333,              3111378,,              4032540,                 -8829,,              3257280,               -145902,,                              0.42,,                              0.42,,,,,,,
2409,2014年度,,,,            409910319,            409910319,              1731569,            408178750,            408178750,,,            359668105,            359668105,            359668105,             48510645,             48510645,,,              7798965,,              9389601,,              9156656,             26345222,             22165423,,,              2162107,,               -801803,,              4045133,,                499865,             -2184964,             19980459,,              1915750,             18064709,             18064709,,,                 47827,,                  2660,                 -8970,                 59457,,              2309610,               -224646,                  9968,,                117885,                394685,              1818132,              1877589,             19942298,,             17628468,                436241,,             19087448,                854850,,                              1.83,,                              1.82,              2309610,               -224646,                  9968,                 47827,,                120545,                385715
2409,2014年01月01日至2014年09月30日,,,,            303791003,            303791003,              1060799,            302730204,            302730204,,,            269840297,            269840297,            269840297,             32889907,             32889907,,,              6029151,,              6856632,,              6661929,             19547712,             13342195,,,              1425912,,                201298,,              3265476,,                343333,             -1294933,             12047262,,                557478,             11489784,             11489784,,,,,                  2600,,                  2600,,                190765,               -229946,                 16052,,                 64200,                 20299,                 20772,                 23372,             11513156,,             11624206,               -134422,,             11625317,               -112161,,                              1.21,,                              1.19,,,,,,,
2409,2014年01月01日至2014年06月30日,,,,            196652882,            196652882,                809175,            195843707,            195843707,,,            178333292,            178333292,            178333292,             17510415,             17510415,,,              4182319,,              4539599,,              4223696,             12945614,              4564801,,,                950378,,              1124830,,              2388107,,                227198,                -85701,              4479100,,                289418,              4189682,              4189682,,,,,                  2606,,                  2606,,             -1287198,                164809,                  8333,,                -74902,               -208865,               -980093,               -977487,              3212195,,              4291996,               -102314,,              3511672,               -299477,,                              0.45,,                              0.44,,,,,,,
2409,2014年01月01日至2014年03月31日,,,,             94074243,             94074243,                272595,             93801648,             93801648,,,             86907265,             86907265,             86907265,              6894383,              6894383,,,              2027068,,              2238012,,              1971394,              6236474,                657909,,,                360729,,                205730,,              1007533,,                 82522,               -358552,                299357,,                133386,                165971,                165971,,,,,                  2631,                              0,                  2631,,               -258263,                 94335,                  8124,,                 46871,                -41148,                -67785,                -65154,                100817,,                259456,                -93485,,                254392,               -153575,,                              0.03,,                              0.03,,,,,,,
2409,2013年第3季,,,,            108453637,            108453637,              1372865,            107080772,            107080772,,,             96815191,             96815191,             96815191,             10265581,             10265581,,,              2206831,,              2460061,,              2224990,              6891882,              3373699,,,                793865,,               -313378,,              1185168,,                 81339,               -623342,              2750357,,                240489,              2509868,              2509868,,,,,,,,,,,,,,,,               -567165,              1942703,,              2489866,                 20002,,              2015280,                -72577,,                              0.26,,                              0.26,               -659136,                  5090,                 12077,,,                -25908,               -100712
2409,2013年第2季,,,,            112572008,            112572008,                237174,            112334834,            112334834,,,            100820275,            100820275,            100820275,             11514559,             11514559,,,              1685499,,              2427696,,              2196283,              6309478,              5205081,,,                408827,,               -488690,,              1239177,,                259187,             -1059853,              4145228,,                163698,              3981530,              3981530,,,,,,,,,,,,,,,,                938987,              4920517,,              3923512,                 58018,,              4717298,                203219,,                              0.42,,                              0.42,                913877,                 79040,                 11340,,,                 71000,                136270
2409,2013年度,,,,            419820579,            419820579,              3457574,            416363005,            416363005,,,            382378938,            382378938,            382378938,             33984067,             33984067,,,              7470014,,              9691071,,              8530461,             25691546,              8292521,,,              2448464,,             -1176393,,              4782832,,                454268,             -3056493,              5236028,,                982930,              4253098,              4253098,,,,,,,,,,,,,,,,              2609977,              6863075,,              4180376,                 72722,,              6355154,                507921,,                              0.45,,                              0.44,              3003129,                199425,                 41485,                -35283,,               -134551,                464228
2409,2013年07月01日至2013年09月30日,,,,            108453637,            108453637,              1372865,            107080772,            107080772,,,             96815191,             96815191,             96815191,             10265581,             10265581,,,              2206831,,              2460061,,              2224990,              6891882,              3373699,,,                793865,,               -313378,,              1185168,,                 81339,               -623342,              2750357,,                240489,              2509868,              2509868,,,,,,,,,,,,,,,,               -567165,              1942703,,              2489866,                 20002,,              2015280,                -72577,,                              0.26,,                              0.26,               -659136,                  5090,                 12077,,,                -25908,               -100712
2409,2013年04月01日至2013年06月30日,,,,            112572008,            112572008,                237174,            112334834,            112334834,,,            100820275,            100820275,            100820275,             11514559,             11514559,,,              1685499,,              2427696,,              2196283,              6309478,              5205081,,,                408827,,               -488690,,              1239177,,                259187,             -1059853,              4145228,,                163698,              3981530,              3981530,,,,,,,,,,,,,,,,                938987,              4920517,,              3923512,                 58018,,              4717298,                203219,,                              0.42,,                              0.42,                913877,                 79040,                 11340,,,                 71000,                136270
2409,2013年01月01日至2013年12月31日,,,,            419820579,            419820579,              3457574,            416363005,            416363005,,,            382378938,            382378938,            382378938,             33984067,             33984067,,,              7470014,,              9691071,,              8530461,             25691546,              8292521,,,              2448464,,             -1176393,,              4782832,,                454268,             -3056493,              5236028,,                982930,              4253098,              4253098,,,,,,,,,,,,,,,,              2609977,              6863075,,              4180376,                 72722,,              6355154,                507921,,                              0.45,,                              0.44,              3003129,                199425,                 41485,                -35283,,               -134551,                464228
2409,2013年01月01日至2013年09月30日,,,,            316329523,            316329523,              2669738,            313659785,            313659785,,,            287331408,            287331408,            287331408,             26328377,             26328377,,,              5308014,,              7257618,,              6545359,             19110991,              7217386,,,              1479605,,             -1718168,,              3704815,,                416187,             -3527191,              3690195,,                518438,              3171757,              3171757,,,,,,,,,,,,,,,,              1829020,              5000777,,              3239899,                -68142,,              4773418,                227359,,                              0.35,,                              0.35,              1889467,                 82820,                 38325,,,                102188,                283780
2409,2013年01月01日至2013年06月30日,,,,            207875886,            207875886,              1296873,            206579013,            206579013,,,            190516217,            190516217,            190516217,             16062796,             16062796,,,              3101183,,              4797557,,              4320369,             12219109,              3843687,,,                685740,,             -1404790,,              2519647,,                334848,             -2903849,                939838,,                277949,                661889,                661889,,,,,,,,,,,,,,,,              2396185,              3058074,,                750033,                -88144,,              2758138,                299936,,                              0.08,,                              0.08,              2548603,                 77730,                 26248,,,                128096,                384492
2409,2013年01月01日至2013年03月31日,,,,             95303878,             95303878,              1059699,             94244179,             94244179,,,             89695942,             89695942,             89695942,              4548237,              4548237,,,              1415684,,              2369861,,              2124086,              5909631,             -1361394,,,                276913,,               -916100,,              1280470,,                 75661,             -1843996,             -3205390,,                114251,             -3319641,             -3319641,,,,,,,,,,,,,,,,              1457198,             -1862443,,             -3173479,               -146162,,             -1959160,                 96717,,                             -0.36,,                              0.00,              1634726,                 -1310,                 14908,,,                 57096,                248222
2409,2012年07月01日至2012年09月30日,,,,            103244844,            103244844,                464321,            102780523,            102780523,,,            106052579,            106052579,            106052579,             -3272056,             -3272056,,,              1683840,,              1962831,,              2434337,              6081008,             -9353064,,,                537308,,             -6215284,,              1450622,,                 73348,             -7055250,            -16408314,,                186408,            -16594722,            -16594722,,,,,,,,,,,,,,,,               -382187,            -16976909,,            -16389315,               -205407,,            -16744012,               -232897,,                             -1.86,,                              0.00,               -339278,                 -6068,                 29432,,,               -139095,                -72822
2409,2012年04月01日至2012年06月30日,,,,             95678355,             95678355,                489816,             95188539,             95188539,,,             99301149,             99301149,             99301149,             -4112610,             -4112610,,,              1669993,,              2374294,,              2463084,              6507371,            -10619981,,,              1078722,,             -1172916,,              1509137,,                131278,             -1472053,            -12092034,,                615922,            -12707956,            -12707956,,,,,,,,,,,,,,,,                191731,            -12516225,,            -12510566,               -197390,,            -12329578,               -186647,,                             -1.42,,                              0.00,                171178,                -70073,                 25535,,,                 94566,                 29475
2409,2012年01月01日至2012年12月31日,,,,            380961814,            380961814,              2490879,            378470935,            378470935,,,            391593831,            391593831,            391593831,            -13122896,            -13122896,,,              6377179,,              9203940,,              9904299,             25485418,            -38608314,,,              3191543,,            -14613765,,              5731213,,                319061,            -16834374,            -55442688,,                596008,            -56038696,            -56038696,,,,,,,,,,,,,,,,             -1344433,            -57383129,,            -54747720,             -1290976,,            -55932948,             -1450181,,                             -6.20,,                              0.00,             -1174931,                 68425,                140576,               -369539,,               -281954,               -272990
