證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
2402,2015年第3季,,,,              1934083,                 15264,                 20907,              1897912,              1897912,,              1795019,                102893,                102893,,,                 49935,,                 95699,,                  9905,                155539,                -52646,,,                 44546,                 44546,,                 52929,,                 14804,                 82671,                 30025,,                -45708,                 75733,                 75733,,,                179013,                    654,                179667,                179667,                255400,,                 75733,,                255400,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,,,,,,,,
2402,2015年第2季,,,,              1973836,                 17498,                 15534,              1940804,              1940804,,              1768197,                172607,                172607,,,                 47004,,                 72059,,                 13202,                132265,                 40342,,,                 45727,                 45727,,                 15745,,                 14225,                 47247,                 87589,,                 34045,                 53544,                 53544,,,                -61556,                   -703,                -62259,                -62259,                 -8715,,                 53544,,                 -8715,,                              0.16,                              0.16,,                              0.14,                              0.14,,,,,,,,,,,,,,,,,,
2402,2015年01月01日至2015年09月30日,,,,              5834550,                 49888,                 64524,              5720138,              5720138,,              5368136,                352002,                352002,,,                146483,,                278171,,                 38074,                462728,               -110726,,,                128173,                128173,,                 56854,,                 42665,                142362,                 31636,,                -17756,                 49392,                 49392,,,                 31295,                 -1507,                 29788,                 29788,                 79180,,                 49392,,                 79180,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,,,,,,,,,,,
2402,2015年01月01日至2015年06月30日,,,,              3900467,                 34624,                 43617,              3822226,              3822226,,              3573117,                249109,                249109,,,                 96548,,                182472,,                 28169,                307189,                -58080,,,                 83627,                 83627,,                  3925,,                 27861,                 59691,                  1611,,                 27952,                -26341,                -26341,,,               -147718,                 -2161,               -149879,               -149879,               -176220,,                -26341,,               -176220,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,,,,,,,,,,,,
2402,2015年01月01日至2015年03月31日,,,,              1926631,                 17126,                 28083,              1881422,              1881422,,              1804920,                 76502,                 76502,,,                 49544,,                110413,,                 14967,                174924,                -98422,,,                 37900,                 37900,,                -11820,,                 13636,                 12444,                -85978,,                 -6093,                -79885,                -79885,,,                -86162,                 -1458,                -87620,                -87620,               -167505,,                -79885,,               -167505,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,,,,,,,,,,,,,,
2402,2014年第3季,,,,              2838437,                 48226,                 22107,              2768104,              2768104,,              2255615,                512489,                512489,,,                119998,,                124751,,                 13358,                258107,                254382,,,                 16212,                 16212,,                 46418,,                  7852,                 54778,                309160,,                 72713,                236447,                236447,,,                104466,                 -4350,                100116,                100116,                336563,,                236447,,                336563,,                              0.71,                              0.71,,                              0.68,                              0.68,,,,,,,,,,,,,,,,,,
2402,2014年第2季,,,,              3229983,                 42293,                 23146,              3164544,              3164544,,              2548832,                615712,                615712,,,                 53234,,                123674,,                  8679,                185587,                430125,,,                 17895,                 17895,,                 84411,,                  7702,                 94604,                524729,,                 98138,                426591,                426591,,,               -213629,                  2719,               -210910,               -210910,                215681,,                426591,,                215681,,                              1.28,                              1.28,,                              1.28,                              1.28,,,,,,,,,,,,,,,,,,
2402,2014年度,,,,             11498428,                167732,                104378,             11226318,             11226318,,              9321999,              1904319,              1904319,,,                243282,,                485324,,                 61272,                789878,              1114441,,,                 76299,                 76299,,                177688,,                 34880,                219107,              1333548,,                263876,              1069672,              1069672,,,,,,                232390,              1302062,,              1069672,,              1302062,,                              3.22,                              3.22,,                              3.07,                              3.07,                226497,                  3035,                  2858,,,,,,,,,,,,,,,
2402,2014年01月01日至2014年09月30日,,,,              8904552,                130436,                 59135,              8714981,              8714981,,              7150660,              1564321,              1564321,,,                215315,,                338575,,                 48422,                602312,                962009,,,                 47939,                 47939,,                111332,,                 22244,                137027,              1099036,,                229862,                869174,                869174,,,                -30047,                    904,                -29143,                -29143,                840031,,                869174,,                840031,,                              2.62,                              2.62,,                              2.57,                              2.57,,,,,,,,,,,,,,,,,,
2402,2014年01月01日至2014年06月30日,,,,              6066115,                 82210,                 37028,              5946877,              5946877,,              4895045,              1051832,              1051832,,,                 95317,,                213824,,                 35064,                344205,                707627,,,                 31727,                 31727,,                 64914,,                 14392,                 82249,                789876,,                157149,                632727,                632727,,,               -134513,                  5254,               -129259,               -129259,                503468,,                632727,,                503468,,                              1.90,                              1.90,,                              1.90,                              1.90,,,,,,,,,,,,,,,,,,
2402,2014年01月01日至2014年03月31日,,,,              2836132,                 39917,                 13882,              2782333,              2782333,,              2346213,                436120,                436120,,,                 42083,,                 90150,,                 26385,                158618,                277502,,,                 13832,                 13832,,                -19497,,                  6690,                -12355,                265147,,                 59011,                206136,                206136,,,                 79116,                  2535,                 81651,                 81651,                287787,,                206136,,                287787,,                              0.62,                              0.62,,                              0.62,                              0.62,,,,,,,,,,,,,,,,,,
2402,2013年第3季,,,,              2632952,                 47013,                 19017,              2566922,              2566922,,              2231631,                335291,                335291,,,                 51521,,                114293,,                 55922,                221736,                113555,,,                  9635,                  9635,,                -14451,,                  4699,                 -9515,                104040,,                 30344,                 73696,                 73696,,,,,,                -53086,                 20610,,                 73696,,                 20610,,                              0.22,                              0.22,,                              0.22,                              0.22,                -54637,                  1551,,,,,,,,,,,,,,,,
2402,2013年第2季,,,,              2491493,                 15084,                  7006,              2469403,              2469403,,              2071626,                397777,                397777,,,                 71667,,                 99622,,                 40937,                212226,                185551,,,                  9248,                  9248,,                 -2950,,                  5575,                    723,                186274,,                 47562,                138712,                138712,,,,,,                 76998,                215710,,                138712,,                215710,,                              0.42,                              0.42,,                              0.42,                              0.42,                 79512,                 -2514,,,,,,,,,,,,,,,,
2402,2013年度,,,,              9758932,                117015,                 53613,              9588304,              9588304,,              8298418,              1289886,              1289886,,,                247006,,                419916,,                173699,                840621,                449265,,,                 34866,                 34866,,                -20858,,                 20598,                 -6590,                442675,,                 75199,                367476,                367476,,,,,,                226032,                593508,,                367476,,                593508,,                              1.11,                              1.11,,                              1.10,                              1.10,                214096,                  7763,                  4173,,,,,,,,,,,,,,,
