證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 利息費用
2420,2015年第3季,,,                832668,                832668,,,                502763,                502763,                329905,                329905,,,                 47697,,                 89573,,                 23421,                160691,                169214,,,                 29446,,                 58763,,                  9428,                 78781,                247995,,                 38740,                209255,                209255,,,                 20721,                              0,                 20721,                 20721,                229976,,                207967,                  1288,,                228688,                  1288,,                              1.36,,                              1.36,,,,,,,,
2420,2015年第2季,,,                834459,                834459,,,                520697,                520697,                313762,                313762,,,                 53667,,                 89325,,                 28824,                171816,                141946,,,                 28853,,                -13564,,                  9448,                  5841,                147787,,                 29929,                117858,                117858,,,                 -2011,                              0,                 -2011,                 -2011,                115847,,                117616,                    242,,                115605,                    242,,                              0.77,,                              0.77,,,,,,,,
2420,2015年01月01日至2015年09月30日,,,              2470118,              2470118,,,              1525744,              1525744,                944374,                944374,,,                159889,,                277155,,                 76185,                513229,                431145,,,                 85606,,                 84093,,                 28460,                141239,                572384,,                 95111,                477273,                477273,,,                 11246,                              0,                 11246,                 11246,                488519,,                474123,                  3150,,                485369,                  3150,,                              3.11,,                              3.09,,,,,,,,
2420,2015年01月01日至2015年06月30日,,,              1637450,              1637450,,,              1022981,              1022981,                614469,                614469,,,                112192,,                187582,,                 52764,                352538,                261931,,,                 56160,,                 25330,,                 19032,                 62458,                324389,,                 56371,                268018,                268018,,,                 -9475,                              0,                 -9475,                 -9475,                258543,,                266156,                  1862,,                256681,                  1862,,                              1.74,,                              1.74,,,,,,,,
2420,2015年01月01日至2015年03月31日,,,                802991,                802991,,,                502284,                502284,                300707,                300707,,,                 58525,,                 98257,,                 23940,                180722,                119985,,,                 27307,,                 38894,,                  9584,                 56617,                176602,,                 26442,                150160,                150160,,,                 -7464,                              0,                 -7464,                 -7464,                142696,,                148540,                  1620,,                141076,                  1620,,                              0.97,,                              0.97,,,,,,,,
2420,2014年第3季,,,                888490,                888490,,,                567254,                567254,                321236,                321236,,,                 56834,,                 82138,,                 22815,                161787,                159449,,,                 37669,,                 14107,,                 10083,                 41693,                201142,,                 36240,                164902,                164902,,,                    -91,                              0,                    -91,                    -91,                164811,,                163515,                  1387,,                163424,                  1387,,                              1.07,,                              1.07,,,,,,,,
2420,2014年第2季,,,                834931,                834931,,,                543743,                543743,                291188,                291188,,,                 50990,,                 91866,,                 24076,                166932,                124256,,,                 32107,,                -18137,,                  9669,                  4301,                128557,,                 27373,                101184,                101184,,,                 -3606,                              0,                 -3606,                 -3606,                 97578,,                100053,                  1131,,                 96447,                  1131,,                              0.66,,                              0.65,,,,,,,,
2420,2014年度,,,              3406468,              3406468,,,              2169238,              2169238,              1237230,              1237230,,,                222513,,                354676,,                 93973,                671162,                566068,,,                142907,,                 31759,,                 37791,                136875,                702943,,                111752,                591191,                591191,,,,,,                  2769,                593960,,                585780,                  5411,,                588568,                  5392,,                              3.84,,                              3.82,                  8439,                 -6831,                 -1161,,,,,
2420,2014年01月01日至2014年09月30日,,,              2587807,              2587807,,,              1686178,              1686178,                901629,                901629,,,                157064,,                260423,,                 71729,                489216,                412413,,,                100539,,                  8667,,                 29385,                 79821,                492234,,                 93066,                399168,                399168,,,                    334,                              0,                    334,                    334,                399502,,                395066,                  4102,,                395400,                  4102,,                              2.59,,                              2.58,,,,,,,,
2420,2014年01月01日至2014年06月30日,,,              1699317,              1699317,,,              1118924,              1118924,                580393,                580393,,,                100230,,                178285,,                 48914,                327429,                252964,,,                 62870,,                 -5440,,                 19302,                 38128,                291092,,                 56826,                234266,                234266,,,                    425,                              0,                    425,                    425,                234691,,                231551,                  2715,,                231976,                  2715,,                              1.52,,                              1.51,,,,,,,,
