證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）
1514,2015年第3季,,                911337,,                779207,                132130,                              0,                     45,                132175,,,                 45715,,                 34062,,                 20935,                100712,                 31463,,,                  7971,,                 27762,,                  1987,,                 12782,                 46528,                 77991,,                  9855,                 68136,                 68136,,,                  4306,                   -685,,                   -363,                  3258,                  3258,                 71394,,                 65458,                  2678,,                 67522,                  3872,,                              0.33,,,,,,,,,,,,
1514,2015年第2季,,                935114,,                821876,                113238,                    215,                              0,                113023,,,                 38441,,                 29974,,                 22539,                 90954,                 22069,,,                  3596,,                 -3937,,                  2097,,                  9970,                  7532,                 29601,,                  7074,                 22527,                 22527,,,                   -808,                   -426,,,                 -1234,                 -1234,                 21293,,                 22874,                   -347,,                 21965,                   -672,,                              0.11,,                              0,,,,,,,,,,
1514,2015年01月01日至2015年09月30日,,              2639374,,              2294683,                344691,                              0,                  3010,                347701,,,                117374,,                 95917,,                 64518,                277809,                 69892,,,                 16313,,                 15596,,                  5882,,                 33821,                 59848,                129740,,                 19160,                110580,                110580,,,                  2117,                 -1288,,                   -363,                    466,                    466,                111046,,                109522,                  1058,,                109440,                  1606,,                              0.55,,,,,,,,,,,,
1514,2015年01月01日至2015年06月30日,,              1728037,,              1515476,                212561,                              0,                  2965,                215526,,,                 71874,,                 61855,,                 43583,                177312,                 38429,,,                  8342,,                -12166,,                  3895,,                 21039,                 13320,                 51749,,                  9305,                 42444,                 42444,,,                 -2189,                   -603,,,                 -2792,                 -2792,                 39652,,                 44064,                 -1620,,                 41918,                 -2266,,                              0.22,,                    215,,,,,,,,,,
1514,2015年01月01日至2015年03月31日,,                792923,,                693600,                 99323,,                  3180,                102503,,,                 36917,,                 31881,,                 21044,                 89842,                 16360,,,                  4746,,                 -8229,,                  1798,,                 11069,                  5788,                 22148,,                  2231,                 19917,                 19917,,,                 -1381,                   -177,,,                 -1558,                 -1558,                 18359,,                 21190,                 -1273,,                 19953,                 -1594,,                              0.11,,                  3699,,,,,,,,,,
1514,2014年第3季,,                753653,,                629386,                124267,                    191,                              0,                124076,,,                 42466,,                 31192,,                 26983,                100641,                 23435,,,                 10281,,                  4600,,                  1930,,                  1503,                 14454,                 37889,,                  1109,                 36780,                 36780,,,                  2877,                   -278,,                    -82,                  2517,                  2517,                 39297,,                 35137,                  1643,,                 36982,                  2315,,                              0.18,,,,,,,,,,,,
1514,2014年第2季,,                835625,,                746681,                 88944,                    123,                              0,                 88821,,,                 39641,,                 30905,,                 26620,                 97166,                 -8345,,,                  3142,,                 -3794,,                  1908,,                  2276,                   -284,                 -8629,,                 -1062,                 -7567,                 -7567,,,                 -2442,                    117,,,                 -2325,                 -2325,                 -9892,,                 -7009,                   -558,,                 -8826,                 -1066,,                             -0.04,,                              0,,,,,,,,,,
1514,2014年度,,              3403124,,              2940447,                462677,                  3180,                              0,                459497,,,                173447,,                124731,,                 99958,                398136,                 61361,,,                 20669,,                 26784,,                  8107,,                 15158,                 54504,                115865,,                  4968,                110897,                110897,,,,,,,,                    485,                111382,,                108635,                  2262,,                108015,                  3367,,                              0.55,,,                  2914,                    502,                 -3845,,                    280,                   -634,,,,
1514,2014年01月01日至2014年09月30日,,              2227813,,              1925153,                302660,                    314,                              0,                302346,,,                119947,,                 91364,,                 74757,                286068,                 16278,,,                 16380,,                  9199,,                  5857,,                 13112,                 32834,                 49112,,                 -2956,                 52068,                 52068,,,                    422,                    -73,,                    -82,                    267,                    267,                 52335,,                 51198,                    870,,                 51335,                  1000,,                              0.26,,,,,,,,,,,,
1514,2014年01月01日至2014年06月30日,,              1474160,,              1295767,                178393,                    123,                              0,                178270,,,                 77481,,                 60172,,                 47774,                185427,                 -7157,,,                  6099,,                  4599,,                  3927,,                 11609,                 18380,                 11223,,                 -4065,                 15288,                 15288,,,                 -2455,                    205,,,                 -2250,                 -2250,                 13038,,                 16061,                   -773,,                 14353,                 -1315,,                              0.08,,                              0,,,,,,,,,,
