證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 處分投資利益,　　　 什項支出,　　　 處分投資損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 利息收入,　　　　 利息收入合計,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 其他費用-推銷費用,　　　 其他費用-管理費用,　　　 其他費用-研發費用,　　　　 銀行存款利息,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）
3704,2015年第3季,,,,              5413395,              5413395,              5413395,,              4281886,              1131509,              1131509,,,                395344,,                243181,,                506223,              1144748,                -13239,,,                 19582,                 19582,,                160392,                              0,                160392,,                  9296,                  9296,,                  3832,                174510,                161271,,                 67682,                 93589,                 93589,,,                177184,                              0,                 30148,                147036,                147036,                240625,,                105957,                -12368,,                253151,                -12526,,                              0.23,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,
3704,2015年第2季,,,,              5328947,              5328947,              5328947,,              4404600,                924347,                924347,,,                512276,,                217497,,                462530,              1192303,               -267956,,,                 38645,                 38645,,                 21205,                              0,                 21205,,                  6617,                  6617,,                 -4756,                 48477,               -219479,,                -20773,               -198706,               -198706,,,                -21186,,                 -3157,                -18029,                -18029,               -216735,,               -195239,                 -3467,,               -210654,                 -6081,,                             -0.41,,                             -0.41,,                              0,                              0,,,,,,,,,,,,,,,,,,,,
3704,2015年01月01日至2015年09月30日,,,,             15614501,             15614501,             15614501,,             12534650,              3079851,              3079851,,,              1326146,,                676805,,              1416771,              3419722,               -339871,,,                 59291,                 59291,,                              0,                212533,               -212533,,                 22183,                 22183,,                 -3389,               -178814,               -518685,,                 31891,               -550576,               -550576,,,                 -3669,                              0,                   -131,                 -3538,                 -3538,               -554114,,               -531001,                -19575,,               -531642,                -22472,,                             -1.13,,                             -1.13,,,,,,,,,,,,,,,,,,,,,,,
3704,2015年01月01日至2015年06月30日,,,,             10201106,             10201106,             10201106,,              8252764,              1948342,              1948342,,,                930802,,                433624,,                910548,              2274974,               -326632,,,                 70542,                 70542,,                              0,                372925,               -403758,,                 12887,                 12887,,                 -7221,               -353324,               -679956,,                -35791,               -644165,               -644165,,,               -180853,,                -30279,               -150574,               -150574,               -794739,,               -636958,                 -7207,,               -784793,                 -9946,,                             -1.34,,                             -1.34,,                 30833,                 30833,,,,,,,,,,,,,,,,,,,,
3704,2015年01月01日至2015年03月31日,,,,              4872159,              4872159,              4872159,,              3848164,              1023995,              1023995,,,                418526,,                216127,,                448018,              1082671,                -58676,,,                 31897,                 31897,,                              0,                394130,               -424963,,                  6270,                  6270,,                 -2465,               -401801,               -460477,,                -15018,               -445459,               -445459,,,               -159667,,                -27122,               -132545,               -132545,               -578004,,               -441719,                 -3740,,               -574139,                 -3865,,                             -0.93,,                             -0.93,,                 30833,                 30833,,,,,,,,,,,,,,,,,,,,
3704,2014年第3季,,,,              6084781,              6084781,              6084781,,              4665781,              1419000,              1419000,,,                497568,,                227012,,                505029,              1229609,                189391,,,                 35727,                 35727,,                              0,                181679,               -181679,,                  4474,                  4474,,                  3992,               -146434,                 42957,,                 15357,                 27600,                 27600,,,                  8346,                              0,                  1249,                  7097,                  7097,                 34697,,                 23702,                  3898,,                 29800,                  4897,,                              0.05,,                              0.05,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年第2季,,,,              5553021,              5553021,              5553021,,              4030004,              1523017,              1523017,,,                506862,,                215326,,                453393,              1175581,                347436,,,                 38427,                 38427,,                              0,                 70483,                -70483,,                  4046,                  4046,,                    913,                -35189,                312247,,                101971,                210276,                210276,,,                -61162,,                -10244,                -50918,                -50918,                159358,,                211011,                   -735,,                160995,                 -1637,,                              0.44,,                              0.44,,                              0,                              0,,,,,,,,,,,,,,,,,,,,
3704,2014年度,,,,             21260772,             21260772,             21260772,,             15964315,              5296457,              5296457,,,              2017226,,                823541,,              1869947,              4710714,                585743,,,,                136159,,                              0,                240957,               -247110,,                 16806,                 16806,,                -70943,               -198700,                387043,,                208786,                178257,                178257,,,,,,,                 42055,                220312,,                174379,                  3878,,                213660,                  6652,,                              0.37,,                              0.37,,,,                              0,                              0,                  6153,                 49250,                              0,                    706,                  7901,,,,,,,,,,,,,
3704,2014年01月01日至2014年09月30日,,,,             15508099,             15508099,             15508099,,             11507495,              4000604,              4000604,,,              1422774,,                643458,,              1369589,              3435821,                564783,,,                 95415,                 95415,,                              0,                215089,               -215089,,                 12604,                 12604,,                  7258,               -125020,                439763,,                150746,                289017,                289017,,,                -40731,                              0,                 -7238,                -33493,                -33493,                255524,,                286246,                  2771,,                250908,                  4616,,                              0.60,,                              0.60,,,,,,,,,,,,,,,,,,,,,,,
3704,2014年01月01日至2014年06月30日,,,,              9423318,              9423318,              9423318,,              6841714,              2581604,              2581604,,,                925206,,                416446,,                864560,              2206212,                375392,,,                 59688,                 59688,,                              0,                 33410,                -33410,,                  8130,                  8130,,                  3266,                 21414,                396806,,                135389,                261417,                261417,,,                -49077,,                 -8487,                -40590,                -40590,                220827,,                262544,                 -1127,,                221108,                   -281,,                              0.55,,                              0.55,,                              0,                              0,,,,,,,,,,,,,,,,,,,,
