證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 確定福利計畫精算利益（損失）
2379,2015年第3季,,              7911458,,              4583276,              3328182,              3328182,,,                426036,,                348656,,              2323046,              3097738,,                  1769,                232213,,,                229643,,                206102,,                 29515,,                 -5214,                401016,                633229,,                 33326,                599903,                599903,,,              1341954,                -68291,,                 -3700,              1269963,              1269963,              1869866,,                599924,                    -21,,              1869887,                    -21,,                              1.19,                              1.19,,                              1.13,                              1.13,,,,,
2379,2015年第2季,,              7148073,,              4167059,              2981014,              2981014,,,                379198,,                325414,,              2013505,              2718117,,                  1728,                264625,,,                190062,,                -18666,,                 30823,,                 -6904,                133669,                398294,,                 33423,                364871,                364871,,,               -247439,                 24096,,                    801,               -222542,               -222542,                142329,,                364896,                    -25,,                142354,                    -25,,                              0.72,                              0.72,,                              0.70,                              0.70,,,,,
2379,2015年01月01日至2015年09月30日,,             22505583,,             12908920,              9596663,              9596663,,,              1191178,,                954844,,              6324855,              8470877,,                  5250,              1131036,,,                626908,,                187743,,                 89076,,                -19280,                706295,              1837331,,                131447,              1705884,              1705884,,,                836506,                -28949,,                 -2705,                804852,                804852,              2510736,,              1706015,                   -131,,              2510867,                   -131,,                              3.38,                              3.38,,                              3.19,                              3.19,,,,,
2379,2015年01月01日至2015年06月30日,,             14594125,,              8325644,              6268481,              6268481,,,                765142,,                606188,,              4001809,              5373139,,                  3481,                898823,,,                397265,,                -18359,,                 59561,,                -14066,                305279,              1204102,,                 98121,              1105981,              1105981,,,               -505448,                 39342,,                    995,               -465111,               -465111,                640870,,              1106091,                   -110,,                640980,                   -110,,                              2.19,                              2.19,,                              2.11,                              2.11,,,,,
2379,2015年01月01日至2015年03月31日,,              7446052,,              4158585,              3287467,              3287467,,,                385944,,                280774,,              1988304,              2655022,,                  1753,                634198,,,                207203,,                    307,,                 28738,,                 -7162,                171610,                805808,,                 64698,                741110,                741110,,,               -258009,                 15246,,                    194,               -242569,               -242569,                498541,,                741195,                    -85,,                498626,                    -85,,                              1.47,                              1.47,,                              1.43,                              1.43,,,,,
2379,2014年第3季,,              8300440,,              4686633,              3613807,              3613807,,,                492478,,                341818,,              2080511,              2914807,,                  1626,                700626,,,                227862,,                779823,,                 19717,,                 -1126,                986842,              1687468,,                183506,              1503962,              1503962,,,                369493,                -59281,,                   -361,                309851,                309851,              1813813,,              1503985,                    -23,,              1813836,                    -23,,                              2.98,                              2.98,,                              2.93,                              2.93,,,,,
2379,2014年第2季,,              8075002,,              4450786,              3624216,              3624216,,,                439247,,                282891,,              1999629,              2721767,,                  1831,                904280,,,                175094,,                 47250,,                 17201,,                 22446,                227589,              1131869,,                118314,              1013555,              1013555,,,               -344112,                 81420,,                    559,               -262133,               -262133,                751422,,              1013649,                    -94,,                751516,                    -94,,                              2.01,                              2.01,,                              1.97,                              1.97,,,,,
2379,2014年度,,             31263298,,             17611437,             13651861,             13651861,,,              1805815,,              1177460,,              7857955,             10841230,,                  6834,              2817465,,,                725212,,                836860,,                 88111,,                 -5284,              1468677,              4286142,,                393791,              3892351,              3892351,,,,,,,,              1216490,              5108841,,              3892502,                   -151,,              5108992,                   -151,,                              7.71,                              7.71,,                              7.46,                              7.46,              1162734,                 52315,,                  1441,
2379,2014年01月01日至2014年09月30日,,             23700950,,             13250242,             10450708,             10450708,,,              1348717,,                895539,,              5816990,              8061246,,                  5113,              2394575,,,                550747,,                847524,,                 64751,,                  2980,              1336500,              3731075,,                393545,              3337530,              3337530,,,                286075,                 77420,,                  1745,                365240,                365240,              3702770,,              3337656,                   -126,,              3702896,                   -126,,                              6.61,                              6.61,,                              6.47,                              6.47,,,,,
2379,2014年01月01日至2014年06月30日,,             15400510,,              8563609,              6836901,              6836901,,,                856239,,                553721,,              3736479,              5146439,,                  3487,              1693949,,,                322885,,                 67701,,                 45034,,                  4106,                349658,              2043607,,                210039,              1833568,              1833568,,,                -83418,                136701,,                  2106,                 55389,                 55389,              1888957,,              1833671,                   -103,,              1889060,                   -103,,                              3.63,                              3.63,,                              3.56,                              3.56,,,,,
2379,2014年01月01日至2014年03月31日,,              7325508,,              4112823,              3212685,              3212685,,,                416992,,                270830,,              1736850,              2424672,,                  1656,                789669,,,                147791,,                 20451,,                 27833,,                -18340,                122069,                911738,,                 91725,                820013,                820013,,,                260694,                 55281,,                  1547,                317522,                317522,              1137535,,                820022,                     -9,,              1137544,                     -9,,                              1.62,                              1.62,,                              1.59,                              1.59,,,,,
2379,2013年第3季,,              7176916,,              4142512,              3034404,              3034404,,,                392341,,                301874,,              1632896,              2327111,,                  1241,                708534,,,                147139,,                 -7286,,                 12048,,                 21951,                149756,                858290,,                 31084,                827206,                827206,,,,,,,,               -236631,                590575,,                827207,                     -1,,                590576,                     -1,,                              1.64,                              1.64,,                              1.63,                              1.63,               -187382,                -49029,,                   -220,                              0
2379,2013年第2季,,              6956161,,              3974478,              2981683,              2981683,,,                406211,,                299765,,              1614515,              2320491,,                  1757,                662949,,,                114491,,                 55356,,                  9368,,                 28253,                188732,                851681,,                 73089,                778592,                778592,,,,,,,,                188967,                967559,,                778592,                              0,,                967559,                              0,,                              1.55,                              1.55,,                              1.53,                              1.53,                109449,                 79733,,                   -215,                              0
2379,2013年度,,             28180010,,             16008088,             12171922,             12171922,,,              1641999,,              1365495,,              6659885,              9667379,,                  6526,              2511069,,,                489498,,                208295,,                 41447,,                 90117,                746463,              3257532,,                222203,              3035329,              3035329,,,,,,,,                408717,              3444046,,              3035427,                    -98,,              3444144,                    -98,,                              6.02,                              6.02,,                              5.88,                              5.88,                373687,                 33879,,                  1151,
2379,2013年07月01日至2013年09月30日,,              7176916,,              4142512,              3034404,              3034404,,,                392341,,                301874,,              1632896,              2327111,,                  1241,                708534,,,                147139,,                 -7286,,                 12048,,                 21951,                149756,                858290,,                 31084,                827206,                827206,,,,,,,,               -236631,                590575,,                827207,                     -1,,                590576,                     -1,,                              1.64,                              1.64,,                              1.63,                              1.63,               -187382,                -49029,,                   -220,
2379,2013年04月01日至2013年06月30日,,              6956161,,              3974478,              2981683,              2981683,,,                406211,,                299765,,              1614515,              2320491,,                  1757,                662949,,,                114491,,                 55356,,                  9368,,                 28253,                188732,                851681,,                 73089,                778592,                778592,,,,,,,,                188967,                967559,,                778592,                              0,,                967559,                              0,,                              1.56,                              1.56,,                              1.54,                              1.54,                109449,                 79733,,                   -215,
2379,2013年01月01日至2013年12月31日,,             28180010,,             16008088,             12171922,             12171922,,,              1641999,,              1365495,,              6659885,              9667379,,                  6526,              2511069,,,                489498,,                208295,,                 41447,,                 90117,                746463,              3257532,,                222203,              3035329,              3035329,,,,,,,,                408717,              3444046,,              3035427,                    -98,,              3444144,                    -98,,                              6.02,                              6.02,,                              5.88,                              5.88,                373687,                 33879,,                  1151,                              0
2379,2013年01月01日至2013年09月30日,,             20876766,,             11835492,              9041274,              9041274,,,              1199555,,              1012612,,              4788384,              7000551,,                  4937,              2045660,,,                341371,,                 92165,,                 26555,,                 72893,                479874,              2525534,,                189173,              2336361,              2336361,,,,,,,,                240591,              2576952,,              2336387,                    -26,,              2576978,                    -26,,                              4.63,                              4.63,,                              4.51,                              4.51,                215532,                 24863,,                    196,                              0
2379,2013年01月01日至2013年06月30日,,             13699850,,              7692980,              6006870,              6006870,,,                807214,,                710738,,              3155488,              4673440,,                  3696,              1337126,,,                194232,,                 99451,,                 14507,,                 50942,                330118,              1667244,,                158089,              1509155,              1509155,,,,,,,,                477222,              1986377,,              1509180,                    -25,,              1986402,                    -25,,                              3.00,                              3.00,,                              2.92,                              2.92,                402914,                 73892,,                    416,                              0
2379,2013年01月01日至2013年03月31日,,              6743689,,              3718502,              3025187,              3025187,,,                401003,,                410973,,              1540973,              2352949,,                  1939,                674177,,,                 79741,,                 44095,,                  5139,,                 22689,                141386,                815563,,                 85000,                730563,                730563,,,,,,,,                288255,              1018818,,                730588,                    -25,,              1018843,                    -25,,                              1.45,                              1.45,,                              1.43,                              1.43,                293465,                 -5841,,                    631,
2379,2012年07月01日至2012年09月30日,,              6500198,,              3741353,              2758845,              2758845,,,                466361,,                331222,,              1415579,              2213162,,                  1813,                547496,,,                106586,,                 32482,,                 12097,,                  5130,                132101,                679597,,                 55509,                624088,                624088,,,,,,,,               -146214,                477874,,                624088,                              0,,                477874,                              0,,                              1.24,                              1.24,,                              1.23,                              1.23,               -138766,                 -6992,,                   -456,
2379,2012年04月01日至2012年06月30日,,              6603443,,              3901888,              2701555,              2701555,,,                398510,,                389144,,              1221864,              2009518,,                  1832,                693869,,,                 83665,,               -134006,,                  9758,,                  1722,                -58377,                635492,,                 52193,                583299,                583299,,,,,,,,                 25923,                609222,,                583299,                              0,,                609222,                              0,,                              1.17,                              1.17,,                              1.15,                              1.15,                 91046,                -63977,,                 -1146,
2379,2012年01月01日至2012年12月31日,,             24613536,,             14490092,             10123444,             10123444,,,              1534436,,              1258324,,              5055023,              7847783,,                  7366,              2283027,,,                309189,,               -152063,,                 34083,,                 27517,                150560,              2433587,,                197401,              2236186,              2236186,,,,,,,,               -352672,              1883514,,              2236186,                              0,,              1883514,                              0,,                              4.45,                              4.45,,                              4.31,                              4.31,               -293538,                -62202,,                 -4242,                  7310
2379,2012年01月01日至2012年09月30日,,             18436115,,             10805837,              7630278,              7630278,,,              1156769,,                966936,,              3754416,              5878121,,                  5482,              1757639,,,                266178,,                -92334,,                 28849,,                 17847,                162842,              1920481,,                156354,              1764127,              1764127,,,,,,,,               -288406,              1475721,,              1764127,                              0,,              1475721,                              0,,                              3.51,                              3.51,,                              3.42,                              3.42,               -240763,                -46775,,                   -868,
2379,2012年01月01日至2012年06月30日,,             11935917,,              7064484,              4871433,              4871433,,,                690408,,                635714,,              2338837,              3664959,,                  3669,              1210143,,,                159592,,               -124816,,                 16752,,                 12717,                 30741,              1240884,,                100845,              1140039,              1140039,,,,,,,,               -142192,                997847,,              1140039,                              0,,                997847,                              0,,                              2.29,                              2.29,,                              2.24,                              2.24,               -101997,                -39783,,                   -412,
2379,2012年01月01日至2012年03月31日,,              5332474,,              3162596,              2169878,              2169878,,,                291898,,                246570,,              1116973,              1655441,,                  1837,                516274,,,                 75927,,                  9190,,                  6994,,                 10995,                 89118,                605392,,                 48652,                556740,                556740,,,,,,,,               -168115,                388625,,                556740,                              0,,                388625,                              0,,,                              1.12,,,                              1.10,               -193043,                 24194,,                    734,
