證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 外幣兌換損失,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4720,2015年第3季,,,,                656472,                  3102,                    345,                653025,                653025,,,                508461,                508461,                144564,                     59,                              0,                144505,,,                 66229,,                 32809,,                 11255,                110293,                 34212,,,,                    292,                  3468,                  3760,,                              0,                              0,                 12540,                      2,                    263,                              0,                 12279,,                    814,                    814,,                  3219,                 18444,                 52656,,                 12230,                 40426,                 40426,,,                 40170,                  6604,                 33566,                 33566,                 73992,,                 40090,                    336,,                 72333,                  1659,,                              0.50,,                              0.49,,,,,,,,,,,,
4720,2015年第2季,,,,                618586,                  4880,                    705,                613001,                613001,,,                476560,                476560,                136441,                              0,                     73,                136514,,,                 59340,,                 30749,,                 10729,                100818,                 35696,,,,                    245,                  6371,                  6616,,                      7,,,                     64,                    396,                              0,                 -3600,,                    495,                    495,,                  2726,                  5247,                 40943,,                 11847,                 29096,                 29096,,,                -15287,                 -2382,                -12905,                -12905,                 16191,,                 28293,                    803,,                 16663,                   -472,,                              0.35,,                              0.35,                618586,                  3275,                              0.35,                              0.35,,,,,,,,
4720,2015年01月01日至2015年09月30日,,,,              1839973,                 11231,                  1234,              1827508,              1827508,,,              1426169,              1426169,                401339,                              0,                    362,                401701,,,                186036,,                 93131,,                 31777,                310944,                 90757,,,,                    999,                 15074,                 16073,,                      7,                              0,                  2647,                     68,                  1122,                              0,                  1600,,                  2376,                  2376,,                  8532,                 23829,                114586,,                 28544,                 86042,                 86042,,,                 17293,                  2932,                 14361,                 14361,                100403,,                 84609,                  1433,,                 98922,                  1481,,                              1.05,,                              1.04,,,,,,,,,,,,
4720,2015年01月01日至2015年06月30日,,,,              1183501,                  8129,                    889,              1174483,              1174483,,,                917708,                917708,                256775,                              0,                    421,                257196,,,                119807,,                 60322,,                 20522,                200651,                 56545,,,,                    707,                 11606,                 12313,,                      7,,,                     66,                    859,                              0,                -10679,,                  1562,                  1562,,                  5313,                  5385,                 61930,,                 16314,                 45616,                 45616,,,                -22877,                 -3672,                -19205,                -19205,                 26411,,                 44519,                  1097,,                 26589,                   -178,,                              0.55,,                              0.55,              1183501,                  9893,                              0.55,                              0.55,,,,,,,,
4720,2015年01月01日至2015年03月31日,,,,                564915,                  3249,                    184,                561482,                561482,,,                441148,                441148,                120334,                              0,                    348,                120682,,,                 60467,,                 29573,,                  9793,                 99833,                 20849,,,,                    462,                  5235,                  5697,,,,                              0,                      2,                    463,                              0,                 -7079,,                  1067,                  1067,,                  2587,                    138,                 20987,,                  4467,                 16520,                 16520,,,                 -7590,                 -1290,                 -6300,                 -6300,                 10220,,                 16226,                    294,,                  9926,                    294,,                              0.22,,                              0.21,,                  6618,                              0.22,                              0.21,,                              0,                              0,,,,,
4720,2014年第3季,,,,                626460,                  2710,                      6,                623744,                623744,,,                498330,                498330,                125414,                              0,                      3,                125417,,,                 65430,,                 30261,,                 11995,                107686,                 17731,,,,                    906,                  5569,                  6475,,                 13800,                    467,                  4069,                      1,                    678,                     66,                 17593,,                  1242,                  1242,,                  5730,                 28556,                 46287,,                 10050,                 36237,                 36237,,,                 18971,                  3217,                 15754,                 15754,                 51991,,                 35566,                    671,,                 51273,                    718,,                              0.44,,                              0.44,,,,,,,,,,,,
4720,2014年第2季,,,,                567221,                  1157,                     14,                566050,                566050,,,                449401,                449401,                116649,                              0,                     45,                116694,,,                 62686,,                 26249,,                 10433,                 99368,                 17326,,,,                    795,                  4160,                  4955,,                              0,,,                     37,                    582,                     18,                 -4852,,                  1315,                  1315,,                  2699,                  1487,                 18813,,                  4626,                 14187,                 14187,,,                 -5907,                 -1020,                 -4887,                 -4887,                  9300,,                 13898,                    289,,                  8922,                    378,,                              0.17,,                              0.17,                567221,                  4289,                              0.17,                              0.17,,,,,,,,
4720,2014年度,,,,              2320262,                  8989,                    371,              2310902,              2310902,,,              1835377,              1835377,                475525,                    373,,                475152,,,                253053,,                116568,,                 46340,                415961,                 59191,,,,                  3232,                 18757,                 21989,,,                    467,                  9463,                     64,                  2112,                -15223,                 22817,,                  5060,                  5060,,                 13124,                 52870,                112061,,                 27490,                 84571,                 84571,,,,,,                 19710,                104281,,                 82711,                  1860,,                103251,                  1030,,                              1.10,,                              1.09,              2320262,,                              1.10,                              1.09,,,                    288,                 25669,                 -1522,,                    -67,                  4370
4720,2014年01月01日至2014年09月30日,,,,              1659904,                  5699,                    143,              1654062,              1654062,,,              1313036,              1313036,                341026,                     49,                              0,                340977,,,                189100,,                 82770,,                 34637,                306507,                 34470,,,,                  2544,                 13574,                 16118,,                 13800,                    467,                  3188,                     62,                  1734,                    158,                 15625,,                  3823,                  3823,,                  9314,                 37234,                 71704,,                 19080,                 52624,                 52624,,,                  9869,                  1803,                  8066,                  8066,                 60690,,                 51362,                  1262,,                 60168,                    522,,                              0.64,,                              0.63,,,,,,,,,,,,
4720,2014年01月01日至2014年06月30日,,,,              1033444,                  2989,                    137,              1030318,              1030318,,,                814706,                814706,                215612,                     52,                              0,                215560,,,                123670,,                 52509,,                 22642,                198821,                 16739,,,,                  1638,                  8005,                  9643,,                              0,,,                     61,                  1056,                     92,                 -1968,,                  2581,                  2581,,                  3584,                  8678,                 25417,,                  9030,                 16387,                 16387,,,                 -9102,                 -1414,                 -7688,                 -7688,                  8699,,                 15796,                    591,,                  8895,                   -196,,                              0.20,,                              0.20,              1033444,                    881,                              0.20,                              0.20,,,,,,,,
4720,2014年01月01日至2014年03月31日,,,,                466223,                  1832,                    123,                464268,                464268,,,                365305,                365305,                 98963,                     97,                              0,                 98866,,,                 60984,,                 26260,,                 12209,                 99453,                   -587,,,,                    843,                  3845,                  4688,,,,                  3408,                     24,                    474,                     74,                  2884,,                  1266,                  1266,,                    885,                  7191,                  6604,,                  4404,                  2200,                  2200,,,                 -3195,                   -394,                 -2801,                 -2801,                   -601,,                  1898,                    302,,                    -27,                   -574,,                              0.03,,                              0.03,,                              0,                              0.03,                              0.03,,                              0,                              0,,,,,
4720,2013年第3季,,,,                546540,                  2484,                    321,                543735,                543735,,,                419738,                419738,                123997,                              0,                     96,                124093,,,                 60333,,                 27996,,                 14573,                102902,                 21191,,,,                    977,                  5394,                  6371,,                              0,                              0,                              0,                     19,                    964,                  1725,                -27316,,                  1299,                  1299,,                  6248,                -15996,                  5195,,                  2375,                  2820,                  2820,,,,,,                 -5597,                 -2777,,                  2493,                    327,,                 -3103,                    326,,                              0.03,,,,                    835,,,,                 23811,                 23811,                 -6744,,,,                 -1147
4720,2013年第2季,,,,                555498,                  1130,                    442,                553926,                553926,,,                426271,                426271,                127655,                              0,                     56,                127711,,,                 58695,,                 27279,,                 14460,                100434,                 27277,,,,                    715,                  7847,                  8562,,,,                  4244,                     42,                    476,                    182,                  1548,,                  1123,                  1123,,                  3660,                 12647,                 39924,,                 10871,                 29053,                 29053,,,,,,                  5394,                 34447,,                 29114,                    -61,,                 34508,                    -61,,                              0.39,,                              0.38,,                              0,,,,                  2080,                  2080,                  6499,,,,                  1105
4720,2013年度,,,,              2135331,                  7591,                  1121,              2126619,              2126619,,,              1653652,              1653652,                472967,                      6,,                472961,,,                228956,,                113719,,                 59256,                401931,                 71030,,,,                  2428,                 23731,                 26159,,,                              0,                 11841,                    127,                  2805,                  1856,                -31713,,                  4912,                  4912,,                 16597,                  6131,                 77161,,                 25171,                 51990,                 51990,,,,,,                 38138,                 90128,,                 50886,                  1104,,                 82532,                  7596,,                              0.68,,                              0.67,              2135331,,                              0.68,                              0.67,,,                 39020,                 43561,                    801,,                     94,                  6318
4720,2013年07月01日至2013年09月30日,,,,                546540,                  2484,                    321,                543735,                543735,,,                419738,                419738,                123997,                              0,                     96,                124093,,,                 60333,,                 27996,,                 14573,                102902,                 21191,,,,                    977,                  5394,                  6371,,,,                              0,                     19,                    964,                  1725,                -27316,,                  1299,                  1299,,                  6248,                -15996,                  5195,,                  2375,                  2820,                  2820,,,,,,                 -5597,                 -2777,,                  2493,                    327,,                 -3103,                    326,,                              0.03,,                              0.03,,                    835,,,,                 23811,                 23811,                 -6744,,,,                 -1147
4720,2013年04月01日至2013年06月30日,,,,                555498,                  1130,                    442,                553926,                553926,,,                426271,                426271,                127655,                              0,                     56,                127711,,,                 58695,,                 27279,,                 14460,                100434,                 27277,,,,                    715,                  7847,                  8562,,,,                  4244,                     42,                    476,                    182,                  1548,,                  1123,                  1123,,                  3660,                 12647,                 39924,,                 10871,                 29053,                 29053,,,,,,                  5394,                 34447,,                 29114,                    -61,,                 34508,                    -61,,                              0.39,,                              0.38,,                              0,,,,                  2080,                  2080,                  6499,,,,                  1105
