證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租金收入,　　　 外幣兌換利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 廉價購買利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計
1907,2015年第3季,,,             13901045,,              2332849,             16233894,,,             11962107,              1542100,             13504207,              2729687,              2729687,,,              1287641,,                918011,,                 44866,              2250518,,                    -44,                    -44,                479125,,,,                 60844,                585215,                 85105,                731164,,                  1865,                126054,                 26591,                313626,                 69102,               -281400,,                221399,,                135939,                364304,                843429,,                160576,                682853,                682853,,,              1054910,             -2318016,                 81385,,                 68602,             -1113119,             -1113119,               -430266,,                451646,                231207,,               -679288,                249022,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,,,,,,,
1907,2015年第2季,,,             13952963,,              2016801,             15969764,,,             11862235,              1348795,             13211030,              2758734,              2758734,,,              1306717,,                905700,,                 31125,              2243542,,                   -663,                   -663,                514529,,,,                 62691,,                124184,                186875,,                 14124,                  4983,                 10712,                -33873,                -17971,                 60239,,                215625,,                 30658,                 62147,                576676,,                112065,                464611,                464611,,,               -351065,               -959407,                  4262,,               -220678,             -1526888,             -1526888,             -1062277,,                281024,                183587,,             -1193409,                131132,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,
1907,2015年01月01日至2015年09月30日,,,             41157225,,              6008624,             47165849,,,             35194115,              4009189,             39203304,              7962545,              7962545,,,              3840242,,              2748891,,                110022,              6699155,,                   -521,                   -521,              1262869,,,,                187335,                586705,                299179,              1073219,,                 16522,                175379,                 53984,                269254,                 65940,               -197277,,                662910,,                -17875,                195157,              1458026,,                363397,              1094629,              1094629,,,                268666,             -3297424,                 37306,,               -392046,             -3383498,             -3383498,             -2288869,,                566190,                528439,,             -2711282,                422413,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,,,,,,,,
1907,2015年01月01日至2015年06月30日,,,             27256180,,              3675775,             30931955,,,             23232008,              2467089,             25699097,              5232858,              5232858,,,              2552601,,              1830880,,                 65156,              4448637,,                   -477,                   -477,                783744,,,,                126491,,                215564,                342055,,                 14657,                 49325,                 27393,                -44372,                 -3162,                 84123,,                441511,,               -153814,               -169147,                614597,,                202821,                411776,                411776,,,               -786244,               -979408,                -44079,,               -460648,             -2270379,             -2270379,             -1858603,,                114544,                297232,,             -2031994,                173391,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,,,
1907,2015年01月01日至2015年03月31日,,,             13303217,,              1658974,             14962191,,,             11369773,              1118294,             12488067,              2474124,              2474124,,,              1245884,,                925180,,                 34031,              2205095,,                    186,                    186,                269215,,,,                 63800,,                 72769,                155180,,                    533,                 44342,                 16681,                -10499,                 14809,                 23884,,                225886,,               -184472,               -231294,                 37921,,                 90756,                -52835,                -52835,,,               -435179,                -20001,                -48341,,               -239970,               -743491,               -743491,               -796326,,               -166480,                113645,,               -838585,                 42259,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,                 18611,,,,,,,,,,,,
1907,2014年第3季,,,             13534149,,              1867166,             15401315,,,             11723708,              1350095,             13073803,              2327512,              2327512,,,              1255683,,                896504,,                 31709,              2183896,,                   -969,                   -969,                142647,,,,                 74470,                398169,                149332,                621971,,                -18828,                 97750,                 25524,                -81719,                 10267,                124850,,                240891,,                 55033,                560963,                703610,,                133337,                570273,                570273,,,                558637,               -607870,                  1738,,               -270703,               -318198,               -318198,                252075,,                512577,                 57696,,                188711,                 63364,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,
1907,2014年第2季,,,             13298645,,              1648891,             14947536,,,             11585831,              1153264,             12739095,              2208441,              2208441,,,              1279941,,                827633,,                 29246,              2136820,,                  1584,                  1584,                 73205,,,,                 63952,,                 90756,                154708,,                -21177,                 22432,                 12360,                 45541,                   -828,                -55818,,                216122,,                141964,                 24732,                 97937,,                120250,                -22313,                -22313,,,               -605756,             -1230637,                -12751,,                -33905,             -1883049,             -1883049,             -1905362,,                -15792,                 -6521,,             -1795640,               -109722,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,,,,,,,,,,,,,
1907,2014年度,,,             53834783,,              7061614,             60896397,,,             46521241,              4983261,             51504502,              9391895,              9391895,,,              5180565,,              3484631,,                123225,              8788421,,                 33001,                 33001,                636475,,,,                234261,                436264,                463607,              1134132,,                -37698,                158133,                104623,,                 41786,                119760,,                871811,,                235851,                617932,              1254407,,                384643,                869764,                869764,,,,,,,,,              6407429,              7277193,,                602624,                267140,,              6685733,                591460,,                              0.36,                              0.36,,                              0.36,                              0.36,,                145734,              1742460,              3955972,                 -2999,               -120330,,                832326,,,,,
1907,2014年01月01日至2014年09月30日,,,             39400636,,              5024618,             44425254,,,             34234525,              3610073,             37844598,              6580656,              6580656,,,              3738465,,              2522637,,                 88227,              6349329,,                 32637,                 32637,                263964,,,,                191978,                413390,                334648,                940016,,                -30513,                150933,                 59628,                108830,                 19415,                -67453,,                657619,,                 74975,                289919,                553883,,                325606,                228277,                228277,,,                417948,              4212186,                 -8034,,                791945,              5414045,              5414045,              5642322,,                163022,                 65255,,              5302711,                339611,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,
1907,2014年01月01日至2014年06月30日,,,             25866487,,              3157452,             29023939,,,             22510817,              2259978,             24770795,              4253144,              4253144,,,              2482782,,              1626133,,                 56518,              4165433,,                 33606,                 33606,                121317,,,,                117508,,                200537,                318045,,                -11685,                 53183,                 34104,                190549,                  9148,               -192303,,                416728,,                 19942,               -271044,               -149727,,                192269,               -341996,               -341996,,,               -140689,              4820056,                 -9772,,              1062648,              5732243,              5732243,              5390247,,               -349555,                  7559,,              5114000,                276247,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,,,,,,,,,
