證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）
6216,2015年第3季,,,,                258823,                     65,                     83,                258675,                258675,,                130120,                128555,                128555,,,                 15981,,                 22324,,                 35011,                 73316,                 55239,,,                    900,,                 35796,                 36696,                 91935,,                 17436,                 74499,                 74499,,,                  3566,                  2747,                    606,                  5707,                  5707,                 80206,,                 74499,,                 80206,,                              0.95,,                              0.92,,,,,,,,,,,,,
6216,2015年第2季,,,,                346480,                     42,                      3,                346435,                346435,,                182073,                164362,                164362,,,                 16175,,                 18457,,                 34653,                 69285,                 95077,,,                  1210,,                 -2449,                 -1239,                 93838,,                 12465,                 81373,                 81373,,,                 -1222,                   -819,                   -208,                 -1833,                 -1833,                 79540,,                 81373,,                 79540,,                              1.05,,                              0.99,,,,,,,,,,,,,
6216,2015年01月01日至2015年09月30日,,,,                871414,                    363,                     89,                870962,                870962,,                458849,                412113,                412113,,,                 47454,,                 61043,,                100432,                208929,                203184,,,                  4058,,                 16984,                 21042,                224226,,                 37252,                186974,                186974,,,                    806,                  3519,                    137,                  4188,                  4188,                191162,,                186974,,                191162,,                              2.41,,                              2.31,,,,,,,,,,,,,
6216,2015年01月01日至2015年06月30日,,,,                612591,                    298,                      6,                612287,                612287,,                328729,                283558,                283558,,,                 31473,,                 38719,,                 65421,                135613,                147945,,,                  3158,,                -18812,                -15654,                132291,,                 19816,                112475,                112475,,,                 -2760,                    772,                   -469,                 -1519,                 -1519,                110956,,                112475,,                110956,,                              1.45,,                              1.39,,,,,,,,,,,,,
6216,2015年01月01日至2015年03月31日,,,,                266111,                    256,                      3,                265852,                265852,,                146656,                119196,                119196,,,                 15298,,                 20262,,                 30768,                 66328,                 52868,,,                  1948,,                -16363,                -14415,                 38453,,                  7351,                 31102,                 31102,,,                 -1538,                  1591,                   -261,                    314,                    314,                 31416,,                 31102,,                 31416,,                              0.40,,                              0.39,,,,,,,,,,,,,
6216,2014年第3季,,,,                266129,                    693,                      9,                265427,                265427,,                147680,                117747,                117747,,,                 13792,,                 24340,,                 28458,                 66590,                 51157,,,                  1062,,                 -5725,                 -4663,                 46494,,                  9507,                 36987,                 36987,,,                  1844,                  1813,                    313,                  3344,                  3344,                 40331,,                 36987,,                 40331,,                              0.48,,                              0.46,,,,,,,,,,,,,
6216,2014年第2季,,,,                258328,                    381,                     43,                257904,                257904,,                128829,                129075,                129075,,,                 13334,,                 22697,,                 29123,                 65154,                 63921,,,                  3128,,                 -4274,                 -1146,                 62775,,                 12134,                 50641,                 50641,,,                 -1931,                     89,                   -328,                 -1514,                 -1514,                 49127,,                 50641,,                 49127,,                              0.66,,                              0.64,,,,,,,,,,,,,
6216,2014年度,,,,              1033602,                  2082,                    133,              1031387,              1031387,,                547291,                484096,                484096,,,                 52515,,                 98703,,                117675,                268893,                215203,,,                  6606,,                  9672,                 16278,                231481,,                 45945,                185536,                185536,,,,,,,                  6613,                192149,,                185536,,                192149,,                              2.43,,                              2.33,              1033602,                  2917,                  5489,                 -1564,                    229,,,,,,,,
6216,2014年01月01日至2014年09月30日,,,,                760818,                  1551,                    133,                759134,                759134,,                398908,                360226,                360226,,,                 40269,,                 74856,,                 86574,                201699,                158527,,,                  5345,,                 -2273,                  3072,                161599,,                 32077,                129522,                129522,,,                    -48,                  3977,                     -8,                  3937,                  3937,                133459,,                129522,,                133459,,                              1.70,,                              1.63,,,,,,,,,,,,,
6216,2014年01月01日至2014年06月30日,,,,                494689,                    858,                    124,                493707,                493707,,                251228,                242479,                242479,,,                 26477,,                 50516,,                 58116,                135109,                107370,,,                  4283,,                  3452,                  7735,                115105,,                 22570,                 92535,                 92535,,,                 -1892,                  2164,                   -321,                    593,                    593,                 93128,,                 92535,,                 93128,,                              1.22,,                              1.17,,,,,,,,,,,,,
6216,2014年01月01日至2014年03月31日,,,,                236361,                    477,                     81,                235803,                235803,,                122399,                113404,                113404,,,                 13143,,                 27819,,                 28993,                 69955,                 43449,,,                  1155,,                  7726,                  8881,                 52330,,                 10436,                 41894,                 41894,,,                     39,                  2075,                      7,                  2107,                  2107,                 44001,,                 41894,,                 44001,,                              0.56,,                              0.54,,,,,,,,,,,,,
6216,2013年第3季,,,,                206347,                    175,                     25,                206147,                206147,,                106893,                 99254,                 99254,,,                 13920,,                 21612,,                 24124,                 59656,                 39598,,,                    983,,                  1285,                  2268,                 41866,,                  7682,                 34184,                 34184,,,,,,,                   -494,                 33690,,                 34184,,                 33690,,                              0.46,,                              0.45,,                   -809,                    178,,                   -137,,,,,,,,
