證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3060,2015年第3季,,              2165336,,              1791749,                373587,                373587,,,                 53174,,                 92313,,                 46529,                192016,                181571,,,                 12501,,                205402,,                  1248,,                 79332,                295987,                477558,,                162727,                314831,                314831,,,               -228717,                -36434,               -192283,               -192283,                122548,,                295807,                 19024,,                121010,                  1538,,                              1.70,,                              1.69,,,,
3060,2015年第2季,,              1854682,,              1565222,                289460,                289460,,,                 53282,,                 68398,,                 50610,                172290,                117170,,,                 13917,,                 21341,,                  1341,,                 35297,                 69214,                186384,,                 83155,                103229,                103229,,,               -122721,                -16476,               -106245,               -106245,                 -3016,,                 95172,                  8057,,                 14412,                -17428,,                              0.55,,                              0.55,,,,
3060,2015年01月01日至2015年09月30日,,              5784478,,              4695964,              1088514,              1088514,,,                161313,,                247496,,                147046,                555855,                532659,,,                 44017,,                246617,,                  3984,,                171741,                458391,                991050,,                340269,                650781,                650781,,,               -568105,                -85243,               -482862,               -482862,                167919,,                608343,                 42438,,                184074,                -16155,,                              3.49,,                              3.47,,,,
3060,2015年01月01日至2015年06月30日,,              3619142,,              2904215,                714927,                714927,,,                108139,,                155183,,                100517,                363839,                351088,,,                 31516,,                 41215,,                  2736,,                 92409,                162404,                513492,,                177542,                335950,                335950,,,               -339388,                -48809,               -290579,               -290579,                 45371,,                312536,                 23414,,                 63064,                -17693,,                              1.79,,                              1.79,,,,
3060,2015年01月01日至2015年03月31日,,              1764460,,              1338993,                425467,                425467,,,                 54857,,                 86785,,                 49907,                191549,                233918,,,                 17599,,                 19874,,                  1395,,                 57112,                 93190,                327108,,                 94387,                232721,                232721,,,               -216667,                -32333,               -184334,               -184334,                 48387,,                217364,                 15357,,                 48652,                   -265,,                              1.25,,                              1.24,,,,
3060,2014年第3季,,              1863096,,              1492650,                370446,                370446,,,                 53549,,                 84174,,                 39580,                177303,                193143,,,                  7278,,                 33979,,                  1520,,                 74694,                114431,                307574,,                 63146,                244428,                244428,,,                  4190,                    563,                  3627,                  3627,                248055,,                233598,                 10830,,                237750,                 10305,,                              1.34,,                              1.34,,,,
3060,2014年第2季,,              1717079,,              1386428,                330651,                330651,,,                 55742,,                 70165,,                 39463,                165370,                165281,,,                  9786,,                -82979,,                  1546,,                 57810,                -16929,                148352,,                 11638,                136714,                136714,,,                -27532,                 -4242,                -23290,                -23290,                113424,,                128813,                  7901,,                106282,                  7142,,                              0.74,,                              0.74,,,,
3060,2014年度,,              7192950,,              5738041,              1454909,              1454909,,,                222526,,                309839,,                177771,                710136,                744773,,,                 59650,,                 10872,,                  6012,,                193462,                257972,              1002745,,                226653,                776092,                776092,,,,,,                 25310,                801402,,                725130,                 50962,,                751250,                 50152,,                              4.16,,                              4.15,,              7192950,                 29754,                  4444
3060,2014年01月01日至2014年09月30日,,              5244645,,              4176626,              1068019,              1068019,,,                160984,,                228896,,                121200,                511080,                556939,,,                 34560,,                -70452,,                  4794,,                157354,                116668,                673607,,                150283,                523324,                523324,,,                 65276,                  9647,                 55629,                 55629,                578953,,                494983,                 28341,,                547025,                 31928,,                              2.84,,                              2.84,,,,
3060,2014年01月01日至2014年06月30日,,              3381549,,              2683976,                697573,                697573,,,                107435,,                144722,,                 81620,                333777,                363796,,,                 27282,,               -104431,,                  3274,,                 82660,                  2237,                366033,,                 87137,                278896,                278896,,,                 61086,                  9084,                 52002,                 52002,                330898,,                261385,                 17511,,                309275,                 21623,,                              1.50,,                              1.50,,,,
