證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前損益,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　　 資產減損損失（迴轉利益）,　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法之投資處分損益,　　　　　 採用權益法之投資處分損益,　　　　 股利收入,　　　　　 股利收入合計,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）-稀釋
2887,2014年第3季,,,             15029911,              5873528,              9156383,,,              3939522,,              1394256,,                328480,,                -20965,,                              0,,                  5807,,,,,,                570264,              6217364,             15373747,,               -125934,,              5203410,                409309,              2877297,              8490016,              7009665,               -687257,              6322408,              6322408,,                369033,               -530822,,,                  9386,               -152403,              6170005,,              3891857,              2430551,,              3744572,              2425433,,                              0.41,,                              0.40,,,,,,,,,,,
2887,2014年第2季,,,             14438994,              5823592,              8615402,,,              3840238,,              1433080,,                 26898,,                 26975,,                 -6053,,                  6609,,,                              0,,                461760,                461760,              5789507,             14404909,,             -1228837,,              5299353,                396477,              2695708,              8391538,              7242208,               -852139,              6390069,              6390069,,               -296966,                150497,,,                 -2672,               -149141,              6240928,,              4211567,              2178502,,              4161906,              2079022,,                              0.50,,                              0.48,,,,,,,,,,,
2887,2014年度,,,             55785260,             22087679,             33697581,,,             14717574,,              7938189,,              1192640,,               -576368,,                -22363,,                131470,,,                719705,,            -13158742,            -12439037,             10942105,             44639686,,               -750255,,             19910494,              1561738,             10749297,             32221529,             13168412,             -3520673,              9647739,              9647739,,                318491,               -619158,                -77523,                 97586,                -45066,               -325670,              9322069,,              1624376,              8023363,,                911607,              8410462,,                              0.08,,                              0.08,,,,,,,,,,,
2887,2014年01月01日至2014年09月30日,,,             43310090,             17201694,             26108396,,,             11528084,,              5158757,,                427654,,                812634,,                 -6053,,                 18387,,,,,,              2165226,             20104689,             46213085,,             -1357275,,             15771444,              1200033,              7908049,             24879526,             22690834,             -2756770,             19934064,             19934064,,                149737,               -297416,,,                 10450,               -137229,             19796835,,             12927176,              7006888,,             12763120,              7033715,,                              1.42,,                              1.38,,,,,,,,,,,
2887,2014年01月01日至2014年06月30日,,,             28280179,             11328166,             16952013,,,              7588562,,              3764501,,                 99174,,                833599,,                 -6053,,                 12580,,,                719705,,                875257,              1594962,             13887325,             30839338,,             -1231341,,             10568034,                790724,              5030752,             16389510,             15681169,             -2069513,             13611656,             13611656,,               -219296,                233406,,,                  1064,                 15174,             13626830,,              9035319,              4576337,,              9018548,              4608282,,                              1.11,,                              1.06,,,,,,,,,,,
2887,2014年01月01日至2014年03月31日,,,             13839605,              5504574,              8335031,,,              3748324,,              2198423,,                 72276,,                806624,,                              0,,                  5971,,,,,,                549708,              7381326,             15716357,,               -722209,,              5268681,                394247,              2336677,              7999605,              8438961,             -1217374,              7221587,              7221587,,                 77670,                 82909,,,                  3736,                164315,              7385902,,              4823752,              2397835,,              4856642,              2529260,,                              0.61,,                              0.58,,,,,,,,,,,
2887,2013年第3季,,,             12811118,              4859297,              7951821,,,              3149291,,              1176701,,                177833,,                737964,,                              0,,                    809,,,,,,                453591,              5696189,             13648010,,               -223963,,              4911021,                368757,              2357507,              7637285,              6234688,             -1224278,              5010410,              5010410,,                -77041,                 64469,,,                 14414,                  1842,              5012252,,              3270526,              1739884,,              3585181,              1427071,,                              0.37,,                              0.36,,,,,,,,,,,
2887,2013年第2季,,,             12497020,              4701264,              7795756,,,              3461876,,              2719150,,              1812457,,             -1079715,,                -67614,,                  7214,,,                              0,,                493236,                493236,              7346604,             15142360,,               -173286,,              4803062,                370472,              2510852,              7684386,              7631260,             -1737311,              5893949,              5893949,,                 80111,             -2109348,,,                258061,             -1771176,              4122773,,              4081807,              1812142,,              2482828,              1639945,,                              0.51,,                              0.50,,,,,,,,,,,
2887,2013年度,,,             50532658,             19252887,             31279771,,,             13280922,,              9943519,,              2956234,,             -2846198,,               -236284,,                  1565,,,                              0,,              1447704,              1447704,             24547462,             55827233,,               -546409,,             19834522,              1480964,              9654704,             30970190,             25403452,             -4829829,             20573623,             20573623,,                351249,             -2430501,               -222260,                   -230,                343388,             -1958354,             18615269,,             13836248,              6737375,,             12326139,              6289130,,                              1.57,,                              1.54,,,,,,,,,,,
2887,2013年07月01日至2013年09月30日,,,             12811118,              4859297,              7951821,,,              3149291,,              1176701,,                177833,,                737964,,,,                    809,,,                              0,,                293511,                404338,              5696189,             13648010,,               -223963,,              4911021,                368757,              2357507,              7637285,              6234688,             -1224278,              5010410,              5010410,,                -77041,                 64469,,,                 14414,                  1842,              5012252,,              3270526,              1739884,,              3585181,              1427071,,                              0.41,,                              0.40,,                 49253,                              0,,                    809,,                              0,,                110827,,
2887,2013年04月01日至2013年06月30日,,,             12497020,              4701264,              7795756,,,              3461876,,              2719150,,              1806685,,             -1079715,,,,                  7214,,,                              0,,                253050,                451949,              7346604,             15142360,,               -173286,,              4796954,                370472,              2516960,              7684386,              7631260,             -1737311,              5893949,              5893949,,                 80111,             -2109348,,,                258061,             -1771176,              4122773,,              4081807,              1812142,,              2482828,              1639945,,                              0.51,,                              0.50,,                 47059,                -67614,,                  7214,,                              0,,                198899,,
2887,2013年01月01日至2013年12月31日,,,             50532658,             19252887,             31279771,,,             13280922,,              9900929,,              2956234,,             -2846198,,,,                  1565,,,                              0,,                993974,              1298928,             24547462,             55827233,,               -546409,,             19834522,              1480964,              9654704,             30970190,             25403452,             -4829829,             20573623,             20573623,,                351249,             -2430501,               -222260,                   -230,                343388,             -1958354,             18615269,,             13836248,              6737375,,             12326139,              6289130,,                              1.72,,                              1.68,,                191366,               -236284,,                  1565,,                              0,,                304954,,
2887,2013年01月01日至2013年09月30日,,,             37446325,             14209353,             23236972,,,              9919740,,              7796470,,              2979485,,             -2466437,,               -147764,,                 15499,,,,,,              1187303,             19284296,             42521268,,             -1072236,,             14452846,              1112075,              7067303,             22632224,             20961280,             -4058708,             16902572,             16902572,,                235920,             -2871298,,,                323704,             -2311674,             14590898,,             11534022,              5368550,,              9766458,              4824440,,                              1.32,,                              1.28,,,,,,,,,,,
2887,2013年01月01日至2013年06月30日,,,             24635207,              9350056,             15285151,,,              6770449,,              6619769,,              2801652,,             -3204401,,               -147764,,                 14690,,,                              0,,                733712,                733712,             13588107,             28873258,,               -848273,,              9541825,                743318,              4709796,             14994939,             14726592,             -2834430,             11892162,             11892162,,                312961,             -2935767,,,                309290,             -2313516,              9578646,,              8263496,              3628666,,              6181277,              3397369,,                              1.04,,                              1.00,,,,,,,,,,,
2887,2013年01月01日至2013年03月31日,,,             12138187,              4648792,              7489395,,,              3308573,,              3900619,,                989195,,             -2124686,,                -80150,,                  7476,,,,,,                240476,              6241503,             13730898,,               -674987,,              4738763,                372846,              2198944,              7310553,              7095332,             -1097119,              5998213,              5998213,,                232850,               -826419,,,                 51229,               -542340,              5455873,,              4181690,              1816523,,              3698449,              1757424,,                              0.53,,                              0.51,,,,,,,,,,,
