證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1472,2015年第3季,,,                199429,                199429,,,                191462,                191462,                  7967,                  7967,,,                  9483,,                  7561,,                  1810,                 18854,,                              0,                -10887,,,                    679,,                  1809,,                  3424,                  3424,                   -936,                -11823,,                    472,                -12295,                -12295,,,                 -1196,                 -1196,                 -1196,                -13491,,                -11597,                   -698,,                -12793,                   -698,,                             -0.16,                             -0.16,,,,,,,,
1472,2015年第2季,,,                203347,                203347,,,                203052,                203052,                    295,                    295,,,                  8427,,                  6373,,                    888,                 15688,,                 46324,                 30931,,,                    936,,                 -2542,,                  3474,                  3474,                 -5080,                 25851,,                  2908,                 22943,                 22943,,,                 -6755,                 -6755,                 -6755,                 16188,,                 23539,                   -596,,                 16784,                   -596,,                              0.33,                              0.33,,,,,,,,
1472,2015年01月01日至2015年09月30日,,,                589105,                589105,,,                589886,                589886,                   -781,                   -781,,,                 25884,,                 22011,,                  4253,                 52148,,                 46324,                 -6605,,,                  2710,,                 -1180,,                 10701,                 10701,                 -9171,                -15776,,                  3511,                -19287,                -19287,,,                 -8254,                 -8254,                 -8254,                -27541,,                -17388,                 -1899,,                -25642,                 -1899,,                             -0.24,                             -0.24,,,,,,,,
1472,2015年01月01日至2015年06月30日,,,                389676,                389676,,,                398424,                398424,                 -8748,                 -8748,,,                 16401,,                 14450,,                  2443,                 33294,,                 46324,                  4282,,,                  2031,,                 -2989,,                  7277,                  7277,                 -8235,                 -3953,,                  3039,                 -6992,                 -6992,,,                 -7058,                 -7058,                 -7058,                -14050,,                 -5791,                 -1201,,                -12849,                 -1201,,                             -0.08,                             -0.08,,,,,,,,
1472,2015年01月01日至2015年03月31日,,,                186329,                186329,,,                195372,                195372,                 -9043,                 -9043,,,                  7974,,                  8077,,                  1555,                 17606,,                              0,                -26649,,,                  1095,,                   -447,,                  3803,                  3803,                 -3155,                -29804,,                    131,                -29935,                -29935,,,                   -303,                   -303,                   -303,                -30238,,                -29330,                   -605,,                -29633,                   -605,,                             -0.41,                             -0.41,,,,,,,,
1472,2014年第3季,,,                296342,                296342,,,                287813,                287813,                  8529,                  8529,,,                 10359,,                  7013,,                  1735,                 19107,,                    153,                -10425,,,                  1238,,                  2265,,                  3900,                  3900,                   -397,                -10822,,                    234,                -11056,                -11056,,,                  2843,                  2843,                  2843,                 -8213,,                -10372,                   -684,,                 -7529,                   -684,,                             -0.15,                             -0.15,,,,,,,,
1472,2014年第2季,,,                265295,                265295,,,                271331,                271331,                 -6036,                 -6036,,,                 10127,,                  6356,,                  5830,                 22313,,                 14741,                -13608,,,                  1172,,                 -2094,,                  3630,                  3630,                 -4552,                -18160,,                              0,                -18160,                -18160,,,                 -2819,                 -2819,                 -2819,                -20979,,                -17502,                   -658,,                -20321,                   -658,,                             -0.25,                             -0.25,,,,,,,,
1472,2014年度,,,                981564,                981564,,,                976702,                976702,                  4862,                  4862,,,                 41087,,                 28472,,                 11360,                 80919,,                 16399,                -59658,,,                  4685,,                  5843,,                 14811,                 14811,                 -4283,                -63941,,                    732,                -64673,                -64673,,,,,                  8617,                -56056,,                -61835,                 -2838,,                -53218,                 -2838,,                             -0.89,                             -0.89,                  7165,                  1452,,,,,,
1472,2014年01月01日至2014年09月30日,,,                779118,                779118,,,                775545,                775545,                  3573,                  3573,,,                 30481,,                 21523,,                 11230,                 63234,,                 16348,                -43313,,,                  3521,,                  3162,,                 10909,                 10909,                 -4226,                -47539,,                    226,                -47765,                -47765,,,                  4095,                  4095,                  4095,                -43670,,                -45670,                 -2095,,                -41575,                 -2095,,                             -0.66,                             -0.66,,,,,,,,
1472,2014年01月01日至2014年06月30日,,,                482776,                482776,,,                487732,                487732,                 -4956,                 -4956,,,                 20122,,                 14510,,                  9495,                 44127,,                 16195,                -32888,,,                  2283,,                    897,,                  7009,                  7009,                 -3829,                -36717,,                     -8,                -36709,                -36709,,,                  1252,                  1252,                  1252,                -35457,,                -35298,                 -1411,,                -34046,                 -1411,,                             -0.51,                             -0.51,,,,,,,,
