證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2017,2015年第3季,,,              1135014,              1135014,,,                988702,                988702,                146312,                146312,,,                 31610,,                 78461,,                  1152,                111223,,                 -1362,                 -1362,                 33727,,,                  4082,,                 -5044,,                 14099,,                   -503,                -15564,                 18163,,                 18074,                     89,                     89,,,                    420,                   -200,,                  1026,                     62,                  1184,                  1184,                  1273,,                -64554,                 64643,,                -63370,                 64643,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,,,,,,
2017,2015年第2季,,,              1328950,              1328950,,,              1164262,              1164262,                164688,                164688,,,                 37133,,                 67033,,                  1099,                105265,,                              0,                              0,                 59423,,,                  4527,,                 15976,,                 14274,,                  1623,                  7852,                 67275,,                 14887,                 52388,                 52388,,,                    244,                   -104,,                 -1552,,                 -1412,                 -1412,                 50976,,                 17917,                 34471,,                 16505,                 34471,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,
2017,2015年01月01日至2015年09月30日,,,              3842146,              3842146,,,              3480811,              3480811,                361335,                361335,,,                 97425,,                208388,,                  3472,                309285,,                 -1362,                 -1362,                 50688,,,                 14878,,                  8518,,                 42429,,                   -462,                -19495,                 31193,,                 36110,                 -4917,                 -4917,,,                    714,                   -386,,                 -1789,                    112,                 -1573,                 -1573,                 -6490,,               -113942,                109025,,               -115515,                109025,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,,,,,,,
2017,2015年01月01日至2015年06月30日,,,              2707132,              2707132,,,              2492109,              2492109,                215023,                215023,,,                 65815,,                129927,,                  2320,                198062,,                              0,                              0,                 16961,,,                 10796,,                 13562,,                 28330,,                     41,                 -3931,                 13030,,                 18036,                 -5006,                 -5006,,,                    244,                   -186,,                 -2815,,                 -2757,                 -2757,                 -7763,,                -49388,                 44382,,                -52145,                 44382,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,,,,,,,,
2017,2015年01月01日至2015年03月31日,,,              1378182,              1378182,,,              1327847,              1327847,                 50335,                 50335,,,                 28682,,                 62894,,                  1221,                 92797,,                              0,                              0,                -42462,,,                  6269,,                 -2414,,                 14056,,                 -1582,                -11783,                -54245,,                  3149,                -57394,                -57394,,,,                    -82,,                 -1263,,                 -1345,                 -1345,                -58739,,                -67305,                  9911,,                -68650,                  9911,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,,,,
2017,2014年第3季,,,              1593465,              1593465,,,              1429997,              1429997,                163468,                163468,,,                 25215,,                 73548,,                  1221,                 99984,,                              0,                              0,                 63484,,,                 10631,,                 -1436,,                 12991,,                 -2549,                 -6345,                 57139,,                 19982,                 37157,                 37157,,,                              0,                   -866,,                    299,                              0,                   -567,                   -567,                 36590,,                -35038,                 72195,,                -35605,                 72195,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,,,,
2017,2014年第2季,,,              1482634,              1482634,,,              1354581,              1354581,                128053,                128053,,,                 26359,,                 70510,,                  1290,                 98159,,                   -215,                   -215,                 29679,,,                  4705,,                  3099,,                 11615,,                   -142,                 -3953,                 25726,,                 13331,                 12395,                 12395,,,                              0,                 -1864,,                 -1213,,                 -3077,                 -3077,                  9318,,                -23903,                 36298,,                -26980,                 36298,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,
2017,2014年度,,,              5900408,              5900408,,,              5533169,              5533169,                367239,                367239,,,                101438,,                267232,,                  5029,                373699,,,                   -397,                 -6857,,,                 45376,,                -12759,,                 49758,,                  6276,                -10865,                -17722,,                 23619,                -41341,                -41341,,,,,,,,,                -14373,                -55714,,               -167761,                126420,,               -182006,                126292,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,                 21644,                 23732,                 -8780,                 -6423,,                   -261,                  1091,
2017,2014年01月01日至2014年09月30日,,,              4544744,              4544744,,,              4201731,              4201731,                343013,                343013,,,                 76541,,                203211,,                  3809,                283561,,                   -220,                   -220,                 59232,,,                 20293,,                 -2386,,                 36764,,                     47,                -18810,                 40422,,                 35902,                  4520,                  4520,,,                              0,                 -7227,,                 -1594,                              0,                 -8821,                 -8821,                 -4301,,               -113742,                118262,,               -122563,                118262,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,,,,,,,
2017,2014年01月01日至2014年06月30日,,,              2951279,              2951279,,,              2771734,              2771734,                179545,                179545,,,                 51326,,                129663,,                  2588,                183577,,                   -220,                   -220,                 -4252,,,                  9662,,                   -950,,                 23773,,                  2596,                -12465,                -16717,,                 15920,                -32637,                -32637,,,                              0,                 -6361,,                 -1893,,                 -8254,                 -8254,                -40891,,                -78704,                 46067,,                -86958,                 46067,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,,,,
2017,2014年01月01日至2014年03月31日,,,              1468645,              1468645,,,              1417153,              1417153,                 51492,                 51492,,,                 24967,,                 59153,,                  1298,                 85418,,                     -5,                     -5,                -33931,,,                  4957,,                 -4049,,                 12158,,                  2738,                 -8512,                -42443,,                  2589,                -45032,                -45032,,,,                 -4497,,                   -680,,                 -5177,                 -5177,                -50209,,                -54801,                  9769,,                -59978,                  9769,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,,,,,,,
2017,2013年第3季,,,              1498887,              1498887,,,              1310780,              1310780,                188107,                188107,,,                 24701,,                 70731,,                  1308,                 96740,,                              0,                              0,                 91367,,,                 10014,,                  3852,,                  9200,,                 -3260,                  1406,                 92773,,                 19138,                 73635,                 73635,,,,,,,,,                  5885,                 79520,,                  4345,                 69290,,                 10230,                 69290,,                              0.01,                              0.01,,                              0.01,                              0.01,,,                  5722,,,                    163,,
2017,2013年第2季,,,              1383400,              1383400,,,              1389480,              1389480,                 -6080,                 -6080,,,                 26849,,                 70691,,                  1407,                 98947,,                              0,                              0,               -105027,,,                  4555,,                   -717,,                  9362,,                    391,                 -5133,               -110160,,                 13937,               -124097,               -124097,,,,,,,,,                 -5814,               -129911,,               -159565,                 35468,,               -165379,                 35468,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,,                 -5087,,,                   -727,,
2017,2013年度,,,              5885806,              5885806,,,              5518687,              5518687,                367119,                367119,,,                100135,,                262845,,                  5462,                368442,,,                    170,                 -1153,,,                 55451,,                 -5816,,                 37960,,                  4170,                 15845,                 14692,,                 32726,                -18034,                -18034,,,,,,,,,                 -1080,                -19114,,               -121389,                103355,,               -122230,                103116,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,                 29564,                 25887,                    -12,                    239,,                 -1266,                    -41,
