證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）
9958,2015年第3季,,                713088,,                606621,                106467,                106467,,,                 -2149,,                 20395,                 18246,                 88221,,,                  1372,                  1372,,                 30976,,                 16442,                 15906,                104127,,                  7233,                 96894,                 96894,,,                -15066,                -15066,                -15066,                 81828,,                 89313,                  7581,,                 81828,,                              0.48,,                              0.48,
9958,2015年第2季,,                700903,,                607864,                 93039,                 93039,,,                 47488,,                 18024,                 65512,                 27527,,,                  1532,                  1532,,                 -6168,,                 18012,                -22648,                  4879,,                  3096,                  1783,                  1783,,,                 -1825,                 -1825,                 -1825,                    -42,,                  7602,                 -5819,,                    -42,,                              0.04,,                              0.04,
9958,2015年01月01日至2015年09月30日,,              2104509,,              1866343,                238166,                238166,,,                 48284,,                 49325,                 97609,                140557,,,                  3878,                  3878,,                 22842,,                 52968,                -26248,                114309,,                 11300,                103009,                103009,,,                -16891,                -16891,                -16891,                 86118,,                101295,                  1714,,                 86118,,                              0.55,,                              0.54,
9958,2015年01月01日至2015年06月30日,,              1391421,,              1259722,                131699,                131699,,,                 50433,,                 28930,                 79363,                 52336,,,                  2506,                  2506,,                 -8134,,                 36526,                -42154,                 10182,,                  4067,                  6115,                  6115,,,                 -1825,                 -1825,                 -1825,                  4290,,                 11982,                 -5867,,                  4290,,                              0.07,,                              0.07,
9958,2015年01月01日至2015年03月31日,,                690518,,                651858,                 38660,                 38660,,,                  2945,,                 10906,                 13851,                 24809,,,,                    974,,                 -1966,,                 18514,                -19506,                  5303,,                    971,                  4332,                  4332,,,,,,                  4332,,                  4380,                    -48,,                  4332,,                              0.02,,                              0.02,
9958,2014年第3季,,                641712,,                620163,                 21549,                 21549,,,                  2303,,                 13547,                 15850,                  5699,,,                  1243,                  1243,,                  1361,,                 17776,                -15172,                 -9473,,                 -1216,                 -8257,                 -8257,,,                              0,                              0,                              0,                 -8257,,                 -8257,                              0,,                 -8257,,                             -0.05,,                             -0.05,
9958,2014年第2季,,                918387,,                859179,                 59208,                 59208,,,                  3091,,                 12404,                 15495,                 43713,,,                  2042,                  2042,,                    672,,                 12754,                -10040,                 33673,,                 10224,                 23449,                 23449,,,                              0,                              0,                              0,                 23449,,                 23449,                              0,,                 23449,,                              0.13,,                              0.13,
9958,2014年度,,              2888292,,              2697046,                191246,                191246,,,                 11839,,                 46262,                 58101,                133145,,,                  7975,                  7975,,                  1551,,                 59780,                -50254,                 82891,,                 18340,                 64551,                 64551,,,,,                    611,                 65162,,                 64551,,,                 65162,,                              0.35,,                              0.35,                    611
9958,2014年01月01日至2014年09月30日,,              2197696,,              2042378,                155318,                155318,,,                  8711,,                 40373,                 49084,                106234,,,                  4500,                  4500,,                  1135,,                 40942,                -35307,                 70927,,                 16399,                 54528,                 54528,,,                              0,                              0,                              0,                 54528,,                 54528,                              0,,                 54528,,                              0.29,,                              0.29,
9958,2014年01月01日至2014年06月30日,,              1555984,,              1422215,                133769,                133769,,,                  6408,,                 26826,                 33234,                100535,,,                  3257,                  3257,,                   -226,,                 23166,                -20135,                 80400,,                 17615,                 62785,                 62785,,,                              0,                              0,                              0,                 62785,,                 62785,                              0,,                 62785,,                              0.35,,                              0.34,
