證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 其他費用,　　　 什項支出,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 投資性不動產減損損失,　　　　 無形資產減損損失,　　　　 減損損失合計,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2353,2015年第3季,,             67239030,,             61768663,              5470367,              5470367,,,              4614591,,              1157357,,                564140,              6336088,,                161425,               -704296,,,                294447,,                799957,,                 63057,,                    439,              1031786,                327490,,                136596,                190894,                190894,,,              3336739,               -591200,                   -335,              2745874,              2745874,              2936768,,                190855,                     39,,              2936773,                     -5,,                              0.06,,                              0.06,,,,,,,,,,,,,,
2353,2015年第2季,,             60205753,,             53887582,              6318171,              6318171,,,              3831143,,              1128366,,                518955,              5478464,,                 50120,                889827,,,                 81143,,               -837869,,                100118,,                  1119,               -855725,                 34102,,                 31652,                  2450,                  2450,,,               -205661,               -389589,                     27,               -595277,               -595277,               -592827,,                  2447,                      3,,               -592824,                     -3,,                              0.00,,                              0.00,,,,,,,,,,,,,,
2353,2015年01月01日至2015年09月30日,,            195392331,,            176940525,             18451806,             18451806,,,             12986801,,              3547608,,              1670353,             18204762,,                242597,                489641,,,                448179,,                 52834,,                293479,,                 -1855,                205679,                695320,,                328842,                366478,                366478,,,                791501,             -1112014,                 -1035,               -319478,               -319478,                 47000,,                366622,                   -144,,                 47171,                   -171,,                              0.12,,                              0.12,,,,,,,,,,,,,,
2353,2015年01月01日至2015年06月30日,,            128153301,,            115171862,             12981439,             12981439,,,              8372210,,              2390251,,              1106213,             11868674,,                 81172,              1193937,,,                153732,,               -747123,,                230422,,                 -2294,               -826107,                367830,,                192246,                175584,                175584,,,             -2545238,               -520814,                   -700,             -3065352,             -3065352,             -2889768,,                175767,                   -183,,             -2889602,                   -166,,                              0.06,,                              0.06,,,,,,,,,,,,,,
2353,2015年01月01日至2015年03月31日,,             67947548,,             61284280,              6663268,              6663268,,,              4541067,,              1261885,,                587258,              6390210,,                 31052,                304110,,,                 72589,,                 90746,,                130304,,                 -3413,                 29618,                333728,,                160594,                173134,                173134,,,             -2339577,               -131225,                   -727,             -2470075,             -2470075,             -2296941,,                173320,                   -186,,             -2296778,                   -163,,                              0.06,,                              0.06,                              0,,,,,,,,,,,,,
2353,2014年第3季,,             85686365,,             78007646,              7678719,              7678719,,,              4727995,,              1304973,,                574269,              6607237,,                 32309,              1103791,,,                186691,,               -220680,,                 21908,,                  2314,                -53583,              1050208,,                399548,                650660,                650660,,,               -251305,                466906,                   -781,                216382,                216382,                867042,,                650666,                     -6,,                867042,                              0,,                              0.24,,                              0.23,,,,,,,,,,,,,,
2353,2014年第2季,,             81336578,,             73809020,              7527558,              7527558,,,              4887280,,              1433703,,                615352,              6936335,,                 71173,                662396,,,                 67892,,                120543,,                326952,,                  3894,               -134623,                527773,,                 43074,                484699,                484699,,,             -1281669,                216264,                    -20,             -1065385,             -1065385,               -580686,,                484701,                     -2,,               -580626,                    -60,,                              0.18,,                              0.17,,,,,,,,,,,,,,
2353,2014年度,,            329684271,,            300742087,             28942184,             28942184,,,             19143432,,              4899465,,              2524381,             26567278,,                332759,              2707665,,,                414732,,                 17599,,                651206,,                125629,                -93246,              2614419,,                823835,              1790584,              1790584,,,,,,,              2438464,              4229048,,              1790690,                   -106,,              4229180,                   -132,,                              0.66,,                              0.63,                              0,                -17599,,                              0,                              0,                              0,                              0,,                              0,              1445638,              1049440,                              0,                -54382,                  2232
2353,2014年01月01日至2014年09月30日,,            243747167,,            222166467,             21580700,             21580700,,,             14163348,,              3901832,,              1862439,             19927619,,                240350,              1893431,,,                311969,,                 13324,,                502599,,                  7800,               -169506,              1723925,,                587439,              1136486,              1136486,,,               -397061,                946031,                    -46,                549016,                549016,              1685502,,              1136485,                      1,,              1685565,                    -63,,                              0.42,,                              0.40,,,,,,,,,,,,,,
2353,2014年01月01日至2014年06月30日,,            158060802,,            144158821,             13901981,             13901981,,,              9435353,,              2596859,,              1288170,             13320382,,                208041,                789640,,,                125278,,                234004,,                480691,,                  5486,               -115923,                673717,,                187891,                485826,                485826,,,               -145756,                479125,                    735,                332634,                332634,                818460,,                485819,                      7,,                818523,                    -63,,                              0.18,,                              0.18,,,,,,,,,,,,,,
