證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息費用,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 管理費用,　　　 管理費用合計
2705,2015年第3季,,                753392,,                461804,                291588,                291588,,,                259664,                259664,                 31924,,,                  7740,,                 -1684,,                 18483,,                  3845,                 -8582,                 23342,,                   -109,                 23451,,                              0,                 23451,                 23451,,                 23451,,                 23451,                              0,                              0,,                              0.07,                              0.00,                              0.07,,                              0.07,                              0.00,                              0.07,,,,,,,,,,,,,,,,,
2705,2015年第2季,,                657997,,                409830,                248167,                248167,,,                247400,                247400,                    767,,,                  7807,,                 -1756,,                 19061,,                  2517,                -10493,                 -9726,,                   -106,                 -9620,,                              0,                 -9620,                 -9620,,                 -9620,,                 -9620,,,,                             -0.03,                              0.00,                             -0.03,,                             -0.03,                              0.00,                             -0.03,,                409830,                 19061,                              0,                   -106,,,,,,,,,,,,
2705,2015年01月01日至2015年09月30日,,              2151912,,              1363007,                788905,                788905,,,                714121,                714121,                 74784,,,                 22807,,                -44477,,                 56516,,                  9223,                -68963,                  5821,,                  2369,                  3452,,                232875,                236327,                236327,,                236327,,                236327,                              0,                              0,,                              0.01,                              0.70,                              0.71,,                              0.01,                              0.70,                              0.71,,,,,,,,,,,,,,,,,
2705,2015年01月01日至2015年06月30日,,              1398520,,                901203,                497317,                497317,,,                454457,                454457,                 42860,,,                 15067,,                -42793,,                 38033,,                  5378,                -60381,                -17521,,                  2478,                -19999,,                232875,                212876,                212876,,                212876,,                212876,,,,                             -0.06,                              0.70,                              0.64,,                             -0.06,                              0.70,                              0.64,,                901203,                 38033,                              0,                  2478,,,,,,,,,,,,
2705,2015年01月01日至2015年03月31日,,                740523,,                491373,                249150,                249150,,,                207057,                207057,                 42093,,,                  7260,,                -41037,,                 18972,,                  2861,                -49888,                 -7795,,                  2584,                -10379,,                232875,                222496,                222496,,                222496,,                222496,,,,                             -0.03,                              0.70,                              0.67,,                             -0.03,                              0.70,                              0.67,,                491373,                 18972,                  2584,,                  7539,                     10,                 48576,                              0,                     10,,,,,,,
2705,2014年第3季,,                810830,,                494434,                316396,                316396,,,                261209,                261209,                 55187,,,                  5256,,                 -1675,,                 18332,,                  1970,                -12781,                 42406,,                   -194,                 42600,,                    276,                 42876,                 42876,,                 42876,,                 42876,                              0,                              0,,                              0.13,                              0.00,                              0.13,,                              0.13,                              0.00,                              0.13,,,,,,,,,,,,,,,,,
2705,2014年第2季,,                676788,,                521032,                155756,                155756,,,                197504,                197504,                -41748,,,                  3198,,                 -5579,,                 18638,,                  1063,                -19956,                -61704,,                    585,                -62289,,                 -4501,                -66790,                -66790,,                -66790,,                -66790,,,,                             -0.19,                             -0.01,                             -0.20,,                             -0.19,                             -0.01,                             -0.20,,                521032,                 18638,                    440,                    145,,,,,,,,,,,,
2705,2014年度,,              2861549,,              1913916,                947633,                947633,,,                934015,                934015,                 13618,,,                 31301,,                 88553,,                 75880,,                  6310,                 50284,                 63902,,                   -114,                 64016,,,                 64016,                 64016,,                 64016,,                 64016,,,,,,                              0.19,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0,,
2705,2014年01月01日至2014年09月30日,,              2102093,,              1367057,                735036,                735036,,,                740970,                740970,                 -5934,,,                 11252,,                   -758,,                 55872,,                  5081,                -40297,                -46231,,                    -64,                -46167,,                -12198,                -58365,                -58365,,                -58365,,                -58365,                              0,                              0,,                             -0.14,                             -0.04,                             -0.18,,                             -0.14,                             -0.04,                             -0.18,,,,,,,,,,,,,,,,,
2705,2014年01月01日至2014年06月30日,,              1291263,,                872623,                418640,                418640,,,                479761,                479761,                -61121,,,                  5996,,                    917,,                 37540,,                  3111,                -27516,                -88637,,                    130,                -88767,,                -12474,               -101241,               -101241,,               -101241,,               -101241,,,,                             -0.27,                             -0.04,                             -0.31,,                             -0.27,                             -0.04,                             -0.31,,                872623,                 37540,                    440,                   -310,,,,,,,,,,,,
