證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　　 外幣兌換損失,　　 重估價之利益（損失）
1443,2015年第3季,,                352081,,                351450,                    631,                    631,,,                 18249,,                 23082,                 41331,                -40700,,,                  1170,                  1170,,                 73270,,                 24681,,                    -89,                 49670,                  8970,,                              0,                  8970,                  8970,,,                -48654,                 -3660,,                 -2526,                 -2526,                -54840,                -54840,                -45870,,                 36034,                -27064,,                  2987,                -48857,,                              0.27,,,,,,,,,,,,,,,,,,,,
1443,2015年第2季,,                358966,,                335187,                 23779,                 23779,,,                 17133,,                 15536,                 32669,                 -8890,,,                  2419,                  2419,,                 -5439,,                 25123,,                    187,                -27956,                -36846,,                              0,                -36846,                -36846,,,                 12089,                 -1332,,                 -8001,                 -8001,                  2756,                  2756,                -34090,,                -26461,                -10385,,                -29120,                 -4970,,                             -0.20,,,,,,,,,,,,,,,,,,,,
1443,2015年01月01日至2015年09月30日,,                984872,,                982605,                  2267,                  2267,,,                 49849,,                 54380,                104229,               -101962,,,                  5112,                  5112,,                 46581,,                 72049,,                    862,                -19494,               -121456,,                              0,               -121456,               -121456,,,                -24727,                 -2349,,                 -9101,                 -9101,                -36177,                -36177,               -157633,,                -55526,                -65930,,                -80627,                -77006,,                             -0.41,,,,,,,,,,,,,,,,,,,,
1443,2015年01月01日至2015年06月30日,,                632791,,                631155,                  1636,                  1636,,,                 31600,,                 31298,                 62898,                -61262,,,                  4897,                  4897,,                -27644,,                 47368,,                    951,                -69164,               -130426,,                              0,               -130426,               -130426,,,                 23927,                  1311,,                 -6575,                 -6575,                 18663,                 18663,               -111763,,                -91560,                -38866,,                -83614,                -28149,,                             -0.68,,,,,,,,,,,,,,,,,,,,
1443,2015年01月01日至2015年03月31日,,                273825,,                295968,                -22143,                -22143,,,                 14467,,                 15762,                 30229,                -52372,,,                  7219,                  7219,,                -26946,,                 22245,,                    764,                -41208,                -93580,,                              0,                -93580,                -93580,,,                 11838,                  2643,,                  1426,                  1426,                 15907,                 15907,                -77673,,                -65099,                -28481,,                -54494,                -23179,,                             -0.48,,                              0,,,,,,,,,,,,,,,,,,
1443,2014年第3季,,                574033,,                529550,                 44483,                 44483,,,                 24757,,                 20081,                 44838,                   -355,,,                  1025,                  1025,,               -150048,,                 28340,,                 -7592,               -184955,               -185310,,                              0,               -185310,               -185310,,,                -31627,                    541,,                              0,                              0,                -31086,                -31086,               -216396,,               -189763,                  4453,,               -206683,                 -9713,,                             -1.40,,,,,,,,,,,,,,,,,,,,
1443,2014年第2季,,                452226,,                466133,                -13907,                -13907,,,                 15556,,                 19069,                 34625,                -48532,,,                  3148,                  3148,,                -24002,,                 26701,,                  2490,                -45065,                -93597,,                      7,                -93604,                -93604,,,                 18449,                  1167,,                              0,                              0,                 19616,                 19616,                -73988,,                -65816,                -27788,,                -54464,                -19524,,                             -0.49,,,,,,,,,,,,,,,,,,,,
1443,2014年度,,              1746387,,              1802430,                -56043,                -56043,,,                 68464,,                133030,                201494,               -257537,,,                 35460,                 35460,,                 88065,,                109864,,                  6557,                 20218,               -237319,,                  1162,               -238481,               -238481,,,,,,,,,                -63492,               -301973,,               -203988,                -34493,,               -251778,                -50195,,                             -1.51,,,                -35056,                  2218,                -12587,,                 -8009,                -10058,                -18067,,                              0.00,,,,,,,,,
1443,2014年01月01日至2014年09月30日,,              1404219,,              1418271,                -14052,                -14052,,,                 55419,,                 62359,                117778,               -131830,,,                  6054,                  6054,,               -144837,,                 81999,,                   -440,               -221222,               -353052,,                      7,               -353059,               -353059,,,                 -2089,                  3365,,                              0,                              0,                  1276,                  1276,               -351783,,               -284993,                -68066,,               -282781,                -69002,,                             -2.11,,,,,,,,,,,,,,,,,,,,
1443,2014年01月01日至2014年06月30日,,                830186,,                888721,                -58535,                -58535,,,                 30662,,                 42278,                 72940,               -131475,,,                  5103,                  5103,,                  5137,,                 53659,,                  7152,                -36267,               -167742,,                      7,               -167749,               -167749,,,                 29538,                  2824,,                              0,                              0,                 32362,                 32362,               -135387,,                -95230,                -72519,,                -76099,                -59288,,                             -0.71,,,,,,,,,,,,,,,,,,,,
