證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2312,2015年第3季,,             10321414,,              9650601,                670813,                670813,,,                181527,,                237143,,                180836,                599506,                 71307,,,                 30760,,                  6772,,                 60761,,                282925,                259696,                331003,,                189122,                141881,                141881,,,                              0,                              0,                              0,                              0,                              0,,                    465,                              0,                     79,                    386,,                206085,               -638596,                              0,                              0,,               -186407,                              0,                 -3306,               -615612,               -615226,               -473345,,                158735,                -16854,,               -465458,                 -7887,,                              0.11,,                              0.11,,,,,,
2312,2015年第2季,,             11448724,,             10578154,                870570,                870570,,,                188243,,                272393,,                228437,                689073,                181497,,,                274174,,                 58471,,                 61092,,                181470,                453023,                634520,,                 71047,                563473,                563473,,,                              0,                              0,                              0,                              0,                              0,,                   -905,                              0,                   -154,                   -751,,               -121362,               -633056,                              0,                              0,,               -319781,                              0,                -67533,             -1006666,             -1007417,               -443944,,                581292,                -17819,,               -423771,                -20173,,                              0.42,,                              0.42,,,,,,
2312,2015年01月01日至2015年09月30日,,             34078648,,             31813741,              2264907,              2264907,,,                529024,,                690690,,                580221,              1799935,                464972,,,                354312,,                121888,,                183880,,                660318,                952638,              1417610,,                298648,              1118962,              1118962,,,                              0,                              0,                              0,                              0,                              0,,                   -440,                              0,                    -75,                   -365,,                -30481,               -680641,                              0,                              0,,               -572322,                              0,                -98439,             -1185005,             -1185370,                -66408,,              1169227,                -50265,,                -14162,                -52246,,                              0.84,,                              0.84,,,,,,
2312,2015年01月01日至2015年06月30日,,             23757234,,             22163140,              1594094,              1594094,,,                347497,,                453547,,                399385,              1200429,                393665,,,                323552,,                115116,,                123119,,                377393,                692942,              1086607,,                109526,                977081,                977081,,,                              0,                              0,                              0,                              0,                              0,,                   -905,                              0,                   -154,                   -751,,               -236566,                -42045,                              0,                              0,,               -385915,                              0,                -95133,               -569393,               -570144,                406937,,              1010492,                -33411,,                451296,                -44359,,                              0.73,,                              0.73,,,,,,
2312,2015年01月01日至2015年03月31日,,             12308510,,             11584986,                723524,                723524,,,                159254,,                181154,,                170948,                511356,                212168,,,                 49378,,                 56645,,                 62027,,                195923,                239919,                452087,,                 38479,                413608,                413608,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -115204,                591011,                              0,                              0,,                -66134,                              0,                -27600,                437273,                437273,                850881,,                429200,                -15592,,                875067,                -24186,,                              0.31,,                              0.31,,,,,,
2312,2014年第3季,,             12946838,,             12347106,                599732,                599732,,,                150559,,                182388,,                137767,                470714,                129018,,,                 40475,,                101400,,                 75512,,                199969,                266332,                395350,,               -150494,                545844,                545844,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 97731,               -157107,                              0,                              0,,                 86658,                              0,                 27967,                   -685,                   -685,                545159,,                566885,                -21041,,                562126,                -16967,,                              0.41,,                              0.41,,,,,,
2312,2014年第2季,,             14635032,,             13596072,              1038960,              1038960,,,                155068,,                205642,,                194733,                555443,                483517,,,                207057,,                256221,,                 89962,,                129430,                502746,                986263,,                167825,                818438,                818438,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -103326,                322737,                              0,                              0,,               -192123,                              0,                -47062,                 74350,                 74350,                892788,,                842096,                -23658,,                922844,                -30056,,                              0.62,,                              0.62,,,,,,
2312,2014年第1季,,             10966741,,             10243840,                722901,                722901,,,                141718,,                220030,,                142434,                504182,                218719,,,                 74037,,                 19828,,                 79541,,                152017,                166341,                385060,,                -94064,                479124,                479124,,,,,,,,,,,,,,,,,,,,,,,                148977,                628101,,                500837,                -21713,,                644878,                -16777,,                              0.37,,                              0.37,                 82175,               -173022,,,                304193,                 64369
2312,2014年度,,             55627893,,             52330863,              3297030,              3297030,,,                607160,,                830469,,                652409,              2090038,              1206992,,,                357420,,                345780,,                305486,,                818324,              1216038,              2423030,,                131380,              2291650,              2291650,,,,,,,,,,,,,,,,,,,,,,,                656677,              2948327,,              2361551,                -69901,,              3001730,                -53403,,                              1.72,,                              1.72,                410733,                -49130,                 38505,,                392755,                136186
2312,2014年01月01日至2014年09月30日,,             38548611,,             36187018,              2361593,              2361593,,,                447345,,                608060,,                474934,              1530339,                831254,,,                321569,,                377449,,                245014,,                481415,                935419,              1766673,,                -76733,              1843406,              1843406,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 76580,                 -7392,                              0,                              0,,                198728,                              0,                 45274,                222642,                222642,              2066048,,              1909818,                -66412,,              2129848,                -63800,,                              1.40,,                              1.40,,,,,,
2312,2014年01月01日至2014年06月30日,,             25601773,,             23839912,              1761861,              1761861,,,                296786,,                425672,,                337167,              1059625,                702236,,,                281094,,                276049,,                169503,,                281447,                669087,              1371323,,                 73761,              1297562,              1297562,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -21151,                149715,                              0,                              0,,                112070,                              0,                 17307,                223327,                223327,              1520889,,              1342933,                -45371,,              1567722,                -46833,,                              0.99,,                              0.99,,,,,,
2312,2014年01月01日至2014年03月31日,,             10966741,,             10243840,                722901,                722901,,,                141718,,                220030,,                142434,                504182,                218719,,,                 74037,,                 19828,,                 79541,,                152017,                166341,                385060,,                -94064,                479124,                479124,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 82175,               -173022,                              0,                              0,,                304193,                              0,                 64369,                148977,                148977,                628101,,                500837,                -21713,,                644878,                -16777,,                              0.37,,                              0.37,,,,,,
2312,2013年第3季,,              9130993,,              8536346,                594647,                594647,,,                143875,,                179654,,                140297,                463826,                130821,,,                 52326,,             -5021828,,                 48865,,                -66557,             -5084924,             -4954103,,               -300303,             -4653800,             -4653800,,,,,,,,,,,,,,,,,,,,,,,                806856,             -3846944,,             -4667129,                 13329,,             -3857950,                 11006,,                             -3.55,,                             -3.55,                -57279,                844158,,,                 14068,                 -5909
2312,2013年第2季,,             12987465,,             12043384,                944081,                944081,,,                113354,,                152382,,                138915,                404651,                539430,,,                203581,,                139803,,                 46109,,               -298773,                 -1498,                537932,,                368258,                169674,                169674,,,,,,,,,,,,,,,,,,,,,,,             -1307024,             -1137350,,                161161,                  8513,,             -1150488,                 13138,,                              0.12,,                              0.12,                 84077,               -942446,,,               -525661,                -77006
2312,2013年第1季,,             11604562,,             10752950,                851612,                851612,,,                111635,,                142820,,                142089,                396544,                455068,,,                 48522,,                166088,,                 46244,,               -250241,                -81875,                373193,,                 95565,                277628,                277628,,,,,,,,,,,,,,,,,,,,,,,              1027007,              1304635,,                276631,                    997,,              1297177,                  7458,,                              0.21,,                              0.21,                160028,                349812,,,                659436,                142269
2312,2013年度,,             42719450,,             39946128,              2773322,              2773322,,,                490517,,                588437,,                595410,              1674364,              1098958,,,                361775,,             -4633664,,                200665,,               -816884,             -5289438,             -4190480,,                127195,             -4317675,             -4317675,,,,,,,,,,,,,,,,,,,,,,,                665772,             -3651903,,             -4322980,                  5305,,             -3669648,                 17745,,                             -3.27,,                             -3.27,                252740,                362902,                 26541,,                 86199,                 62610
2312,2013年07月01日至2013年09月30日,,              9130993,,              8536346,                594647,                594647,,,                143875,,                179654,,                140297,                463826,                130821,,,                 52325,,             -5021828,,                 48865,,               -158370,             -5176738,             -5045917,,               -315912,             -4730005,             -4730005,,,,,,,,,,,,,,,,,,,,,,,                890097,             -3839908,,             -4743334,                 13329,,             -3850913,                 11005,,                             -3.61,,                             -3.61,                -57279,                844158,,,                114359,                 11141
2312,2013年04月01日至2013年06月30日,,             12987466,,             12043385,                944081,                944081,,,                113354,,                152381,,                138917,                404652,                539429,,,                203581,,                139803,,                 46109,,               -232898,                 64377,                603806,,                379457,                224349,                224349,,,,,,,,,,,,,,,,,,,,,,,             -1027088,               -802739,,                215835,                  8514,,               -815879,                 13140,,                              0.16,,                              0.16,                 84077,               -942446,,,               -190158,                -21439
2312,2013年01月01日至2013年12月31日,,             42719450,,             39946128,              2773322,              2773322,,,                490517,,                588437,,                595410,              1674364,              1098958,,,                361775,,             -4633664,,                200665,,               -654282,             -5126836,             -4027878,,                154838,             -4182716,             -4182716,,,,,,,,,,,,,,,,,,,,,,,                816971,             -3365745,,             -4188021,                  5305,,             -3383490,                 17745,,                             -3.17,,                             -3.17,                252740,                362902,                 26541,,                264696,                 89908
2312,2013年01月01日至2013年09月30日,,             33723020,,             31332680,              2390340,              2390340,,,                368865,,                474856,,                421300,              1265021,              1125319,,,                304429,,             -4715937,,                141218,,               -615571,             -5168297,             -4042978,,                163520,             -4206498,             -4206498,,,,,,,,,,,,,,,,,,,,,,,                526839,             -3679659,,             -4229337,                 22839,,             -3711261,                 31602,,                             -3.22,,                             -3.22,                186826,                251524,,,                147843,                 59354
2312,2013年01月01日至2013年06月30日,,             24592027,,             22796334,              1795693,              1795693,,,                224990,,                295202,,                281003,                801195,                994498,,,                252103,,                305891,,                 92353,,               -549014,                -83373,                911125,,                463823,                447302,                447302,,,,,,,,,,,,,,,,,,,,,,,               -280017,                167285,,                437792,                  9510,,                146689,                 20596,,                              0.33,,                              0.33,                244105,               -592634,,,                133775,                 65263
