證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
3027,2015年第3季,,,,                386573,                386573,                  1038,                  4845,                380690,                380690,,                286527,                 94163,                 94163,,,                 18916,,                 47389,,                 27660,                 93965,,                      1,                    199,,,,                  2855,                  1465,                  4320,,                 22182,,                  3100,                  3100,,                              0,                 23402,                 23601,,                 10878,                 12723,                 12723,,,                 46064,                  7774,                 38290,                 38290,                 51013,,                 12215,                    508,,                 50169,                    844,,                              0.13,,                              0.13,,,,,,
3027,2015年第2季,,,,                356327,                356327,                  8414,                  7245,                340668,                340668,,                243789,                 96879,                 96879,,,                 18366,,                 40645,,                 27100,                 86111,,                              0,                 10768,,,,                  4058,                  1084,                  5142,,                 12414,,                  2973,                  2973,,                    -30,                 14553,                 25321,,                  9166,                 16155,                 16155,,,                -13301,                 -2250,                -11051,                -11051,                  5104,,                 15626,                    529,,                  4641,                    463,,                              0.16,,                              0.16,,,,,,
3027,2015年01月01日至2015年09月30日,,,,              1020795,              1020795,                 11065,                 16367,                993363,                993363,,                727096,                266267,                266267,,,                 54720,,                126297,,                 79825,                260842,,                      1,                  5426,,,,                  8397,                  3939,                 12336,,                 46600,,                  8523,                  8523,,                    -30,                 50383,                 55809,,                 25418,                 30391,                 30391,,,                 24934,                  4200,                 20734,                 20734,                 51125,,                 29036,                  1355,,                 49541,                  1584,,                              0.30,,                              0.30,,,,,,
3027,2015年01月01日至2015年06月30日,,,,                634222,                634222,                 10027,                 11522,                612673,                612673,,                440569,                172104,                172104,,,                 35804,,                 78908,,                 52165,                166877,,                              0,                  5227,,,,                  5542,                  2474,                  8016,,                 24418,,                  5423,                  5423,,                    -30,                 26981,                 32208,,                 14540,                 17668,                 17668,,,                -21130,                 -3574,                -17556,                -17556,                    112,,                 16821,                    847,,                   -628,                    740,,                              0.17,,                              0.17,,,,,,
3027,2015年01月01日至2015年03月31日,,,,                277895,                277895,                  1613,                  4277,                272005,                272005,,                196780,                 75225,                 75225,,,                 17438,,                 38263,,                 25065,                 80766,,                              0,                 -5541,,,,                  1484,                  1390,                  2874,,                 12004,,                  2450,                  2450,,                              0,                 12428,                  6887,,                  5374,                  1513,                  1513,,,                 -7829,                 -1324,                 -6505,                 -6505,                 -4992,,                  1195,                    318,,                 -5269,                    277,,                              0.01,,                              0.01,,,,,,
3027,2014年第3季,,,,                302615,                302615,                  6543,                  5946,                290126,                290126,,                192305,                 97821,                 97821,,,                 13432,,                 42797,,                 27224,                 83453,,                   -419,                 13949,,,,                  2217,                  1334,                  3551,,                 25259,,                  2992,                  2992,,                     52,                 25870,                 39819,,                 11771,                 28048,                 28048,,,                 21883,                  3720,                 18163,                 18163,                 46211,,                 27666,                    382,,                 45756,                    455,,                              0.29,,                              0.29,,,,,,
3027,2014年第2季,,,,                353018,                353018,                  5900,                  3841,                343277,                343277,,                250040,                 93237,                 93237,,,                 19902,,                 41590,,                 24967,                 86459,,                              0,                  6778,,,,                  2480,                  1524,                  4004,,                  2539,,                  1574,                  1574,,                     67,                  5036,                 11814,,                  4953,                  6861,                  6861,,,                -15947,                 -2711,                -13236,                -13236,                 -6375,,                  6643,                    218,,                 -6522,                    147,,                              0.07,,                              0.07,,,,,,
3027,2014年度,,,,              1227832,              1227832,                 29096,                 18462,              1180274,              1180274,,                851901,                328373,                328373,,,                 68746,,                169333,,                106946,                345025,,                   -603,                -17255,,,,                 10307,                  5619,                 15926,,                 67188,,                  7657,                  7657,,                      9,                 75466,                 58211,,                 22726,                 35485,                 35485,,,,,,                 44935,                 80420,,                 34747,                    738,,                 79463,                    957,,                              0.36,,                              0.36,                 56139,                              0,                 -2046,                  9158,,
3027,2014年01月01日至2014年09月30日,,,,                951398,                951398,                 23957,                 11375,                916066,                916066,,                656038,                260028,                260028,,,                 47395,,                121887,,                 77031,                246313,,                   -479,                 13236,,,,                  6628,                  4034,                 10662,,                 47494,,                  5714,                  5714,,                    118,                 52560,                 65796,,                 22216,                 43580,                 43580,,,                 33136,                  5633,                 27503,                 27503,                 71083,,                 42769,                    811,,                 70201,                    882,,                              0.44,,                              0.44,,,,,,
3027,2014年01月01日至2014年06月30日,,,,                648783,                648783,                 17414,                  5429,                625940,                625940,,                463733,                162207,                162207,,,                 33963,,                 79090,,                 49807,                162860,,                    -60,                   -713,,,,                  4411,                  2700,                  7111,,                 22235,,                  2722,                  2722,,                     66,                 26690,                 25977,,                 10445,                 15532,                 15532,,,                 11253,                  1913,                  9340,                  9340,                 24872,,                 15103,                    429,,                 24445,                    427,,                              0.16,,                              0.16,,,,,,
3027,2014年01月01日至2014年03月31日,,,,                295765,                295765,                 11514,                  1588,                282663,                282663,,                213693,                 68970,                 68970,,,                 14061,,                 37500,,                 24840,                 76401,,                    -60,                 -7491,,,,                  1931,                  1176,                  3107,,                 19696,,                  1148,                  1148,,                     -1,                 21654,                 14163,,                  5492,                  8671,                  8671,,,                 27200,                  4624,                 22576,                 22576,                 31247,,                  8460,                    211,,                 30967,                    280,,                              0.09,,                              0.09,,,,,,
