證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 天然氣銷貨收入（天然氣業）,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 按攤銷後成本衡量之金融資產利息收入,　　　　 無活絡市場債務工具投資利息收入,　　　　 持有至到期日金融資產利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 避險工具之利益－公允價值避險,　　　 歸因於所規避風險之被避險項目之利益－公允價值避險,　　　 現金流量避險無效而認列於損益之利益,　　　 現金流量避險有效而自權益轉列之利益,　　　 國外營運機構淨投資避險無效而認列於損益之利益,　　　 負債性特別股股息,　　　 避險工具之損失－公允價值避險,　　　 歸因於所規避風險之被避險項目之損失－公允價值避險,　　　 現金流量避險無效而認列於損益之損失,　　　 現金流量避險有效自權益轉列之損失,　　　 國外營運機構淨投資避險無效而認列於損益之損失,　　 停業單位稅後損益,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
6283,2015年第3季,,,,                211986,                              0,                211986,                211986,                211986,,,                182102,                182102,                182102,                 29884,                              0,                              0,                 29884,,,                 46884,,                     24,                 46908,                -17024,,,                  5750,,                  1973,,                              0,,                              0,,                  1258,                  1258,,                              0,                  6465,                -10559,,                   -402,                -10157,,                              0,                -10157,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 27129,                 -5364,                              0,                              0,                              0,,                              0,                              0,                              0,                 21765,                 21765,                 11608,,                -10157,,                 11608,                              0,,                             -0.08,                              0.00,                             -0.08,,                              0.00,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2015年第2季,,,,,,,                211960,                211960,,,,                199300,                199300,                 12660,,,                 12660,,,                 43718,,                     65,                 43783,                -31123,,,                 16465,,                 21292,,,,,,                  1173,                  1173,,,                 36584,                  5461,,                    217,                  5244,,                              0,                  5244,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 -8857,                  1498,                              0,                              0,                              0,,                              0,                              0,                              0,                 -7359,                 -7359,                 -2115,,                  5244,,                 -2115,                              0,,                              0.04,                              0.00,                              0.04,,                              0.04,                              0.00,                              0.04,,                 16465,                              0,                              0,                              0,                              0,                 16465,                              0,                 21977,                  1228,                    339,                  1574,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6283,2015年01月01日至2015年09月30日,,,,                664335,                              0,                664335,                664335,                664335,,,                578234,                578234,                578234,                 86101,                              0,                              0,                 86101,,,                132217,,                    149,                132366,                -46265,,,                 29795,,                 31088,,                              0,,                              0,,                  3900,                  3900,,                              0,                 56983,                 10718,,                     53,                 10665,,                              0,                 10665,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                  5824,                 -3866,                              0,                              0,                              0,,                              0,                              0,                              0,                  1958,                  1958,                 12623,,                 10665,,                 12623,                              0,,                              0.07,                              0.00,                              0.07,,                              0.00,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2015年01月01日至2015年06月30日,,,,,,,                452349,                452349,,,,                396132,                396132,                 56217,,,                 56217,,,                 85333,,                    125,                 85458,                -29241,,,                 24045,,                 29115,,,,,,                  2642,                  2642,,,                 50518,                 21277,,                    455,                 20822,,                              0,                 20822,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -21305,                  1498,                              0,                              0,                              0,,                              0,                              0,                              0,                -19807,                -19807,                  1015,,                 20822,,                  1015,                              0,,                              0.15,                              0.00,                              0.15,,                              0.15,                              0.00,                              0.15,,                 24045,                              0,                              0,                              0,                              0,                 24045,                  6268,                 21977,                  1311,                    441,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6283,2015年01月01日至2015年03月31日,,,,,,,                240389,                240389,,,,                196832,                196832,                 43557,,,                 43557,,,                 41615,,                     60,                 41675,                  1882,,,                  7580,,                  7823,,,,,,                  1469,                  1469,,,                 13934,                 15816,,                    238,                 15578,,                              0,                 15578,,,                              0,                              0,                              0,                              0,                              0,,,,,,                              0,                              0,                              0,                              0,                              0,,                -12448,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                -12448,                -12448,                  3130,,                 15578,,                  3130,                              0,,                              0.11,                              0.00,                              0.11,,                              0.11,                              0.00,                              0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,,,,,,
6283,2014年第3季,,,,                329685,                              0,                329685,                329685,                329685,,,                337919,                337919,                337919,                 -8234,                              0,                              0,                 -8234,,,                 62732,,                  5177,                 67909,                -76143,,,                  3001,,               -181673,,                              0,,                              0,,                  2313,                  2313,,                              0,               -180985,               -257128,,                -35612,               -221516,,                              0,               -221516,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 16291,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                 16291,                 16291,               -205225,,               -221516,,               -205225,                              0,,                             -1.56,                              0.00,                             -1.56,,                              0.00,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2014年第2季,,,,,,,                309652,                309652,,,,                331715,                331715,                -22063,,,                -22063,,,                 75405,,                  5100,                 80505,               -102568,,,                  1052,,                  1189,,,,,,                  2909,                  2909,,,                   -668,               -103236,,                 -3137,               -100099,,                 15805,                -84294,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -18818,                 -3349,                              0,                              0,                              0,,                              0,                              0,                              0,                -22167,                -22167,               -106461,,                -84294,,               -106461,                              0,,                             -0.60,                              0.00,                             -0.60,,                             -0.71,                              0.00,                             -0.71,,                  1052,                              0,                              0,                              0,                              0,                  1052,                    281,                              0,                              0,                 -1145,                              0,                              0,                    237,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 15805,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6283,2014年度,,,,,,,              1297857,              1297857,,,,              1344899,              1344899,                -47042,                              0,                              0,                -47042,,,                283115,,                 20067,                303182,               -350224,,,                 43178,,               -262216,,                              0,,                              0,,                  9966,                  9966,,,               -229004,               -579228,,                -53470,               -525758,,                 15805,               -509953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 47138,               -462815,,               -509953,,               -462815,                              0,,                             -3.84,,                             -3.72,,,,                             -3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,                              0,                 51327,                 -3349,                 -1012,                   -172,,
6283,2014年01月01日至2014年09月30日,,,,                977735,                              0,                977735,                977735,                977735,,,              1006190,              1006190,              1006190,                -28455,                              0,                              0,                -28455,,,                209373,,                 18291,                227664,               -256119,,,                  8724,,               -178583,,                              0,,                              0,,                  7666,                  7666,,                              0,               -177525,               -433644,,                -41637,               -392007,,                 15805,               -376202,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 12330,                 -3349,                              0,                              0,                              0,,                              0,                              0,                              0,                  8981,                  8981,               -367221,,               -376202,,               -367221,                              0,,                             -2.90,                              0.12,                             -2.78,,                              0.00,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,2014年01月01日至2014年06月30日,,,,,,,                648050,                648050,,,,                668271,                668271,                -20221,,,                -20221,,,                146641,,                 13114,                159755,               -179976,,,                  5723,,                  3090,,,,,,                  5353,                  5353,,,                  3460,               -176516,,                 -6025,               -170491,,                 15805,               -154686,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 -3961,                 -3349,                              0,                              0,                              0,,                              0,                              0,                              0,                 -7310,                 -7310,               -161996,,               -154686,,               -161996,                              0,,                             -1.18,                              0.00,                             -1.18,,                             -1.30,                              0.00,                             -1.30,,                  5723,                              0,                              0,                              0,                              0,                  5723,                    295,                              0,                  1843,                   -952,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 15805,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
