證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　 其他利息收入,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額
5469,2014年01月01日至2014年03月31日,,             11385578,,             10447252,                938326,                938326,,,                276734,,                555294,,                 87721,                919749,                 18577,,,,                164985,,                  5476,                 43135,                213596,,                 25678,                              0,                -83594,                  4067,,                  7643,                  4440,                -50646,,                147591,,                 12378,                 27737,                 46314,,                 33747,                 12567,                 12567,,,                 54281,                 15044,,                   -327,                 68998,                 68998,                 81565,,                 22562,                 -9995,,                -37090,                118655,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,
5469,2013年第3季,,             13540772,,             12462984,              1077788,              1077788,,,                320768,,                574119,,                 83844,                978731,                 99057,,,,                112341,                  1491,                              0,                 45092,                158924,,                 -7843,                  1297,                -27789,                 30554,,                              0,                113392,               -117173,,                132395,,                    164,                -90480,                  8577,,                 70888,                -62311,                -62311,,,,,,,,               -256818,               -319129,,                -77689,                 15378,,               -239147,                -79982,,                             -0.17,                             -0.17,,,,,,,,               -266454,                  7985,,,                  1651,,,,,
5469,2013年第2季,,             12064032,,             11329380,                734652,                734652,,,                271607,,                623224,,                 74128,                968959,               -234307,,,,                 95190,                              0,                              0,                252743,                347933,,                 -5395,,                 -6885,                 -3779,,                              0,                 58596,                -74655,,                120105,,                  1154,                154327,                -79980,,                 88250,               -168230,               -168230,,,,,,,,                294674,                126444,,               -133718,                -34512,,                111658,                 14786,,                             -0.29,                             -0.29,,,,,,,,                285321,                  8892,,,                    461,,,,,
5469,2013年度,,             51007379,,             47270274,              3737105,              3737105,,,              1181098,,              2449084,,                321430,              3951612,               -214507,,,,                418534,                  1491,                 13779,                445720,                879524,,,                  1297,,                 50348,,,                118841,               -386695,,                504766,,                  7146,                 -4791,               -219298,,                270067,               -489365,               -489365,,,,,,,,              1025054,                535689,,               -251118,               -238247,,                577054,                -41365,,                             -0.56,                             -0.56,,                              0.00,                              0.00,                 16084,                 13439,,                289976,                996692,                 16151,                  9070,,                  4698,                  1557,,,,
5469,2013年07月01日至2013年09月30日,,             13540772,,             12462984,              1077788,              1077788,,,                320768,,                574119,,                 83844,                978731,                 99057,,,,                112341,                  1491,                              0,                 45092,                158924,,                 -7843,                  1297,,                 30554,,                              0,                113392,               -117173,,                132395,,                    164,                -90480,                  8577,,                 70888,                -62311,                -62311,,,,,,,,               -256818,               -319129,,                -77689,                 15378,,               -239147,                -79982,,                             -0.17,                             -0.17,,                              0.00,                              0.00,,                 27789,,,               -266454,                  7985,,,                  1651,,,,,
5469,2013年04月01日至2013年06月30日,,             12064032,,             11329380,                734652,                734652,,,                271607,,                623224,,                 74128,                968959,               -234307,,,,                 95190,                              0,                              0,                252743,                347933,,                 -5395,                              0,                 -6885,                 -3779,,                              0,                 58596,                -74655,,                120105,,                  1154,                154327,                -79980,,                 88250,               -168230,               -168230,,,,,,,,                294674,                126444,,               -133718,                -34512,,                111658,                 14786,,                             -0.29,                             -0.29,,                              0.00,                              0.00,,,,,                285321,                  8892,,,                    461,,                  1154,,,
5469,2013年01月01日至2013年09月30日,,             37263039,,             34575386,              2687653,              2687653,,,                872162,,              1765388,,                231207,              2868757,               -181104,,,,                288200,                  1491,                  5490,                333126,                628307,,                 -5408,                  1297,                -22801,                 34402,,                              0,                224443,               -216953,,                368259,,                  1842,                 44937,               -136167,,                157264,               -293431,               -293431,,,,,,,,                676696,                383265,,               -255396,                -38035,,                287878,                 95387,,                             -0.56,                             -0.56,,,,,,,,                658431,                 15062,,,                  3203,,,,,
5469,2013年01月01日至2013年06月30日,,             23722267,,             22112402,              1609865,              1609865,,,                551394,,              1191269,,                147363,              1890026,               -280161,,,,                175859,                              0,                  5490,                288034,                469383,,                  2435,,                  4988,                  3848,,                              0,                111051,                -99780,,                235864,,                  1678,                135417,               -144744,,                 86376,               -231120,               -231120,,,,,,,,                933514,                702394,,               -177707,                -53413,,                527025,                175369,,                             -0.39,                             -0.39,,,,,,,,                924885,                  7077,,,                  1552,,,,,
5469,2013年01月01日至2013年03月31日,,             11658235,,             10783022,                875213,                875213,,,                279787,,                568045,,                 73235,                921067,                -45854,,,,                 80669,,                  5490,                 35291,                121450,,                  7830,                  1297,                 11873,                  6330,,                              0,                 52455,                -25125,,                115759,,                    524,                -18910,                -64764,,                 -1874,                -62890,                -62890,,,,,,,,                638840,                575950,,                -43989,                -18901,,                415367,                160583,,                             -0.10,                             -0.10,,,,,                              0,,,                639564,                 -1815,,,                  1091,,,,,
5469,2012年07月01日至2012年09月30日,,             13886538,,             12787228,              1099310,              1099310,,,                309596,,                570584,,                 71280,                951460,                147850,,,,                133057,                     84,                              0,                 61032,                194173,,                  1068,                     70,,                  7699,,                              0,                 42747,                -66036,,                148678,,                  2582,                -17959,                129891,,                 74457,                 55434,                 55434,,,,,,,,               -310453,               -255019,,                 99116,                -43682,,                -84363,               -170656,,                              0.22,                              0.22,,                              0.21,                              0.21,,                 32126,,,               -314056,                  6533,,,                 -2930,,,,,
5469,2012年04月01日至2012年06月30日,,             16557652,,             15082813,              1474839,              1474839,,,                315767,,                490251,,                 68375,                874393,                600446,,,,                151785,                  1210,                              0,                 98382,                251377,,                 -3988,                 48097,                 45992,                -16432,,                    200,                 85436,                -11567,,                142793,,                  1057,                 98074,                698520,,                273351,                425169,                425169,,,,,,,,                 87062,                512231,,                361130,                 64039,,                407025,                105206,,                              0.79,                              0.79,,                              0.73,                              0.73,,,,,                169388,                -82700,,,                    374,,                  1057,,,
5469,2012年01月01日至2012年09月30日,,             43872368,,             40360087,              3512281,              3512281,,,                893416,,              1568391,,                206477,              2668284,                843997,,,,                434466,                  1294,                 10853,                221110,                667723,,                 -3789,                 49300,,                  2486,,                 13370,                186788,               -143533,,                445186,,                  2028,                 81032,                925029,,                323857,                601172,                601172,,,,,,,,               -634870,                -33698,,                548967,                 52205,,                116743,               -150441,,                              1.21,                              1.21,,                              1.12,                              1.12,,                 18112,,,               -637944,                  6909,,,                 -3835,,,,,
5469,2012年01月01日至2012年06月30日,,             29985830,,             27572859,              2412971,              2412971,,,                583820,,                997807,,                135197,              1716824,                696147,,,,                301409,                  1210,                 10853,                160078,                473550,,                 -4857,                 49230,                 14014,                 -5213,,                 13370,                144041,                -77497,,                296508,,                   -554,                 98991,                795138,,                249400,                545738,                545738,,,,,,,,               -324417,                221321,,                449851,                 95887,,                201106,                 20215,,                              0.99,                              0.99,,                              0.92,                              0.92,,,,,               -323888,                    376,,,                   -905,,                   -554,,,
5469,2012年01月01日至2012年03月31日,,             13428178,,             12490046,                938132,                938132,,,                268053,,                511086,,                 66822,                845961,                 92171,,,,                149624,,                 10853,                 61696,                222173,,                   -869,                  1133,                -31978,                 11219,,                 13170,                 58605,                -65930,,                150185,,                 -1611,                  4447,                 96618,,                -23951,                120569,                120569,,,,,,,,               -411479,               -290910,,                 88721,                 31848,,               -205919,                -84991,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,               -493276,                 83076,,,                 -1279,,,                149624,                150185,                  1611
