證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2617,2013年第3季,,                732540,,                624462,                108078,                108078,,                 41473,                 66605,,,,                  4469,                  5458,                  9927,,                              0,                 17019,                  2095,                              0,                  2261,,                  5954,                  5954,,                     -4,                     -4,                  6230,                 72835,,                 15528,                 57307,                 57307,,,,,,,                -73224,                -15917,,                 57307,,                -15917,,                              0.14,                              0.14,,                              0.14,                              0.14,                 12663,                              0,                              0,               -106570,,,                 33346
2617,2013年第2季,,                690783,,                639013,                 51770,                 51770,,                 37571,                 14199,,,,                  4727,                  6826,                 11553,,                101418,,                  4163,                 23180,                144963,,                  5982,                  5982,,                  3742,                  3742,                154276,                168475,,                 17300,                151175,                151175,,,,,,,                 29619,                180794,,                151175,,                180794,,                              0.36,                              0.36,,                              0.36,                              0.36,                              0,                 70888,                              0,                 38897,,,                 -9278
2617,2013年度,,              2772840,,              2446826,                326014,                326014,,                148776,                177238,,,,                 18039,                 64914,                 82953,,                209183,                              0,                 13543,,                365877,,                 22399,                 22399,,,                  3594,                430025,                607263,,                 64970,                542293,                542293,,,,,,,                208375,                750668,,                542293,,                750668,,                              1.30,                              1.30,,                              1.30,                              1.30,,                159047,                 11190,                187295,                  4533,,                 16547
2617,2013年07月01日至2013年09月30日,,                732540,,                624462,                108078,                108078,,                 41473,                 66605,,,,                  4469,                  5458,                  9927,,                              0,                 17019,                  2095,                              0,                  2261,,                  5954,                  5954,,                     -4,                     -4,                  6230,                 72835,,                 15528,                 57307,                 57307,,,,,,,                -73224,                -15917,,                 57307,,                -15917,,                              0.14,                              0.14,,                              0.14,                              0.14,                 12663,                              0,                              0,               -106570,,,                 33346
2617,2013年04月01日至2013年06月30日,,                690783,,                639013,                 51770,                 51770,,                 37571,                 14199,,,,                  4727,                  6826,                 11553,,                101418,,                  4163,                 23180,                144963,,                  5982,                  5982,,                  3742,                  3742,                154276,                168475,,                 17300,                151175,                151175,,,,,,,                 29619,                180794,,                151175,,                180794,,                              0.36,                              0.36,,                              0.36,                              0.36,,                 70888,                              0,                 38897,,,                 -9278
2617,2013年01月01日至2013年12月31日,,              2772840,,              2446826,                326014,                326014,,                148776,                177238,,,,                 18039,                 64914,                 82953,,                209183,                              0,                 13543,,                365877,,                 22399,                 22399,,,                  3594,                430025,                607263,,                 64970,                542293,                542293,,,,,,,                208375,                750668,,                542293,,                750668,,                              1.30,                              1.30,,                              1.30,                              1.30,,                159047,                 11190,                187295,                  4533,,                 16547
2617,2013年01月01日至2013年09月30日,,              2091711,,              1812414,                279297,                279297,,                111946,                167351,,,,                 12901,                 36486,                 49387,,                161044,                              0,                  9979,                  6585,                314717,,                 16467,                 16467,,                  3678,                  3678,                351315,                518666,,                 56028,                462638,                462638,,,,,,,                144907,                607545,,                462638,,                607545,,                              1.11,                              1.11,,                              1.11,                              1.11,                              0,                159047,                 11190,                129112,,,                 15795
2617,2013年01月01日至2013年06月30日,,              1359171,,              1187952,                171219,                171219,,                 70473,                100746,,,,                  8432,                 31028,                 39460,,                173959,,                  7884,                 23604,                312456,,                 10513,                 10513,,                  3682,                  3682,                345085,                445831,,                 40500,                405331,                405331,,,,,,,                218131,                623462,,                405331,,                623462,,                              0.97,                              0.97,,                              0.97,                              0.97,                              0,                158795,                 11190,                235682,,,                -17551
2617,2013年01月01日至2013年03月31日,,                668388,,                548939,                119449,                119449,,                 32902,                 86547,,,,                  3705,                 25619,                 29324,,                 72541,,                  3780,                    425,                166016,,                  4531,                  4531,,,,                190809,                277356,,                 23200,                254156,                254156,,,,,,,                188512,                442668,,                254156,,                442668,,                              0.61,                              0.61,,                              0.61,                              0.61,,                 87907,                  9773,                196785,,,                 -8273
2617,2012年07月01日至2012年09月30日,,                811377,,                619177,                192200,                192200,,                 38746,                153454,,,,                  6278,                 13979,                 20257,,                              0,                              0,                  4756,                  7048,                -14862,,                  1504,                  1504,,                    462,                    462,                  4353,                157807,,                 23200,                134607,                134607,,,,,,,               -171995,                -37388,,                134607,,                -37388,,                              0.32,                              0.32,,                              0.32,                              0.32,                  3058,                              0,                              0,               -144667,,,                -27328
2617,2012年04月01日至2012年06月30日,,                814785,,                613075,                201710,                201710,,                 38918,                162792,,,,                  6566,                     98,                  6664,,                 12689,,                  3656,                              0,                 28328,,                  1589,                  1589,,                  6920,                  6920,                 40323,                203115,,                 92000,                111115,                111115,,,,,,,                 80837,                191952,,                111115,,                191952,,                              0.27,                              0.27,,                              0.27,                              0.27,,                              0,                 19295,                 89612,,,                 -8775
2617,2012年01月01日至2012年12月31日,,              3167027,,              2412311,                754716,                754716,,                160419,                594297,,,,                 25815,                 61291,                 87106,,                 94359,                 15206,                 10906,,                117954,,                  8480,                  8480,,,                  7050,                203630,                797927,,                165000,                632927,                632927,,,,,,,               -355666,                277261,,                632927,,                277261,,                              1.52,                              1.52,,                              1.52,                              1.52,,                              0,                 19295,               -311873,                -11451,,                -32342
2617,2012年01月01日至2012年09月30日,,              2466895,,              1753913,                712982,                712982,,                117679,                595303,,,,                 21381,                 35969,                 57350,,                    368,                              0,                  9068,                  7048,                  3547,,                  4719,                  4719,,                  7290,                  7290,                 63468,                658771,,                149200,                509571,                509571,,,,,,,               -278328,                231243,,                509571,,                231243,,                              1.22,                              1.22,,                              1.22,                              1.22,                              0,                              0,                 19295,               -248242,,,                -30086
2617,2012年01月01日至2012年06月30日,,              1655518,,              1134736,                520782,                520782,,                 78933,                441849,,,,                 15103,                 21990,                 37093,,                  3426,,                  4312,                              0,                 18409,,                  3215,                  3215,,                  6828,                  6828,                 59115,                500964,,                126000,                374964,                374964,,,,,,,               -106333,                268631,,                374964,,                268631,,                              0.90,                              0.90,,                              0.90,                              0.90,,                              0,                 19295,               -103575,,,                 -2758
2617,2012年01月01日至2012年03月31日,,                840733,,                521661,                319072,                319072,,                 40015,                279057,,,,                  8537,                 22885,                 31422,,                              0,,                 11004,,                -11004,,                  1626,                  1626,,,,                 18792,                297849,,                 34000,                263849,                263849,,,,,,,               -187170,                 76679,,                263849,,                 76679,,                              0.63,                              0.63,,                              0.63,                              0.63,,                              0,                              0,               -193187,,,                  6017
