證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1786,2015年第3季,,                 81290,,                 32728,                 48562,                 48562,,,                 11888,,                 14145,,                  6525,                 32558,                 16004,,,                    380,,                  8832,,                     68,                  9144,                 25148,,                              0,                 25148,                 25148,,,                    192,                              0,                    192,                    192,                 25340,,                 25148,,                 25340,,                              0.48,,                              0.48,,,,
1786,2015年第2季,,                 61233,,                 26301,                 34932,                 34932,,,                  9034,,                 12659,,                  6681,                 28374,                  6558,,,                    669,,                 -1966,,,                 -1297,                  5261,,                              0,                  5261,                  5261,,,                   -106,                              0,                   -106,                   -106,                  5155,,                  5261,,                  5155,,                              0.10,,                              0.10,,,,
1786,2015年01月01日至2015年09月30日,,                202780,,                 83087,                119693,                119693,,,                 25976,,                 38117,,                 19417,                 83510,                 36183,,,                  1614,,                  6439,,                     68,                  7985,                 44168,,                              0,                 44168,                 44168,,,                     -7,                              0,                     -7,                     -7,                 44161,,                 44168,,                 44161,,                              0.84,,                              0.84,,,,
1786,2015年01月01日至2015年06月30日,,                121490,,                 50359,                 71131,                 71131,,,                 14088,,                 23972,,                 12892,                 50952,                 20179,,,                  1234,,                 -2393,,,                 -1159,                 19020,,                              0,                 19020,                 19020,,,                   -199,                              0,                   -199,                   -199,                 18821,,                 19020,,                 18821,,                              0.36,,                              0.36,,,,
1786,2015年01月01日至2015年03月31日,,                 60257,,                 24058,                 36199,                 36199,,,                  5054,,                 11313,,                  6211,                 22578,                 13621,,,                    565,,                   -427,,                              0,                    138,                 13759,,                              0,                 13759,                 13759,,,                    -93,                              0,                    -93,                    -93,                 13666,,                 13759,,                 13666,,                              0.26,,                              0.26,                              0,,,
1786,2014年第3季,,                 41436,,                 19972,                 21464,                 21464,,,                  6747,,                  8988,,                  9559,                 25294,                 -3830,,,                    667,,                  1800,,                              0,                  2467,                 -1363,,                              0,                 -1363,                 -1363,,,                              0,                              0,                              0,                              0,                 -1363,,                 -1363,,                 -1363,,                             -0.03,,                             -0.03,,,,
1786,2014年第2季,,                 44771,,                 20991,                 23780,                 23780,,,                  6658,,                  8711,,                  8914,                 24283,                   -503,,,                  1061,,                     26,,,                  1087,                    584,,                              0,                    584,                    584,,,                              0,                              0,                              0,                              0,                    584,,                    584,,                    584,,                              0.01,,                              0.01,,,,
1786,2014年度,,                158281,,                 78795,                 79486,                 79486,,,                 38864,,                 38731,,                 37244,                114839,                -35353,,,                  3098,,                 10127,,                     17,                 13208,                -22145,,                              0,                -22145,                -22145,,,,,,                 -3590,                -25735,,                -22145,,                -25735,,                             -0.41,,                             -0.41,                     17,                    286,                 -3876,                              0
1786,2014年01月01日至2014年09月30日,,                123854,,                 59007,                 64847,                 64847,,,                 20343,,                 26571,,                 25389,                 72303,                 -7456,,,                  2434,,                  5355,,                              0,                  7789,                    333,,                              0,                    333,                    333,,,                              0,                              0,                              0,                              0,                    333,,                    333,,                    333,,                              0.01,,                              0.01,,,,
1786,2014年01月01日至2014年06月30日,,                 82418,,                 39035,                 43383,                 43383,,,                 13596,,                 17583,,                 15830,                 47009,                 -3626,,,                  1767,,                  3555,,,                  5322,                  1696,,                              0,                  1696,                  1696,,,                              0,                              0,                              0,                              0,                  1696,,                  1696,,                  1696,,                              0.03,,                              0.03,,,,
1786,2014年01月01日至2014年03月31日,,                 37647,,                 18044,                 19603,                 19603,,,                  6938,,                  8872,,                  6916,                 22726,                 -3123,,,                    706,,                  3529,,                              0,                  4235,                  1112,,                              0,                  1112,                  1112,,,                              0,                              0,                              0,                              0,                  1112,,                  1112,,                  1112,,                              0.02,,                              0.02,                              0,,,
1786,2013年第3季,,                 54639,,                 22061,                 32578,                 32578,,,                  5547,,                  9713,,                  6120,                 21380,                 11198,,,                    256,,                   -271,,                     30,                    -45,                 11153,,                 -7281,                 18434,                 18434,,,,,,,                 18434,,                 18434,,                 18434,,                              0.41,,                              0.41,                     30,,,
1786,2013年第2季,,                 51041,,                 23382,                 27659,                 27659,,,                  5450,,                  7859,,                  5911,                 19220,                  8439,,,                    284,,                 -1464,,                      1,                 -1181,                  7258,,                 -1736,                  8994,                  8994,,,,,,,                  8994,,                  8994,,                  8994,,                              0.21,,                              0.21,                      1,,,
1786,2013年度,,                200509,,                 84807,                115702,                115702,,,                 25821,,                 33658,,                 26413,                 85892,                 29810,,,                  1221,,                    364,,                     31,                  1554,                 31364,,                 -8988,                 40352,                 40352,,,,,,                 -2746,                 37606,,                 40352,,                 37606,,                              0.87,,                              0.87,                     31,                              0,                 -2746,                              0
1786,2013年07月01日至2013年09月30日,,                 54639,,                 22061,                 32578,                 32578,,,                  5547,,                  9713,,                  6120,                 21380,                 11198,,,                    256,,                   -271,,                     30,                    -45,                 11153,,                 -7281,                 18434,                 18434,,,,,,,                 18434,,                 18434,,                 18434,,                              0.43,,                              0.43,,,,
1786,2013年04月01日至2013年06月30日,,                 51041,,                 23382,                 27659,                 27659,,,                  5450,,                  7859,,                  5911,                 19220,                  8439,,,                    284,,                 -1464,,                      1,                 -1181,                  7258,,                 -1736,                  8994,                  8994,,,,,,,                  8994,,                  8994,,                  8994,,                              0.22,,                              0.22,,,,
1786,2013年01月01日至2013年12月31日,,                200509,,                 84807,                115702,                115702,,,                 25821,,                 33658,,                 26413,                 85892,                 29810,,,                  1221,,                    364,,                     31,                  1554,                 31364,,                 -8988,                 40352,                 40352,,,,,,                 -2746,                 37606,,                 40352,,                 37606,,                              0.93,,                              0.93,                     31,,                 -2746,                              0
1786,2013年01月01日至2013年09月30日,,                149752,,                 65745,                 84007,                 84007,,,                 15869,,                 24624,,                 19442,                 59935,                 24072,,,                    743,,                    834,,                     31,                  1546,                 25618,,                 -9017,                 34635,                 34635,,,,,,,                 34635,,                 34635,,                 34635,,                              0.76,,                              0.76,                     31,,,
1786,2013年01月01日至2013年06月30日,,                 95113,,                 43684,                 51429,                 51429,,,                 10322,,                 14911,,                 13322,                 38555,                 12874,,,                    487,,                  1105,,                      1,                  1591,                 14465,,                 -1736,                 16201,                 16201,,,,,,,                 16201,,                 16201,,                 16201,,                              0.38,,                              0.38,                      1,,,
1786,2013年01月01日至2013年03月31日,,                 44072,,                 20302,                 23770,                 23770,,,                  4872,,                  7052,,                  7411,                 19335,                  4435,,,                    203,,                  2569,,,                  2772,                  7207,,                              0,                  7207,                  7207,,,,,,,                  7207,,                  7207,,                  7207,,                              0.17,,                              0.17,,,,
1786,2012年07月01日至2012年09月30日,,                 54061,,                 20939,                 33122,                 33122,,,                  4817,,                  5776,,                  8595,                 19188,                 13934,,,                    134,,                   -797,,                      1,                   -664,                 13270,,                 -7330,                 20600,                 20600,,,,,,,                 20600,,                 20600,,                 20600,,                              0.49,,                              0.49,,,,
1786,2012年04月01日至2012年06月30日,,                 39395,,                 15843,                 23552,                 23552,,,                  4874,,                  6469,,                  5050,                 16393,                  7159,,,                    148,,                    599,,                              0,                    747,                  7906,,                   -212,                  8118,                  8118,,,,,,,                  8118,,                  8118,,                  8118,,                              0.20,,                              0.20,,,,
1786,2012年01月01日至2012年12月31日,,                200680,,                 77504,                123176,                123176,,,                 19566,,                 25604,,                 26940,                 72110,                 51066,,,                    515,,                    108,,                      3,                    620,                 51686,,                -10824,                 62510,                 62510,,,,,,                 -1502,                 61008,,                 62510,,                 61008,,                              1.47,,                              1.47,                      3,,                 -1502,                              0
1786,2012年01月01日至2012年09月30日,,                124839,,                 49882,                 74957,                 74957,,,                 13218,,                 18151,,                 18620,                 49989,                 24968,,,                    387,,                   -272,,                      2,                    113,                 25081,,                 -9323,                 34404,                 34404,,,,,,,                 34404,,                 34404,,                 34404,,                              0.81,,                              0.81,,,,
1786,2012年01月01日至2012年06月30日,,                 70778,,                 28943,                 41835,                 41835,,,                  8401,,                 12375,,                 10025,                 30801,                 11034,,,                    253,,                    525,,                      1,                    777,                 11811,,                 -1993,                 13804,                 13804,,,,,,,                 13804,,                 13804,,                 13804,,                              0.35,,                              0.35,,,,
1786,2012年01月01日至2012年03月31日,,                 31383,,                 13100,                 18283,                 18283,,,                  3527,,                  5906,,                  4975,                 14408,                  3875,,,                    105,,                    -74,,                      1,                     30,                  3905,,                 -1781,                  5686,                  5686,,,,,,,                  5686,,                  5686,,                  5686,,                              0.14,,                              0.00,,,,
